energy_use_billing_month,energy_use_sector_code,energy_use_end_use_category,energy_use_sales_mwh,energy_use_customer_count,energy_use_average_kwh_per_customer,energy_use_peak_demand_mw,energy_use_load_factor_pct,energy_use_time_of_use_share_pct,energy_use_demand_response_participant_count,energy_use_electrification_index,energy_use_ev_charging_load_mwh,energy_use_heat_pump_adoption_rate,energy_use_distributed_solar_generation_mwh,energy_use_battery_storage_dispatch_mwh,energy_use_natural_gas_therms_equiv,energy_use_propane_gallons_equiv,energy_use_energy_burden_pct_households,energy_use_weather_normalization_factor,energy_use_meter_data_granularity
2020-07,industrial,appliances,238631.44,1148,207867.11,432.36,59.78,18.18,503,0.625,1982.13,0.0,278.41,695.52,147672.53,40882.08,7.73,1.301,15min
2025-04,residential,lighting,60571.05,286241,211.61,145.17,43.93,10.75,24783,0.417,2744.67,0.087,10764.52,2341.52,61196.68,31017.67,6.88,0.981,daily
2020-05,industrial,heating,246881.81,341,723993.58,325.96,64.2,38.09,1274,0.906,4007.95,0.0,382.81,1979.87,5434.55,53852.56,5.86,0.97,30min
2025-12,industrial,ev_charging,244813.43,1690,144860.02,533.95,49.1,6.87,1286,0.552,75.7,0.191,1038.87,572.89,133428.95,37094.19,0.5,0.935,daily
2026-12,commercial,motors,211467.03,19309,10951.73,554.12,64.52,16.76,5112,0.567,122.43,0.075,5233.5,1753.56,32802.31,59767.58,11.14,1.097,30min
2019-12,public,ev_charging,55118.09,90394,609.75,156.47,61.91,12.53,997,0.26,429.61,0.026,418.81,1863.86,47085.73,25442.01,7.82,1.171,15min
2019-02,commercial,appliances,22839.71,9699,2354.85,37.33,40.75,19.85,2209,0.722,630.54,0.131,1601.61,1943.86,64096.52,20930.48,18.72,0.934,daily
2020-09,commercial,cooling,207521.3,10542,19685.19,531.64,52.9,13.38,5850,0.376,2397.46,0.065,1433.79,2266.31,92330.77,4615.24,10.21,1.236,monthly
2026-10,residential,ev_charging,72677.31,285011,255.0,118.06,76.79,0.0,168,0.543,1711.09,0.0,8638.16,507.84,46115.03,40145.02,8.45,0.94,30min
2025-12,agriculture,lighting,107045.88,113430,943.72,322.16,44.89,25.18,536,0.554,3875.44,0.117,807.57,1724.23,79682.24,47189.18,11.18,0.827,hourly
2021-08,agriculture,motors,151378.66,81241,1863.33,354.34,42.61,22.54,698,0.412,1224.57,0.1,1328.16,2242.97,41653.75,14873.09,12.23,0.93,15min
2026-12,industrial,cooling,170645.1,525,325038.29,327.65,69.08,10.63,884,0.22,328.41,0.114,626.59,368.99,131058.97,41507.5,5.34,0.909,15min
2025-01,commercial,lighting,202213.47,25934,7797.23,459.98,38.09,15.81,5969,0.506,544.52,0.018,345.16,1610.59,101687.3,54627.05,1.11,0.861,monthly
2023-11,public,irrigation,139847.75,99715,1402.47,340.1,40.84,16.14,342,0.599,141.63,0.171,1153.14,685.69,58066.1,28510.32,9.25,1.073,30min
2022-04,public,cooling,148469.66,176780,839.86,445.54,46.79,14.57,1331,0.464,4466.71,0.014,1222.8,1683.04,22904.79,45883.01,5.05,1.123,daily
2022-10,industrial,motors,138562.71,197,703364.01,258.25,55.29,13.39,614,0.648,76.8,0.116,906.63,1740.06,139725.77,27933.93,2.96,0.922,15min
2023-02,agriculture,cooling,101075.63,180744,559.22,216.74,47.69,16.88,1045,0.843,137.27,0.063,1193.87,1368.06,149012.97,41194.05,7.05,1.0,hourly
2025-10,public,appliances,166686.05,269250,619.08,419.96,65.8,13.05,1471,0.3,3964.97,0.032,96.04,1559.64,23742.95,50769.94,2.84,0.822,hourly
2024-03,residential,motors,241184.24,125504,1921.73,284.46,52.39,8.89,7880,0.477,248.92,0.012,11138.0,856.18,32880.0,58224.25,14.51,0.822,hourly
2019-12,commercial,heating,178864.7,21059,8493.5,304.58,32.37,12.56,6192,0.626,601.0,0.041,1358.2,1021.84,17704.6,4531.46,13.36,1.087,30min
2021-09,residential,heating,42548.42,185780,229.03,102.25,51.66,3.24,25662,0.802,785.43,0.0,5392.94,1456.01,108564.46,7709.73,13.88,0.91,hourly
2024-04,residential,appliances,139560.1,487168,286.47,262.71,61.09,4.68,27873,0.635,1441.16,0.018,1640.54,879.69,134701.19,53677.41,7.6,0.864,monthly
2020-12,industrial,ev_charging,34061.02,1679,20286.49,85.63,66.82,31.07,1338,0.679,2405.82,0.069,579.4,706.55,98850.26,57900.76,8.28,1.251,30min
2019-05,commercial,appliances,239538.25,11596,20656.97,350.88,43.04,29.99,5942,0.425,647.91,0.057,3413.33,17.54,133739.75,49672.77,14.1,1.272,daily
2024-10,public,cooling,233863.76,465033,502.9,403.32,62.31,10.17,785,0.314,1767.7,0.043,682.93,875.7,26813.52,59564.87,10.34,1.076,monthly
2021-10,agriculture,lighting,190247.07,108892,1747.12,419.54,37.24,7.94,314,0.773,291.66,0.159,500.38,1926.96,145552.72,42852.92,5.51,1.027,hourly
2025-11,public,motors,220995.74,213981,1032.78,514.7,70.15,13.05,1167,0.269,421.77,0.103,1116.35,2045.26,146148.01,17184.57,12.55,0.807,30min
2023-05,industrial,appliances,69796.92,1784,39123.83,183.39,58.52,33.3,1219,0.812,3122.19,0.062,1330.04,1669.67,2848.44,54406.58,0.59,0.938,hourly
2025-02,industrial,process,13589.31,681,19954.93,26.15,38.59,12.83,314,0.337,3210.2,0.162,466.24,114.42,135127.37,33364.65,10.71,1.134,monthly
2023-06,public,cooling,82746.73,215754,383.52,216.16,50.41,27.43,1246,0.629,403.04,0.173,507.34,1811.43,126574.25,52661.15,7.86,0.94,15min
2022-10,agriculture,cooling,79261.53,23283,3404.27,225.79,34.46,11.59,618,0.588,615.44,0.121,30.69,684.6,64050.6,51919.72,8.08,0.997,30min
2025-05,public,irrigation,73188.12,60557,1208.58,112.92,48.57,12.7,224,0.457,72.48,0.176,129.92,140.18,160.0,57449.69,8.85,0.702,hourly
2023-10,industrial,appliances,157409.1,1699,92648.09,318.25,60.11,26.73,1036,0.731,605.15,0.16,989.36,2048.1,99787.64,24411.82,4.1,0.958,monthly
2025-10,public,ev_charging,59390.16,418835,141.8,105.72,53.46,20.71,120,0.724,833.98,0.16,287.29,1971.08,78003.77,10492.33,5.39,1.072,15min
2022-06,residential,heating,177002.6,494179,358.18,304.19,39.07,16.2,10338,0.539,4259.06,0.142,3635.83,2100.58,32470.81,35313.89,5.72,1.054,15min
2019-08,residential,motors,227497.15,322963,704.41,694.44,35.16,10.24,7604,0.391,675.65,0.102,3961.32,2336.06,119074.0,49502.59,7.15,1.106,30min
2023-10,industrial,lighting,151750.05,1038,146194.65,302.79,36.51,24.66,778,0.322,4464.01,0.118,684.12,266.51,41150.63,18252.01,11.01,1.241,daily
2024-09,industrial,lighting,123910.41,768,161341.68,190.63,48.29,44.27,515,0.546,1601.26,0.056,640.43,328.5,32740.13,3006.9,3.78,0.978,monthly
2022-10,public,lighting,83573.59,230349,362.81,234.14,48.62,34.91,94,0.218,3111.58,0.053,585.76,845.14,105896.59,34416.21,7.93,1.036,monthly
2026-06,agriculture,process,140039.79,78962,1773.51,286.7,53.3,20.28,828,0.606,765.92,0.195,284.63,2229.09,115597.88,19075.88,10.93,0.767,15min
