env_air_monitor_date,env_air_monitor_site_id,env_air_pollutant_code,env_air_daily_avg_concentration,env_air_daily_max_8hr_concentration,env_air_aqi_value,env_air_exceedance_flag,env_air_exceptional_event_flag,env_air_wildfire_smoke_flag,env_air_temperature_c,env_air_relative_humidity_pct,env_air_wind_speed_m_s,env_air_wind_direction_deg,env_air_barometric_pressure_hpa,env_air_instrument_method_code,env_air_data_completeness_pct,env_air_calibration_check_flag,env_air_near_roadway_indicator,env_air_population_exposure_estimate,env_air_health_advisory_level
2020-05-10,IN-AIR-SITE-00001,NO2,41.68,45.78,32,0,0,0,17.6,74,1.8,292,997.6,FEM,87.8,0,0,50222,none
2021-07-18,IN-AIR-SITE-00002,PM10,164.45,239.01,118,1,0,0,26.0,59,3.4,20,1007.1,TEOM,100.0,0,1,37146,unhealthy
2021-02-04,IN-AIR-SITE-00003,PM25,69.32,101.45,77,0,0,0,37.2,84,3.8,160,1006.1,TEOM,85.1,0,0,28227,sensitive
2020-12-31,IN-AIR-SITE-00004,PM25,71.76,90.05,76,0,0,0,35.6,44,2.5,338,1007.0,NDIR,83.0,0,0,59560,sensitive
2022-06-27,IN-AIR-SITE-00005,NH3,8.71,10.27,11,0,0,0,26.0,85,1.0,155,1000.5,FEM,93.7,0,1,63849,none
2023-12-10,IN-AIR-SITE-00006,PM10,107.1,164.74,90,0,0,0,33.0,47,0.9,142,999.8,FEM,91.5,0,0,14305,sensitive
2019-04-12,IN-AIR-SITE-00007,PM10,189.07,223.15,142,1,0,0,33.9,60,2.7,256,1008.7,XRF,96.0,0,1,77439,unhealthy
2021-05-23,IN-AIR-SITE-00008,PM10,124.15,170.74,106,1,0,0,33.6,39,1.0,106,1011.4,XRF,88.7,0,0,56242,unhealthy
2018-11-27,IN-AIR-SITE-00009,SO2,33.97,55.4,24,0,0,0,20.0,69,0.7,283,999.7,XRF,86.8,0,0,16125,none
2022-01-22,IN-AIR-SITE-00010,PM25,41.92,47.74,30,0,0,0,39.5,62,3.2,49,1011.3,XRF,100.0,0,1,8713,none
2023-11-06,IN-AIR-SITE-00011,PM10,129.36,208.85,162,1,0,0,24.8,73,1.7,34,1014.6,GC,82.3,0,1,55419,very_unhealthy
2025-12-29,IN-AIR-SITE-00012,NO2,29.26,33.93,27,0,0,0,28.8,29,4.9,223,991.7,NDIR,94.2,0,1,30447,none
2018-05-11,IN-AIR-SITE-00013,NH3,32.1,44.64,30,0,0,1,25.5,62,1.5,155,1019.0,FEM,96.1,0,0,20472,none
2022-08-13,IN-AIR-SITE-00014,PM25,82.38,105.13,59,0,0,0,29.6,67,1.7,190,1012.9,GC,96.9,0,0,32479,sensitive
2020-02-09,IN-AIR-SITE-00015,PM10,144.1,234.73,124,1,0,0,22.0,42,2.6,183,1014.7,UVFL,90.2,0,1,54818,unhealthy
2024-07-19,IN-AIR-SITE-00016,PM10,161.67,196.29,191,1,0,0,26.4,70,2.4,236,1000.9,GC,84.5,1,0,7951,very_unhealthy
2022-02-24,IN-AIR-SITE-00017,NO2,34.8,44.89,37,0,0,0,29.3,19,2.1,296,1013.5,NDIR,100.0,0,1,29019,none
2025-10-24,IN-AIR-SITE-00018,PM10,112.38,184.27,129,1,0,0,36.6,58,2.1,322,1014.3,UVFL,89.3,0,0,27846,unhealthy
2024-08-30,IN-AIR-SITE-00019,NO2,8.63,11.84,8,0,0,0,35.7,85,5.8,303,1003.4,XRF,100.0,0,0,66031,none
2021-04-30,IN-AIR-SITE-00020,O3,56.49,76.35,50,0,0,0,36.1,58,4.0,341,1013.5,TEOM,94.2,0,0,44228,none
2020-08-13,IN-AIR-SITE-00021,O3,48.1,57.94,48,0,0,0,34.1,47,3.1,57,1007.0,UVFL,89.1,0,1,43982,none
2024-05-13,IN-AIR-SITE-00022,PM10,117.28,172.5,105,1,0,0,40.9,59,0.9,38,1003.7,GC,94.4,0,0,20613,unhealthy
2021-03-30,IN-AIR-SITE-00023,CO,1.09,1.15,1,0,0,0,26.0,62,2.1,240,1006.6,BAM,98.9,0,0,40205,none
2019-04-05,IN-AIR-SITE-00024,NO2,34.45,37.19,30,0,0,0,26.9,76,2.9,24,1009.2,TEOM,92.5,0,0,20109,none
2018-01-22,IN-AIR-SITE-00025,NO2,31.46,44.34,34,0,0,1,26.6,62,3.0,315,1005.9,BAM,87.6,0,0,25204,none
2024-04-19,IN-AIR-SITE-00026,PM25,46.8,58.73,37,0,0,1,27.6,74,3.6,116,1002.5,FRM,81.3,0,0,37962,none
2020-01-18,IN-AIR-SITE-00027,Pb,0.29,0.46,0,0,0,0,17.9,62,1.5,341,1010.8,BAM,89.5,0,1,28317,none
2025-12-14,IN-AIR-SITE-00028,PM25,72.1,114.78,90,0,0,0,29.9,47,2.2,239,1011.9,FRM,96.8,0,0,32524,sensitive
2019-04-20,IN-AIR-SITE-00029,PM25,40.74,60.22,43,0,0,0,31.5,35,1.4,174,1009.0,BAM,85.9,0,0,59150,none
2020-12-18,IN-AIR-SITE-00030,PM25,49.98,77.02,52,0,0,0,26.2,67,3.7,339,996.7,GC,96.1,0,0,21612,sensitive
2025-01-02,IN-AIR-SITE-00031,SO2,12.95,18.79,17,0,0,1,15.7,16,3.0,227,1003.9,GC,92.2,0,0,14435,none
2023-08-10,IN-AIR-SITE-00032,PM25,60.12,67.66,65,0,0,0,28.2,28,1.6,252,1002.1,FRM,96.5,0,0,15614,sensitive
2025-07-10,IN-AIR-SITE-00033,PM25,56.8,85.72,49,0,0,0,18.9,35,2.4,110,1020.1,XRF,78.0,0,0,13702,none
2020-09-02,IN-AIR-SITE-00034,PM25,76.49,89.96,67,0,0,0,31.0,73,2.3,240,1008.8,FRM,83.5,0,1,70577,sensitive
2022-12-12,IN-AIR-SITE-00035,PM25,18.69,23.25,21,0,0,0,28.8,33,1.2,223,1006.0,TEOM,89.2,0,1,39837,none
2018-07-09,IN-AIR-SITE-00036,NO2,12.87,19.85,15,0,0,0,29.5,68,3.2,297,1004.1,GC,100.0,0,0,51140,none
2025-06-27,IN-AIR-SITE-00037,SO2,16.94,23.23,15,0,0,0,20.6,41,2.3,51,1007.1,FEM,87.5,0,1,45925,none
2019-07-17,IN-AIR-SITE-00038,PM10,95.89,150.16,87,0,0,0,36.8,57,1.6,220,1013.3,FEM,91.2,0,0,23884,sensitive
2023-03-15,IN-AIR-SITE-00039,PM10,155.37,183.0,201,1,0,0,29.2,59,1.2,303,995.2,TEOM,100.0,0,0,71534,hazardous
2021-06-21,IN-AIR-SITE-00040,SO2,26.7,37.77,20,0,0,0,21.6,57,3.1,287,1009.6,FRM,94.6,0,0,17773,none
2025-11-19,IN-AIR-SITE-00041,PM25,65.84,72.45,62,0,0,0,32.1,48,2.5,151,1004.5,FEM,97.2,0,0,89987,sensitive
2022-03-09,IN-AIR-SITE-00042,PM10,77.12,110.73,57,0,0,0,28.7,32,1.4,117,1011.0,FEM,88.1,0,0,28976,sensitive
2019-10-09,IN-AIR-SITE-00043,Pb,0.41,0.62,0,0,0,0,40.9,60,1.7,278,1013.6,BAM,99.1,0,0,78685,none
2023-08-31,IN-AIR-SITE-00044,NO2,37.98,53.21,29,0,0,0,24.1,70,2.2,134,1003.1,UVFL,100.0,0,1,14336,none
2025-11-28,IN-AIR-SITE-00045,PM25,22.83,27.61,25,0,0,0,19.3,72,2.3,208,998.4,TEOM,95.0,0,0,20767,none
2024-01-24,IN-AIR-SITE-00046,NO2,14.02,14.99,10,0,0,0,30.0,61,2.4,126,1005.9,UVFL,91.5,0,1,10283,none
2021-07-21,IN-AIR-SITE-00047,PM10,180.68,202.66,199,1,0,0,35.1,65,0.3,292,1017.0,FRM,95.4,0,1,50279,very_unhealthy
2024-09-01,IN-AIR-SITE-00048,NO2,55.27,78.67,67,0,0,0,44.3,46,2.3,6,1013.8,BAM,82.2,0,0,31317,sensitive
2019-08-24,IN-AIR-SITE-00049,PM25,0.0,0.0,0,0,0,0,51.9,68,0.9,221,1005.4,FEM,98.5,0,1,90216,none
2024-06-21,IN-AIR-SITE-00050,PM25,26.06,30.59,26,0,0,0,17.1,67,3.8,76,1003.6,NDIR,86.9,0,0,20123,none
2023-08-24,IN-AIR-SITE-00051,PM25,88.52,131.99,83,0,0,0,27.1,55,3.3,337,1004.1,BAM,90.3,1,0,60009,sensitive
2018-08-30,IN-AIR-SITE-00052,NH3,24.78,38.9,22,0,0,0,19.3,61,3.5,350,998.9,TEOM,99.9,0,0,28225,none
2023-08-04,IN-AIR-SITE-00053,O3,57.63,78.53,68,0,0,0,26.3,60,0.0,277,1013.5,GC,98.6,0,1,25431,sensitive
2025-09-25,IN-AIR-SITE-00054,PM25,58.45,84.85,50,0,0,0,45.3,68,1.9,333,1014.8,FRM,82.3,0,0,22615,none
2025-02-25,IN-AIR-SITE-00055,PM25,76.36,117.52,87,0,0,0,22.3,32,2.1,337,1005.3,BAM,86.3,0,1,16202,sensitive
2026-01-24,IN-AIR-SITE-00056,O3,45.11,54.41,37,0,0,0,27.8,32,2.8,226,1004.5,BAM,95.8,0,1,33676,none
2021-09-25,IN-AIR-SITE-00057,PM25,49.06,60.25,42,0,0,0,23.9,33,3.2,274,1003.1,BAM,81.6,0,1,30541,none
2023-11-10,IN-AIR-SITE-00058,PM25,86.47,90.82,78,0,0,0,21.0,52,3.6,350,1004.8,FEM,100.0,1,0,10471,sensitive
2021-10-22,IN-AIR-SITE-00059,Pb,0.28,0.46,0,0,0,0,40.5,68,0.0,294,1002.9,FRM,92.7,0,1,5963,none
2022-01-18,IN-AIR-SITE-00060,PM25,76.31,122.14,74,0,1,0,17.2,20,1.3,116,1006.9,FEM,100.0,0,0,22297,sensitive
2024-12-31,IN-AIR-SITE-00061,SO2,16.57,25.01,19,0,0,0,27.4,62,2.3,291,1013.5,BAM,87.5,0,1,54025,none
2020-02-15,IN-AIR-SITE-00062,Pb,0.18,0.19,0,0,0,0,28.6,81,3.1,270,1012.8,GC,88.1,0,1,30738,none
2018-02-04,IN-AIR-SITE-00063,PM10,184.34,243.05,130,1,0,1,27.8,65,3.1,156,1002.1,FEM,98.2,1,0,12312,unhealthy
2024-03-03,IN-AIR-SITE-00064,PM25,68.87,76.53,80,0,0,0,25.8,24,2.7,59,1009.1,FEM,90.2,0,1,9281,sensitive
2023-05-10,IN-AIR-SITE-00065,PM25,51.12,54.17,61,0,0,0,39.3,69,1.5,183,1012.5,TEOM,84.6,0,0,53792,sensitive
2022-05-05,IN-AIR-SITE-00066,CO,1.97,2.79,1,0,0,0,13.2,64,1.6,143,1001.4,XRF,95.4,0,0,9978,none
2020-10-18,IN-AIR-SITE-00067,CO,0.41,0.66,0,0,0,0,31.1,54,1.5,160,1009.0,UVFL,82.4,0,0,42430,none
2025-02-26,IN-AIR-SITE-00068,O3,85.25,135.7,79,0,0,1,31.4,63,1.1,88,1016.5,UVFL,100.0,0,0,37851,sensitive
2021-02-03,IN-AIR-SITE-00069,PM25,55.52,81.51,65,0,0,0,30.0,35,1.1,15,1006.3,XRF,93.1,0,0,71739,sensitive
2022-02-09,IN-AIR-SITE-00070,O3,22.18,24.57,27,0,0,0,22.2,61,1.0,248,993.9,TEOM,86.7,0,0,18444,none
2019-12-04,IN-AIR-SITE-00071,NH3,47.87,58.14,58,0,0,0,36.4,69,2.6,97,990.4,TEOM,98.9,0,0,47268,sensitive
2024-09-15,IN-AIR-SITE-00072,NO2,28.05,34.84,33,0,0,0,36.1,48,2.3,103,1010.2,NDIR,99.0,0,1,62313,none
2025-08-09,IN-AIR-SITE-00073,NH3,27.92,42.1,24,0,0,0,21.9,52,1.2,299,1008.7,XRF,92.0,0,0,12061,none
2022-04-29,IN-AIR-SITE-00074,CO,1.63,2.5,2,0,0,0,19.6,50,0.3,234,1009.3,FEM,100.0,0,0,29139,none
2018-06-11,IN-AIR-SITE-00075,SO2,26.84,34.39,27,0,0,0,18.3,51,1.8,306,1011.4,NDIR,100.0,0,1,26259,none
2018-07-21,IN-AIR-SITE-00076,NO2,39.5,51.37,29,0,0,0,29.6,45,3.8,273,997.6,FEM,93.9,0,0,14210,none
2023-06-05,IN-AIR-SITE-00077,PM10,94.11,101.33,92,0,0,0,28.3,46,2.2,260,1002.4,FRM,98.4,0,0,31527,sensitive
2020-09-22,IN-AIR-SITE-00078,PM25,65.47,80.11,83,0,1,0,25.5,69,3.1,238,1011.0,UVFL,99.9,0,0,13341,sensitive
2024-05-06,IN-AIR-SITE-00079,NO2,28.71,37.92,35,0,0,0,42.6,29,2.4,261,1013.2,FEM,85.2,0,1,33837,none
2020-03-26,IN-AIR-SITE-00080,PM10,129.96,145.58,99,0,0,1,24.8,63,2.1,331,1006.2,FRM,93.7,0,0,99137,sensitive
2019-04-01,IN-AIR-SITE-00081,CO,2.18,2.88,2,0,0,0,29.3,69,0.6,114,998.0,XRF,87.9,0,1,23800,none
2021-06-29,IN-AIR-SITE-00082,Pb,0.36,0.57,0,0,0,0,26.6,36,1.8,267,1010.4,GC,87.1,0,0,25414,none
2020-10-13,IN-AIR-SITE-00083,O3,48.72,68.15,42,0,0,0,41.7,59,1.6,11,1008.4,NDIR,92.7,1,1,62938,none
2024-06-01,IN-AIR-SITE-00084,PM25,78.46,86.1,77,0,1,0,14.1,44,3.8,72,1000.6,UVFL,93.2,0,1,57279,sensitive
2025-07-30,IN-AIR-SITE-00085,PM10,152.4,177.55,172,1,0,0,25.8,80,2.4,304,994.1,XRF,82.3,0,1,18572,very_unhealthy
2018-12-04,IN-AIR-SITE-00086,PM25,33.05,44.12,32,0,0,0,32.3,56,3.6,177,1012.0,FRM,94.1,0,0,40657,none
2020-05-28,IN-AIR-SITE-00087,SO2,15.42,19.53,12,0,0,0,26.4,87,3.4,259,1003.7,FRM,90.5,0,0,4575,none
2020-12-12,IN-AIR-SITE-00088,O3,91.13,115.3,102,1,0,0,18.9,84,1.3,258,1009.3,TEOM,100.0,0,1,14728,unhealthy
2020-03-02,IN-AIR-SITE-00089,NH3,39.55,54.09,49,0,0,0,29.2,66,2.2,269,1009.0,BAM,99.0,0,1,51120,none
2024-03-14,IN-AIR-SITE-00090,PM10,99.86,139.87,109,1,0,0,16.7,98,4.1,319,1000.0,BAM,86.9,0,0,19808,unhealthy
2020-02-03,IN-AIR-SITE-00091,NH3,17.76,27.14,21,0,0,0,32.7,32,2.8,119,1010.9,BAM,99.9,0,0,23856,none
2024-02-14,IN-AIR-SITE-00092,CO,0.82,1.03,1,0,0,0,25.1,86,2.8,168,1002.0,FRM,95.2,0,0,15451,none
2019-01-15,IN-AIR-SITE-00093,PM10,154.65,237.13,125,1,0,0,23.9,55,3.2,67,997.5,FEM,90.7,0,1,14033,unhealthy
2019-05-08,IN-AIR-SITE-00094,CO,2.16,2.71,2,0,0,0,35.3,58,2.7,58,996.6,XRF,88.9,1,0,6017,none
2021-03-26,IN-AIR-SITE-00095,PM10,143.29,155.22,128,1,0,1,21.0,52,2.8,129,1008.0,NDIR,85.1,0,1,21636,unhealthy
2023-08-25,IN-AIR-SITE-00096,PM10,126.29,174.59,154,1,0,0,17.2,34,2.5,265,1019.2,BAM,84.7,0,0,35574,very_unhealthy
2018-03-06,IN-AIR-SITE-00097,SO2,10.56,14.81,8,0,0,0,21.6,70,1.8,74,1008.3,FEM,81.0,0,1,31198,none
2025-01-12,IN-AIR-SITE-00098,PM10,133.17,214.51,128,1,0,0,42.3,38,1.0,89,1020.5,GC,92.1,0,0,16331,unhealthy
2021-09-29,IN-AIR-SITE-00099,SO2,6.8,10.1,6,0,0,0,21.0,49,0.2,356,1018.1,GC,79.6,0,0,11414,none
2021-02-26,IN-AIR-SITE-00100,NO2,5.96,9.55,8,0,0,0,30.6,50,1.8,153,1011.6,UVFL,86.8,0,0,21497,none
2023-07-21,IN-AIR-SITE-00101,NO2,59.55,94.99,47,0,0,1,33.9,78,2.7,217,1019.0,NDIR,95.9,0,0,12120,none
2025-05-19,IN-AIR-SITE-00102,PM10,79.77,112.69,56,0,0,0,21.4,59,2.5,27,1018.2,NDIR,100.0,0,0,16974,sensitive
2022-02-04,IN-AIR-SITE-00103,NO2,30.13,41.17,25,0,0,0,21.4,16,2.9,129,1016.3,BAM,85.1,0,1,29070,none
2021-03-08,IN-AIR-SITE-00104,NO2,44.85,62.09,53,0,0,0,29.3,44,2.1,65,994.8,FRM,95.7,0,0,15948,sensitive
2022-03-03,IN-AIR-SITE-00105,NO2,56.52,92.52,47,0,0,0,29.6,32,5.2,143,1006.3,TEOM,90.1,0,0,58209,none
2025-03-25,IN-AIR-SITE-00106,PM10,130.29,197.24,110,1,0,0,37.4,69,4.4,312,1003.1,GC,88.9,0,0,14364,unhealthy
