env_emiss_inventory_year,env_emiss_facility_registry_id,env_emiss_emissions_source_type,env_emiss_ghg_gas_code,env_emiss_emissions_metric_tons,env_emiss_stack_height_m,env_emiss_control_technology_code,env_emiss_operating_hours_annual,env_emiss_throughput_activity_level,env_emiss_emission_factor_used,env_emiss_estimation_method_code,env_emiss_permit_number,env_emiss_compliance_status_code,env_emiss_violation_count,env_emiss_inspection_count,env_emiss_nearby_receptor_distance_m,env_emiss_environmental_justice_screen_score,env_emiss_reporting_program_name,env_emiss_verification_flag,env_emiss_uncertainty_rating
2015,IN-FAC-0000001,landfill,CO2,5227.6,48.1,baghouse,5747,7806,0.826,third_party_audit,IN-PMT-261416,in_compliance,0,1,193,51,esg_disclosure,1,medium
2015,IN-FAC-0000002,refinery,PFCs,13699.7,38.4,oxidation_catalyst,1750,9884,0.778,cems,IN-PMT-725361,in_compliance,0,1,296,53,cpcb_ghg_reporting,1,medium
2024,IN-FAC-0000003,cement,HFCs,21452.7,80.5,esp,1404,13148,0.932,third_party_audit,IN-PMT-342944,in_compliance,1,1,253,61,spcb_inventory,0,medium
2023,IN-FAC-0000004,textiles,CO2,19510.4,31.4,other,5540,30325,0.412,cems,IN-PMT-605284,in_compliance,1,3,3142,52,esg_disclosure,0,low
2015,IN-FAC-0000005,steel,CO2,9605.7,100.6,scr,3863,9480,1.045,mass_balance,IN-PMT-969430,in_compliance,0,0,739,24,esg_disclosure,1,low
2018,IN-FAC-0000006,brick_kiln,N2O,1605.3,15.2,esp,1788,15395,0.641,engineering_estimate,IN-PMT-289387,in_compliance,2,2,508,24,perform_achieve_trade,0,medium
2022,IN-FAC-0000007,steel,CO2,833.9,99.8,low_nox_burner,1811,45128,0.966,cems,IN-PMT-237179,in_compliance,0,3,629,49,voluntary_program,0,medium
2023,IN-FAC-0000008,transport_hub,HFCs,10819.2,55.2,baghouse,1249,6427,0.679,mass_balance,IN-PMT-837815,in_compliance,0,1,237,42,spcb_inventory,0,low
2020,IN-FAC-0000009,cement,CH4,13115.5,44.8,esp,6444,6680,0.804,engineering_estimate,IN-PMT-761732,in_compliance,0,0,520,47,cpcb_ghg_reporting,1,medium
2022,IN-FAC-0000010,refinery,HFCs,6064.7,98.6,other,845,18503,0.532,cems,IN-PMT-258839,in_compliance,0,2,416,33,esg_disclosure,0,medium
2020,IN-FAC-0000011,other_industry,CO2,7809.6,48.5,baghouse,7711,23697,0.553,emission_factor,IN-PMT-543677,in_compliance,0,1,723,38,esg_disclosure,0,medium
2022,IN-FAC-0000012,textiles,SF6,5459.4,29.2,oxidation_catalyst,1384,21982,1.024,engineering_estimate,IN-PMT-782194,in_compliance,0,2,337,36,voluntary_program,0,medium
2021,IN-FAC-0000013,landfill,CO2,6431.3,53.5,esp,5943,66315,1.174,engineering_estimate,IN-PMT-493255,in_compliance,0,0,311,41,cpcb_ghg_reporting,1,low
2023,IN-FAC-0000014,landfill,CO2,8790.0,70.8,fgd,1843,9975,0.831,third_party_audit,IN-PMT-122842,in_compliance,1,1,169,47,perform_achieve_trade,0,low
2025,IN-FAC-0000015,landfill,CO2,14826.1,53.1,other,7762,7042,1.287,engineering_estimate,IN-PMT-405391,in_compliance,1,1,2697,68,perform_achieve_trade,1,medium
2023,IN-FAC-0000016,transport_hub,CO2,6715.2,47.7,fgd,3200,3808,1.205,third_party_audit,IN-PMT-124884,minor_violation,0,0,629,71,spcb_inventory,0,medium
2016,IN-FAC-0000017,brick_kiln,CO2,6113.0,47.2,oxidation_catalyst,2211,17176,0.933,mass_balance,IN-PMT-333556,in_compliance,0,0,276,76,voluntary_program,0,low
