env_hazard_event_start_date,env_hazard_event_end_date,env_hazard_hazard_type_code,env_hazard_ndma_disaster_number,env_hazard_impact_area_polygon_id,env_hazard_fatalities_direct,env_hazard_fatalities_indirect,env_hazard_injuries_reported,env_hazard_property_damage_inr,env_hazard_crop_damage_inr,env_hazard_insured_loss_inr,env_hazard_evacuation_order_flag,env_hazard_power_outage_customers_peak,env_hazard_shelter_population_peak,env_hazard_flood_depth_max_ft,env_hazard_wind_gust_max_kmph,env_hazard_drought_severity_index,env_hazard_heat_index_max_f,env_hazard_snowfall_total_in,env_hazard_event_narrative_code
2012-08-17,2012-08-23,drought,NDMA-6193-94,IN-POLY-00000001,0,0,10,1907516,254923,254724,0,281885,2168,1.0,111,2.35,101,1.3,rapid_assessment
2017-11-23,2017-11-27,heatwave,NDMA-6843-75,IN-POLY-00000002,1,0,13,19276549,2547011,5340557,0,70978,25067,0.7,59,2.38,110,2.1,media_digest
2022-10-14,2022-10-25,flood,NDMA-4348-26,IN-POLY-00000003,2,1,15,4466415,892544,1610645,1,80079,44102,5.3,88,2.98,101,5.1,media_digest
2021-08-03,2021-08-09,landslide,NDMA-2693-93,IN-POLY-00000004,1,5,19,485098,8387530,43963,0,11246,42136,5.4,27,3.06,89,1.4,media_digest
2025-12-25,2026-01-04,flood,NDMA-1329-45,IN-POLY-00000005,1,1,16,782921,204321,270632,0,53772,11585,1.4,141,2.0,112,0.8,impact_brief_b
2014-06-13,2014-06-29,flood,NDMA-9271-66,IN-POLY-00000006,1,0,15,1122333,3332926,138580,0,32465,24872,2.3,107,2.27,92,0.2,state_relief_note
2015-04-18,2015-04-28,landslide,NDMA-6874-68,IN-POLY-00000007,2,0,9,2450029,332086,528686,0,222312,16226,3.2,95,2.52,120,0.9,media_digest
2016-04-05,2016-04-25,cyclone,NDMA-4154-30,IN-POLY-00000008,1,2,9,133903,1070412,10464,0,642439,21543,0.6,80,1.1,105,1.4,rapid_assessment
2011-04-03,2011-04-06,flood,NDMA-4912-88,IN-POLY-00000009,2,0,6,6951210,519930,2059959,0,55219,21734,0.2,69,1.07,106,3.2,state_relief_note
2011-08-22,2011-09-10,landslide,NDMA-1524-18,IN-POLY-00000010,0,0,11,1583147,981110,618888,0,25819,3083,6.4,112,1.75,118,1.1,rapid_assessment
2024-12-03,2024-12-21,wildfire,NDMA-8377-71,IN-POLY-00000011,0,1,14,4671404,776434,1095270,0,194547,21846,3.4,80,1.0,122,3.7,media_digest
2011-10-23,2011-11-08,flood,NDMA-4402-46,IN-POLY-00000012,0,1,11,2156013,193461,848337,0,4144,12915,2.1,84,3.19,91,1.0,ndma_sitrep
2025-09-04,2025-09-23,heatwave,NDMA-1382-28,IN-POLY-00000013,1,0,13,4099325,298429,1352901,0,13371,4097,5.4,83,3.19,82,0.0,impact_brief_b
2012-05-07,2012-05-11,flood,NDMA-8778-25,IN-POLY-00000014,1,2,4,781593,479499,271553,0,14277,4034,7.6,103,2.4,108,0.4,media_digest
2022-07-03,2022-07-08,earthquake,NDMA-7001-51,IN-POLY-00000015,1,2,15,5283954,412380,1038063,0,33357,8126,3.6,91,5.0,117,0.6,state_relief_note
2016-05-08,2016-05-23,flood,NDMA-8330-75,IN-POLY-00000016,2,0,24,1592357,800461,294852,1,193646,5617,0.0,78,4.47,103,1.1,impact_brief_a
2025-11-07,2025-11-17,cyclone,NDMA-7447-57,IN-POLY-00000017,2,1,8,1960259,1606696,202369,0,84746,12349,2.9,76,0.0,118,0.1,ndma_sitrep
2018-08-13,2018-08-14,cold_wave,NDMA-7485-45,IN-POLY-00000018,1,1,12,28368025,9081543,7948782,0,244195,7266,1.4,84,3.78,119,4.5,state_relief_note
2017-10-10,2017-10-11,drought,NDMA-7220-79,IN-POLY-00000019,1,1,11,1784782,1812316,794363,0,151298,94496,4.4,93,1.67,129,0.7,media_digest
2022-08-07,2022-08-13,landslide,NDMA-3915-41,IN-POLY-00000020,1,0,21,11773031,592523,3114946,0,124397,8710,2.6,93,2.93,109,3.6,media_digest
2015-11-07,2015-11-09,flood,NDMA-9646-28,IN-POLY-00000021,2,0,10,1053428,1075933,279666,0,416103,5534,2.4,104,1.1,84,2.4,state_relief_note
2022-04-16,2022-05-04,flood,NDMA-7395-61,IN-POLY-00000022,1,0,12,1052583,592659,209363,0,39971,14958,0.0,29,2.38,101,5.2,media_digest
2016-04-11,2016-04-20,cyclone,NDMA-8544-55,IN-POLY-00000023,0,0,9,386161,271040,56765,0,83884,5544,5.3,93,0.52,116,1.3,media_digest
2024-08-19,2024-09-01,drought,NDMA-7325-27,IN-POLY-00000024,0,1,11,548442,1360371,241010,0,51514,15500,1.3,119,1.02,116,2.8,rapid_assessment
2013-01-29,2013-02-01,flood,NDMA-6753-97,IN-POLY-00000025,2,0,9,7124873,1453612,1568481,0,62491,7586,1.2,75,2.29,97,1.2,state_relief_note
2022-03-14,2022-03-25,flood,NDMA-7845-76,IN-POLY-00000026,0,0,11,1953015,8103261,211875,1,96061,8796,4.8,71,4.09,106,3.6,rapid_assessment
2013-09-12,2013-09-14,cloudburst,NDMA-3500-98,IN-POLY-00000027,0,3,12,4880025,2785180,847787,0,53865,2567,4.5,27,0.2,102,1.3,state_relief_note
2015-02-07,2015-02-24,flood,NDMA-2609-80,IN-POLY-00000028,2,0,15,6139088,316870,2105579,0,192633,5093,3.5,107,1.13,96,6.4,impact_brief_b
2022-10-05,2022-10-21,drought,NDMA-2174-33,IN-POLY-00000029,1,0,15,10885159,45922,4718255,0,103225,6767,3.3,66,2.49,112,7.2,impact_brief_a
2021-06-13,2021-07-02,drought,NDMA-5638-65,IN-POLY-00000030,4,1,11,513799,286318,75258,0,104407,5012,6.2,30,0.19,99,8.0,state_relief_note
