env_land_mapping_year,env_land_landcover_class_code,env_land_protected_area_id,env_land_management_designation,env_land_habitat_type_code,env_land_biodiversity_richness_index,env_land_species_observation_count,env_land_invasive_species_presence_flag,env_land_wetland_area_acres,env_land_forest_canopy_pct,env_land_impervious_surface_pct,env_land_soil_erosion_risk_score,env_land_carbon_stock_estimate_tons,env_land_restoration_project_flag,env_land_prescribed_burn_acres,env_land_trail_density_mi_sqmi,env_land_public_access_score,env_land_conservation_easement_flag,env_land_land_parcel_fragmentation_index,env_land_remote_sensing_sensor
2023,cropland,IN-PA-0000001,unprotected,tropical_dry,41,35,1,44.7,47.1,23.5,49,3102,1,9.7,1.25,48,0,6,MODIS
2013,forest,IN-PA-0000002,unprotected,coastal,50,35,0,118.4,32.1,19.4,32,11142,0,19.6,3.63,58,0,31,Resourcesat_2
2020,cropland,IN-PA-0000003,unprotected,riverine,83,28,0,245.7,74.3,26.2,73,5644,1,9.9,0.0,74,0,51,Sentinel_2
2020,cropland,IN-PA-0000004,unprotected,mixed,77,25,0,159.9,10.4,10.4,32,8002,0,65.8,2.94,82,0,69,Resourcesat_2
2010,cropland,IN-PA-0000005,conservation_reserve,tropical_moist,72,39,1,475.7,49.0,0.0,50,8515,0,16.7,1.88,65,0,70,Sentinel_2
2005,cropland,IN-PA-0000006,conservation_reserve,tropical_dry,30,25,0,219.0,41.2,21.6,39,7943,0,91.0,0.94,39,0,54,MODIS
2018,cropland,IN-PA-0000007,reserved_forest,tropical_dry,68,26,1,48.3,28.1,23.9,20,28416,0,5.9,2.77,47,0,73,Landsat_9
2013,cropland,IN-PA-0000008,unprotected,desert,72,36,1,88.2,43.4,23.4,30,5115,0,83.5,0.24,89,0,80,Landsat_8
2015,plantation,IN-PA-0000009,unprotected,montane,63,33,1,172.8,21.5,13.0,55,4336,0,48.7,2.73,20,0,45,Landsat_8
2024,forest,IN-PA-0000010,unprotected,coastal,66,33,0,566.5,36.8,20.5,91,30130,0,4.5,0.59,26,0,60,Landsat_8
2017,forest,IN-PA-0000011,conservation_reserve,tropical_moist,67,32,0,67.3,21.3,18.9,48,5528,0,136.2,1.01,71,0,24,VIIRS
2025,urban,IN-PA-0000012,reserved_forest,riverine,65,39,0,26.4,38.2,18.9,49,9394,0,11.0,2.42,47,0,73,Resourcesat_2
2023,urban,IN-PA-0000013,wildlife_sanctuary,tropical_dry,61,32,0,192.5,41.7,29.2,21,17301,0,276.5,1.49,78,0,62,VIIRS
2023,urban,IN-PA-0000014,unprotected,grassland,44,25,0,224.3,31.2,0.0,90,11699,0,226.3,2.51,40,0,59,Cartosat_3
2018,cropland,IN-PA-0000015,reserved_forest,tropical_dry,55,39,0,78.2,47.5,13.8,31,7073,0,30.7,1.84,53,0,47,MODIS
2019,forest,IN-PA-0000016,unprotected,tropical_moist,27,41,0,139.7,27.3,26.0,63,3207,0,60.2,1.26,69,0,65,Sentinel_2
2013,water,IN-PA-0000017,unprotected,tropical_moist,52,39,1,37.3,39.9,5.7,29,1135,0,354.4,1.79,44,0,64,Sentinel_2
2021,urban,IN-PA-0000018,unprotected,tropical_dry,71,33,0,87.7,8.4,15.6,42,7427,0,135.9,2.24,37,0,31,Resourcesat_2
