env_water_sample_date,env_water_waterbody_id,env_water_watershed_huc12,env_water_sample_matrix_type,env_water_parameter_code,env_water_result_value,env_water_result_unit,env_water_detection_limit,env_water_exceedance_standard_flag,env_water_impaired_water_flag,env_water_source_tracking_marker,env_water_flow_cfs_at_sample,env_water_temperature_c_water,env_water_ph_value,env_water_dissolved_oxygen_mg_l,env_water_turbidity_ntu,env_water_nitrate_mg_l,env_water_lead_ppb,env_water_algal_bloom_risk_index,env_water_sampling_program_code
2019-03-17,IN-WB-000001,628414721459,surface_water,fluoride,1.45,mg/L,0.05,0,0,mst_human,21.4,24.4,7.45,10.86,1.35,5.05,16.5,31,cpcb_river_watch
2019-12-02,IN-WB-000002,050366273351,drinking_water,nitrate,2.833,mg/L,0.05,0,0,ag_runoff_marker,18.9,15.1,7.18,6.58,1.41,3.06,6.2,45,research_partner
2019-03-27,IN-WB-000003,580771715126,surface_water,turbidity,9.508,NTU,0.1,1,0,unknown,34.9,19.8,7.8,9.45,5.84,2.64,6.6,52,research_partner
2022-08-23,IN-WB-000004,984399593427,groundwater,dissolved_oxygen,4.281,mg/L,0.05,1,0,mst_wildlife,13.2,19.8,7.15,8.63,0.9,4.18,6.9,71,research_partner
2021-06-13,IN-WB-000005,523392478044,surface_water,cadmium,20.984,ppb,0.1,1,0,industrial_signature,28.1,22.4,6.58,3.82,1.18,2.27,2.1,15,citizen_science
2024-11-11,IN-WB-000006,999077914785,groundwater,ph,6.802,pH,0.01,0,1,industrial_signature,17.2,16.9,7.55,9.19,7.53,4.74,11.7,65,smart_city_water
2023-12-12,IN-WB-000007,352140171200,drinking_water,nitrate,3.339,mg/L,0.05,0,0,industrial_signature,18.2,23.6,7.11,8.52,1.99,2.21,11.4,5,smart_city_water
2020-04-25,IN-WB-000008,868161795630,surface_water,cadmium,10.902,ppb,0.1,1,0,mst_human,9.6,26.8,6.03,6.98,8.17,2.42,13.1,58,state_spcb_network
2025-08-01,IN-WB-000009,461091060514,surface_water,ph,7.514,pH,0.01,0,0,mst_wildlife,16.5,14.8,7.44,7.39,1.07,12.25,42.7,63,state_spcb_network
2020-09-21,IN-WB-000010,686679939250,drinking_water,e_coli,182.0,cfu/100mL,1.0,1,0,mst_human,12.3,20.2,6.92,7.59,2.88,1.85,3.0,64,citizen_science
