food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_inr,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2011,NBH_000001,2.337,3.551,0,1307,354,RURAL_LOW_ACCESS,57.29,6154.31,3.518,2.441,30.64,7,56.1,86.68,24.57,1,59.37,42.31
2020,NBH_000002,1.22,2.89,0,642,40,LOW_INCOME_LOW_ACCESS,57.0,6903.86,6.557,1.796,47.64,10,39.11,36.41,10.29,0,64.63,43.43
2015,NBH_000003,1.201,0.105,0,1327,645,LOW_INCOME_LOW_ACCESS,75.69,3827.22,5.727,1.745,83.95,88,62.01,67.06,13.96,0,54.02,43.52
2017,NBH_000004,3.847,0.926,0,999,281,LOW_ACCESS,58.34,7453.88,3.929,1.531,81.6,52,45.43,50.56,22.37,0,44.89,64.02
2024,NBH_000005,2.326,1.358,0,1543,625,URBAN_LOW_ACCESS,72.12,5763.02,6.107,2.427,31.6,39,82.33,51.45,21.98,0,60.53,62.44
2017,NBH_000006,2.371,1.698,0,423,147,LOW_INCOME_LOW_ACCESS,49.4,2589.48,3.175,1.994,33.42,7,90.22,57.23,3.1,0,66.53,27.8
2016,NBH_000007,1.518,1.197,0,742,439,RURAL_LOW_ACCESS,38.76,11274.01,5.089,1.868,60.33,74,67.33,24.14,22.72,0,42.41,49.46
2025,NBH_000008,0.173,2.591,0,465,142,LOW_ACCESS,83.54,7451.15,6.61,0.963,33.84,29,30.58,49.59,7.35,0,36.04,41.49
2016,NBH_000009,2.675,1.62,0,273,314,RURAL_LOW_ACCESS,44.11,6836.45,6.092,0.811,57.89,25,63.93,33.35,13.53,0,76.77,55.63
2017,NBH_000010,1.975,1.876,0,20,278,LOW_ACCESS,57.97,5012.81,7.354,2.591,54.6,84,44.99,44.79,22.2,1,89.89,63.61
2024,NBH_000011,3.087,2.527,0,419,285,URBAN_LOW_ACCESS,56.51,7056.03,3.225,1.055,67.2,31,32.16,65.66,19.03,0,53.96,52.02
2013,NBH_000012,2.371,1.178,1,925,395,LOW_INCOME_LOW_ACCESS,59.1,8288.39,1.064,1.545,63.08,64,73.3,40.64,0.0,0,68.08,6.16
2022,NBH_000013,2.434,2.132,0,1423,419,RURAL_LOW_ACCESS,54.09,6983.56,0.778,2.808,50.48,50,45.72,65.57,4.96,0,78.52,48.05
2016,NBH_000014,1.774,0.046,0,671,611,RURAL_LOW_ACCESS,83.93,11405.54,0.772,1.469,58.85,83,58.16,61.26,13.77,1,60.87,88.76
2022,NBH_000015,2.35,1.524,1,1104,328,LOW_INCOME_LOW_ACCESS,57.11,10778.24,4.041,0.0,57.85,5,41.37,35.13,15.21,1,61.73,59.39
2022,NBH_000016,1.905,1.465,1,1218,3,RURAL_LOW_ACCESS,69.31,4457.95,6.195,0.0,63.26,41,29.5,42.99,20.8,0,48.45,38.19
2021,NBH_000017,2.834,1.658,0,1165,182,URBAN_LOW_ACCESS,56.2,3890.22,3.721,1.557,71.11,79,48.49,41.27,16.24,1,70.68,35.13
2012,NBH_000018,0.05,1.334,1,1298,167,LOW_INCOME_LOW_ACCESS,57.94,10657.39,0.515,2.113,63.07,83,47.54,49.1,12.7,1,53.11,62.81
2013,NBH_000019,3.962,1.155,1,1182,412,URBAN_LOW_ACCESS,68.37,5681.44,5.944,0.688,15.92,37,58.66,58.51,11.28,1,68.18,53.39
2024,NBH_000020,1.49,0.439,0,1150,234,LOW_ACCESS,66.81,6143.44,3.605,4.482,53.43,9,60.44,34.58,0.0,1,84.62,47.82
2022,NBH_000021,2.007,0.868,1,613,476,LOW_INCOME_LOW_ACCESS,68.89,2757.02,2.372,2.219,63.06,74,33.3,66.3,21.83,1,38.89,48.98
2023,NBH_000022,0.372,1.669,1,898,198,URBAN_LOW_ACCESS,78.16,9505.18,4.165,2.084,60.41,37,96.31,61.27,9.64,1,55.3,65.65
2012,NBH_000023,2.248,1.336,1,863,24,LOW_ACCESS,59.98,2224.06,2.922,0.0,62.34,7,58.41,17.9,2.82,0,50.86,23.85
2016,NBH_000024,2.061,1.972,0,374,73,URBAN_LOW_ACCESS,48.72,1386.71,4.175,4.196,38.93,55,34.05,18.39,11.44,1,54.77,66.41
2023,NBH_000025,1.331,1.635,0,1254,580,LOW_INCOME_LOW_ACCESS,66.16,3489.39,2.625,0.598,67.81,49,39.02,61.08,14.37,0,80.24,34.48
2017,NBH_000026,1.359,2.379,0,1247,539,LOW_INCOME_LOW_ACCESS,50.36,10902.56,6.155,3.26,32.1,79,30.56,57.75,9.73,0,38.38,62.89
2015,NBH_000027,0.05,1.567,0,1593,541,URBAN_LOW_ACCESS,90.16,11406.76,1.288,1.569,68.83,87,57.91,44.54,16.65,1,43.36,14.27
2023,NBH_000028,0.684,0.695,1,172,167,URBAN_LOW_ACCESS,73.04,1034.15,2.913,1.734,55.05,82,56.17,44.86,7.32,0,81.24,28.83
2018,NBH_000029,3.235,1.584,0,549,219,URBAN_LOW_ACCESS,40.67,1364.59,3.031,0.26,68.42,40,83.8,49.49,14.8,1,39.12,68.73
2022,NBH_000030,3.325,0.661,1,869,68,URBAN_LOW_ACCESS,54.25,7332.08,4.224,2.036,26.29,75,16.02,28.63,11.18,0,51.44,37.85
2026,NBH_000031,2.484,2.861,0,1584,286,ADEQUATE_ACCESS,75.1,4567.61,5.945,2.878,53.08,65,50.32,7.82,16.69,1,60.68,46.67
2025,NBH_000032,3.468,0.05,0,1095,32,LOW_ACCESS,62.04,8591.2,2.536,0.0,48.33,55,35.97,41.69,11.36,0,63.06,30.71
2014,NBH_000033,0.461,1.417,1,1133,490,LOW_INCOME_LOW_ACCESS,95.67,8300.76,4.191,2.667,60.82,6,23.11,39.1,38.6,1,66.97,54.91
2014,NBH_000034,0.425,1.898,0,45,307,URBAN_LOW_ACCESS,57.53,2013.74,1.711,3.613,48.3,18,23.63,53.19,23.98,1,85.46,64.77
2025,NBH_000035,1.27,0.358,1,655,112,ADEQUATE_ACCESS,70.03,6033.48,5.169,2.214,70.49,78,75.5,79.96,23.66,0,84.62,44.0
2019,NBH_000036,4.037,1.344,1,1245,614,ADEQUATE_ACCESS,68.06,7501.32,3.699,1.646,75.33,79,74.56,33.8,24.84,1,57.09,25.6
2011,NBH_000037,3.323,2.212,0,760,253,RURAL_LOW_ACCESS,65.06,8276.82,3.451,2.671,39.25,63,93.54,21.92,9.59,1,50.28,43.5
2018,NBH_000038,1.841,1.676,1,834,102,ADEQUATE_ACCESS,64.28,11704.27,0.249,1.502,76.89,77,45.82,68.07,30.24,0,65.1,64.59
2025,NBH_000039,3.332,1.593,0,162,47,LOW_INCOME_LOW_ACCESS,98.73,10230.39,7.428,2.375,66.75,89,64.27,35.4,24.85,1,52.92,45.42
2022,NBH_000040,5.009,0.279,0,925,324,URBAN_LOW_ACCESS,79.71,6633.49,3.393,2.181,43.6,13,41.65,50.1,0.0,0,62.02,48.94
2012,NBH_000041,2.207,0.672,1,1041,398,ADEQUATE_ACCESS,67.4,5686.63,3.197,0.475,22.28,72,79.56,56.02,11.61,1,57.47,75.45
2026,NBH_000042,2.118,1.239,0,399,47,URBAN_LOW_ACCESS,90.19,6126.25,2.566,2.904,48.77,86,19.87,71.78,5.16,0,43.02,58.53
2023,NBH_000043,1.511,1.436,1,304,281,ADEQUATE_ACCESS,45.8,11552.3,1.696,2.389,57.61,44,25.18,38.35,19.99,1,59.47,68.1
2020,NBH_000044,1.711,2.465,1,166,437,LOW_ACCESS,88.91,10311.62,2.205,0.0,52.2,54,56.33,57.53,1.2,1,79.53,66.21
2025,NBH_000045,1.315,1.852,0,1412,275,LOW_INCOME_LOW_ACCESS,65.02,2537.06,4.254,2.333,52.12,16,49.66,51.02,12.54,1,57.56,32.45
2025,NBH_000046,3.538,0.0,0,893,436,URBAN_LOW_ACCESS,62.48,3314.27,4.091,4.758,57.75,63,54.12,65.55,1.74,0,67.88,59.01
2014,NBH_000047,1.226,1.83,0,1662,295,URBAN_LOW_ACCESS,79.08,6326.54,0.0,0.0,26.49,56,28.4,46.35,26.65,0,80.95,81.78
2024,NBH_000048,1.672,1.506,0,311,170,LOW_ACCESS,42.97,6849.21,4.538,1.851,0.0,12,46.5,67.04,8.44,1,82.57,63.65
2016,NBH_000049,2.24,0.509,0,186,262,URBAN_LOW_ACCESS,67.16,6291.3,5.674,1.26,58.7,35,74.37,40.22,22.57,1,81.01,45.98
2026,NBH_000050,1.366,2.6,1,801,142,ADEQUATE_ACCESS,83.64,8706.6,6.005,3.546,17.55,68,56.93,30.91,20.49,1,58.79,79.46
2022,NBH_000051,1.996,1.319,0,548,222,RURAL_LOW_ACCESS,33.96,5954.02,0.738,2.545,25.89,26,62.34,27.76,31.96,1,78.92,49.55
2026,NBH_000052,1.493,0.996,0,792,41,ADEQUATE_ACCESS,76.13,10371.2,2.603,2.378,51.09,67,64.9,66.83,16.6,0,69.27,51.0
2020,NBH_000053,2.21,2.798,1,1077,72,ADEQUATE_ACCESS,79.32,9738.71,6.647,1.028,76.4,14,62.29,32.73,23.52,0,62.23,47.4
2017,NBH_000054,3.217,1.626,0,366,125,RURAL_LOW_ACCESS,62.14,7247.13,2.628,1.121,24.03,23,56.48,49.71,17.93,0,73.16,31.05
2012,NBH_000055,3.487,3.121,1,499,378,LOW_ACCESS,45.1,6125.62,5.327,0.177,40.93,13,62.42,38.42,6.77,1,81.36,35.81
2018,NBH_000056,3.1,2.094,1,369,188,URBAN_LOW_ACCESS,54.56,8601.35,2.135,2.294,44.46,5,40.62,45.29,4.51,0,39.16,45.48
2020,NBH_000057,2.047,1.043,0,1448,616,URBAN_LOW_ACCESS,81.02,11486.69,1.593,3.293,74.11,85,83.74,54.95,9.75,1,39.76,39.83
2019,NBH_000058,3.799,1.321,0,196,232,RURAL_LOW_ACCESS,34.29,5413.15,6.501,0.763,71.15,67,16.32,59.91,5.63,0,48.11,43.47
2020,NBH_000059,3.009,0.484,0,868,47,LOW_ACCESS,50.86,8795.84,4.76,2.412,31.81,35,77.94,55.84,21.22,0,61.34,64.44
2025,NBH_000060,1.569,3.299,0,1100,336,ADEQUATE_ACCESS,60.7,8735.9,5.609,0.0,26.68,83,55.7,70.8,13.96,1,75.2,52.06
2013,NBH_000061,1.02,1.829,1,1231,128,LOW_INCOME_LOW_ACCESS,56.37,7438.55,2.236,2.08,51.37,66,99.84,28.22,1.3,0,46.28,52.41
2011,NBH_000062,0.05,2.04,0,915,84,RURAL_LOW_ACCESS,82.44,4350.63,2.854,2.405,42.8,28,30.77,40.5,27.64,0,61.48,68.9
2015,NBH_000063,3.293,2.677,0,178,199,LOW_INCOME_LOW_ACCESS,66.18,8540.45,3.17,0.575,51.21,70,85.33,53.43,12.66,0,40.47,43.41
2016,NBH_000064,0.833,0.793,0,474,471,LOW_ACCESS,73.82,3135.12,4.589,2.527,54.55,22,64.75,33.94,6.11,1,68.1,46.84
2019,NBH_000065,4.173,2.342,0,1391,189,RURAL_LOW_ACCESS,56.08,7069.37,3.401,1.854,31.23,36,71.71,43.82,17.84,0,47.15,61.44
2023,NBH_000066,0.05,2.681,0,887,150,RURAL_LOW_ACCESS,79.35,3466.36,3.446,2.055,55.2,86,39.6,55.93,38.95,0,66.04,50.53
2017,NBH_000067,1.205,1.013,0,440,213,LOW_ACCESS,65.66,3728.08,2.081,3.036,22.56,83,68.22,34.94,31.84,0,54.34,36.25
2011,NBH_000068,1.662,2.557,0,709,306,ADEQUATE_ACCESS,57.63,9304.44,4.224,0.927,56.35,36,45.31,60.38,30.48,1,54.65,46.2
2013,NBH_000069,1.251,0.244,0,1166,253,URBAN_LOW_ACCESS,52.16,10489.47,0.596,1.859,53.4,53,56.7,57.71,17.92,0,37.76,53.76
2025,NBH_000070,1.468,0.659,0,1250,604,LOW_INCOME_LOW_ACCESS,77.75,7061.47,4.018,1.979,42.82,62,44.71,48.89,31.35,0,71.63,64.2
2018,NBH_000071,2.911,1.861,0,1524,366,LOW_ACCESS,66.59,11712.06,0.454,0.888,62.95,77,80.26,26.5,13.57,1,48.3,48.66
2017,NBH_000072,1.239,2.057,0,1063,518,ADEQUATE_ACCESS,62.08,1493.75,7.925,0.175,40.1,48,58.57,87.52,25.78,1,55.27,25.97
2018,NBH_000073,0.535,1.974,1,1449,128,URBAN_LOW_ACCESS,83.06,1859.91,3.146,3.893,97.52,15,58.28,41.85,35.07,0,81.67,70.35
2020,NBH_000074,1.374,2.621,0,167,582,URBAN_LOW_ACCESS,57.03,6514.09,0.0,2.759,43.21,41,61.42,63.91,20.59,0,65.01,49.22
2025,NBH_000075,1.668,1.694,0,942,580,RURAL_LOW_ACCESS,88.93,6245.78,0.0,0.301,57.78,17,58.7,85.25,16.37,1,43.99,80.56
2024,NBH_000076,3.071,1.501,1,640,312,LOW_ACCESS,43.66,2806.06,0.9,0.0,63.41,16,57.09,62.25,19.57,0,59.74,58.35
2023,NBH_000077,2.054,1.636,1,897,167,RURAL_LOW_ACCESS,43.77,10573.99,0.0,2.567,55.17,74,44.31,26.18,16.11,1,52.09,54.62
2022,NBH_000078,1.897,1.623,0,419,391,LOW_INCOME_LOW_ACCESS,47.99,2557.29,1.356,1.814,32.34,21,77.27,40.8,16.68,0,38.88,42.6
2013,NBH_000079,1.968,1.893,0,1739,505,LOW_ACCESS,81.05,5035.59,0.0,2.233,31.07,36,48.88,39.66,1.14,1,37.77,56.66
2026,NBH_000080,0.598,0.0,1,1523,369,LOW_INCOME_LOW_ACCESS,47.95,11123.35,4.412,2.138,32.67,7,68.62,41.02,13.86,0,76.67,63.26
2019,NBH_000081,2.068,1.233,0,609,334,URBAN_LOW_ACCESS,65.18,11812.79,7.169,0.009,70.88,47,51.02,34.64,6.36,0,60.11,55.29
2013,NBH_000082,0.05,1.424,1,1011,645,RURAL_LOW_ACCESS,55.8,10367.21,3.373,3.901,49.55,68,57.9,43.84,14.75,1,60.29,65.06
2021,NBH_000083,4.227,1.299,0,591,317,ADEQUATE_ACCESS,64.59,5370.94,0.0,1.098,67.99,16,18.74,65.11,33.19,1,73.77,56.74
2024,NBH_000084,1.595,1.156,0,1247,364,RURAL_LOW_ACCESS,55.88,1810.14,2.108,1.016,80.33,29,70.81,44.16,9.95,0,71.4,66.14
2016,NBH_000085,0.604,2.12,0,209,2,URBAN_LOW_ACCESS,30.75,10636.32,3.15,2.126,53.08,21,76.6,69.65,11.56,1,74.02,67.43
2011,NBH_000086,1.208,1.6,0,414,609,URBAN_LOW_ACCESS,67.15,7863.61,5.229,2.253,71.38,82,26.87,20.52,8.21,0,27.25,53.92
2021,NBH_000087,1.497,0.989,0,491,339,ADEQUATE_ACCESS,66.12,3275.44,0.57,2.841,67.73,26,77.31,42.0,12.74,0,69.45,40.5
2022,NBH_000088,0.804,0.602,0,1626,350,URBAN_LOW_ACCESS,72.45,3275.95,3.932,2.749,42.01,72,22.18,55.32,22.08,1,58.75,42.28
2023,NBH_000089,2.639,0.27,0,318,241,LOW_INCOME_LOW_ACCESS,66.48,5721.26,6.619,1.274,46.22,26,39.64,44.41,6.06,1,59.28,47.4
2019,NBH_000090,1.22,2.302,0,717,40,URBAN_LOW_ACCESS,48.04,11096.4,3.48,2.367,19.33,7,61.15,50.02,40.71,0,59.6,62.61
