food_supply_price_week,food_supply_product_upc_category,food_supply_retail_market_area,food_supply_average_price_inr,food_supply_price_change_wow_pct,food_supply_price_change_yoy_pct,food_supply_stockout_rate_pct,food_supply_on_shelf_availability_pct,food_supply_supply_chain_stage_code,food_supply_import_dependency_share_pct,food_supply_shipping_cost_index,food_supply_cold_chain_failure_flag,food_supply_warehouse_capacity_util_pct,food_supply_lead_time_days_avg,food_supply_spoilage_rate_pct,food_supply_private_label_share_pct,food_supply_promo_intensity_index,food_supply_online_grocery_share_pct,food_supply_food_inflation_contribution,food_supply_data_vendor_panel_code
2022-12-19,READY_TO_EAT,PUNE,454.47,2.51,13.44,4.25,92.48,WHOLESALE,37.68,183.47,0,73.39,9,1.67,11.81,75.09,35.92,0.384,PANEL_C_08
2025-04-21,BEVERAGES,PUNE,1162.33,-4.26,-17.9,9.98,85.75,MANDI,47.79,209.02,0,78.89,6,7.93,45.23,11.62,35.77,4.84,PANEL_C_20
2021-04-12,READY_TO_EAT,BLR_URBAN,1333.17,13.78,0.46,7.99,93.67,MANDI,13.81,177.4,0,89.76,5,0.0,42.37,39.36,3.5,5.663,PANEL_A_11
2023-11-13,SNACKS,DELHI_NCR,1101.51,-1.66,-7.03,0.0,100.0,MANDI,74.28,199.73,0,92.69,6,5.56,25.53,2.16,16.79,-0.205,PANEL_A_07
2020-08-17,DAIRY,KOLKATA,227.63,-9.33,-9.13,2.37,99.6,PROCESSOR,1.15,167.72,0,92.97,5,2.23,15.91,25.0,50.57,-0.103,PANEL_B_06
2021-12-06,SPICES,AHMEDABAD,729.26,1.68,-12.3,3.0,92.04,WHOLESALE,16.82,171.23,0,78.7,1,1.82,56.4,89.89,15.47,2.585,PANEL_D_15
2020-12-21,DAIRY,MUMBAI_MMR,150.56,13.44,-24.91,8.8,87.73,RETAIL,64.17,62.94,0,83.42,9,0.0,30.84,86.34,29.72,1.821,PANEL_D_11
2023-10-23,DAIRY,PUNE,1480.46,1.71,-17.73,8.4,92.94,E_COM,29.6,174.06,0,75.28,13,2.99,2.92,64.77,7.39,0.706,PANEL_B_05
2023-05-29,VEG,CHENNAI,1274.16,-13.43,20.13,7.26,93.66,MANDI,79.57,142.11,1,84.02,1,4.82,45.17,23.6,42.02,-0.192,PANEL_D_04
2024-11-18,FRUIT,HYD_METRO,819.79,-7.71,34.32,5.71,93.72,FARM,46.71,121.79,0,79.06,12,2.82,24.16,96.5,13.97,-1.194,PANEL_A_16
