gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2010,GOV97400000,GOVIF1VA,4851336,18628025,71757,808819772,41675,47692076,446597,837519537,290606,543496224,480392598,val_974e_00000,val_974e_00000,48332580,452674779,GOV9WZ9V,1.15
2024,GOV97400001,GOV2SHVK,643282651,205765,360533,2154197,72153969,73814956,3976291,24495615,5076,417795,640196901,val_974e_00001,val_974e_00001,7069711,32599474,GOVXMZGM,98.33
2015,GOV97400002,GOVKHXS9,330587304,664968,4823349,2196687,52353,3260284,33410335,5600952,40930380,742277,5391457,val_974e_00002,val_974e_00002,498019632,732731,GOV1X841,63.94
2021,GOV97400003,GOVUNMGS,299472840,56082343,289766921,487274,571118002,95866392,32906,64389622,310201778,31522,372582865,val_974e_00003,val_974e_00003,577033,712937033,GOVDNDBZ,75.0
2022,GOV97400004,GOV1GG0W,14832793,2478943,5617165,49151596,508098521,43492,26260,240785127,459076,530458,53849264,val_974e_00004,val_974e_00004,214777375,771346468,GOVGFS2M,61.82
2024,GOV97400005,GOVLED11,177476,6408570,425950,5612714,964427949,5308403,5179776,76654901,6307131,43017,679573,val_974e_00005,val_974e_00005,73964619,4683321,GOVTGUH0,55.43
2026,GOV97400006,GOVWGOE4,8529061,30885904,626175703,37975,53596817,390310,89011616,34835123,31974899,62312,3264632,val_974e_00006,val_974e_00006,4399564,831063,GOVNQBYR,56.49
2015,GOV97400007,GOVU1IJ4,86877,68321,530773,524332,2047749,579039,58286077,461151,566529654,407503957,646333819,val_974e_00007,val_974e_00007,42773,336775,GOVK0HCJ,63.87
2015,GOV97400008,GOV3WIFI,436558610,48726798,46470144,7364,841429713,360915044,41810,471791,4340234,83928,673268,val_974e_00008,val_974e_00008,42567071,44000,GOV51G75,30.98
2017,GOV97400009,GOVG7CMH,68854938,394600337,264221,49990302,27153,568893,4531772,44801331,43818775,671303834,78595615,val_974e_00009,val_974e_00009,46355,5141316,GOV6V94O,7.03
2014,GOV97400010,GOVPHBXG,24218644,5830176,260830020,39685765,5898526,290899,401576752,320297462,21561,44475,35510722,val_974e_00010,val_974e_00010,8590333,31472,GOVRROSB,93.94
2010,GOV97400011,GOV28HXF,2159204,38758386,3260682,37445,581829,770783820,611642,5206158,57665,40036325,72308636,val_974e_00011,val_974e_00011,558587,453605,GOVIDRLY,98.27
2018,GOV97400012,GOVBRD7Y,4129182,29665476,36419,4720975,26949,4421540,4294537,665542,5496477,54784,46346,val_974e_00012,val_974e_00012,2266,4654391,GOV4YCLW,76.08
2019,GOV97400013,GOV87PIG,4238350,6101619,3975785,73047,56680,400419,53383544,61554595,47503,330626165,5624326,val_974e_00013,val_974e_00013,48252547,68997154,GOVZFHA3,65.38
2024,GOV97400014,GOVGLG89,54403372,539023,74154685,2501714,41885,80992,22314,4009262,57516,51016,626247534,val_974e_00014,val_974e_00014,49629,57336582,GOV5UQB1,93.83
2020,GOV97400015,GOV34XJM,382653,321458,822153,368753,5978610,411332,5629529,58571,38566656,3908173,30679199,val_974e_00015,val_974e_00015,71921,254423689,GOVB3EG7,62.23
2014,GOV97400016,GOV49HKT,271103264,50271614,67584547,18454319,570324696,2808732,620434822,30071266,300332620,68922,565599191,val_974e_00016,val_974e_00016,410623,4821348,GOVASJZW,73.14
2012,GOV97400017,GOVC1IOO,3150105,46599782,53058,48926,693443,22440648,23083,741937,39327,47411682,477316,val_974e_00017,val_974e_00017,263483,5698896,GOV7OVF9,20.87
2014,GOV97400018,GOV9YXNM,41097862,81844,26971752,29281,49085370,6356689,7347564,470243,4843623,44530134,646546399,val_974e_00018,val_974e_00018,11412,83122443,GOVCNQCA,57.78
2026,GOV97400019,GOV0T5ID,15884,321524223,511578459,5375956,39916,60398,33138228,357758,7942860,13798237,4175180,val_974e_00019,val_974e_00019,323147971,538643,GOVUX2B4,77.41
2024,GOV97400020,GOVMEE4W,1182704,236127,3644881,462551,48644,40273923,90416968,57227,27801,66042,6198507,val_974e_00020,val_974e_00020,48088,4993406,GOVPTOHT,79.94
2025,GOV97400021,GOV4SQML,249585,662864590,418550,536856800,114529,5471078,66642,73200617,508672,486276,87572,val_974e_00021,val_974e_00021,460873756,1609813,GOVQM9LP,31.83
2013,GOV97400022,GOVQ5TGA,2008191,399299,62871304,4987967,354787,42306317,525572411,6457493,5315887,4142917,56292313,val_974e_00022,val_974e_00022,60589,868735,GOVRQCIX,68.87
2012,GOV97400023,GOVQS5PW,63141304,32003,56758,6927677,4632642,641506970,62468,65838,7713272,8973119,67816,val_974e_00023,val_974e_00023,334195947,558860260,GOVZA7OM,38.38
2015,GOV97400024,GOV4NNWP,52702,48621,130709463,32042,806835,67744,71196,168798,57045214,48862216,37152,val_974e_00024,val_974e_00024,47750,36841191,GOVJ8V38,52.89
2016,GOV97400025,GOVUJ931,322716,35648,40081,567184173,516151164,574283336,14410,32419,623425833,58983320,370002746,val_974e_00025,val_974e_00025,751778906,876392362,GOVPHUEB,20.1
2017,GOV97400026,GOVP0W7X,8104104,47896,2474848,441215886,3292850,79912,4345666,5670800,852195902,541672,433013547,val_974e_00026,val_974e_00026,2953319,47359,GOVV7OHC,63.48
2016,GOV97400027,GOVBM92S,5893679,54280,3567745,41615957,362798,52305961,25584687,47176,399297076,40104,309725,val_974e_00027,val_974e_00027,785057757,49103924,GOVYRNJ0,52.24
2013,GOV97400028,GOV0OSBB,368901,714253937,446900617,466229,49978325,759004,597885437,53319,246574,479104,694457,val_974e_00028,val_974e_00028,7889646,5587853,GOVP295G,59.71
2021,GOV97400029,GOV2BS9Y,6930937,57649565,491606,978314,46393,742427,44986,49723,25569330,40129,214049335,val_974e_00029,val_974e_00029,160580974,441107304,GOV4UC54,43.42
2022,GOV97400030,GOVQ7946,47634,534537322,4516078,75062833,31132,3007114,526378042,252949,429253922,82508704,71872,val_974e_00030,val_974e_00030,332404683,717811284,GOV460IY,18.3
2013,GOV97400031,GOVDD117,89180,70329878,578484,552590898,21242,52613,605444,518846,6533690,74345215,460299,val_974e_00031,val_974e_00031,344951,7543842,GOVF09CE,67.55
2022,GOV97400032,GOVJ53FH,28857161,721294155,41836553,42534,7777581,13139,5878577,32718204,635136684,415508109,65281094,val_974e_00032,val_974e_00032,1059273,1419397,GOV6PGV7,8.6
2017,GOV97400033,GOVEYTNG,34979,287738067,6454708,37393707,3692329,2488674,35211086,416448670,8520529,8756572,6922319,val_974e_00033,val_974e_00033,482562243,51262,GOVA2Q3X,17.1
2011,GOV97400034,GOVM2RYL,335170573,52279,599834969,25635,2562473,419432,598736,27366,515142,8514683,7001706,val_974e_00034,val_974e_00034,4501472,10766,GOV5I4H9,88.74
2021,GOV97400035,GOVX896P,41635824,6145574,49587,25064845,77313743,16485,956605008,5138352,48785,57545,3780942,val_974e_00035,val_974e_00035,4892049,605265856,GOVNDNE1,49.2
2025,GOV97400036,GOVCRWSD,40335193,4469103,52357805,44475,4765754,41550,92670,19218314,2095099,33349851,455894973,val_974e_00036,val_974e_00036,731875,5121,GOVY3HCW,64.35
2020,GOV97400037,GOVUDMX6,56532766,81093,5998201,5866600,585716,51672274,50695,55476,570145149,445662476,6152902,val_974e_00037,val_974e_00037,47295889,29235122,GOVO3R3Z,6.29
2016,GOV97400038,GOVAPLIF,5795926,402982680,76156234,46190206,668735,79026,21635,82451,197860011,3139085,38436,val_974e_00038,val_974e_00038,635669515,74566040,GOVWVP72,30.38
2013,GOV97400039,GOV5K759,5612775,867799,38807475,111015,62513,498301,455262825,60966,33920760,58986,10469269,val_974e_00039,val_974e_00039,462986,67740,GOVUXHRB,6.73
2010,GOV97400040,GOVFHL9K,77561,45158059,86857,3339827,367186829,435754,690815952,489120,60021,39656946,7228620,val_974e_00040,val_974e_00040,290440,47280729,GOVOMMH6,38.76
