gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_nic_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_inr,gov_contract_ceiling_value_inr,gov_contract_obligated_amount_inr,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_ncoioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2020-01-30,GOVQ54WB,GOVTZMJG,GOVUJMKH,GOV5818d15499b8,GOVXJUI5,GOVWBIOH,30572,5653690,5314208,val_eb89_00000,val_eb89_00000,GOVeb800000,GOVM5PIZ,0,0,0,1,1,72.02
2018-11-03,GOVCG1F4,GOVSRHI1,GOVSUIQ3,GOVb8afcc50cb9d,GOV7L9PS,GOVNP3ZF,497421,22242,357025,val_eb89_00001,val_eb89_00001,GOVeb800001,GOVSX66F,1,1,1,1,1,57.01
2025-02-14,GOVLPZRB,GOVDI58L,GOVY71RN,GOVc7e6f36366b3,GOVPT3BB,GOVYN9UB,3025935,571825250,85297413,val_eb89_00002,val_eb89_00002,GOVeb800002,GOVSP0T9,0,1,0,0,1,34.52
2023-06-25,GOVD1QXZ,GOVPA770,GOVCQK0R,GOV6f5a591ef649,GOVB2Y4W,GOV8KI4O,64418,534506,62542,val_eb89_00003,val_eb89_00003,GOVeb800003,GOV3UNEV,0,0,1,0,1,38.71
2025-06-14,GOV6TZQW,GOVK9Y76,GOV2625H,GOVa11710ffaeb7,GOV8VJ9I,GOVN6KKG,851916841,8461187,570291,val_eb89_00004,val_eb89_00004,GOVeb800004,GOV0KKMN,0,1,1,1,0,73.78
2025-12-19,GOVEMUQ0,GOVYMCGE,GOV9C2ET,GOV59c9b3427c05,GOVO3YZQ,GOVVGN5Y,533554,15265,550620,val_eb89_00005,val_eb89_00005,GOVeb800005,GOVDWIFO,1,1,0,0,0,47.29
2024-02-26,GOVHGQVW,GOV27336,GOVUPG2W,GOV873792175822,GOVISVI8,GOV080U6,3829406,6572046,519508,val_eb89_00006,val_eb89_00006,GOVeb800006,GOVOPMX3,1,0,1,1,0,61.84
2018-11-29,GOVIDNZZ,GOVCQNBC,GOVK6AQI,GOVf3d2a12864e8,GOVPZ2OY,GOVSS0F3,4477956,77304,609589073,val_eb89_00007,val_eb89_00007,GOVeb800007,GOVNWGRW,0,0,1,1,1,73.64
2025-05-28,GOVW1FME,GOVU5RBE,GOV5EDPF,GOV6f8aa42f4131,GOV6MXQB,GOVH9VCT,8761,80388763,268598773,val_eb89_00008,val_eb89_00008,GOVeb800008,GOVACKKC,1,0,1,0,1,9.21
2018-12-30,GOVIJT6V,GOVRZDKB,GOVSB6HO,GOVdaaae56086e1,GOVSA8F7,GOV61QI6,495362,27746775,466917,val_eb89_00009,val_eb89_00009,GOVeb800009,GOV3MRK8,1,0,1,0,1,3.75
