gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_inr,gov_debt_principal_issued_inr,gov_debt_principal_retired_inr,gov_debt_interest_cost_inr,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_inr,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_inr,gov_debt_fiscal_distress_flag
2016,GOV16900000,GOVAQP50,4838384,60040,71311,847522,73.98,val_1699_00000,1.356,2379,1.771,val_1699_00000,val_1699_00000,val_1699_00000,MoHFW,3992754,1,285130,1
2018,GOV16900001,GOVCCWDB,63641539,4457887,261347,408682831,47.1,val_1699_00001,2.424,1840,3.368,val_1699_00001,val_1699_00001,val_1699_00001,MoHFW,525545752,0,64475,0
2025,GOV16900002,GOVC0F10,280857329,84765865,405523161,608699833,27.05,val_1699_00002,0.157,725,3.368,val_1699_00002,val_1699_00002,val_1699_00002,MoHFW,20640988,1,777844,1
2015,GOV16900003,GOVA7XIV,9266,378193,6538635,59870,84.09,val_1699_00003,0.717,870,1.601,val_1699_00003,val_1699_00003,val_1699_00003,MeitY,38907,1,56129,0
2022,GOV16900004,GOVJMVFM,5832286,271800,3344568,3407,92.34,val_1699_00004,0.286,1848,2.444,val_1699_00004,val_1699_00004,val_1699_00004,MoRD,584153,0,488841176,0
2015,GOV16900005,GOV3YXWQ,45829661,528205737,446818606,40512249,48.33,val_1699_00005,1.015,2112,3.827,val_1699_00005,val_1699_00005,val_1699_00005,MoHUA,5192375,1,5620583,1
2016,GOV16900006,GOVMT0L7,599134068,612082891,4004329,61693,82.23,val_1699_00006,0.96,2678,0.882,val_1699_00006,val_1699_00006,val_1699_00006,MNRE,51401730,0,37570,1
2017,GOV16900007,GOVEAGQK,79193301,631024,352368350,7821977,5.02,val_1699_00007,4.477,2066,4.287,val_1699_00007,val_1699_00007,val_1699_00007,MoRTH,42876,1,551155114,0
2016,GOV16900008,GOVS52DW,250248862,351836174,5203132,2406615,93.6,val_1699_00008,0.019,1605,2.687,val_1699_00008,val_1699_00008,val_1699_00008,MOF,83074859,0,5676887,1
2023,GOV16900009,GOV8P8B7,24229,320599225,53163272,62702,78.48,val_1699_00009,1.269,2706,2.003,val_1699_00009,val_1699_00009,val_1699_00009,DoPT,37047663,1,43057,0
2015,GOV16900010,GOVZ4O4P,4563863,44082,3104857,36240,25.35,val_1699_00010,1.719,540,4.54,val_1699_00010,val_1699_00010,val_1699_00010,MNRE,396217,1,12540,1
2024,GOV16900011,GOV3BP86,23107,665997469,34504661,311746,43.92,val_1699_00011,2.851,3423,4.004,val_1699_00011,val_1699_00011,val_1699_00011,MoRD,1001191819,1,538621,0
2019,GOV16900012,GOVVQYAZ,394844,754681,424723594,270277302,25.16,val_1699_00012,3.198,349,3.032,val_1699_00012,val_1699_00012,val_1699_00012,DoPT,4742751,0,581370173,0
2019,GOV16900013,GOVR0U8S,516156089,347979,723455840,410979,36.71,val_1699_00013,0.451,926,4.632,val_1699_00013,val_1699_00013,val_1699_00013,MoHUA,551283,1,41231978,1
2021,GOV16900014,GOVIAWZG,60230,40280,48122,21060077,95.2,val_1699_00014,1.922,2653,3.703,val_1699_00014,val_1699_00014,val_1699_00014,MOF,565245145,0,58048690,0
2022,GOV16900015,GOVFZAOF,59492,48240,545134,707766928,80.65,val_1699_00015,0.309,3230,3.637,val_1699_00015,val_1699_00015,val_1699_00015,MoHFW,343329,1,143422,1
2020,GOV16900016,GOVV16TE,479059,221887468,1729376,300172,45.29,val_1699_00016,0.779,145,3.305,val_1699_00016,val_1699_00016,val_1699_00016,MNRE,739319518,1,86192544,1
2021,GOV16900017,GOVM0MW8,7202301,22717,57125812,4075365,58.93,val_1699_00017,2.961,778,3.594,val_1699_00017,val_1699_00017,val_1699_00017,MoRD,21704525,0,717070175,0
2021,GOV16900018,GOV4CQK3,9684,76842864,843017,31675989,38.27,val_1699_00018,4.316,3278,3.18,val_1699_00018,val_1699_00018,val_1699_00018,MoE,74634,0,5123087,1
2023,GOV16900019,GOVZ553L,52357153,496101986,738317,4042368,11.08,val_1699_00019,2.132,2514,4.131,val_1699_00019,val_1699_00019,val_1699_00019,MoE,412594,0,198541,1
2020,GOV16900020,GOVVCJ0I,3490409,469027,658958995,3153218,38.33,val_1699_00020,0.436,877,2.973,val_1699_00020,val_1699_00020,val_1699_00020,MOF,59407893,0,70116,0
2020,GOV16900021,GOVO8RA7,504853,40367054,1747585,3805812,50.21,val_1699_00021,2.018,945,1.399,val_1699_00021,val_1699_00021,val_1699_00021,MoHUA,43059411,1,4793977,1
2019,GOV16900022,GOV4R8K7,46333,591786,8885672,876581,70.99,val_1699_00022,3.658,2303,3.96,val_1699_00022,val_1699_00022,val_1699_00022,MoHUA,9358120,1,33597,1
2022,GOV16900023,GOV0557G,3420374,449913,2613361,7741695,82.95,val_1699_00023,3.112,3130,0.734,val_1699_00023,val_1699_00023,val_1699_00023,MHA,270177344,1,90566293,0
2011,GOV16900024,GOV0PI6F,40215,712289677,33653028,73671472,41.27,val_1699_00024,0.398,1748,3.213,val_1699_00024,val_1699_00024,val_1699_00024,MeitY,43465211,0,79347,0
2014,GOV16900025,GOVBXWHV,38068768,635736953,39036,64096687,54.64,val_1699_00025,2.542,1347,1.796,val_1699_00025,val_1699_00025,val_1699_00025,MoRTH,511071,1,65474453,0
2025,GOV16900026,GOVN4WHK,121649040,49946,54916759,866622,7.82,val_1699_00026,4.144,848,0.629,val_1699_00026,val_1699_00026,val_1699_00026,MoHUA,4596500,1,7454,0
2012,GOV16900027,GOVX3AJ8,59859,2701418,33098,41107444,56.05,val_1699_00027,3.211,3597,1.863,val_1699_00027,val_1699_00027,val_1699_00027,MoE,506496,0,817725107,1
2012,GOV16900028,GOVNPNIU,464163,505988674,23070,592130211,4.72,val_1699_00028,0.002,2167,1.845,val_1699_00028,val_1699_00028,val_1699_00028,MoHFW,41521,1,433739490,1
2020,GOV16900029,GOVYXDXB,41318573,216682,3524857,352926147,92.4,val_1699_00029,2.063,511,3.201,val_1699_00029,val_1699_00029,val_1699_00029,MoHUA,32253,0,61854980,0
2013,GOV16900030,GOVBKD9Y,61971,351134,50009096,326664084,39.59,val_1699_00030,1.979,2288,1.662,val_1699_00030,val_1699_00030,val_1699_00030,MHA,30466899,0,309694,1
2026,GOV16900031,GOVLVCQI,76083961,430548,428037,76327049,65.98,val_1699_00031,4.31,2393,4.684,val_1699_00031,val_1699_00031,val_1699_00031,MoHFW,70908994,0,612936910,0
2014,GOV16900032,GOVKI1Y0,50916519,47553,593709,4571151,46.11,val_1699_00032,3.096,2102,4.019,val_1699_00032,val_1699_00032,val_1699_00032,MHA,6129353,0,2817754,1
2018,GOV16900033,GOVO5CD8,8532840,625389488,599185,1259538,91.24,val_1699_00033,3.32,1618,2.101,val_1699_00033,val_1699_00033,val_1699_00033,MoHFW,725092,1,66413,0
2015,GOV16900034,GOVYSV9V,4494631,38447,51980,683015373,54.28,val_1699_00034,2.102,622,0.407,val_1699_00034,val_1699_00034,val_1699_00034,MNRE,2575534,1,66198,1
2020,GOV16900035,GOV8FTGO,5412,41786,75793067,576915,40.75,val_1699_00035,2.214,3384,1.358,val_1699_00035,val_1699_00035,val_1699_00035,MoRD,5208312,0,37368,1
2026,GOV16900036,GOVGI6VL,817598644,168216810,754905,50107330,35.71,val_1699_00036,4.581,1052,4.03,val_1699_00036,val_1699_00036,val_1699_00036,MHA,605888053,0,78873124,0
2017,GOV16900037,GOV0W6XT,52761920,42400,533654,37212637,96.38,val_1699_00037,0.864,557,4.822,val_1699_00037,val_1699_00037,val_1699_00037,DoPT,30090734,0,63645,0
2017,GOV16900038,GOVNVCJS,283994,26387,729022028,415823,17.38,val_1699_00038,1.008,858,2.832,val_1699_00038,val_1699_00038,val_1699_00038,MoE,27695314,1,34888,0
