gov_unionspend_obligation_date,gov_unionspend_program_cfda_number,gov_unionspend_awarding_agency_code,gov_unionspend_funding_subagency_code,gov_unionspend_recipient_uei_hash,gov_unionspend_recipient_type_code,gov_unionspend_award_amount_inr,gov_unionspend_award_type_code,gov_unionspend_assistance_listing_title,gov_unionspend_place_of_performance_lgd_code,gov_unionspend_primary_purpose_code,gov_unionspend_covid_relief_flag,gov_unionspend_infrastructure_act_flag,gov_unionspend_competition_indicator,gov_unionspend_matching_requirement_flag,gov_unionspend_period_of_performance_days,gov_unionspend_outlay_estimate_inr,gov_unionspend_deobligation_amount_inr,gov_unionspend_reporting_period_quarter,gov_unionspend_data_source_system
2024-08-11,152346,11332,DoPT,GOV8121dc4bbea4,GOVM0I2C,74226,396572,Rural Roads 23,GOVAVOM9,GOV3JZFW,0,0,GOV075SQ,1,522,645097,366610,2018Q4,eProcure
2024-12-26,428627,208066,MHA,GOVd6d40934d00d,GOV2HT2Z,416755,455789,Digital Health 52,GOVVJEOK,GOV7UM41,1,1,GOVQLDY7,1,3449,60481525,484943,2024Q1,DBT
2020-04-22,84510,430075,MHA,GOVf260c663cce1,GOVUTSWW,649178,36866,Renewable Energy 24,GOVEDLPA,GOVTWSX5,1,0,GOV5D98K,0,1867,65608,629055548,2022Q1,PFMS
2020-03-30,58963,425345,MeitY,GOV8ed2ccf3d885,GOV9M3BJ,88002413,129118,Clean Water 94,GOV4JCTV,GOVB5MYU,0,1,GOVS8UME,0,2436,689694683,271457970,2024Q1,CAG
2025-04-21,466674,415329,MoRD,GOV1b75f3bd751a,GOV54DOY,988339,184609,Farm Support 80,GOVZSS6G,GOVALTK0,0,1,GOV4XY34,0,2076,28021,6402391,2019Q3,CPGRAMS
2024-06-13,438345,279867,MHA,GOV9b9648b6434b,GOVHMLKG,284160,336083,Women Empowerment 48,GOV2N3AD,GOVCS6BP,1,0,GOVKMHGO,0,749,64765,66768,2026Q1,GeM
2024-07-08,448088,56761,DoPT,GOV123ad1e7c1ba,GOVPCXAK,412492,43180,Renewable Energy 86,GOV13Z1G,GOVU188O,1,0,GOVG1OR3,1,2123,8089846,1698579,2020Q1,DBT
2024-04-15,122335,274043,MNRE,GOVd9795022992d,GOVPNZN4,51293,154607,Clean Water 6,GOVF7XIW,GOV5TA65,1,0,GOVAYK41,0,2237,72563,51928,2022Q3,PFMS
2018-11-08,115986,52843,MoHFW,GOV627e124539c1,GOVNAHD8,528979,161666,Renewable Energy 4,GOV9EYMI,GOVQ8NHI,0,0,GOV4CD4D,0,3102,745393681,7142325,2022Q2,eProcure
2022-03-11,47283,35370,MoE,GOV3762596f9412,GOV9FNU2,25246077,269370,Disaster Relief 21,GOVF041H,GOVE6DLK,0,1,GOVNAGQP,1,3490,615739104,26181,2023Q4,IFMIS
2018-03-22,112451,110329,MHA,GOV732de567d565,GOVP5IUC,66694,313473,Skill Training 82,GOVBGBHX,GOV0LPTV,0,1,GOVQUDMG,1,2167,3948086,81154546,2022Q3,eProcure
2025-02-06,104696,114814,MHA,GOV718a2f5367a8,GOVFICWL,500007,285382,Rural Roads 60,GOV9UDP4,GOV9X4N6,1,0,GOVHL8SK,1,1417,537922,334702779,2025Q2,CAG
2021-09-25,268523,271592,MHA,GOVf5524332f423,GOV47H1O,627503340,326323,Urban Transit 31,GOVTXVUK,GOVDTJA1,1,1,GOV0NTR2,1,2884,1029800746,294685115,2019Q1,CPGRAMS
2018-08-20,484789,256138,MoE,GOVdfd9604e3985,GOV57LHV,161509617,317294,Clean Water 87,GOVXEPXT,GOVCG4WY,1,0,GOVAQRWN,1,2984,4996416,713443,2020Q1,PFMS
2023-03-31,436084,108869,MoRTH,GOV85e5d2ebf1c9,GOVR3U4S,6294258,342314,Women Empowerment 76,GOVVKFII,GOVEBQ4H,0,0,GOVFNWJK,0,1432,75637,88462416,2023Q1,GeM
2023-04-25,305887,149722,MOF,GOVbabf1393c8e3,GOVOXEGN,5093511,193725,Digital Health 31,GOVAFS54,GOVHMUOQ,0,0,GOV5FWPQ,1,914,133689,4786437,2026Q4,CAG
2024-05-28,28199,282637,MHA,GOV75bc29b0ed2e,GOVKV6H9,765299196,454498,Digital Health 10,GOVKW0Y0,GOVHNB6H,1,0,GOVLJ28L,0,1060,438646458,66611,2026Q3,PFMS
2021-08-30,456403,172412,MoE,GOVfbbde2c9aa40,GOVR6GX0,34059,459261,Urban Transit 73,GOVEY4NF,GOVBWUOP,0,1,GOVWSQHV,0,1430,65579,75706,2018Q1,GeM
2025-04-08,323409,175380,MoRTH,GOV96f7d6229193,GOVFQ9TV,838265,413755,Clean Water 27,GOVAPU79,GOVPTI8L,0,0,GOV7OP2C,0,3152,47935520,136584194,2018Q1,CPGRAMS
2025-04-01,6716,142980,MoRTH,GOV4b4c4f235869,GOV3VWX3,551057260,322196,Skill Training 95,GOVQSU5E,GOVSS59O,0,1,GOVGN7LE,0,796,667979963,46435203,2022Q1,eProcure
2024-05-29,462597,351305,MoRTH,GOV0cded2efb794,GOVHBBHS,34804,411198,Digital Health 98,GOVR2RBG,GOVP8Z6U,1,1,GOVGQ8J6,0,2472,567363,442216,2019Q4,eProcure
2020-05-25,146636,345117,MoE,GOVbe753af030c2,GOVT7S5Q,25041,433512,Skill Training 60,GOVPY9M4,GOV8WSPV,1,1,GOVE339J,0,923,50959,199490073,2024Q4,PFMS
2019-07-29,494127,304327,MeitY,GOVee06eb51c222,GOVP0OZR,352831,430585,Women Empowerment 65,GOVVHSBA,GOVU84OX,0,0,GOV6A22S,1,81,78633001,440694,2020Q2,CPGRAMS
2024-07-28,71949,284245,MOF,GOV6901e685f9e8,GOV4PO1D,39150847,21814,Skill Training 6,GOVFRCSL,GOVI86BK,1,1,GOV5NOAB,0,2782,540049,670413193,2022Q2,GeM
2025-12-23,175524,36879,MHA,GOVf9e018adde67,GOVWWLJS,68701,137233,Renewable Energy 64,GOVRBXIA,GOVEOQE4,1,1,GOVL0WLL,0,700,254932,71198,2021Q3,IFMIS
