gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_inr,gov_grants_award_max_inr,gov_grants_award_median_inr,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_inr,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2010,GOV2ET6R,0,GOV44UCN,GOV4HJ7M,93.83,416062,190916,422557,136134,233349,327239,GOVT7SKA,43.32,27.26,54.62,0,0.53,399082,GeM
2010,GOVWZRHB,0,GOV13AGP,GOVFWGHK,63.45,112703,176478,53362,178313,3109,127562,GOV3ZNNP,56.82,91.14,81.97,1,83.01,395929,PFMS
2013,GOVAON20,0,GOV8PHFZ,GOVKCVDF,65.63,466540,319147,17734,325430,218677,394332,GOVALJLS,54.07,16.75,76.47,1,67.51,475294,PFMS
2025,GOVGQ8X2,1,GOV1WWDZ,GOVBSZMF,89.32,471070,315563,445001,172434,19570,411111,GOVS7300,62.61,6.97,61.32,0,59.63,498880,GeM
2022,GOVL762K,0,GOVULHXH,GOV826DJ,57.48,249221,155720,390400,336206,44143,127253,GOV3XQG6,94.95,93.91,61.23,1,11.67,307736,GeM
2026,GOVOAWIT,1,GOVVMZU1,GOVMMUI1,73.41,391812,107126,171829,319797,210947,309423,GOVA7Q7E,72.44,15.34,73.84,1,78.62,132770,CPGRAMS
2011,GOVPDVPX,0,GOVMI55U,GOV51KGL,93.67,375151,85406,439079,180066,246001,331750,GOVSD26C,99.04,91.47,0.64,0,13.23,73368,PFMS
2014,GOVAYVZR,1,GOVHJGBL,GOVL0BQ7,97.43,465883,390013,92450,461973,186735,191281,GOVWU4EV,67.65,87.98,24.99,1,77.95,210898,CPGRAMS
2020,GOVFPRVP,1,GOV4YMFV,GOVPX5W7,34.84,4899,437336,459866,230274,6275,252806,GOV5HMJP,47.03,46.91,34.23,1,21.74,178942,GeM
2021,GOVTOZBS,1,GOVJBSVY,GOVT86PJ,16.21,222421,234825,29376,23638,248944,235862,GOVL5OC8,75.75,65.7,78.36,1,80.44,430960,CAG
2025,GOVHNPO9,0,GOVNMFG7,GOVGXRV3,59.93,95148,26997,254755,182704,108063,76377,GOVCVZWZ,7.44,10.26,13.66,1,48.05,175509,CAG
2023,GOV2YA78,1,GOV3V2W8,GOV0SL5R,4.3,164505,497409,115391,326970,157116,4100,GOVKP02B,91.09,31.06,50.85,0,25.6,341937,CPGRAMS
2014,GOVC6LFE,0,GOV9HOG5,GOVVSR2W,68.82,256046,418860,424995,94640,755,24240,GOVWLR41,89.89,41.02,90.76,0,1.72,368191,GeM
2020,GOVYCLY2,0,GOVW68WV,GOVGL4W1,60.59,46319,73164,460603,324766,18586,192914,GOVZ7D7G,72.87,88.72,51.32,0,86.39,263520,DBT
2014,GOVMZ0WT,0,GOVZ1KIE,GOVKDUP9,0.68,182467,373277,483698,282961,243951,272443,GOVZPUMC,41.04,48.03,21.16,0,28.36,256962,eProcure
2026,GOV1PVCL,0,GOVLMYRK,GOVFMVSV,33.55,190326,272977,185499,255498,92158,332560,GOV57KRZ,60.96,13.31,70.92,0,75.39,112566,PFMS
