health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_ncoioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2025,LGD-SA-1721303,OBES,38.39,3175.98,1117.98,1375.71,0.02,17.44,18.3,27.8,64.73,87.75,47.58,35.9,57.9,72.61,6.09,Census2011,11.524
2020,LGD-SA-7958791,OBES,14.39,660.96,1622.35,1069.06,9.42,19.15,9.97,21.63,57.43,25.43,74.43,84.56,9.66,61.81,42.31,WHO2000,7.62
2016,LGD-SA-4885915,CVD,44.65,665.92,1954.5,321.62,5.62,15.09,14.92,7.39,83.3,80.17,76.31,71.43,70.98,9.02,53.79,GBDStd,9.989
2018,LGD-SA-7169485,CANC,34.19,273.21,1544.09,427.02,0.04,33.87,54.48,13.24,75.78,54.56,78.45,38.09,112.91,1.57,37.35,India2011,8.88
2024,LGD-SA-4169940,TB_SEQ,18.22,626.82,1119.72,839.31,11.11,33.62,40.81,22.11,31.68,33.91,30.49,84.37,161.21,61.71,58.86,Census2011,8.407
2018,LGD-SA-9234428,CANC,11.94,104.38,1079.77,93.38,13.05,21.14,3.12,34.73,29.74,26.65,82.29,72.96,126.34,97.71,40.61,WHO2000,6.076
2025,LGD-SA-2898182,DM2,30.35,2535.69,1220.23,372.38,2.33,7.15,1.25,1.53,89.59,94.84,23.09,92.52,116.35,74.48,27.9,Census2011,7.508
2015,LGD-SA-3495397,CKD,28.41,1349.5,1666.81,933.4,5.9,39.38,8.82,13.53,34.69,74.28,58.44,71.5,132.94,83.86,96.88,India2011,0.701
2017,LGD-SA-1947424,ASTH,2.42,81.9,1332.31,208.19,4.91,32.89,13.13,4.65,12.37,32.17,32.03,89.66,98.84,9.96,85.13,GBDStd,3.046
2022,LGD-SA-1398970,CVD,1.83,3285.18,1351.82,1276.26,11.3,28.07,44.35,26.55,66.9,80.19,59.89,83.6,108.65,20.68,48.89,GBDStd,7.944
2023,LGD-SA-5761451,ASTH,23.61,743.66,1378.3,1069.09,0.79,18.78,42.13,19.61,11.12,73.1,77.4,91.56,123.82,61.09,19.85,WHO2000,11.479
2019,LGD-SA-1923257,OBES,17.74,1987.49,1332.19,997.11,14.72,41.52,29.92,21.05,61.55,74.92,62.24,49.53,131.97,11.66,91.97,WHO2000,2.436
2020,LGD-SA-6069084,TB_SEQ,37.06,1534.8,884.75,229.09,8.61,18.28,14.61,17.07,46.28,95.13,45.0,85.73,3.55,9.47,78.79,Census2011,9.783
2015,LGD-SA-3887957,CKD,30.4,1461.8,2074.78,824.55,3.43,41.17,8.28,28.98,84.25,85.87,57.63,74.54,97.61,27.97,81.32,India2011,7.329
