health_dispar_analysis_year,health_dispar_disparity_metric_code,health_dispar_group_a_definition,health_dispar_group_b_definition,health_dispar_rate_group_a,health_dispar_rate_group_b,health_dispar_absolute_gap,health_dispar_relative_gap_ratio,health_dispar_concentration_index,health_dispar_segregation_index,health_dispar_access_to_care_index,health_dispar_insurance_coverage_gap_pct,health_dispar_preventable_hospitalization_gap,health_dispar_environmental_exposure_gap,health_dispar_food_insecurity_gap_pct,health_dispar_transport_barrier_gap_pct,health_dispar_language_access_gap_pct,health_dispar_digital_access_gap_pct,health_dispar_policy_context_code,health_dispar_intervention_priority_score
2018,HOSP_RATE,MinorityLanguage_vs_Others,Disability_vs_NoDisability,58.869,46.28,12.589,1.272,-0.328,19.05,26.34,12.98,175.83,-7.44,4.6,0.45,14.52,-21.19,Policy_A,80.15
2024,SCREEN_RATE,MinorityLanguage_vs_Others,Lowest_Quintile_vs_Highest_Quintile,66.284,54.893,11.391,1.208,-0.787,41.06,62.76,19.1,-287.38,-24.57,17.37,14.76,15.66,20.72,Mixed,23.51
2019,VAX_COV,Rural_vs_Urban,MinorityLanguage_vs_Others,69.963,83.971,-14.008,0.833,-0.995,88.5,59.36,24.92,270.47,8.62,-17.45,-12.18,30.96,23.34,Policy_B,17.08
2015,SCREEN_RATE,Rural_vs_Urban,Women_vs_Men,9.884,0.445,9.439,22.211,-0.918,78.16,63.26,-5.49,127.84,44.9,27.84,19.95,-24.64,-12.93,Policy_A,91.77
2022,ACCESS_INDEX,Disability_vs_NoDisability,Rural_vs_Urban,90.898,8.107,82.791,11.212,0.34,81.9,74.05,-4.04,469.57,-0.98,21.85,-0.83,8.66,17.26,Mixed,32.59
2024,VAX_COV,Lowest_Quintile_vs_Highest_Quintile,Disability_vs_NoDisability,5.059,52.145,-47.086,0.097,0.418,78.38,81.96,6.5,-141.01,-28.88,-25.21,23.52,7.89,-26.24,Mixed,0.34
2020,SCREEN_RATE,Rural_vs_Urban,Disability_vs_NoDisability,28.926,2.654,26.272,10.899,0.629,75.51,82.16,-7.9,-92.7,14.62,-36.05,15.11,-2.64,-26.94,Mixed,56.29
2022,MMR,SCST_vs_Others,Women_vs_Men,65.257,27.654,37.603,2.36,-0.982,28.66,26.28,1.54,-463.48,-48.46,26.01,23.34,2.38,-29.34,Pilot,59.3
2025,IMR,Disability_vs_NoDisability,Rural_vs_Urban,90.362,6.793,83.569,13.302,-0.31,93.92,9.35,0.58,52.89,26.29,-37.38,-0.82,7.06,-6.06,NoPolicy,33.35
2019,MORT_RATE,Women_vs_Men,Lowest_Quintile_vs_Highest_Quintile,5.419,22.463,-17.044,0.241,-0.817,1.56,53.71,14.09,-123.5,14.92,13.81,9.53,-16.87,35.73,Mixed,49.46
2019,SCREEN_RATE,MinorityLanguage_vs_Others,Women_vs_Men,85.371,23.057,62.314,3.703,0.866,48.09,5.92,11.06,-359.78,46.05,5.3,-10.33,2.82,-38.25,Policy_B,67.47
2015,NCD_PREV,MinorityLanguage_vs_Others,Women_vs_Men,84.209,41.902,42.307,2.01,0.191,14.45,34.03,-29.92,147.92,-31.23,-32.94,-0.29,-34.36,-0.9,Policy_C,79.1
2021,NCD_PREV,SCST_vs_Others,SCST_vs_Others,20.474,61.989,-41.515,0.33,-0.937,93.8,97.19,24.29,53.73,-35.81,-16.37,-30.9,32.53,-16.98,Mixed,75.61
2024,NCD_PREV,Lowest_Quintile_vs_Highest_Quintile,Disability_vs_NoDisability,97.889,91.442,6.447,1.071,0.703,35.57,10.77,-15.77,-119.63,-9.17,8.47,19.24,-5.55,34.02,Policy_A,84.02
2022,HOSP_RATE,MinorityLanguage_vs_Others,SCST_vs_Others,21.054,64.519,-43.465,0.326,0.094,78.31,64.94,-28.39,-347.99,41.58,1.3,-23.59,7.56,21.6,Mixed,58.86
2023,MORT_RATE,SCST_vs_Others,SCST_vs_Others,46.364,41.406,4.958,1.12,0.177,56.84,61.97,-20.33,-172.76,-25.57,34.12,14.06,0.22,-1.28,Policy_B,4.58
2025,VAX_COV,Lowest_Quintile_vs_Highest_Quintile,MinorityLanguage_vs_Others,36.067,10.961,25.106,3.29,0.47,86.66,76.58,-13.58,-94.36,30.04,32.43,-12.43,0.29,-13.08,Policy_C,66.65
2023,IMR,SCST_vs_Others,Lowest_Quintile_vs_Highest_Quintile,79.581,6.32,73.261,12.592,0.091,33.72,94.66,21.78,-15.98,-9.17,-5.71,33.63,-17.23,-31.0,Policy_C,26.35
2018,ACCESS_INDEX,SCST_vs_Others,SCST_vs_Others,22.495,99.981,-77.486,0.225,0.506,68.64,45.49,24.46,132.82,-34.39,-29.15,-15.0,32.68,-25.39,Mixed,92.09
2024,HOSP_RATE,MinorityLanguage_vs_Others,SCST_vs_Others,87.6,77.212,10.388,1.135,0.767,64.13,72.35,8.23,-207.81,-19.84,-7.08,-28.69,-1.5,-38.33,Pilot,67.5
2024,VAX_COV,Lowest_Quintile_vs_Highest_Quintile,Women_vs_Men,98.896,52.171,46.725,1.896,-0.305,97.53,87.73,11.07,455.67,-29.51,-2.71,20.09,9.18,-25.78,Policy_B,41.64
2019,HOSP_RATE,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,34.338,12.225,22.113,2.809,-0.226,88.72,25.22,14.55,201.77,48.65,34.63,-6.41,-2.71,-7.21,Mixed,6.56
2024,MORT_RATE,Disability_vs_NoDisability,Disability_vs_NoDisability,48.072,18.857,29.215,2.549,-0.224,4.58,65.71,-5.92,-92.9,-7.39,9.52,31.04,-26.8,-29.1,NoPolicy,49.9
2025,VAX_COV,Disability_vs_NoDisability,Rural_vs_Urban,18.326,20.577,-2.251,0.891,0.882,13.34,97.14,17.31,261.45,-20.57,-3.89,-22.78,-30.91,-1.85,Policy_A,30.84
2017,IMR,Lowest_Quintile_vs_Highest_Quintile,Women_vs_Men,15.676,15.331,0.345,1.023,-0.494,74.94,17.15,-26.76,110.23,11.96,37.52,10.94,24.44,39.3,Pilot,55.85
2016,NCD_PREV,Lowest_Quintile_vs_Highest_Quintile,Disability_vs_NoDisability,98.029,98.052,-0.023,1.0,0.045,41.0,34.05,-23.92,422.61,-13.83,-3.49,19.43,-3.87,35.64,Mixed,85.06
2018,IMR,Women_vs_Men,Women_vs_Men,62.555,99.042,-36.487,0.632,0.588,22.21,18.12,23.03,-66.73,-47.9,23.45,30.53,16.68,7.18,Pilot,99.29
2021,MORT_RATE,Women_vs_Men,SCST_vs_Others,94.815,49.981,44.834,1.897,-0.663,52.3,94.21,2.17,-188.55,-14.81,-22.91,-14.43,-32.04,-10.62,Policy_B,40.21
2017,IMR,MinorityLanguage_vs_Others,MinorityLanguage_vs_Others,87.431,64.493,22.938,1.356,0.9,25.8,35.84,-25.22,-474.93,-13.2,-4.05,35.0,13.78,20.62,Mixed,17.24
2022,MORT_RATE,Disability_vs_NoDisability,Women_vs_Men,51.143,90.787,-39.644,0.563,0.153,57.74,89.54,16.74,-77.7,-43.54,-28.95,-30.6,14.75,16.47,Pilot,97.41
2023,HOSP_RATE,SCST_vs_Others,Women_vs_Men,20.316,24.147,-3.831,0.841,0.185,79.6,27.72,-20.31,254.5,-8.27,-1.49,8.78,1.87,-38.12,Pilot,0.24
2018,HOSP_RATE,Rural_vs_Urban,Women_vs_Men,71.346,40.145,31.201,1.777,-0.559,54.32,88.51,8.7,-410.18,-19.27,-3.8,-8.01,-2.88,-32.11,Policy_C,45.5
2018,NCD_PREV,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,20.473,55.89,-35.417,0.366,0.744,69.6,68.98,-29.85,-109.76,-46.07,-33.71,13.28,-11.25,-15.21,Mixed,46.96
2020,MORT_RATE,Lowest_Quintile_vs_Highest_Quintile,MinorityLanguage_vs_Others,6.015,7.461,-1.446,0.806,-0.953,7.27,1.16,14.12,315.43,-49.22,-3.7,-1.63,19.83,-27.59,Policy_C,47.7
2024,MMR,Lowest_Quintile_vs_Highest_Quintile,Rural_vs_Urban,92.06,48.135,43.925,1.913,-0.306,53.84,78.88,7.3,391.31,47.78,16.69,10.05,21.8,14.71,Policy_A,20.98
2020,ACCESS_INDEX,MinorityLanguage_vs_Others,Women_vs_Men,71.458,35.233,36.225,2.028,0.836,16.41,8.02,24.44,243.93,28.94,-22.96,5.17,-10.46,-3.51,Mixed,65.36
2015,HOSP_RATE,Lowest_Quintile_vs_Highest_Quintile,MinorityLanguage_vs_Others,34.5,84.534,-50.034,0.408,-0.965,38.62,1.99,25.25,167.77,-1.34,1.13,21.96,-6.89,-20.46,Policy_C,65.28
2020,IMR,Lowest_Quintile_vs_Highest_Quintile,SCST_vs_Others,30.673,60.257,-29.584,0.509,0.582,44.07,99.84,-28.28,-475.69,18.43,-3.19,-13.74,3.61,-3.66,Policy_B,93.65
2021,HOSP_RATE,Disability_vs_NoDisability,Women_vs_Men,20.566,2.777,17.789,7.406,-0.993,63.97,95.04,-8.91,266.04,-34.43,10.32,-30.45,-20.48,12.99,NoPolicy,63.06
2019,MMR,Rural_vs_Urban,Disability_vs_NoDisability,55.648,46.925,8.723,1.186,-0.512,23.21,66.51,-14.95,-42.93,-49.25,-34.9,-18.89,-25.82,-30.45,Pilot,48.24
2024,MORT_RATE,Disability_vs_NoDisability,SCST_vs_Others,12.54,33.271,-20.731,0.377,-0.393,22.89,24.06,-15.53,52.17,-33.32,-10.05,-12.02,15.48,17.94,Pilot,77.89
