health_infect_report_date,health_infect_pathogen_code,health_infect_case_definition_version,health_infect_case_count_confirmed,health_infect_case_count_probable,health_infect_test_positivity_rate_pct,health_infect_hospital_admission_count,health_infect_icu_admission_count,health_infect_death_count,health_infect_vaccination_coverage_pct,health_infect_variant_lineage,health_infect_outbreak_cluster_id,health_infect_exposure_setting_type,health_infect_contact_tracing_success_rate,health_infect_reporting_delay_days,health_infect_wastewater_signal_level,health_infect_syndromic_indicator_level,health_infect_antimicrobial_resistance_flag,health_infect_public_health_action_level,health_infect_data_refresh_timestamp
2025-02-07,INFL_A,v5.4,1335,106,23.47,325,40,245,97.82,XBB.9.5,CL361303,Unknown,14.18,20,3.7,24.2,N,Routine,2023-01-12T04:45:25
2023-08-11,DENGUE,v1.3,1970,453,5.06,369,153,23,65.34,XBB.8.17,CL735677,Travel,3.08,24,507.32,29.16,N,HighAlert,2023-02-05T13:13:01
2020-03-01,MALARIA,v4.3,4792,364,38.62,329,254,80,15.39,KP.7.16,CL831501,Travel,87.54,7,270.7,77.23,N,Enhanced,2020-09-04T23:10:44
2025-10-02,NORO,v5.5,3519,862,3.91,380,227,187,44.68,JN.8.11,CL921170,Household,40.93,27,943.62,74.59,Y,HighAlert,2021-11-12T18:58:24
2021-06-29,NORO,v2.4,3216,1321,49.15,809,136,198,47.96,AY.1.12,CL644263,Travel,36.04,33,171.75,72.05,Y,HighAlert,2022-12-10T00:41:26
2023-06-19,DENGUE,v4.3,1710,56,48.69,589,27,184,3.19,XBB.6.17,CL867949,Household,97.27,9,87.6,72.38,Y,Routine,2023-11-14T05:30:14
2021-01-03,INFL_A,v1.0,4588,889,5.54,1150,2,87,50.83,EG.6.7,CL525459,Unknown,2.39,23,19.65,48.45,N,Emergency,2023-08-09T06:13:43
2022-10-08,TB,v2.8,3240,1283,14.93,1007,155,53,45.54,XBB.8.15,CL558445,CommunityEvent,32.38,17,906.2,17.51,N,Enhanced,2023-11-12T07:19:03
2022-02-23,RSV,v5.9,26,1168,52.34,152,294,140,13.67,BA.8.14,CL685348,School,11.06,36,126.42,27.65,N,Enhanced,2023-08-21T22:53:39
2020-09-30,TB,v1.2,703,618,22.1,731,251,3,9.89,XBB.9.15,CL757291,Unknown,47.75,44,904.93,59.71,N,Enhanced,2023-07-01T03:34:47
2023-03-06,MALARIA,v5.9,3699,1385,39.05,657,231,153,30.03,KP.2.9,CL950589,Travel,74.64,6,157.29,97.83,N,HighAlert,2021-12-24T06:44:05
2021-04-04,NORO,v1.1,2327,394,52.45,1133,0,53,8.47,EG.7.7,CL291040,Healthcare,91.3,31,737.56,6.4,N,HighAlert,2023-12-18T20:40:27
2023-08-05,NORO,v4.4,4167,594,43.01,47,267,233,58.54,B.1.6.3,CL125374,CommunityEvent,78.29,12,529.3,57.09,Y,Emergency,2020-10-26T00:18:19
2021-04-28,DENGUE,v3.0,2029,361,17.98,1002,88,194,56.86,XBB.5.1,CL477657,Unknown,66.59,3,334.94,81.68,N,Enhanced,2022-01-26T17:22:13
2020-03-31,MEASLES,v3.8,1449,55,53.69,1033,214,203,79.49,KP.5.9,CL370908,Unknown,12.14,8,187.53,70.03,Y,Routine,2022-04-05T03:41:18
2023-08-04,SARS2,v5.6,1717,624,5.45,116,202,131,46.29,EG.1.5,CL399744,Unknown,44.81,20,936.76,42.1,Y,HighAlert,2023-04-05T19:08:06
