health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_pmjay_eligibility_category,health_mch_home_visiting_program_uptake
2021,9.14,314.55,0.157,13.25,8.34,44.12,61.11,14.35,29.47,18.89,55.9,16.62,94.62,4.36,35.97,9.27,28.16,PMJAY_OtherEligible,46.19
2020,2.99,120.59,0.335,7.14,11.45,92.44,19.75,77.77,96.4,30.68,9.4,11.81,248.37,24.48,63.2,6.17,15.31,PMJAY_OtherEligible,72.64
2024,3.27,321.96,4.256,11.97,17.53,64.97,55.44,92.41,49.06,85.0,78.87,31.96,71.77,22.75,3.75,1.61,28.1,NotEligible,47.84
2015,5.31,42.04,3.898,13.63,15.1,92.28,35.9,63.17,23.68,86.5,52.98,13.32,162.28,18.35,71.58,7.8,0.84,PMJAY_OtherEligible,54.21
2021,3.37,170.66,5.971,8.18,4.41,88.73,7.29,36.56,49.81,60.86,70.63,29.34,215.46,22.77,67.71,3.76,3.04,SECC_Eligible,35.11
2024,4.78,81.94,3.25,6.92,9.2,36.99,45.05,83.08,14.08,78.55,72.48,14.85,176.97,2.35,74.13,4.39,11.36,Unknown,32.12
2016,3.83,74.1,4.376,12.36,6.15,89.03,50.13,66.79,97.57,36.79,93.8,34.18,166.59,0.5,25.55,10.53,12.77,PMJAY_OtherEligible,59.02
2025,2.32,324.74,0.961,4.61,20.67,48.38,62.66,20.65,17.61,46.91,46.81,34.47,218.04,4.34,82.16,7.35,9.12,PMJAY_OtherEligible,69.2
2018,9.79,68.61,1.07,3.87,29.93,55.43,33.85,38.76,78.6,55.36,62.98,19.53,109.93,4.7,49.52,8.28,14.56,PMJAY_OtherEligible,55.6
2025,1.91,190.66,5.548,5.37,19.16,79.43,19.54,58.11,28.93,95.99,27.01,28.31,87.75,19.0,26.65,8.19,25.63,PMJAY_OtherEligible,62.49
2023,1.23,278.46,5.87,4.2,24.94,62.67,9.56,29.17,73.43,25.3,83.33,18.88,76.26,21.16,47.41,7.45,8.06,Unknown,8.05
2025,2.08,333.85,5.359,6.08,21.08,25.47,78.48,27.63,30.96,97.03,48.18,6.85,145.85,21.12,84.0,5.32,23.31,SECC_Eligible,9.15
2017,2.42,68.48,0.937,11.0,27.37,90.37,71.51,88.88,20.92,27.16,10.16,19.46,195.13,2.34,53.83,5.63,24.59,PMJAY_OtherEligible,9.71
2015,4.82,81.4,2.469,11.01,7.09,59.12,24.57,86.89,59.79,16.19,32.93,7.4,37.13,13.91,67.79,10.21,13.7,NotEligible,31.54
2014,10.0,73.0,0.302,14.17,13.51,31.71,67.51,32.57,76.74,41.23,39.42,11.59,140.89,14.96,73.85,2.83,11.42,PMJAY_OtherEligible,69.52
2020,1.85,107.57,4.466,6.23,17.11,26.75,22.21,76.8,77.53,96.79,81.46,3.47,40.44,1.1,60.57,7.04,21.68,Unknown,59.78
2019,7.92,255.86,1.645,9.23,26.39,53.62,43.03,12.53,38.33,55.13,45.67,9.98,137.06,3.43,78.86,2.13,2.33,NotEligible,0.16
2018,3.95,147.81,0.745,2.73,10.35,22.08,62.5,72.56,77.29,46.75,93.66,10.46,57.94,22.15,3.39,5.76,15.54,PMJAY_OtherEligible,38.38
2020,6.87,253.83,1.945,4.77,18.43,86.0,62.75,58.37,64.76,28.6,39.9,14.2,2.85,10.51,31.61,2.69,11.11,Unknown,39.59
2024,2.14,228.14,2.134,13.36,29.72,95.35,77.1,79.19,55.05,38.97,54.48,8.45,112.11,15.91,47.23,8.93,11.46,SECC_Eligible,12.27
2024,2.58,299.52,3.93,7.9,18.16,94.76,56.83,36.21,97.2,43.94,54.59,29.91,127.55,17.2,30.62,5.0,26.95,NotEligible,66.68
2016,6.32,186.16,1.158,10.17,24.95,49.55,10.85,31.05,29.42,69.07,73.31,19.51,144.66,13.11,43.38,5.71,18.93,Unknown,63.78
2022,5.31,109.52,3.517,3.86,19.52,27.91,21.38,47.49,26.75,67.68,18.13,17.43,68.52,5.2,37.17,2.22,7.78,PMJAY_OtherEligible,16.19
2020,8.03,337.2,2.069,16.6,14.19,94.2,5.84,28.23,67.98,66.98,38.47,20.82,51.48,20.52,60.98,1.1,9.87,Unknown,40.04
2024,8.45,210.3,4.688,12.83,14.79,30.97,74.81,32.37,84.3,55.96,84.56,20.01,5.46,15.21,82.98,2.25,17.82,NotEligible,39.92
2024,1.03,207.8,4.416,5.76,8.52,84.17,49.82,15.67,94.11,54.46,64.34,6.3,1.25,12.21,75.26,8.09,0.66,NotEligible,19.59
2019,2.39,130.67,3.029,12.33,19.09,52.41,25.1,29.28,61.15,22.51,79.41,23.3,192.16,11.85,24.33,0.83,0.33,PMJAY_OtherEligible,7.29
2021,8.09,142.45,1.227,11.66,23.81,68.23,60.98,10.59,80.53,53.76,11.41,11.94,157.48,15.98,19.56,1.11,11.73,NotEligible,79.41
2020,0.05,296.24,4.061,13.33,21.55,93.86,6.47,81.58,21.31,55.32,6.53,11.64,176.08,24.7,17.87,10.02,16.31,SECC_Eligible,79.93
2019,7.95,20.24,5.976,17.15,26.36,78.96,32.0,16.47,17.3,98.23,9.83,21.23,207.17,6.14,44.01,10.77,8.4,PMJAY_OtherEligible,38.04
2023,9.74,294.39,3.812,17.15,23.64,54.46,60.73,62.86,57.92,60.86,89.32,13.9,83.52,20.08,81.07,11.73,6.16,SECC_Eligible,41.72
2022,9.96,335.79,5.153,2.98,5.3,31.87,81.33,58.44,41.3,76.51,73.09,15.73,222.21,8.63,39.96,4.03,15.3,Unknown,59.15
2015,0.99,85.95,3.673,2.03,17.7,95.18,6.82,18.55,63.18,84.78,64.58,6.19,199.63,13.62,78.45,10.84,17.15,Unknown,3.71
2019,0.9,307.94,1.994,13.69,26.31,34.43,46.88,89.34,61.4,39.38,43.5,3.93,212.25,3.56,74.45,0.63,11.24,PMJAY_OtherEligible,75.94
2021,6.57,218.43,3.977,6.44,19.36,34.84,83.39,28.64,18.92,64.5,43.01,2.45,173.68,7.79,64.83,0.49,28.18,NotEligible,16.15
2016,1.26,24.17,3.62,3.82,23.14,49.2,53.86,61.21,79.82,60.44,10.7,2.77,202.82,4.74,20.24,8.51,16.86,Unknown,79.15
2019,4.8,199.51,5.878,4.31,18.74,46.8,59.79,46.99,67.86,35.2,54.62,6.4,43.55,5.55,35.83,1.95,29.17,Unknown,59.24
2020,4.67,76.56,4.422,3.61,29.61,36.0,21.23,70.09,18.87,62.22,12.74,1.82,153.19,22.35,3.43,7.44,26.54,NotEligible,34.38
2014,2.01,280.33,2.675,9.77,8.15,78.99,15.33,82.64,67.34,32.55,78.07,27.86,230.82,10.0,88.25,10.45,7.1,SECC_Eligible,48.62
2017,9.29,248.0,2.731,5.76,14.42,52.29,53.57,45.29,34.85,36.42,67.86,19.62,137.89,13.91,13.21,7.15,28.72,PMJAY_OtherEligible,23.07
2018,0.31,48.31,5.479,15.66,14.7,52.0,72.54,28.6,15.58,38.49,34.46,32.25,154.98,18.95,35.17,9.23,28.27,NotEligible,73.59
2025,6.96,349.85,5.597,7.91,24.49,75.86,53.18,26.02,29.43,70.52,27.05,8.45,20.77,5.92,7.48,3.21,18.33,Unknown,8.81
2025,6.97,194.68,3.955,5.5,17.68,63.65,18.59,42.26,55.92,58.85,48.23,11.8,173.09,20.67,37.71,10.61,10.53,NotEligible,42.78
2020,7.57,196.5,5.505,3.68,22.54,69.32,25.47,42.07,57.14,81.95,85.8,21.29,76.36,3.17,16.6,11.72,0.99,PMJAY_OtherEligible,69.53
2018,0.64,221.7,0.793,5.12,4.46,40.96,15.01,68.57,72.42,43.23,43.93,10.38,207.73,0.47,89.12,10.01,26.77,PMJAY_OtherEligible,58.23
2017,0.65,194.88,3.412,5.94,25.75,68.54,49.94,25.73,92.2,86.66,54.44,2.66,118.48,22.2,80.07,1.71,1.29,Unknown,45.2
2024,3.51,339.94,4.892,16.48,7.07,65.15,37.76,49.16,47.54,66.99,67.08,14.17,121.09,23.78,64.85,5.81,13.97,NotEligible,32.9
