health_mental_survey_year,health_mental_behavioral_health_region,health_mental_serious_mental_illness_rate,health_mental_major_depressive_episode_rate,health_mental_anxiety_disorder_rate,health_mental_suicidal_ideation_rate,health_mental_suicide_mortality_rate,health_mental_opioid_overdose_rate,health_mental_alcohol_use_disorder_rate,health_mental_stimulant_use_disorder_rate,health_mental_treatment_gap_pct,health_mental_provider_shortage_area_flag,health_mental_telehealth_visit_share_pct,health_mental_crisis_line_call_volume,health_mental_involuntary_hold_rate,health_mental_naloxone_distribution_rate,health_mental_medication_assisted_treatment_rate,health_mental_recovery_support_participation,health_mental_homelessness_comorbidity_rate,health_mental_justice_involved_rate
2022,West,3.626,9.646,17.974,1.473,18.677,6.537,2.812,1.142,64.02,Y,27.75,20865,0.073,269.73,41.93,33.46,1.84,0.04
2024,NorthEast,5.241,5.739,16.231,8.724,18.976,1.82,11.788,2.882,87.09,Y,59.47,20172,7.445,443.45,37.53,30.06,16.18,13.2
2019,South,1.87,9.096,13.935,8.111,26.612,5.082,7.556,6.745,56.85,N,30.25,24733,0.784,434.66,25.63,69.72,29.92,9.36
2016,West,3.233,4.488,18.93,3.524,32.337,3.179,0.826,3.866,65.9,Y,14.17,9982,0.63,421.5,4.93,75.56,5.46,3.09
2021,South,0.948,2.682,19.935,4.055,12.011,11.578,9.31,2.084,15.16,Y,42.66,16973,12.171,29.73,15.8,38.97,23.33,5.12
2019,North,4.726,8.337,5.879,7.134,12.411,10.809,9.84,6.917,79.6,Y,61.16,23700,2.085,70.07,42.14,20.98,4.68,12.1
2016,South,3.36,1.062,0.751,8.442,32.253,5.169,2.805,7.424,10.39,Y,43.32,4437,10.051,249.28,46.35,39.05,21.16,8.53
2016,West,0.699,13.958,18.235,4.696,15.156,5.64,3.333,0.055,48.06,Y,65.73,18288,0.219,216.68,15.67,28.42,1.87,18.02
2018,North,5.372,2.252,19.207,4.165,8.96,0.072,10.27,0.502,37.69,Y,63.51,15250,13.667,71.7,42.53,75.97,20.81,16.85
2016,West,6.249,7.776,4.053,3.689,6.657,10.199,11.698,6.446,26.94,N,44.36,23667,10.541,223.41,51.39,0.05,17.21,7.25
