house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_inr,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_inr,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2024-07-29,JUR-42ad629fd82b,Renovation,1105686999,71,2161126,126.0,7,RCC,ECBC2017,Y,N,N,MixedUse,Y,7074491,82.55,187,LIC-729d6768d768,N
2021-01-26,JUR-1ac5dca3a4a1,Renovation,416510065,598,1381164,342.3,1,SteelFrame,GreenRatingAligned,N,Y,Y,M1,Y,2985263,63.22,160,LIC-deab6d656d9e,Y
2024-10-07,JUR-eff1d0b12053,Renovation,811402543,591,1160625,323.6,16,Precast,ECBC2021,N,Y,Y,R1,Y,8426083,75.06,84,LIC-6a5446162b10,N
2025-10-26,JUR-c384b6083352,NewBuild,1152718831,181,790288,491.0,62,RCC,LegacyCode,Y,Y,N,MixedUse,Y,3689095,88.78,153,LIC-6c4584b43c65,N
2022-01-08,JUR-8f6056f834b3,Renovation,1161184600,142,1393031,369.9,25,RCC,ECBC2017,N,N,Y,M2,Y,4426212,73.65,164,LIC-5280e77b02cc,N
2025-03-24,JUR-ab11f5074dc6,NewBuild,805522195,404,2450385,191.6,54,Precast,ECBC2021,Y,N,N,C1,Y,7810700,78.19,13,LIC-29a34e9097dd,N
2025-05-21,JUR-f86026eb87f5,Occupancy,599686782,78,1262101,200.2,55,Precast,StateECBC,Y,Y,N,R3,N,8406417,81.42,110,LIC-8b983d4f8125,Y
2021-10-30,JUR-7e4a5987e271,Addition,1061050538,590,1864086,374.5,33,RCC,ECBC2021,N,Y,N,C1,Y,3304808,80.16,26,LIC-477edc564279,Y
2022-08-30,JUR-de9df237fe9b,Renovation,26652903,341,2021822,48.2,29,Modular,StateECBC,N,Y,Y,MixedUse,Y,1675186,60.66,147,LIC-075197949adc,Y
2019-01-13,JUR-9c5176d0e21d,ChangeOfUse,423603437,87,1962572,281.9,60,LoadBearing,ECBC2017,N,N,Y,C2,Y,3248210,64.45,75,LIC-1944a8f8d555,N
2022-04-21,JUR-7bd7c4361719,NewBuild,113563920,75,694265,252.7,23,SteelFrame,ECBC2017,Y,N,Y,C1,Y,5329355,82.62,45,LIC-1583233dfa03,N
2022-07-27,JUR-c5a0095724ee,NewBuild,923563995,379,193006,479.7,34,Precast,ECBC2021,Y,Y,N,C1,Y,5201794,72.57,32,LIC-dabf784a2d0a,Y
2024-02-22,JUR-319613ebb70e,ChangeOfUse,28307593,44,2210020,123.4,66,Modular,StateECBC,N,N,N,R3,N,391309,90.28,7,LIC-544e37887227,Y
2022-10-11,JUR-a5bd07e9e91f,Occupancy,637188592,578,2059136,513.8,26,Precast,ECBC2021,Y,N,N,R3,Y,4974803,87.49,124,LIC-592b6d6f8f1a,N
2022-09-14,JUR-d3348b54171b,Addition,974632121,28,2102277,98.3,54,LoadBearing,GreenRatingAligned,Y,Y,Y,R2,Y,4421762,99.02,151,LIC-8ae4d31e0475,Y
2019-02-04,JUR-1fb2f5bc973b,ChangeOfUse,877447572,381,1090593,393.3,37,LoadBearing,StateECBC,N,Y,N,M1,N,7114119,65.11,189,LIC-18ffb1e93483,N
2024-09-29,JUR-da3db2a724df,Renovation,735656622,392,1699266,171.5,26,Precast,ECBC2021,Y,Y,N,C2,Y,3613926,65.88,102,LIC-46e3b8eb15eb,N
2019-12-10,JUR-a71f7237c046,Renovation,861160020,564,1170122,401.0,52,RCC,StateECBC,Y,Y,N,R3,Y,7745711,92.08,198,LIC-987b1ee08d77,N
2025-08-31,JUR-a8ec31301d61,Demolition,257547402,19,153946,246.0,34,Modular,GreenRatingAligned,N,Y,N,R2,N,2388210,55.57,40,LIC-73ed77a58341,Y
2020-08-28,JUR-e113ea745914,Renovation,380665376,551,1714387,74.4,1,Modular,GreenRatingAligned,Y,N,N,R1,N,4306288,91.86,150,LIC-f23adc4294fe,N
