house_change_analysis_period_start,house_change_analysis_period_end,house_change_ward_lgd_code,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2021-07-29,2023-04-29,LGD-W-4869832,-8.32,14.12,-13.44,26.62,75.14,4.01,21.62,16.087,60.83,11.04,0.222,4.656,22.07,183,Y,10.44,Emerging
2023-01-11,2024-05-24,LGD-W-5358200,-5.63,72.62,-17.4,-3.85,6.53,45.7,12.61,9.269,42.1,-10.29,-5.123,5.922,6.84,145,N,92.61,Stabilizing
2022-03-26,2023-06-29,LGD-W-6175848,36.88,12.98,10.15,22.63,6.79,39.89,13.59,12.023,7.88,4.23,7.562,0.069,21.1,135,N,42.94,Stabilizing
2024-09-19,2026-09-01,LGD-W-3204514,46.38,-21.26,0.31,-7.49,40.07,12.85,32.76,9.985,41.25,15.31,6.472,4.983,31.48,187,Y,83.39,Emerging
2023-06-22,2023-12-02,LGD-W-7826229,4.1,30.3,-6.48,19.7,48.76,43.52,39.56,20.146,14.24,15.93,8.748,3.448,27.41,68,N,54.5,AtRisk
2024-09-06,2026-05-08,LGD-W-6655234,-23.67,56.21,20.68,20.64,9.32,13.85,18.78,0.372,50.18,2.38,-5.879,-0.522,-20.02,144,N,44.85,LateStage
2021-03-29,2022-09-21,LGD-W-6899701,53.28,44.11,-9.93,27.29,87.12,52.89,30.66,16.113,5.86,-14.66,9.696,-2.392,13.06,192,Y,69.57,Emerging
2019-03-18,2021-03-07,LGD-W-6119375,-13.78,-25.34,37.38,13.07,83.02,40.39,27.87,3.591,61.05,0.73,4.923,6.882,-30.52,38,N,96.26,LateStage
2022-07-28,2023-09-23,LGD-W-1162810,28.38,-11.17,-9.68,9.34,76.72,14.0,33.76,8.163,62.11,16.95,-4.059,1.112,15.82,157,Y,89.16,Emerging
2020-12-19,2022-03-09,LGD-W-4612054,3.82,-9.58,1.3,7.25,96.48,50.66,35.61,7.361,32.28,26.69,10.245,3.86,9.58,43,N,52.57,EarlySignals
2019-04-22,2019-12-05,LGD-W-9691427,19.72,76.21,2.82,7.01,83.31,28.59,32.5,9.596,64.26,7.12,8.414,6.182,-28.46,3,Y,88.1,LateStage
2018-04-15,2019-12-13,LGD-W-3719455,47.24,70.76,34.76,11.26,92.86,10.23,43.71,2.851,13.27,14.82,-2.792,0.728,2.72,154,N,84.2,Accelerating
2018-09-02,2019-11-18,LGD-W-6946102,16.69,-1.85,-4.45,1.95,19.24,55.43,23.99,13.552,24.09,3.51,4.843,-1.529,23.23,80,N,17.99,Emerging
2023-03-11,2025-02-01,LGD-W-6980750,-4.39,28.05,28.13,-5.76,64.36,22.83,23.69,13.776,35.24,28.57,6.219,-1.454,-30.56,96,Y,57.28,AtRisk
2020-01-11,2020-08-02,LGD-W-3454062,54.68,43.52,-10.45,-4.67,4.02,34.8,22.35,18.289,63.6,14.18,6.73,0.772,6.24,42,Y,41.08,Emerging
2019-03-29,2020-09-09,LGD-W-4055974,43.49,19.95,41.83,18.96,81.32,59.14,28.47,20.048,19.36,-12.73,4.718,2.448,-23.35,73,N,33.12,Stabilizing
2022-10-22,2023-11-01,LGD-W-3190906,34.9,6.92,-17.96,-6.13,82.25,28.86,34.39,11.289,28.23,-5.83,7.166,-1.033,25.8,94,N,58.24,Accelerating
2023-02-10,2024-10-07,LGD-W-3869131,14.86,-23.35,17.97,12.4,43.18,58.81,39.4,13.001,39.86,-10.71,3.295,-1.368,12.26,218,N,14.19,Emerging
2022-01-07,2023-02-06,LGD-W-5237205,10.64,-10.27,-17.58,18.85,69.91,20.71,19.56,7.889,40.29,-6.72,5.643,5.11,-10.43,157,N,9.32,EarlySignals
2024-07-08,2026-02-27,LGD-W-3628500,42.88,81.75,-15.95,21.67,67.8,10.62,28.75,6.781,42.19,-6.44,-0.032,0.37,12.39,86,Y,16.03,Accelerating
2024-08-31,2025-03-31,LGD-W-5171590,14.48,13.62,-0.27,4.98,91.09,27.83,33.19,17.628,-4.56,20.25,4.647,3.478,-20.86,118,Y,9.72,Accelerating
2023-06-07,2024-02-17,LGD-W-4528475,45.63,-1.25,0.16,17.33,10.12,35.28,4.69,20.255,27.16,17.54,0.788,-2.208,-0.7,9,N,71.32,AtRisk
2018-11-17,2020-08-28,LGD-W-7166944,-1.33,10.17,-16.42,27.41,26.35,21.72,19.66,3.619,50.18,-12.38,2.449,2.53,31.72,106,Y,10.41,AtRisk
2020-02-06,2021-09-29,LGD-W-9274304,24.8,-21.22,-15.79,8.84,28.25,24.88,16.13,3.271,21.12,16.03,6.869,1.089,-19.82,211,Y,9.44,Accelerating
2022-12-22,2024-11-20,LGD-W-2384362,20.52,78.15,30.63,24.11,91.71,58.45,0.88,3.553,4.26,32.44,-3.583,2.847,-14.41,12,Y,82.98,Emerging
2018-04-08,2019-08-29,LGD-W-3957069,6.7,3.97,5.92,-10.61,44.12,7.14,18.73,8.746,2.51,25.4,8.335,6.222,29.41,106,Y,76.64,Accelerating
2019-03-18,2020-02-09,LGD-W-4255439,51.88,-4.19,19.83,-3.5,60.81,21.05,41.33,12.678,-3.55,-6.76,5.892,2.58,14.77,100,N,66.36,Stabilizing
2024-03-27,2024-07-06,LGD-W-4075425,37.78,53.29,36.63,-9.8,47.29,36.07,23.26,16.396,0.67,32.71,-4.705,4.653,-25.6,212,N,37.13,EarlySignals
2020-12-29,2021-08-17,LGD-W-9519598,23.42,64.98,37.68,11.47,5.81,8.52,24.09,8.484,41.88,-1.79,-5.449,6.279,20.49,163,Y,6.6,Accelerating
2023-12-18,2024-09-15,LGD-W-5078167,35.64,48.07,16.7,14.15,23.65,43.43,26.75,19.187,52.06,-0.9,1.777,6.934,9.22,118,N,26.42,Emerging
2020-10-23,2022-01-26,LGD-W-2966982,46.58,10.34,28.29,9.5,5.87,40.57,9.35,1.62,-1.55,31.91,-1.149,-1.677,-1.28,102,Y,41.47,LateStage
2023-08-11,2024-12-29,LGD-W-1289941,36.75,-13.99,-11.62,-6.63,5.9,28.15,0.97,12.715,64.47,5.2,4.802,5.635,7.32,195,Y,75.73,AtRisk
2021-05-01,2023-03-15,LGD-W-4901648,20.5,69.35,25.87,5.06,48.06,37.76,10.84,17.4,43.91,31.71,-4.17,-0.492,-31.96,22,N,96.88,Emerging
2021-02-27,2022-08-10,LGD-W-4272944,-3.79,-12.55,39.99,15.91,37.11,52.39,32.53,8.089,12.95,-0.09,8.985,6.562,11.18,80,Y,12.33,LateStage
2018-09-22,2019-06-22,LGD-W-3652039,25.82,8.14,-4.17,27.04,53.51,17.83,35.42,16.449,43.03,1.07,4.301,2.295,20.2,170,Y,7.07,Emerging
2024-12-12,2026-10-10,LGD-W-6624242,34.2,71.44,30.25,-1.61,92.8,19.32,3.41,13.745,-4.68,4.4,-4.318,4.463,3.71,54,N,29.44,LateStage
