house_insecure_point_in_time_date,house_insecure_service_region_id,house_insecure_unsheltered_count,house_insecure_sheltered_count,house_insecure_family_households_count,house_insecure_youth_count,house_insecure_veteran_count,house_insecure_chronic_homeless_count,house_insecure_length_of_stay_median_days,house_insecure_returns_to_homelessness_rate,house_insecure_hm_is_system_coverage_pct,house_insecure_encampment_clearance_count,house_insecure_outreach_contacts_count,house_insecure_bed_utilization_rate,house_insecure_housing_placement_rate,house_insecure_rrh_program_enrollments,house_insecure_psh_program_enrollments,house_insecure_eviction_prevention_assistance,house_insecure_street_medicine_visits,house_insecure_barrier_assessment_score
2024-01-07,SRV-002d4ebaa24e,903,3330,1842,713,592,290,442,33.19,43.93,129,5648,94.42,41.91,8128,410,14927,7933,97.29
2024-09-22,SRV-223bc7e4f9aa,3668,4434,1153,514,38,1591,361,4.2,42.77,236,41552,36.12,82.94,1609,3939,49314,439,42.91
2021-03-17,SRV-d330d103722d,380,1906,278,1965,222,719,477,27.58,43.24,97,54457,81.26,23.27,755,731,50819,12194,14.49
2025-09-13,SRV-a9cb41016b79,1003,1344,1492,1336,158,363,199,11.33,58.72,163,14361,68.95,66.31,3459,6514,7139,12842,29.75
2018-10-23,SRV-b766fc73d58f,507,8258,1678,1955,540,341,444,34.3,29.41,92,25525,21.36,46.55,7431,3734,5588,6277,17.13
2018-08-04,SRV-a5f44bd7ffd3,3758,7718,815,1713,548,1338,94,2.53,55.07,234,40385,24.75,32.97,10357,4282,54385,17462,82.96
2025-09-07,SRV-bbedca1e530d,3642,2149,1739,1174,435,797,234,27.22,32.65,176,54794,91.11,7.84,2684,5977,34662,16146,79.38
2023-01-02,SRV-95b963ca2aa1,799,8277,462,1159,735,1689,249,27.58,97.32,160,13998,39.69,40.49,7867,919,62531,1889,76.88
2019-06-05,SRV-2c2a105c82d7,3406,8563,1308,1980,293,1545,441,9.38,58.73,108,2337,68.56,27.17,11354,7720,62180,438,64.04
2023-01-14,SRV-4e0400373cb3,21,3284,367,158,72,1196,80,4.15,90.4,195,47843,35.93,0.0,10842,5755,25024,11015,66.85
2020-10-27,SRV-9d18b7c77c18,918,8231,1144,930,693,1761,112,32.3,46.23,243,36004,93.45,50.97,1364,455,6474,8054,89.36
2024-07-08,SRV-5ebeb2087308,3513,2917,1252,1864,621,440,352,20.8,82.65,99,6638,30.14,81.75,3284,187,38538,10364,57.1
