house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_inr,house_rent_effective_rent_inr,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_inr,house_rent_application_fee_inr,house_rent_security_deposit_inr,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2020-11,BLDG-15e22e543b8d,4,109868,96082,2,25.55,9,4.85,53.75,Y,23667,793,242098,3.062,N,86.3,35059,N,20.38
2020-07,BLDG-ca9c2c0e85b7,4,39923,38915,1,7.47,3,3.62,24.41,Y,13754,4936,20344,1.929,N,171.4,12674,N,52.26
2019-07,BLDG-07023978d69a,5,93881,95168,6,7.03,11,4.82,37.09,N,1659,5792,220562,1.952,Y,98.2,11989,N,2.62
2019-04,BLDG-b3cd736f62ec,4,73940,68200,7,16.7,24,3.33,8.01,N,3847,3204,100950,2.481,N,177.7,28551,N,55.61
2019-05,BLDG-e5500cf85d93,5,58896,54786,5,3.07,9,1.99,37.21,N,24701,2907,269120,4.079,Y,116.6,43276,N,8.06
2019-07,BLDG-0e900297784b,2,37096,35061,1,21.64,24,3.75,21.52,Y,11605,2936,167670,5.974,Y,164.8,5453,N,2.48
2021-12,BLDG-1e575c15f7ec,0,91408,79612,5,12.04,12,4.72,13.15,Y,15766,5306,279643,4.199,N,68.8,18674,Y,35.42
2023-08,BLDG-5eaa3b54b439,1,97558,91965,3,5.71,3,1.84,28.31,Y,11956,920,324119,6.234,Y,35.0,28641,N,2.19
2020-02,BLDG-ba4ace486e12,0,33468,31149,0,22.65,9,3.08,39.55,Y,15200,2822,341602,7.662,N,129.8,1172,N,34.71
2023-10,BLDG-c60098f53b7b,2,103159,88496,8,17.06,12,4.84,12.13,N,10902,4775,332188,2.237,Y,130.0,26948,N,9.37
2023-11,BLDG-e5ab0007f663,1,145501,134120,2,26.64,9,2.12,46.55,Y,12767,702,50617,2.385,N,167.8,18044,N,25.29
2021-08,BLDG-657eef956474,4,19829,18892,4,23.99,11,4.84,51.53,N,24014,4178,113743,5.423,Y,181.8,40765,N,27.33
2025-02,BLDG-a15950a2b51d,2,39281,39465,8,18.86,6,4.99,46.65,Y,11384,3987,300528,7.698,N,180.4,44176,Y,3.08
2024-07,BLDG-1bb34e80fb0a,3,55453,49660,0,13.65,12,3.37,37.97,N,2535,3229,91010,7.842,Y,147.3,17773,N,39.14
2024-10,BLDG-40d792de257a,4,58837,58945,4,13.25,12,4.95,17.79,Y,9024,3165,190585,1.519,N,89.6,6632,N,51.25
2022-07,BLDG-0837a21e21e2,5,152482,144419,1,10.67,24,3.18,19.78,N,18743,2712,102164,7.376,Y,185.1,43362,N,5.29
2025-09,BLDG-49883a61da89,5,56960,53319,7,0.02,6,2.43,28.89,Y,12715,677,211780,0.459,Y,68.6,5908,Y,38.44
2021-07,BLDG-0be35be7490e,5,103982,96661,2,21.88,11,2.14,8.58,Y,342,2425,223510,5.444,Y,100.4,39720,Y,62.0
2020-04,BLDG-41d7719a97a9,2,155953,158688,8,19.7,24,2.19,21.75,N,17239,2863,229690,6.35,Y,112.1,34664,N,8.88
2024-08,BLDG-643f1ba8a22d,5,97275,86598,6,17.05,3,4.54,41.38,Y,16809,1055,134161,0.907,N,171.3,11217,Y,7.11
2021-05,BLDG-75f1cb21ee7b,3,56275,48893,7,23.55,6,2.91,12.33,Y,279,3598,84218,3.224,N,159.9,22051,N,48.45
2019-01,BLDG-214c378d0a88,2,149134,134723,3,26.87,6,4.93,28.13,N,15037,2781,24256,6.032,N,140.1,36112,N,0.22
2025-11,BLDG-64d31c282f5e,2,116365,104276,2,26.21,9,3.94,32.05,Y,16881,5340,125270,3.991,N,162.3,33758,Y,53.85
2022-01,BLDG-73ccd2972240,2,89402,83223,7,25.7,36,3.49,17.02,N,21288,2090,102918,3.227,Y,71.3,2807,Y,3.94
2019-05,BLDG-d2b4afad62bd,0,10960,10299,8,22.28,12,3.1,39.9,N,4338,2667,343228,4.5,Y,122.2,16217,Y,9.96
