house_sales_sale_month,house_sales_parcel_id_hash,house_sales_property_type_code,house_sales_sale_price_inr,house_sales_sale_price_per_sqft,house_sales_days_on_market,house_sales_list_to_sale_ratio,house_sales_mortgage_rate_at_sale,house_sales_loan_to_value_pct,house_sales_down_payment_pct,house_sales_buyer_type_code,house_sales_seller_type_code,house_sales_cash_sale_flag,house_sales_new_construction_flag,house_sales_renovation_flag,house_sales_assessed_value_inr,house_sales_taxable_value_inr,house_sales_school_quality_index,house_sales_neighborhood_walkscore,house_sales_recording_document_type
2020-09,PARC-18b189e9c752,Villa,49358008,13504.24,211,1.13,10.63,45.95,32.57,Institutional,Company,Y,Y,Y,51282928,39595180,6.88,96.8,LeaseDeed
2020-01,PARC-46c1a48c9d54,Villa,28784815,21243.41,21,0.957,7.65,65.46,41.06,Senior,BankAuction,Y,Y,N,21074964,22348627,28.23,26.9,ConveyanceDeed
2023-02,PARC-a59c26b3156d,Villa,55000868,50046.29,236,0.863,7.66,47.02,44.8,Senior,Individual,N,N,N,45350355,35294810,95.51,76.2,GiftDeed
2022-12,PARC-99bd45b0d930,Apartment,50893136,34042.23,108,1.154,11.21,57.17,27.34,FirstTime,Company,Y,N,Y,40750204,37025551,94.33,31.4,SaleDeed
2023-01,PARC-27b46e03dc1f,IndependentHouse,60508195,13941.98,80,0.883,8.13,87.99,31.59,NRI,Company,N,N,Y,62975474,43752517,96.12,7.7,SaleDeed
2020-11,PARC-d84c7c0af8b7,Apartment,58943934,21089.06,205,0.919,9.68,87.14,26.9,Investor,Developer,N,Y,Y,51259793,43596994,21.87,71.5,ReleaseDeed
2019-12,PARC-6dbf0f36bdb9,FarmHouse,46078890,12789.03,194,0.854,9.47,48.51,54.51,NRI,Developer,Y,N,Y,44779716,32195011,14.3,36.4,GiftDeed
2020-07,PARC-ab2eb84f4031,Plot,44382038,21734.59,137,1.179,9.95,67.19,53.21,Investor,Individual,Y,N,N,41465520,24868543,4.51,4.3,ConveyanceDeed
2019-09,PARC-d73d349a2299,IndependentHouse,9157985,5931.34,229,0.978,9.67,79.68,20.6,Investor,Company,N,Y,N,9398433,6683163,13.63,55.5,ConveyanceDeed
2025-03,PARC-4bd673f0a75a,RowHouse,63539780,23815.51,84,1.016,10.16,41.84,20.98,FirstTime,Company,N,N,N,63586782,49281854,73.4,59.9,ConveyanceDeed
2019-03,PARC-ed59c6bd4573,Apartment,22333067,9601.49,96,1.161,9.23,41.66,22.09,Senior,Company,Y,N,Y,16805513,19115360,39.74,53.5,LeaseDeed
2021-12,PARC-839f4d5d69a9,RowHouse,37307590,8688.31,237,1.11,10.11,76.69,33.69,Institutional,BankAuction,Y,N,N,39131863,34599361,13.9,56.5,ConveyanceDeed
2021-12,PARC-b2c853d7fd08,Villa,51596620,13226.51,106,1.158,7.78,55.02,43.4,Upgrader,BankAuction,N,Y,N,46619454,32584018,77.31,72.2,ReleaseDeed
2023-01,PARC-8387e1e94fee,FarmHouse,58645495,42009.67,28,1.179,6.37,53.94,50.51,FirstTime,Trust,Y,N,N,47805618,48871790,15.51,30.6,GiftDeed
2022-08,PARC-5def162a3d3b,IndependentHouse,52280124,28709.57,21,0.908,6.82,69.15,11.77,Senior,Individual,N,N,Y,51903144,31165963,20.58,71.5,SaleDeed
2021-10,PARC-f3cb156ab288,Villa,18224220,33937.09,11,1.074,7.38,74.54,12.95,FirstTime,Developer,N,N,N,14313438,10627288,86.96,56.9,LeaseDeed
2023-07,PARC-7c84df73fd08,Plot,47249427,31732.32,229,1.023,9.57,77.52,43.19,Senior,Developer,Y,Y,Y,39743496,34619081,27.73,88.8,LeaseDeed
2020-08,PARC-e0ae4e8460f7,Plot,53856971,12835.31,146,1.006,8.89,78.96,13.41,FirstTime,Individual,Y,Y,N,55923863,48298670,5.89,29.8,PartitionDeed
2024-04,PARC-3886720bf26d,Plot,14369245,4384.88,95,1.161,10.64,80.56,11.66,NRI,Company,Y,N,Y,11752542,9568691,56.08,83.3,SaleDeed
2025-07,PARC-d22a94015e06,RowHouse,30447355,15899.4,152,1.072,9.5,59.76,46.82,Senior,Trust,N,N,Y,28705414,19541719,32.18,25.9,ConveyanceDeed
2024-11,PARC-fc47eaea0036,Villa,51257004,11766.99,190,0.864,11.0,61.03,48.32,Investor,BankAuction,N,N,N,43167295,36217285,44.98,4.7,ReleaseDeed
2022-01,PARC-e5033566f3e9,Apartment,43148685,11599.11,231,0.791,8.11,78.76,39.86,NRI,Company,Y,Y,N,41263564,36438017,81.31,31.7,ReleaseDeed
2023-06,PARC-c1cf572ae00d,Studio,17242636,9558.0,175,1.134,6.77,71.09,15.61,Institutional,Developer,Y,N,N,16740729,9621891,73.98,82.5,ConveyanceDeed
2024-07,PARC-f08dab0d7df3,FarmHouse,50233456,14866.37,224,1.137,11.48,80.95,48.17,Upgrader,BankAuction,N,N,N,45434964,30093281,32.41,32.9,ConveyanceDeed
2019-01,PARC-22c019530224,Apartment,33876427,20152.54,216,1.047,11.29,87.02,24.35,Upgrader,Trust,N,Y,N,33093592,27650457,61.57,80.6,ReleaseDeed
2021-10,PARC-25da08ed63fa,Studio,58740219,24743.14,19,0.966,8.63,63.75,24.51,Upgrader,BankAuction,Y,Y,Y,46038667,53712050,0.24,0.6,SaleDeed
2023-11,PARC-e93a6be35f9a,RowHouse,47438835,40304.87,229,1.128,10.63,47.99,13.85,Investor,Individual,N,Y,N,41148145,40538019,17.89,40.8,ReleaseDeed
2022-11,PARC-091b180e0504,RowHouse,38580902,12326.17,178,0.908,11.34,79.25,51.24,Senior,Developer,N,Y,N,36479631,23948157,42.47,29.7,SaleDeed
2024-04,PARC-d260a94ab3d9,Plot,8702353,2733.15,179,1.044,8.59,44.64,35.73,Institutional,BankAuction,N,Y,N,6976382,6886655,5.57,68.1,GiftDeed
2019-12,PARC-3151c511d4ab,FarmHouse,62381474,14274.94,228,0.837,10.63,68.55,47.41,Investor,Trust,Y,N,N,55019929,41648893,4.86,65.7,PartitionDeed
2020-08,PARC-b77c69b710ca,Villa,26038215,10092.33,72,0.987,6.99,73.22,22.97,Senior,Company,Y,N,N,18744724,16009767,18.3,54.2,ConveyanceDeed
2024-10,PARC-c7b35694d990,Villa,9479922,11660.42,134,0.948,9.44,58.43,42.37,Institutional,Developer,Y,N,Y,7362822,5388359,0.04,29.3,ReleaseDeed
2024-10,PARC-e002c2d40a24,IndependentHouse,29729209,17866.11,112,1.004,7.48,49.68,37.52,Investor,Individual,N,Y,N,23483516,24614147,62.92,32.5,ReleaseDeed
2021-04,PARC-41fe0b97474c,BuilderFloor,56110733,19321.88,41,0.826,8.98,55.33,25.4,FirstTime,Individual,Y,N,Y,51972154,41888043,64.86,33.5,ConveyanceDeed
2023-11,PARC-49422f9f4845,RowHouse,30776606,7734.76,162,0.981,9.86,55.82,28.26,Upgrader,Developer,Y,Y,N,27808405,25128526,47.32,40.1,LeaseDeed
2025-05,PARC-fd60f2da71e7,Villa,24237154,8973.4,228,0.824,7.29,79.89,15.08,Institutional,BankAuction,Y,Y,N,22916672,15876805,71.24,31.4,GiftDeed
2022-01,PARC-b8fd4243c91d,BuilderFloor,36276176,54880.75,153,1.121,7.85,41.85,43.46,Senior,Individual,Y,N,N,37338239,23573597,80.25,26.1,PartitionDeed
2020-01,PARC-a2355a5b7247,IndependentHouse,41970566,50445.39,46,0.927,11.15,76.53,44.04,NRI,Developer,N,Y,N,29985240,32940425,85.85,81.3,ConveyanceDeed
2022-05,PARC-0387354f56e4,BuilderFloor,27621095,8362.43,104,1.125,7.23,78.32,50.15,Senior,Trust,N,Y,Y,19524482,18513546,70.36,11.1,LeaseDeed
2023-02,PARC-43f437259028,Apartment,45678836,89042.57,5,0.96,7.81,40.42,16.03,FirstTime,Developer,N,Y,N,32172371,36594641,64.19,63.9,ConveyanceDeed
2020-03,PARC-802cd2db2387,Apartment,22050554,77917.15,178,0.974,8.21,78.28,46.82,Upgrader,Individual,N,N,Y,19608956,20517569,89.22,73.9,ReleaseDeed
2020-01,PARC-312838c5dbc1,Villa,40921624,26148.0,145,0.978,11.37,79.62,59.63,FirstTime,Individual,Y,Y,N,35638578,35120045,4.05,81.9,SaleDeed
2019-05,PARC-ff405381751c,Villa,20918082,5360.86,34,1.023,7.63,46.22,11.14,Upgrader,Developer,N,N,Y,19187508,14249581,95.72,18.9,PartitionDeed
2023-11,PARC-49f3b0007d1d,BuilderFloor,21500982,10628.27,220,1.043,10.22,53.89,44.57,Institutional,BankAuction,N,Y,N,21948794,17067156,1.48,68.6,ReleaseDeed
2021-04,PARC-c9e5e0d00f60,BuilderFloor,61850477,13747.61,235,1.169,10.0,55.03,50.58,Investor,Individual,N,Y,N,64200145,34475274,53.31,11.0,LeaseDeed
2019-06,PARC-7254f98dd5fb,FarmHouse,57135697,46909.44,145,1.16,8.44,62.55,37.36,Institutional,Developer,N,Y,Y,55681078,42171704,52.68,94.3,ConveyanceDeed
2020-10,PARC-0196996ed1d1,Plot,21176224,5335.41,190,0.899,10.73,71.64,34.24,FirstTime,BankAuction,N,Y,N,18388845,19713785,55.49,88.4,PartitionDeed
2023-11,PARC-cb0f129b78d3,Villa,25379781,53431.12,155,0.809,7.55,59.43,39.22,Institutional,BankAuction,N,Y,N,17903748,22983470,6.14,42.0,ConveyanceDeed
2019-05,PARC-d93b74af01bd,BuilderFloor,6232708,6595.46,162,1.125,7.41,88.08,58.0,Investor,Developer,N,N,Y,5958986,4654839,43.56,87.4,ReleaseDeed
2020-12,PARC-3b9a5f71d555,BuilderFloor,39791057,38004.83,79,0.801,7.31,76.33,15.1,Institutional,Company,Y,N,Y,36747639,37313114,23.69,72.7,PartitionDeed
2021-03,PARC-0c1b4b3a3cfd,FarmHouse,23506697,9839.56,85,0.908,11.2,57.01,55.92,FirstTime,Trust,Y,Y,Y,20533502,16563978,33.36,40.3,GiftDeed
2019-07,PARC-2fdc9a69e081,Villa,10619757,2685.83,17,1.029,7.53,50.95,17.93,Institutional,Trust,Y,Y,N,8476490,9300494,46.39,72.6,ConveyanceDeed
2021-08,PARC-ae5d1142aadb,FarmHouse,23099873,54098.06,177,0.964,9.87,59.36,15.4,FirstTime,BankAuction,N,N,N,20801122,14673934,7.49,74.8,LeaseDeed
2024-12,PARC-eb617109541d,Villa,54758518,44338.88,230,0.853,8.47,61.75,44.36,Senior,BankAuction,Y,Y,N,55237159,35794634,58.43,55.3,LeaseDeed
2020-02,PARC-7fd4b040b8d6,IndependentHouse,2018584,1895.38,212,0.925,10.91,79.27,11.37,FirstTime,Trust,Y,N,Y,1504150,1126869,4.88,85.6,SaleDeed
2022-11,PARC-2971b1b7ee0f,Plot,944737,310.36,90,0.902,10.7,82.5,41.47,Institutional,Developer,N,N,Y,790289,580538,26.96,94.9,ConveyanceDeed
2022-08,PARC-2e37d2f01d5e,IndependentHouse,46077810,10859.72,137,1.05,9.4,75.26,45.33,Senior,BankAuction,N,N,Y,32491536,42540142,7.57,27.7,LeaseDeed
