imm_border_encounter_date,imm_border_sector_code,imm_border_processing_facility_id,imm_border_encounter_type_code,imm_border_single_adult_flag,imm_border_family_unit_flag,imm_border_unaccompanied_child_flag,imm_border_country_of_origin_code,imm_border_repeat_encounter_flag,imm_border_prior_removal_flag,imm_border_credible_fear_claim_flag,imm_border_asylum_referral_flag,imm_border_expedited_removal_flag,imm_border_parole_granted_flag,imm_border_detention_length_days,imm_border_alternatives_to_detention_flag,imm_border_court_notice_issued_flag,imm_border_case_outcome_code,imm_border_resource_load_index,imm_border_policy_regime_code
2025-07-20,STATE_POLICE,PF0111,OVERSTAY_ACTION,1,0,0,KEN,1,1,0,0,0,1,159,0,1,REMOVED,1.98,PR2025
2024-03-17,COAST_GUARD,PF0261,APPREHENSION,1,1,0,BGD,1,1,1,1,1,0,5,1,0,RELEASED,2.4,PR2025
2020-02-09,COAST_GUARD,PF0072,HUMANITARIAN_ASSIST,1,1,0,PAK,1,0,0,0,1,0,165,0,0,RELEASED,0.91,PR2022
2019-09-02,BSF_WEST,PF0064,OVERSTAY_ACTION,1,1,1,CAN,1,0,0,1,0,1,310,0,0,PENDING,1.86,PR2021
2023-06-13,BSF_WEST,PF0180,ENTRY_REFUSED,1,1,1,LKA,0,1,1,1,0,1,281,0,0,REMOVED,1.2,PR2025
2021-05-08,BSF_WEST,PF0291,ENTRY_REFUSED,1,0,0,BTN,1,1,0,1,1,1,199,0,1,REMOVED,2.0,PR2019
2024-09-30,COAST_GUARD,PF0060,APPREHENSION,0,1,1,GBR,0,0,1,0,0,1,73,0,1,TRANSFERRED,0.58,PR2022
2024-06-20,COAST_GUARD,PF0089,APPREHENSION,0,0,0,NPL,0,0,0,1,0,0,213,0,1,TRANSFERRED,1.35,PR2021
2019-07-28,SSB_NEPAL,PF0039,ENTRY_REFUSED,1,0,0,FRA,1,1,1,1,0,1,225,0,1,PENDING,0.38,PR2021
2024-03-24,ITBP_NORTH,PF0134,RESCUE,0,0,1,ETH,1,1,0,0,0,1,108,1,1,TRANSFERRED,1.49,PR2025
2024-12-30,SSB_NEPAL,PF0018,APPREHENSION,0,1,1,BTN,0,1,0,1,1,1,114,1,1,REMOVED,0.59,PR2022
2023-12-28,SSB_NEPAL,PF0257,ENTRY_REFUSED,1,0,0,AFG,1,0,0,1,0,0,255,0,1,VOLUNTARY_RETURN,2.41,PR2019
2020-06-29,IB,PF0221,RESCUE,1,1,0,LKA,0,1,0,0,0,0,85,1,1,RELEASED,1.47,PR2019
2021-03-14,BSF_EAST,PF0273,RESCUE,1,1,0,LKA,0,0,1,0,1,1,5,0,1,PENDING,1.42,PR2020
2022-02-01,STATE_POLICE,PF0247,HUMANITARIAN_ASSIST,1,1,0,MMR,1,1,0,1,1,0,291,0,0,TRANSFERRED,2.44,PR2022
2021-12-03,SSB_NEPAL,PF0058,ENTRY_REFUSED,1,1,0,USA,0,1,0,0,1,0,126,0,1,TRANSFERRED,1.35,PR2024
2025-07-08,SSB_NEPAL,PF0247,HUMANITARIAN_ASSIST,0,1,1,AFG,1,1,0,1,0,0,266,1,0,REMOVED,1.76,PR2021
2019-09-04,SSB_NEPAL,PF0173,ENTRY_REFUSED,1,0,0,LKA,1,1,1,0,1,1,337,1,1,TRANSFERRED,0.31,PR2023
2020-04-09,IB,PF0123,OVERSTAY_ACTION,0,1,1,RUS,0,1,1,1,0,0,33,1,0,RELEASED,1.83,PR2023
2025-06-06,IB,PF0217,RESCUE,0,1,1,USA,1,1,1,0,1,0,258,0,1,PENDING,0.44,PR2024
2020-09-11,SSB_NEPAL,PF0124,INTEL_INTERCEPT,1,1,0,CHN,0,0,0,1,0,0,240,0,0,TRANSFERRED,1.99,PR2025
2024-05-12,ITBP_NORTH,PF0178,OVERSTAY_ACTION,1,1,1,FRA,1,1,1,0,0,1,104,1,1,VOLUNTARY_RETURN,2.22,PR2019
2025-08-12,BSF_EAST,PF0231,OVERSTAY_ACTION,0,0,1,CHN,0,1,1,0,0,0,114,0,0,VOLUNTARY_RETURN,0.93,PR2020
2022-05-14,COAST_GUARD,PF0137,RESCUE,0,1,0,AFG,1,0,0,1,1,1,357,0,0,PENDING,2.22,PR2024
2019-12-23,STATE_POLICE,PF0190,RESCUE,0,0,1,CAN,1,0,1,1,1,0,247,0,0,VOLUNTARY_RETURN,1.31,PR2025
2025-07-06,BSF_WEST,PF0121,RESCUE,1,1,1,JPN,0,0,1,1,1,1,291,0,1,VOLUNTARY_RETURN,1.51,PR2025
2021-06-03,COAST_GUARD,PF0287,APPREHENSION,1,0,0,ETH,1,1,1,1,0,0,208,1,1,TRANSFERRED,1.15,PR2023
2025-10-25,BSF_EAST,PF0061,ENTRY_REFUSED,0,0,0,MDV,1,1,1,0,1,0,93,0,0,VOLUNTARY_RETURN,1.3,PR2019
2020-05-15,SSB_NEPAL,PF0138,HUMANITARIAN_ASSIST,1,0,1,GBR,0,1,0,1,0,1,29,0,0,TRANSFERRED,2.29,PR2020
2023-10-25,COAST_GUARD,PF0126,ENTRY_REFUSED,1,1,0,CAN,1,1,1,0,0,1,61,1,1,RELEASED,2.38,PR2023
2021-01-13,SSB_NEPAL,PF0192,ENTRY_REFUSED,0,0,1,JPN,1,1,1,0,0,0,242,1,0,REMOVED,1.23,PR2021
2022-12-28,STATE_POLICE,PF0192,RESCUE,0,1,1,ETH,0,0,1,0,1,0,180,0,0,TRANSFERRED,1.38,PR2023
2025-02-25,ITBP_NORTH,PF0214,OVERSTAY_ACTION,1,0,1,BGD,1,1,1,1,0,0,106,1,1,REMOVED,0.47,PR2023
