imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_inr,imm_refugee_initial_cash_assistance_inr,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2020-09,RA002,9,NPL,UNHCR,0,1,0,121271,62263,108,0,1,0,0,1,1,66.38,69.4,29
2023-08,RA026,5,NPL,FAMILY_REUN,0,1,1,246649,56917,61,0,1,1,0,1,0,47.93,75.6,8
2022-12,RA023,3,UKR,SIV,0,0,1,221945,8647,77,1,0,1,1,1,0,10.73,70.3,4
2019-01,RA032,4,MMR,FAMILY_REUN,0,1,0,189439,145262,56,0,1,1,1,1,1,96.22,70.1,6
2021-03,RA013,8,SYR,SIV,1,1,0,329360,105479,19,1,0,1,0,0,1,7.85,48.3,3
2022-09,RA013,3,AFG,TEMP_PROTECTION,1,0,0,374802,98533,13,0,1,1,1,0,0,17.03,1.9,0
2024-03,RA017,2,PAK,ASYLUM,0,1,0,47112,23191,180,0,1,1,1,1,1,81.95,73.0,26
2023-10,RA025,7,SSD,FAMILY_REUN,1,0,0,158904,128526,34,0,0,1,0,0,0,49.04,93.7,11
2022-04,RA058,4,SYR,ASYLUM,1,0,0,123941,98259,146,0,1,1,0,0,1,17.83,15.7,15
2024-03,RA022,8,ERI,UNHCR,0,0,1,72402,120282,83,1,1,0,1,1,1,28.62,6.8,15
2022-02,RA027,1,SOM,FAMILY_REUN,0,0,1,25479,101781,41,0,0,0,1,1,0,99.4,26.5,7
2021-05,RA017,8,SYR,TEMP_PROTECTION,0,0,1,382896,80840,171,1,0,0,1,0,0,58.4,85.0,24
2022-04,RA026,5,MMR,UNHCR,1,1,1,214117,108286,97,1,0,0,0,1,0,40.16,10.6,12
2020-07,RA038,2,BGD,TEMP_PROTECTION,0,1,0,108460,61885,0,1,1,1,0,0,0,87.62,71.5,8
2023-08,RA014,1,ERI,TEMP_PROTECTION,1,1,0,177300,65702,67,1,0,0,1,0,1,47.97,6.3,9
2022-08,RA053,6,ERI,HUMANITARIAN_PAROLE,1,0,0,182263,57924,103,0,1,0,0,1,1,30.79,3.3,29
2024-05,RA014,9,PAK,UNHCR,0,0,0,4188,124679,77,0,0,1,1,1,1,16.42,89.1,7
2020-01,RA012,9,SSD,TEMP_PROTECTION,1,1,1,35617,44587,173,1,0,1,0,0,1,74.45,77.1,0
2021-06,RA005,9,UKR,HUMANITARIAN_PAROLE,0,0,0,224395,60197,50,1,0,1,0,0,1,59.62,59.9,2
2023-01,RA037,4,BGD,SIV,0,0,0,134438,66463,31,1,1,1,0,1,0,9.24,17.2,4
2025-03,RA004,6,PAK,HUMANITARIAN_PAROLE,1,0,1,52063,76636,99,0,1,1,1,1,0,59.16,27.9,6
2024-03,RA055,6,ERI,SIV,0,1,0,78597,78779,146,0,1,0,0,1,1,15.95,4.9,27
2024-11,RA029,5,SSD,HUMANITARIAN_PAROLE,0,0,1,278096,118788,38,1,0,1,0,1,1,98.17,64.5,15
2021-11,RA025,2,UKR,HUMANITARIAN_PAROLE,0,0,0,150047,53246,141,0,1,1,0,1,0,25.97,68.6,7
2019-11,RA045,7,IRQ,ASYLUM,0,0,1,266427,121671,156,0,1,1,0,1,1,69.6,32.7,0
2023-01,RA004,1,IRQ,ASYLUM,0,1,1,282789,130430,41,0,0,0,0,0,0,65.6,33.8,20
2022-04,RA050,6,BGD,UNHCR,0,0,0,11740,46558,13,0,1,1,1,0,1,69.14,62.9,2
2020-09,RA016,5,SOM,TEMP_PROTECTION,1,1,0,98548,31244,115,1,0,1,0,1,1,43.0,94.6,22
2022-11,RA050,5,LKA,ASYLUM,0,0,1,5128,29386,138,0,0,0,0,0,1,7.43,39.5,5
2019-03,RA002,8,ERI,SIV,1,0,0,177587,22312,74,1,1,0,1,0,0,98.0,49.4,11
2021-06,RA023,9,LKA,ASYLUM,0,1,1,205979,107983,46,1,0,1,0,0,0,19.15,69.8,14
2024-07,RA004,7,SSD,UNHCR,0,1,0,55983,8718,103,0,1,0,0,0,1,76.97,34.2,16
2024-02,RA020,8,SSD,FAMILY_REUN,1,1,1,50930,65536,23,1,0,0,0,0,1,13.76,86.9,26
2022-01,RA017,2,SSD,SIV,1,0,0,186534,106766,149,0,1,1,0,0,0,28.12,84.6,17
2020-10,RA052,2,MMR,FAMILY_REUN,0,1,1,92647,148527,176,0,1,0,1,0,0,55.99,67.4,20
2021-07,RA006,8,UKR,SIV,0,1,1,270772,47078,54,1,1,0,0,0,1,41.35,53.7,20
2022-10,RA018,6,ERI,TEMP_PROTECTION,1,1,0,358975,15542,69,1,0,1,0,1,0,95.83,98.4,16
2025-04,RA020,8,NPL,TEMP_PROTECTION,1,0,0,41753,117575,77,0,1,0,0,1,1,84.77,70.2,26
2022-09,RA059,9,LKA,TEMP_PROTECTION,1,1,1,94380,121204,72,1,0,0,0,1,1,92.18,64.3,11
2020-02,RA039,9,SYR,UNHCR,1,0,1,255232,129562,162,1,1,1,1,1,1,64.07,87.7,15
2019-12,RA045,6,IRQ,ASYLUM,0,0,1,138740,142842,43,0,1,1,0,0,0,21.89,55.5,11
2024-03,RA041,8,SOM,FAMILY_REUN,1,0,0,198562,122593,163,0,0,0,0,1,0,51.85,24.3,3
2025-05,RA034,2,NPL,FAMILY_REUN,0,1,1,342092,100299,88,1,1,0,1,1,1,76.55,13.8,27
2022-02,RA040,8,SYR,ASYLUM,1,1,1,205414,134649,14,1,1,0,0,0,1,6.47,47.1,24
2022-11,RA046,3,PAK,UNHCR,0,1,0,384225,113211,44,0,0,0,1,1,1,86.31,51.6,8
2023-06,RA054,1,NPL,ASYLUM,1,1,1,21420,120897,121,0,1,0,0,1,1,63.14,82.8,14
2023-07,RA024,7,SDN,HUMANITARIAN_PAROLE,0,0,0,77899,14322,61,0,1,1,1,0,0,72.36,13.9,4
2022-12,RA018,1,SOM,HUMANITARIAN_PAROLE,1,1,1,195616,57813,91,0,0,0,1,1,1,69.43,68.1,22
2025-01,RA030,1,SDN,TEMP_PROTECTION,1,1,0,183889,51442,177,1,1,0,1,1,0,84.78,30.4,10
2024-12,RA059,1,SOM,HUMANITARIAN_PAROLE,1,0,0,178590,139600,12,0,1,1,1,0,1,8.75,93.9,17
2020-03,RA001,4,SSD,FAMILY_REUN,1,1,0,6874,148211,104,0,0,1,0,0,1,37.7,47.0,0
2024-11,RA023,4,MMR,TEMP_PROTECTION,0,0,0,64959,109097,158,0,0,0,0,1,0,50.26,62.2,30
2020-04,RA029,6,SOM,FAMILY_REUN,1,0,0,358761,75447,4,0,1,0,1,1,0,54.66,65.0,15
2022-07,RA041,3,ERI,UNHCR,1,1,0,52343,7212,82,0,0,1,1,1,0,94.26,9.1,27
2019-07,RA041,6,IRN,SIV,1,0,1,281647,34867,135,0,1,0,1,0,0,4.25,85.2,17
2022-07,RA032,7,PAK,ASYLUM,0,0,0,247875,64662,140,0,0,1,0,1,0,86.64,16.4,30
2021-04,RA002,1,MMR,SIV,0,0,1,212306,98716,168,1,1,1,1,1,0,55.19,39.7,12
2024-06,RA048,6,SYR,FAMILY_REUN,1,1,0,277415,47672,16,0,0,1,0,1,1,55.46,67.3,19
2023-12,RA036,1,SDN,ASYLUM,0,1,0,393592,81682,31,0,1,1,0,1,0,32.03,5.5,15
2019-03,RA045,7,SSD,FAMILY_REUN,0,1,1,357760,60624,4,1,1,0,1,0,1,64.36,58.0,21
2019-01,RA017,5,AFG,UNHCR,0,0,0,370963,134065,125,1,1,1,1,0,0,64.64,41.0,15
2021-07,RA043,4,SYR,TEMP_PROTECTION,1,1,1,387839,11654,136,1,0,0,0,1,0,18.93,6.4,2
2023-08,RA055,1,BGD,ASYLUM,0,1,1,280469,246,106,1,0,1,1,1,0,67.7,72.6,17
2025-12,RA002,9,BGD,FAMILY_REUN,0,0,1,131276,56714,161,0,1,0,1,0,1,26.67,50.1,28
