labor_indmix_establishment_year,labor_indmix_district_business_pattern_code,labor_indmix_industry_nic_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2010,DBP100000,9836,500_plus,765,985,271851367.41,1163643106.6,22718.53,151,394,55.33,119,223,25.04,18.4,38.41,8.18,Urban,N
2012,DBP100001,6792,250_499,4111,4535,1671653656.24,7072114457.2,29989.46,342,561,19.912,23,242,21.81,53.2,15.17,6.29,Metro,Y
2017,DBP100002,4542,50_99,4652,4943,1499024465.3,5453455701.2,21216.7,147,659,16.306,96,234,48.84,5.14,59.22,9.4,Metro,N
2025,DBP100003,1692,10_19,2229,2070,309885245.5,1388322421.2,12897.83,249,303,26.667,163,80,24.36,14.52,24.79,16.79,Metro,Y
2019,DBP100004,7040,500_plus,2820,2708,1094387177.74,4644307414.24,32981.39,237,686,34.084,118,171,61.54,11.1,49.98,19.04,PeriUrban,N
2023,DBP100005,8913,100_249,3738,3768,1393406102.05,5555344017.6,28352.85,259,198,12.128,174,122,17.91,21.26,21.15,14.12,PeriUrban,Y
2024,DBP100006,2373,20_49,2475,2814,628356002.77,2799790200.48,19133.66,799,784,56.254,72,120,41.13,13.29,34.37,19.93,Rural,N
2014,DBP100007,6111,20_49,3857,4060,883767249.77,3962063705.6,18766.88,646,235,21.7,187,96,28.95,28.3,10.33,13.53,Metro,Y
2018,DBP100008,3638,5_9,4175,4253,529920167.15,2297364104.88,10387.98,533,768,30.59,90,293,38.41,8.87,52.01,8.9,Rural,N
2025,DBP100009,1976,20_49,4595,4807,817343347.46,3232179499.12,12930.58,25,351,7.822,144,258,43.83,37.14,19.1,7.16,Metro,Y
2013,DBP100010,4373,250_499,48,1,553980.49,2292122.56,44079.28,581,726,130700.0,23,31,0.71,16.61,12.57,13.73,Urban,N
2022,DBP100011,2232,50_99,3764,3869,411356258.87,1744209425.4,8669.55,556,572,29.155,114,120,5.92,20.91,42.3,6.28,Urban,Y
2012,DBP100012,8056,10_19,4650,4467,692143241.89,2824754621.52,12160.78,734,241,21.827,301,116,1.48,11.14,66.4,0.99,PeriUrban,N
2025,DBP100013,3756,5_9,3415,3815,2133135368.39,7708808744.0,38858.8,689,304,26.029,319,260,65.87,44.6,63.13,19.51,Urban,Y
2019,DBP100014,7069,10_19,2377,2445,667189626.25,2845723764.0,22382.6,145,792,38.323,215,77,68.88,33.96,67.67,16.29,Rural,N
2015,DBP100015,2341,500_plus,1649,1884,307017197.01,1169341149.6,11935.95,364,127,26.062,10,67,27.35,55.34,24.58,4.12,PeriUrban,N
2023,DBP100016,3250,5_9,1242,1591,252137296.89,909804631.32,10997.01,273,15,18.102,165,62,1.25,30.86,41.09,11.52,Urban,Y
2010,DBP100017,0824,100_249,3234,3720,391934349.27,1494685732.8,7726.87,318,287,16.263,180,112,17.64,52.98,13.95,9.6,Rural,Y
