labor_part_survey_month,labor_part_cps_rotation_group,labor_part_population_16plus,labor_part_participation_rate_pct,labor_part_employment_population_ratio_pct,labor_part_u6_underemployment_rate_pct,labor_part_part_time_economic_reasons_rate,labor_part_marginally_attached_rate,labor_part_discouraged_worker_rate,labor_part_not_in_labor_force_want_job_rate,labor_part_prime_age_participation_rate,labor_part_older_worker_participation_rate,labor_part_youth_participation_rate,labor_part_disability_labor_force_gap_pct,labor_part_caregiving_barrier_rate,labor_part_school_enrollment_barrier_rate,labor_part_transportation_barrier_rate,labor_part_childcare_constraint_index,labor_part_job_search_intensity_score,labor_part_weighting_method_tag
2023-09,RG1,108733170,63.91,58.4,6.58,4.96,0.02,0.13,7.65,57.25,28.24,28.74,26.34,21.62,34.79,0.79,31.25,0.2462,raked_wt
2023-09,RG2,111962929,42.45,35.1,28.81,14.18,1.13,3.11,5.48,46.31,34.12,22.48,1.35,23.89,4.42,19.26,48.74,0.3636,calibrated_wt
2019-09,RG3,90314554,62.14,42.45,11.68,9.91,1.99,0.77,9.56,58.38,35.99,28.99,5.87,1.66,23.15,19.72,81.76,0.936,calibrated_wt
2018-10,RG4,6531149,52.77,48.29,15.55,3.55,3.74,3.4,3.35,81.0,32.56,47.77,14.87,4.58,15.4,16.32,21.1,0.2512,raked_wt
2022-06,RG5,3169953,63.42,38.91,11.25,0.27,0.42,4.21,7.6,67.46,13.91,22.76,12.83,3.69,14.84,11.92,45.38,0.707,post_strat_wt
2022-12,RG6,66694918,37.02,29.55,33.6,0.48,4.63,3.7,2.82,66.02,21.57,49.82,19.17,22.58,28.62,18.58,69.85,0.5749,post_strat_wt
2024-09,RG7,27635267,46.41,59.38,20.62,11.81,4.37,1.26,7.31,50.08,44.16,29.58,3.62,9.91,30.05,16.11,35.54,0.7073,raked_wt
2024-03,RG8,71923471,60.39,25.78,20.02,8.75,2.96,0.19,3.09,62.77,19.15,45.47,4.81,10.11,18.13,19.34,29.88,0.4609,calibrated_wt
2024-03,RG1,31420118,67.17,31.23,7.16,8.02,1.08,3.23,0.44,68.31,30.28,8.38,2.01,7.63,13.8,18.12,17.63,0.5153,calibrated_wt
2019-09,RG2,70349412,51.76,61.83,28.28,11.48,3.11,0.57,3.53,51.77,27.46,21.8,13.08,15.12,26.99,4.33,98.18,0.3143,design_wt
2020-12,RG3,92307895,45.06,50.49,24.7,11.93,4.18,4.81,1.95,57.61,30.81,39.33,9.23,4.22,26.94,15.64,69.0,0.942,post_strat_wt
2023-12,RG4,50618184,51.21,56.42,13.13,4.55,1.47,3.16,6.09,60.03,15.37,7.43,29.91,5.1,20.1,8.25,83.38,0.2442,design_wt
2024-04,RG5,82827336,57.57,49.17,4.11,14.91,3.2,3.85,7.9,68.57,13.0,25.67,18.58,13.52,23.07,12.99,53.25,0.1886,design_wt
2019-10,RG6,106670227,66.0,62.01,27.15,12.7,1.86,2.56,8.83,75.17,28.12,10.33,0.46,16.43,28.35,5.42,80.32,0.527,calibrated_wt
2020-05,RG7,107373547,40.77,40.1,33.57,2.23,5.35,4.93,4.83,55.8,24.66,36.41,4.99,22.17,31.88,10.02,69.12,0.1476,raked_wt
2018-10,RG8,119534873,36.0,27.67,13.12,12.2,5.25,1.12,3.86,58.31,20.12,37.41,0.25,13.34,27.19,11.96,65.6,0.7356,design_wt
2023-11,RG1,61396972,69.53,45.49,30.61,8.99,4.99,0.34,6.91,81.11,43.98,20.87,22.88,18.16,14.26,12.06,0.48,0.5953,post_strat_wt
2022-03,RG2,31359705,31.79,62.06,10.96,0.6,0.32,3.82,3.63,45.83,31.45,31.98,27.24,19.06,11.54,2.47,12.13,0.9079,design_wt
2021-03,RG3,58297569,63.0,26.84,11.55,4.78,4.88,3.65,1.6,81.9,11.08,21.6,22.82,18.47,26.13,7.33,97.82,0.6088,raked_wt
2022-07,RG4,63132035,40.48,46.34,4.16,3.43,1.08,2.09,0.58,45.69,23.64,8.11,26.88,0.11,12.81,9.07,55.02,0.7012,post_strat_wt
2019-07,RG5,46162186,54.27,26.97,3.24,9.66,2.38,4.79,0.4,50.97,38.27,18.74,20.16,2.65,10.02,12.94,84.04,0.9476,calibrated_wt
2020-05,RG6,101336169,45.5,64.59,20.17,13.41,4.66,2.25,8.55,50.56,38.58,28.14,19.09,16.69,28.97,14.65,40.95,0.8585,post_strat_wt
2018-02,RG7,55360300,51.71,49.23,3.47,12.63,4.07,0.14,0.75,78.03,12.3,34.14,2.55,0.39,3.91,4.24,66.16,0.5082,raked_wt
2019-02,RG8,97584332,55.52,26.64,8.1,0.44,2.76,0.05,1.57,72.55,30.56,27.52,17.28,7.52,32.91,17.37,10.47,0.1781,post_strat_wt
2024-09,RG1,85962552,65.06,47.12,15.64,7.4,3.62,0.09,0.22,79.82,44.63,42.4,0.67,9.09,7.34,18.75,81.62,0.7367,calibrated_wt
2024-11,RG2,23588733,66.35,32.45,3.48,5.15,1.08,3.58,0.65,59.29,23.56,11.88,15.95,16.34,24.58,9.29,47.23,0.3452,design_wt
2020-12,RG3,14626964,54.03,63.28,30.33,8.88,2.97,3.41,8.77,54.58,19.98,11.46,15.43,14.78,20.05,5.46,77.38,0.794,post_strat_wt
2020-12,RG4,100015282,46.93,49.76,34.2,7.1,5.01,2.32,5.61,75.94,17.56,32.74,5.68,17.04,23.62,5.91,74.74,0.4607,calibrated_wt
