labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_nic,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2021-08,CompanySite,Accountant_0000,NCO_931280,SCL8026,Security,GCP,NodeJS,N,1,Hybrid,170973.68,433286.83,Part_time,Rotational,89,28,3281,0.0856,emb_v3
2025-05,RecruiterFeed,Software_Engineer_0001,NCO_903908,SCL8332,DataEntry,NodeJS,Docker,Y,6,N,335979.94,1991602.57,Contract,Rotational,29,85,2318,0.3693,emb_v2
2020-09,CompanySite,Teacher_0002,NCO_357760,SCL2777,Accounting,GCP,Java,N,12,N,172189.37,963049.59,Full_time,Flexible,07,39,886,0.8577,emb_v1
2024-08,CompanySite,Electrician_0003,NCO_720412,SCL1001,DataEntry,Azure,DevOps,N,4,Y,167435.28,2321130.94,Part_time,Night,77,27,1068,0.5672,emb_v1
2025-05,JobPortal,Security_Guard_0004,NCO_013001,SCL3386,GCP,UIUX,NodeJS,N,6,N,554588.19,940809.57,Part_time,Flexible,21,43,405,0.3869,emb_v1
2023-03,RecruiterFeed,HR_Generalist_0005,NCO_391093,SCL7837,AWS,Nursing,Excel,Y,8,Hybrid,202219.05,2362351.49,Part_time,Flexible,90,12,928,0.6267,emb_v1
2025-09,Social,Product_Manager_0006,NCO_114773,SCL6728,GCP,Security,Prompting,N,8,Y,538774.52,868737.63,Apprenticeship,Day,79,50,855,0.0035,emb_v2
2025-03,CompanySite,Mechanic_0007,NCO_278810,SCL8553,GCP,Python,Accounting,Y,12,Y,247641.12,658474.16,Part_time,Flexible,89,34,3121,0.8121,emb_v2
2020-04,JobPortal,Chef_0008,NCO_857125,SCL3150,Tableau,Nursing,UIUX,Y,5,Y,457977.69,1028702.07,Part_time,Night,64,61,3344,0.399,emb_v2
2019-08,Social,Sales_Associate_0009,NCO_086762,SCL3135,Accounting,UIUX,QA,N,3,Hybrid,516571.63,729005.7919844666,Internship,Night,88,89,2467,0.8658,emb_v3
2021-05,GovExchange,Pharmacist_0010,NCO_070543,SCL2540,QA,Marketing,DevOps,N,8,Hybrid,373347.16,1707476.49,Apprenticeship,Weekend,84,68,114,0.3173,emb_v1
2019-04,GovExchange,Security_Guard_0011,NCO_647359,SCL8563,Java,Azure,DevOps,Y,10,Y,494383.8,1202159.39,Apprenticeship,Flexible,41,83,2413,0.2744,emb_v1
2022-08,JobPortal,Sales_Associate_0012,NCO_500262,SCL9163,SAP,Java,AWS,Y,6,Y,434269.05,1982257.53,Full_time,Weekend,91,69,739,0.9313,emb_v1
2023-06,GovExchange,Project_Manager_0013,NCO_523066,SCL8396,Excel,Azure,SAP,Y,9,Y,355580.89,1151448.09,Part_time,Flexible,16,30,4616,0.7345,emb_v3
