labor_unemp_claims_week_ending,labor_unemp_local_area_unemployment_code,labor_unemp_labor_force_level,labor_unemp_employed_level,labor_unemp_unemployed_level,labor_unemp_unemployment_rate_pct,labor_unemp_insured_unemployment_rate_pct,labor_unemp_initial_claims_count,labor_unemp_continued_claims_count,labor_unemp_benefit_exhaustions_count,labor_unemp_new_hires_rate_pct,labor_unemp_job_openings_rate_pct,labor_unemp_quit_rate_pct,labor_unemp_layoff_rate_pct,labor_unemp_workshare_participants,labor_unemp_seasonal_adjustment_method,labor_unemp_pandemic_program_flag,labor_unemp_revisions_cycle_id,labor_unemp_data_source_agency,labor_unemp_publication_date
2019-07-21,LAUIN100000,3063196,2751976,311220,10.16,7.91,27891,335018,4733,0.65,4.18,3.04,4.32,8627,TRAMO_SEATS,N,RC2020_01,ESIC,2022-09-02
2019-09-22,LAUIN100001,1914674,1559694,354980,18.54,2.82,42646,338362,18204,6.6,3.99,3.33,6.82,3451,TRAMO_SEATS,Y,RC2021_02,MOSPI,2019-02-20
2020-01-26,LAUIN100002,2464148,2352523,111625,4.53,9.16,67610,117123,47846,6.48,9.92,2.7,1.44,191,NONE,Y,RC2022_03,State_Lab_Department,2021-05-12
2024-05-19,LAUIN100003,247790,209309,38481,15.53,7.78,99069,164744,16586,1.8,2.8,4.26,6.63,12106,MOVING_AVG,N,RC2023_04,ESIC,2019-10-20
2020-04-05,LAUIN100004,4900167,4311657,588510,12.01,7.74,37650,292518,7919,6.9,6.64,5.23,1.91,13920,TRAMO_SEATS,N,RC2024_05,State_Lab_Department,2022-04-17
2021-04-04,LAUIN100005,2016208,1864590,151618,7.52,3.84,107586,269305,37991,2.2,5.55,0.17,5.21,16228,TRAMO_SEATS,N,RC2025_06,LabourBureau,2023-01-26
2023-09-17,LAUIN100006,3966877,3631280,335597,8.46,6.16,94826,160617,29409,2.87,3.31,1.54,4.54,11713,MOVING_AVG,Y,RC2020_07,CMIE,2021-10-07
2024-03-10,LAUIN100007,2780187,2228876,551311,19.83,2.92,24826,332131,10039,5.05,3.17,3.33,1.54,17076,NONE,Y,RC2021_08,EPFO,2022-08-22
2019-02-03,LAUIN100008,3257820,2875352,382468,11.74,9.06,85949,23406,12786,2.1,8.96,0.2,0.75,5985,TRAMO_SEATS,Y,RC2022_09,CMIE,2022-12-11
2024-12-29,LAUIN100009,1252065,1045850,206215,16.47,8.01,45843,196366,22974,6.63,9.35,4.66,1.78,10428,NONE,N,RC2023_10,MOSPI,2025-08-04
2020-03-29,LAUIN100010,2320770,2289440,31330,1.35,9.94,28764,240292,35234,5.82,2.9,2.81,3.88,15384,TRAMO_SEATS,Y,RC2024_11,CMIE,2022-01-06
2022-01-30,LAUIN100011,2545587,2428490,117097,4.6,5.03,52526,43984,28838,0.76,9.42,1.75,5.9,6827,X13,N,RC2025_12,EPFO,2019-02-16
2022-09-25,LAUIN100012,5748978,4700940,1048038,18.23,5.12,49687,23865,31733,6.86,5.05,4.64,4.69,9116,X13,Y,RC2020_01,LabourBureau,2021-11-28
2019-05-19,LAUIN100013,1010253,853361,156892,15.53,5.37,117292,245088,28454,3.78,6.57,1.17,3.22,3595,TRAMO_SEATS,Y,RC2021_02,CMIE,2019-05-12
2020-11-08,LAUIN100014,4596600,4089136,507464,11.04,9.88,5577,134374,1292,2.88,4.6,0.32,6.2,5517,X13,N,RC2022_03,MOSPI,2025-11-06
2021-01-03,LAUIN100015,4318088,4212727,105361,2.44,4.84,86840,338678,39683,5.66,3.99,3.82,1.31,8966,MOVING_AVG,N,RC2023_04,State_Lab_Department,2020-10-07
2021-09-12,LAUIN100016,4605915,4561238,44677,0.97,0.57,29978,295768,33407,5.45,9.6,2.16,5.49,17339,MOVING_AVG,N,RC2024_05,CMIE,2019-02-26
2019-11-17,LAUIN100017,5392351,4893020,499331,9.26,2.72,715,25916,8377,5.64,7.07,4.83,2.82,11946,NONE,Y,RC2025_06,LabourBureau,2023-12-26
2023-03-19,LAUIN100018,5087869,5014604,73265,1.44,1.4,51704,202681,43313,1.68,3.37,0.62,3.85,14017,X13,N,RC2020_07,State_Lab_Department,2021-02-11
2020-01-12,LAUIN100019,49114,41492,7622,15.52,2.72,83875,54567,47717,3.42,6.23,0.36,5.99,6513,TRAMO_SEATS,N,RC2021_08,MOSPI,2021-09-15
2018-03-18,LAUIN100020,4472991,4396951,76040,1.7,2.52,66542,234509,674,3.92,6.1,4.64,1.54,11387,X13,Y,RC2022_09,State_Lab_Department,2025-08-13
2024-01-07,LAUIN100021,3010213,2686616,323597,10.75,5.92,76015,185587,38391,0.01,2.72,4.07,4.49,17801,TRAMO_SEATS,N,RC2023_10,LabourBureau,2019-09-02
2019-10-13,LAUIN100022,4579870,4265691,314179,6.86,7.91,11637,110652,13869,0.1,8.92,4.0,1.52,11704,MOVING_AVG,Y,RC2024_11,ESIC,2021-09-20
2022-04-03,LAUIN100023,5062101,4267352,794749,15.7,8.37,99657,20347,19959,7.32,8.61,1.64,5.09,18059,MOVING_AVG,Y,RC2025_12,MOSPI,2025-11-21
2018-07-01,LAUIN100024,1124362,1010577,113785,10.12,0.68,114226,151655,39171,3.12,2.53,3.42,1.64,5462,X13,N,RC2020_01,EPFO,2021-08-02
2021-08-01,LAUIN100025,2672818,2221380,451438,16.89,6.24,90976,233436,25467,7.34,3.73,2.44,4.87,9409,MOVING_AVG,Y,RC2021_02,EPFO,2023-08-28
2019-09-22,LAUIN100026,1181494,1030027,151467,12.82,5.24,49132,93120,25662,6.28,1.16,0.61,2.6,5798,TRAMO_SEATS,Y,RC2022_03,CMIE,2022-09-16
2023-11-05,LAUIN100027,5706252,4885693,820559,14.38,6.11,4009,25806,41155,1.88,1.12,0.47,2.47,17532,NONE,N,RC2023_04,CMIE,2024-08-06
2020-05-17,LAUIN100028,2731616,2220258,511358,18.72,5.33,40828,242922,34275,1.3,9.26,4.96,2.16,16975,X13,N,RC2024_05,LabourBureau,2020-09-05
2024-05-05,LAUIN100029,2787121,2499212,287909,10.33,5.26,42325,40815,46603,5.41,7.08,2.56,4.86,15192,NONE,Y,RC2025_06,EPFO,2022-02-18
2023-05-07,LAUIN100030,5867141,4748864,1118277,19.06,5.1,18407,139196,19137,7.57,6.3,2.84,2.4,160,TRAMO_SEATS,Y,RC2020_07,LabourBureau,2019-09-18
2020-05-10,LAUIN100031,2737747,2466163,271584,9.92,4.94,70965,186957,10334,0.71,4.2,5.79,0.76,638,X13,Y,RC2021_08,ESIC,2024-05-15
2020-11-22,LAUIN100032,3341963,3304199,37764,1.13,2.5,115680,94466,34791,3.28,9.5,3.29,5.67,10640,NONE,Y,RC2022_09,MOSPI,2021-01-27
2019-03-24,LAUIN100033,3367396,2781806,585590,17.39,5.95,119408,238163,39597,3.74,9.31,4.31,5.15,17962,NONE,Y,RC2023_10,MOSPI,2023-12-02
2023-02-19,LAUIN100034,2582598,2262098,320500,12.41,5.41,77531,30361,25203,0.53,8.17,2.11,5.38,17478,X13,N,RC2024_11,CMIE,2023-09-02
2021-04-18,LAUIN100035,3387630,2989584,398046,11.75,3.53,57508,82208,32133,1.62,1.17,1.25,5.68,223,X13,N,RC2025_12,LabourBureau,2019-09-29
2021-01-24,LAUIN100036,4124953,3626247,498706,12.09,3.12,36926,229121,39223,2.15,4.17,1.53,2.26,14448,MOVING_AVG,N,RC2020_01,ESIC,2020-08-04
2021-11-21,LAUIN100037,4688771,4425263,263508,5.62,8.33,60569,137266,4519,2.96,9.45,1.61,1.49,16770,NONE,Y,RC2021_02,CMIE,2020-04-16
2024-01-28,LAUIN100038,2109113,2044575,64538,3.06,7.47,34984,184020,18965,0.23,9.37,5.11,3.36,7032,NONE,N,RC2022_03,LabourBureau,2024-08-25
2023-04-16,LAUIN100039,4483234,3944350,538884,12.02,5.27,83844,11140,4341,4.58,5.56,4.21,3.22,19186,MOVING_AVG,N,RC2023_04,State_Lab_Department,2023-01-16
2019-06-23,LAUIN100040,5075959,4820131,255828,5.04,6.45,85298,123971,35116,1.49,3.41,3.83,2.15,12002,TRAMO_SEATS,Y,RC2024_05,CMIE,2021-04-19
2022-06-26,LAUIN100041,3219153,2590453,628700,19.53,6.7,33221,158270,47065,4.14,4.45,1.93,4.95,12859,MOVING_AVG,Y,RC2025_06,CMIE,2025-09-21
2021-02-21,LAUIN100042,365916,327056,38860,10.62,1.25,99489,58497,35591,1.48,8.54,2.0,6.22,9424,X13,Y,RC2020_07,State_Lab_Department,2023-12-17
2018-04-08,LAUIN100043,5801131,5659584,141547,2.44,6.44,114243,347311,30515,1.08,5.84,4.28,5.1,14937,MOVING_AVG,Y,RC2021_08,ESIC,2025-09-14
2024-02-25,LAUIN100044,1204741,1183659,21082,1.75,9.31,21111,123145,10301,7.78,6.96,0.09,0.37,6640,MOVING_AVG,N,RC2022_09,CMIE,2024-07-11
2021-05-09,LAUIN100045,1867668,1565667,302001,16.17,6.11,20672,291724,37131,7.2,3.1,4.48,3.79,13374,NONE,Y,RC2023_10,ESIC,2021-09-23
2023-12-03,LAUIN100046,2733731,2286766,446965,16.35,3.45,77116,52611,48321,0.93,9.0,0.5,5.68,10444,MOVING_AVG,N,RC2024_11,MOSPI,2022-07-12
2019-03-03,LAUIN100047,2364902,2317604,47298,2.0,7.48,104746,12292,26540,5.22,4.82,0.88,0.79,4530,TRAMO_SEATS,Y,RC2025_12,MOSPI,2020-04-01
2019-07-21,LAUIN100048,3338522,3249050,89472,2.68,2.43,45486,238218,47788,2.73,2.31,5.59,5.59,4218,TRAMO_SEATS,Y,RC2020_01,State_Lab_Department,2020-11-21
2018-08-12,LAUIN100049,2679605,2188702,490903,18.32,5.05,103669,127134,27323,7.34,2.82,0.63,4.86,10360,NONE,N,RC2021_02,MOSPI,2024-02-14
