labor_wage_wage_survey_year,labor_wage_occupation_nco_6,labor_wage_industry_nic_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2021,588264,852,Daily,44283.35,58064.91,65361.74,91828.03,115004.41,750039.62,8.9,3.94,27.63,29.09,24.51,1.3,46.45,27.95,149.922,7.827
2020,165610,908,Hourly,41374.53,63453.17,86198.95,126166.18,144312.52,1154479.37,22.23,29.63,25.87,16.28,11.72,10.3,16.06,37.24,75.778,7.295
2022,450435,033,Daily,86845.68,137559.57,174872.23,260252.51,302632.9,2156327.6,4.39,19.2,15.11,30.48,16.15,4.7,16.31,0.71,97.971,7.278
2016,720249,938,Annual,90063.44,114805.14,151578.41,179822.67,205417.22,1823139.38,13.65,19.41,26.93,0.14,14.73,-8.49,3.68,21.97,100.287,1.463
2024,881171,012,Daily,53191.04,72750.53,89448.72,121677.89,133434.57,1040833.09,11.47,5.06,29.71,23.09,26.58,10.86,55.8,41.57,93.397,1.891
2019,116350,319,Monthly,9347.63,12778.78,16083.95,19243.85,23546.09,198117.89,1.85,16.07,1.4,9.59,25.36,10.93,4.55,1.71,132.28,2.404
2018,654157,866,Monthly,75257.27,117053.63,130824.98,156535.44,209813.43,1493696.46,5.56,0.25,32.86,17.15,-7.36,-8.84,55.65,45.78,105.983,7.336
2019,232909,036,Daily,28295.18,38126.52,43405.79,52060.1,56453.52,508728.4,12.48,25.35,28.36,36.09,11.19,25.0,45.04,44.41,132.652,7.673
2025,189465,430,Monthly,10290.34,16710.03,23386.22,31514.59,41753.96,307476.99,9.09,27.63,26.51,0.25,-5.2,10.49,29.99,38.89,159.087,6.775
2016,557206,072,Daily,102750.83,126524.6,156021.13,191027.59,240026.48,2035545.33,21.81,27.28,31.63,30.69,32.73,-6.56,31.3,22.27,73.758,2.821
2024,204657,006,Annual,68887.95,81996.53,98848.21,130277.83,159756.58,1264309.97,17.17,7.26,17.31,21.1,27.33,6.53,32.24,12.18,154.127,4.895
2019,690522,544,Daily,88202.96,131667.79,173747.32,227285.63,277946.43,2143003.68,6.09,2.93,26.08,3.78,33.2,1.46,55.88,29.65,93.831,3.993
2019,080857,579,Monthly,19978.96,25468.98,33985.12,47925.65,62753.94,395445.23,20.48,16.64,23.19,34.13,13.67,24.29,5.74,18.55,82.232,0.751
2018,454021,639,Annual,75235.16,103356.01,138109.43,178900.29,189409.79,1552126.01,20.61,7.59,16.83,13.64,13.14,4.5,6.77,32.24,113.716,3.556
2017,324055,359,Monthly,22820.87,35465.09,44529.8,66694.69,74361.6,574833.81,15.04,8.07,25.49,32.82,-6.69,19.47,53.44,46.65,105.648,6.528
2017,837129,522,Annual,60736.41,84628.89,115782.71,165956.86,184009.37,1324746.15,0.74,17.66,14.67,32.61,8.73,24.71,21.31,38.44,104.203,3.917
2019,417466,047,Hourly,36251.26,46693.12,56686.86,80091.02,99991.22,718145.88,13.8,14.05,33.2,8.14,0.61,-0.69,55.4,6.77,82.686,6.87
2023,377538,138,Monthly,90764.85,116801.07,146317.24,209267.22,244695.52,1617222.92,24.98,24.27,3.04,1.79,4.05,-5.12,44.97,34.01,121.888,5.103
2019,723902,235,Hourly,111641.36,131563.48,173977.78,194289.07,242861.07,2407392.57,10.42,12.68,10.81,29.58,6.87,-3.55,42.07,34.26,84.819,3.562
2024,984795,128,Hourly,91444.92,148031.51,167217.81,241074.27,280092.8,2165931.04,14.08,8.51,26.24,9.98,0.8,28.54,45.7,41.66,100.446,0.966
2025,752263,744,Daily,18056.83,24233.05,31640.14,46045.56,60411.44,399395.64,15.18,0.26,18.87,35.16,17.47,11.61,33.23,22.28,125.311,3.25
2017,916824,651,Daily,38666.44,48686.63,59591.07,69225.12,92126.17,644680.08,21.23,22.73,16.03,22.66,30.37,0.49,6.5,37.35,75.51,5.096
2018,688572,806,Hourly,75261.37,94310.59,112347.51,146067.63,190937.58,1398635.09,2.48,16.57,15.47,33.54,27.0,-8.62,45.01,36.69,146.71,7.499
2025,331488,077,Monthly,74798.41,117657.6,141065.52,169728.41,196691.89,1516052.69,13.11,11.78,6.48,9.86,9.97,5.87,23.9,38.57,114.828,6.345
2019,591463,059,Annual,60113.99,91970.37,106684.71,134968.16,181405.82,1166996.1,18.07,15.4,20.58,10.08,-2.51,4.11,25.76,28.91,119.358,2.838
2025,315965,500,Daily,33975.95,53167.34,75717.41,86610.92,101022.64,898276.67,19.14,14.88,30.67,37.34,28.59,-7.51,49.18,31.33,132.96,0.914
2017,445155,478,Hourly,80547.66,116662.56,138340.68,163211.14,173069.92,1542216.43,10.03,3.71,23.86,8.85,0.03,9.07,5.12,16.02,144.438,2.955
2024,129824,804,Monthly,45418.81,65117.09,81172.49,102300.96,133754.15,887086.53,13.81,1.8,31.44,39.93,-7.22,28.63,48.23,22.51,73.22,3.225
2016,553595,327,Daily,8712.99,10774.07,14572.46,20891.69,28095.71,194035.35,22.37,3.13,6.88,24.19,-9.11,18.89,44.35,1.7,152.375,1.36
2025,598215,954,Hourly,66773.74,82081.91,112973.08,138599.45,181163.21,1413085.95,20.9,22.84,14.38,13.44,1.05,-9.48,21.27,23.94,93.743,4.022
2022,742909,303,Hourly,63663.36,88614.7,104848.51,151515.59,186395.64,1370496.95,8.98,15.32,34.21,0.71,3.46,13.07,34.72,12.89,112.955,1.275
2025,202029,175,Annual,23870.69,39188.64,45271.21,64733.77,73428.55,509534.25,5.5,29.38,8.91,30.74,27.16,-9.59,38.71,38.17,72.29,7.969
2023,301067,230,Daily,23858.5,38960.58,52894.19,62122.76,81517.56,617940.84,18.3,9.97,8.96,7.5,-4.75,14.16,43.39,2.22,149.353,4.607
2020,493340,176,Hourly,113216.96,134733.91,175686.16,199923.1,242552.33,2065527.48,0.92,1.87,21.57,20.93,2.03,16.48,52.55,16.88,137.867,6.96
2016,392078,984,Daily,7306.06,11099.13,15003.6,19783.67,25827.56,195061.78,2.49,25.91,20.89,25.75,30.97,11.48,54.47,36.46,101.226,6.63
2018,485116,036,Annual,58761.59,86984.09,111316.94,128765.78,172103.98,1214445.12,11.42,0.35,17.95,4.91,17.84,13.99,9.26,27.35,102.011,1.319
2019,282414,914,Annual,66288.68,99847.84,140379.26,185820.83,221275.66,1565414.68,22.01,23.2,22.25,3.83,32.41,-3.9,32.22,4.76,108.963,7.245
2023,481647,170,Daily,85184.58,126176.43,177717.73,215772.35,252617.74,2195732.56,24.35,21.38,29.04,24.51,30.98,13.08,47.73,18.56,139.505,7.5
2016,162245,148,Hourly,25972.79,38328.7,44831.12,56870.8,69381.63,582101.69,0.36,16.09,32.51,30.13,5.35,6.75,46.33,8.62,83.456,7.213
2017,013834,350,Daily,61254.65,85068.56,94579.7,121485.4,154012.06,1312196.75,20.2,29.28,27.87,32.9,9.03,4.96,14.41,1.24,148.061,0.65
2024,821413,412,Monthly,19234.89,23448.66,32750.93,39372.72,51094.82,416413.09,2.91,4.18,21.51,35.19,20.36,29.18,32.06,36.31,130.853,7.541
2023,334096,445,Monthly,13517.26,19935.68,24478.18,28472.46,37516.95,269280.22,10.08,17.48,12.76,16.94,25.44,25.68,50.94,36.91,139.589,6.707
2022,278156,270,Monthly,76411.65,99223.17,122171.41,158637.22,175276.09,1607146.31,16.7,29.27,5.04,8.95,-0.77,3.57,20.77,26.98,117.603,7.968
2020,332591,612,Hourly,10741.22,14895.54,19053.78,28424.46,36073.98,262847.13,20.2,4.18,18.8,15.11,3.99,24.06,57.76,12.78,135.981,3.112
2023,225538,803,Monthly,100792.74,123667.59,145937.91,164803.85,190982.18,1832739.23,8.16,21.64,34.45,23.4,-8.03,2.62,33.34,17.52,118.304,4.733
2018,980080,676,Annual,71843.17,111320.26,125366.86,182143.8,203355.43,1419027.68,22.62,18.19,24.35,11.06,15.86,-7.01,25.55,31.41,103.989,2.792
2024,647950,085,Daily,88083.65,118377.11,139752.08,201636.97,231918.15,1798078.5,6.76,22.45,26.38,33.48,-8.19,23.07,54.48,0.28,151.747,3.387
2017,631513,970,Monthly,32591.39,50822.87,65329.9,73506.45,87980.0,695837.43,16.25,1.41,13.0,21.54,14.85,21.29,34.95,17.66,110.235,1.811
2018,092365,756,Daily,82872.28,116350.29,165682.47,182728.63,195352.24,1954057.45,12.43,15.09,22.05,16.92,27.99,4.56,53.15,33.45,72.345,0.725
2021,042426,391,Annual,62651.08,85839.87,96567.25,132647.4,150346.21,1320246.16,14.01,1.49,14.81,29.33,17.57,-2.7,0.13,52.14,84.252,4.744
2019,721987,001,Annual,54592.75,69777.29,80021.98,93399.5,109857.36,1107756.29,9.5,9.94,7.69,15.79,23.35,15.94,23.57,32.22,137.086,6.371
2021,887364,374,Daily,73071.19,108205.83,151571.67,219034.48,270094.41,2059042.82,14.99,15.68,11.12,26.3,11.06,29.5,49.66,40.51,137.483,7.239
2018,209893,584,Daily,8907.3,12006.33,16466.39,20135.19,23898.88,219226.69,6.01,14.38,0.06,12.41,8.93,-6.03,0.03,39.04,140.177,0.74
2016,734034,426,Annual,68340.11,81685.19,95016.62,139396.11,184222.14,1128972.65,10.26,26.73,30.78,36.0,25.57,4.5,38.97,21.98,142.086,3.035
2020,171006,534,Daily,98831.97,124335.86,167292.09,214831.61,253215.51,2322076.57,0.47,20.54,30.22,21.91,23.93,9.34,28.62,29.0,83.314,3.528
