qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_km_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2018,SA3747,12.69,419,69.4,71,22.2,49,221442,66,84,882,62.0,13,633,225558,48.88,86.12,65.3,0.501
2023,SA5313,13.07,358,598.2,80,9.33,0,180514,35,82,859,63.74,42,156,87594,20.34,31.17,37.4,0.795
2024,SA8558,3.0,187,672.8,81,8.61,20,168584,161,33,46,61.44,27,173,187698,3.88,31.38,31.0,0.102
2019,SA5667,15.19,259,731.9,14,6.88,42,75095,10,111,98,66.08,6,324,244383,28.97,28.61,46.3,0.145
2018,SA5000,22.37,376,544.1,85,9.03,20,56273,180,111,138,26.38,25,378,225137,30.99,4.52,80.2,0.055
2024,SA9029,5.45,88,510.9,35,14.04,9,219404,69,6,667,8.21,36,285,147815,4.64,16.26,10.0,0.791
2026,SA7487,10.32,105,546.1,62,24.26,36,54827,148,17,487,47.87,25,260,133764,16.97,33.78,7.3,0.715
2023,SA5252,24.5,428,381.8,83,4.07,50,229434,83,104,780,58.67,42,318,168592,41.25,29.19,22.0,0.795
2025,SA1761,22.08,268,693.0,13,0.66,34,68342,116,64,282,12.12,44,312,21781,45.22,45.63,46.7,0.781
2021,SA9787,20.54,380,167.3,10,15.13,4,131808,7,18,67,6.59,68,635,184623,18.7,41.24,54.9,0.12
2021,SA9647,21.89,308,795.9,71,15.15,60,223149,8,63,735,36.76,22,443,101818,52.79,91.82,98.0,0.095
2018,SA1515,10.93,407,538.4,6,20.8,11,90051,34,103,153,31.08,55,228,201679,53.64,36.66,41.2,0.405
2021,SA3410,24.13,214,198.3,25,4.92,20,128592,220,52,668,10.38,18,77,208766,43.01,68.19,9.7,0.616
2021,SA9253,14.25,134,136.9,67,5.89,21,15341,156,106,488,76.02,21,595,214616,2.76,33.57,47.6,0.833
2020,SA4953,10.6,229,71.1,7,9.57,24,97702,97,110,607,30.56,20,408,9302,44.21,14.07,66.8,0.746
2020,SA3458,10.6,82,336.7,87,10.33,32,67618,241,15,79,15.27,27,237,147792,19.02,8.92,77.0,0.87
2026,SA7822,22.8,187,843.9,65,18.41,39,7130,18,54,879,28.42,61,280,172094,35.17,49.18,51.4,0.604
2019,SA7210,23.86,131,290.0,92,6.07,12,115758,230,95,283,56.74,26,472,245405,38.87,5.83,35.1,0.73
2021,SA1065,1.52,69,475.2,19,6.79,37,66951,119,57,304,64.27,38,39,218398,40.5,36.55,3.0,0.076
2021,SA4383,19.72,107,876.7,52,6.02,38,245896,6,62,430,62.67,48,206,63444,43.19,71.65,85.0,0.413
2023,SA7502,15.75,42,579.8,7,23.79,41,243040,89,107,249,57.31,38,61,160977,41.8,26.27,67.2,0.123
2025,SA9106,2.19,18,65.0,1,2.15,4,26529,3,90,38,40.1,2,153,35368,36.05,26.55,7.7,0.915
2016,SA8326,7.83,363,195.0,119,9.46,59,12838,130,95,652,79.93,40,366,37650,50.3,32.95,43.2,0.078
2024,SA3636,2.31,44,582.2,81,1.54,48,195093,101,110,59,54.91,39,230,117532,17.7,24.14,37.0,0.143
2020,SA7752,1.86,318,860.9,78,16.19,32,89038,236,0,224,33.32,61,333,38260,46.54,31.0,73.4,0.974
2020,SA3443,1.45,147,618.3,96,9.98,33,176409,160,41,605,68.79,7,109,80777,15.56,61.89,72.5,0.208
2023,SA2822,17.56,160,581.9,112,23.72,40,139879,179,25,77,5.87,67,413,200963,7.97,22.06,55.1,0.684
2023,SA6819,13.81,385,563.3,15,24.71,11,235396,166,14,492,61.01,18,612,56820,1.88,34.15,51.6,0.936
2022,SA4440,14.93,300,257.0,66,21.26,5,148382,21,84,677,39.77,69,109,152458,26.07,77.12,67.6,0.592
2024,SA6091,15.31,8,102.3,33,24.01,7,20107,42,104,823,46.24,32,218,10199,7.5,37.96,44.1,0.141
2021,SA7652,16.63,379,279.5,74,15.96,30,81189,8,5,325,78.4,66,607,222050,48.67,79.51,78.6,0.089
