qol_cost_index_month,qol_cost_city_geo_id,qol_cost_cost_of_living_index,qol_cost_housing_cost_index,qol_cost_grocery_cost_index,qol_cost_utilities_cost_index,qol_cost_transport_cost_index,qol_cost_healthcare_cost_index,qol_cost_childcare_cost_index,qol_cost_tax_burden_estimate,qol_cost_median_wage_local,qol_cost_purchasing_power_index,qol_cost_inflation_local_estimate,qol_cost_rent_to_income_ratio_local,qol_cost_commute_cost_share_pct,qol_cost_essential_basket_inr,qol_cost_price_dispersion_score,qol_cost_low_income_adjusted_index,qol_cost_seniors_adjusted_index,qol_cost_methodology_release_tag
2025-04,CITY10860,82.0,182.5,125.7,116.9,64.0,118.9,106.7,4.29,53090,42.1,14.49,47.46,6.88,17311,99.2,142.6,141.7,rel_9.0.9
2026-12,CITY12747,104.0,127.5,146.4,80.0,122.0,138.9,49.3,11.72,22627,134.2,7.58,27.34,2.37,35483,12.2,124.3,55.2,rel_1.3.1
2026-04,CITY29457,111.0,85.4,122.4,54.7,167.9,117.5,119.0,16.83,44606,132.2,-0.5,18.82,3.04,36276,38.9,90.7,174.3,rel_9.8.0
2019-07,CITY12568,152.7,83.8,60.6,172.3,149.0,159.4,194.3,3.18,38854,105.1,13.55,48.25,12.34,64256,6.4,96.6,98.8,rel_3.7.5
2021-03,CITY80592,106.0,215.2,153.4,158.3,83.0,88.4,48.1,13.37,35419,50.8,-1.47,38.64,9.23,57151,69.6,70.9,140.7,rel_4.6.2
2024-12,CITY53585,134.9,100.3,71.6,118.5,80.6,112.5,216.7,7.19,27707,75.6,13.42,22.25,16.9,18776,81.8,179.1,51.0,rel_8.8.4
2019-03,CITY23545,100.5,210.3,95.6,127.8,148.4,104.5,234.4,17.4,64733,109.6,10.11,16.66,24.95,61850,61.0,125.4,57.7,rel_5.0.0
2021-02,CITY97092,118.7,217.6,86.6,150.8,156.6,85.6,185.6,7.88,64083,138.3,4.78,46.74,20.36,39848,32.1,78.0,56.1,rel_4.3.2
2020-03,CITY21411,137.4,79.6,136.0,108.0,181.1,70.6,108.2,3.82,59254,94.1,9.83,20.28,6.02,37199,55.5,129.4,86.3,rel_5.4.6
2019-09,CITY52642,147.1,202.5,157.6,167.0,139.9,62.6,72.3,16.38,73267,98.1,4.33,52.31,24.39,14961,16.1,132.3,153.8,rel_9.3.0
2022-01,CITY96831,149.6,160.4,153.4,148.6,129.6,64.1,113.5,6.24,18893,99.0,14.64,31.9,22.84,42746,79.5,125.4,136.5,rel_1.4.2
2022-03,CITY83744,179.3,129.9,90.8,182.5,154.7,193.0,106.2,10.84,78235,125.3,3.01,27.33,21.58,64479,48.5,105.9,109.2,rel_6.9.2
2026-08,CITY82991,140.5,111.0,88.0,94.3,95.2,177.3,67.3,13.34,66748,69.7,5.14,21.53,16.06,35355,51.1,125.2,169.7,rel_1.7.2
2025-12,CITY42097,71.3,148.3,64.0,119.8,126.0,93.0,158.2,2.49,82313,122.3,4.12,15.72,14.01,31508,27.2,194.8,118.6,rel_6.3.2
2025-08,CITY83523,75.9,214.8,138.6,56.2,105.8,115.0,188.8,6.01,44217,136.3,12.21,41.32,11.41,13081,91.5,116.4,86.0,rel_6.8.7
2023-05,CITY13343,122.0,161.7,107.9,159.5,56.7,134.9,71.7,3.92,73389,49.2,-0.4,24.01,24.53,41124,47.4,64.7,123.7,rel_7.3.0
2024-05,CITY36646,65.8,211.4,157.5,89.1,52.1,190.0,140.2,10.63,28364,56.3,-0.8,38.91,2.61,37471,63.6,170.1,151.6,rel_3.0.0
2023-03,CITY48304,138.2,85.1,90.1,82.2,102.8,55.8,163.7,7.38,37351,78.5,9.59,25.33,8.0,32358,11.8,154.5,144.3,rel_8.3.8
2023-09,CITY54425,110.8,146.6,123.4,159.7,67.9,87.5,156.1,15.87,44479,125.8,5.29,43.79,19.35,33352,37.8,130.1,124.5,rel_9.5.2
2019-04,CITY26779,175.0,194.0,99.0,193.5,144.7,122.4,138.6,3.33,23130,61.3,14.09,45.16,4.61,36244,49.4,58.6,132.4,rel_5.2.6
2023-11,CITY99930,74.0,74.3,143.8,142.7,64.2,62.6,180.2,3.16,31065,54.7,6.73,20.5,15.37,54348,37.1,171.9,192.1,rel_9.3.3
2024-12,CITY29870,117.8,114.3,137.6,87.3,96.2,115.2,90.7,8.48,15709,45.6,0.02,15.29,16.93,64224,68.1,85.6,110.0,rel_1.8.7
2019-06,CITY77641,61.5,214.9,64.7,183.7,123.9,198.9,54.8,10.86,25843,47.5,0.83,19.76,8.77,64736,62.8,137.6,185.2,rel_9.9.7
2024-12,CITY33959,134.4,97.2,80.7,119.6,99.5,137.5,55.5,17.59,32159,85.3,-1.45,22.59,11.46,47547,27.1,70.0,61.4,rel_6.1.2
2026-05,CITY60990,170.3,64.1,156.4,132.7,73.1,111.7,195.5,9.69,74292,115.0,4.68,47.31,15.09,32384,46.9,112.2,91.0,rel_7.5.0
2023-05,CITY90642,126.7,180.7,163.9,177.4,84.6,117.6,65.8,17.26,29100,60.7,12.93,44.06,3.08,59198,11.4,150.7,128.0,rel_6.2.1
2022-01,CITY83963,127.3,199.0,104.4,70.1,54.0,163.3,164.1,13.27,65682,130.3,8.49,54.12,15.99,20017,39.2,115.6,185.6,rel_4.8.5
2019-08,CITY52318,107.6,155.8,154.9,192.4,70.6,189.0,138.4,6.13,26388,74.7,1.56,36.08,9.86,18254,12.9,69.2,72.8,rel_6.7.3
2026-04,CITY51240,167.6,130.6,133.4,75.8,76.9,56.1,73.8,6.46,48668,43.2,7.33,34.05,10.19,39693,36.4,125.5,153.6,rel_9.9.8
2025-09,CITY53221,69.8,198.5,161.3,59.2,88.8,170.9,189.7,4.95,12302,77.0,6.24,37.82,10.49,56247,72.1,59.4,72.2,rel_3.6.2
2025-07,CITY94717,150.0,55.2,155.4,103.1,105.6,65.7,187.5,4.92,13062,72.2,1.59,24.74,4.75,51056,34.3,121.1,103.3,rel_9.1.3
2025-06,CITY89905,126.9,149.7,122.1,106.8,97.2,184.9,161.5,5.91,29260,73.0,13.87,10.34,7.18,13605,24.6,74.1,78.0,rel_8.6.8
2025-03,CITY34818,62.2,168.5,169.7,184.5,130.6,187.6,41.1,17.6,25234,122.1,10.21,34.08,12.96,34700,76.9,78.1,98.6,rel_3.3.0
2022-01,CITY77584,133.3,99.1,123.9,73.2,117.4,129.9,50.4,7.39,77545,94.9,7.33,19.08,17.75,46387,25.5,152.2,164.0,rel_8.5.6
2021-01,CITY93524,159.7,214.1,73.7,159.6,181.4,77.2,53.3,13.86,55925,44.8,11.29,47.26,19.26,42523,16.4,74.6,172.2,rel_4.8.9
2019-02,CITY53303,114.2,171.3,159.0,143.6,125.6,115.8,155.5,7.69,23246,78.4,7.24,50.79,16.36,13970,43.2,99.9,159.6,rel_4.0.3
2024-07,CITY10922,154.6,75.8,94.3,87.3,154.2,55.0,154.0,14.2,55872,50.3,7.12,27.05,12.51,52631,50.2,131.0,123.0,rel_4.1.2
2021-04,CITY81315,81.8,204.4,124.2,110.1,114.7,192.1,70.7,11.38,29368,65.6,10.34,36.68,4.35,27343,69.7,188.4,156.1,rel_1.9.8
2024-03,CITY54327,160.9,204.8,73.5,85.4,73.2,77.9,207.5,7.31,65173,91.9,8.05,27.96,3.26,43880,20.6,168.2,140.6,rel_3.3.8
2020-11,CITY83509,101.6,109.0,141.1,117.8,81.4,117.9,68.2,4.82,79526,56.6,-1.42,24.02,19.95,16757,22.0,81.9,127.3,rel_1.3.8
2019-04,CITY62853,163.3,141.0,80.3,94.9,93.4,109.6,125.4,14.8,14079,86.8,8.62,27.0,21.24,35570,6.6,166.3,118.0,rel_2.5.0
2020-06,CITY35522,78.6,80.9,154.8,191.9,102.3,90.6,168.8,8.54,38399,111.6,9.2,11.22,7.11,59063,19.6,125.8,139.3,rel_9.4.2
2021-01,CITY95595,88.6,66.9,86.7,158.3,169.8,174.5,119.4,12.69,78358,129.6,-1.78,13.85,6.78,32079,18.1,137.5,113.2,rel_2.0.4
