qol_infra_inspection_date,qol_infra_asset_type_code,qol_infra_asset_id_hash,qol_infra_condition_rating,qol_infra_work_order_count,qol_infra_mean_time_to_repair_days,qol_infra_preventive_maintenance_pct,qol_infra_pothole_reports_count,qol_infra_street_sweeping_completion_pct,qol_infra_water_main_break_count,qol_infra_sewer_overflow_count,qol_infra_signal_outage_minutes,qol_infra_graffiti_removal_days_avg,qol_infra_snow_plow_cycle_hours,qol_infra_leaf_pickup_completion_pct,qol_infra_permit_backlog_days,qol_infra_capital_project_status_code,qol_infra_service_request_backlog,qol_infra_operational_cost_inr,qol_infra_resident_report_accuracy_score
2020-02-03,DRAIN,efe3006a4ee01ccd,5,304,127,68.63,2180,6.65,169,9,19892,21.08,11.54,36.24,131,PLANNED,21230,26813859,46.0
2021-06-15,SIGNAL,1a76ebb17121faa7,3,240,70,38.9,5415,73.14,188,223,12403,31.7,55.55,8.32,269,IN_PROGRESS,24571,38265527,55.3
2019-12-31,SEWER,4d7e4264820e3035,5,323,20,94.08,3082,71.24,255,13,1931,13.3,61.47,5.47,89,IN_PROGRESS,12639,14670158,97.2
2024-04-16,DRAIN,9b77ee370a6ac75d,3,232,83,41.07,4563,22.68,95,146,7131,31.56,32.91,5.15,348,CANCELLED,2029,37654453,42.7
2022-11-02,DRAIN,cb09d3361c875a06,2,138,102,90.75,2881,71.99,220,109,8003,14.96,52.23,31.41,284,CANCELLED,12997,28836411,25.2
2021-08-18,PARK,bf0bd794ea8a5a89,1,95,1,60.22,3094,73.14,191,86,15881,21.22,20.7,46.26,36,PLANNED,14954,15625889,32.7
2024-09-20,ROAD,c66d691db3ee006b,4,59,64,91.43,4559,97.64,23,227,9681,17.46,50.34,89.69,261,PLANNED,7730,54229841,84.7
2023-12-29,SEWER,86e43006afdb637e,4,479,96,46.4,76,91.8,65,10,17469,43.69,50.21,88.55,185,IN_PROGRESS,11620,34472924,73.3
2022-10-30,BUILD,1b1c49d337763aa3,2,232,137,6.69,3277,42.42,0,60,13159,52.41,52.85,43.07,84,CANCELLED,6775,74258322,47.5
2019-08-22,ROAD,9b1730e01688f70d,1,296,119,19.87,192,83.31,160,171,4143,3.4,1.6,1.79,330,CANCELLED,3681,17506991,69.3
2019-06-29,SEWER,ff510cf11f14e853,3,337,107,28.2,1749,58.1,217,58,9623,52.07,10.99,61.49,47,CANCELLED,16671,43333179,2.6
2019-08-27,PARK,419c07136fd66c32,5,271,114,48.78,32,31.52,391,198,1935,15.73,20.12,17.83,155,IN_PROGRESS,14361,67972435,98.1
2021-06-02,BRIDGE,5d1eb837a12de76e,4,81,45,84.33,1073,69.51,193,93,17890,10.37,40.99,56.02,153,CANCELLED,1853,42611717,11.7
2023-02-13,SIGNAL,43add11ce16827b7,2,94,135,59.43,1149,13.46,210,192,10079,26.85,66.58,93.21,311,PLANNED,19826,28057013,13.6
2023-07-30,WATER,fd9a0cc9c4824feb,5,65,33,76.81,3349,34.57,227,234,18094,42.06,15.51,49.19,151,COMPLETED,4934,18472572,42.9
2025-11-16,LIGHT,0c3e6cb688b45aef,1,319,13,33.91,2086,56.79,397,3,1210,51.46,14.34,93.3,222,ON_HOLD,6959,6721346,0.4
2025-04-11,WATER,a5186977ad23c7b6,4,498,92,53.41,2707,25.28,189,50,8042,31.72,64.45,67.67,19,IN_PROGRESS,13071,64176138,41.9
2025-11-02,LIGHT,245e92c0e393fba8,2,324,66,70.93,2818,37.94,84,41,6928,31.52,14.48,87.94,40,PLANNED,22823,35558272,86.3
2023-04-25,DRAIN,8fced9ea54de7189,3,382,68,15.35,4887,49.15,394,63,18592,20.58,0.82,81.2,310,COMPLETED,8896,47059446,25.7
2020-11-22,DRAIN,8fe842a2599b74fd,2,265,98,69.96,4615,98.57,371,30,6580,4.99,8.04,54.46,135,ON_HOLD,16317,34768693,43.4
2023-06-28,LIGHT,68f0c999f758dd97,1,28,35,1.48,5677,51.41,344,91,10311,34.2,55.37,39.78,113,CANCELLED,8,52610827,68.3
2022-12-05,SIGNAL,01720d877dd9507c,1,35,115,40.38,3584,43.55,344,102,8138,17.31,22.26,33.12,311,PLANNED,20840,4721379,46.6
2025-02-13,BRIDGE,9831fd94d3ff32c7,1,365,12,19.13,5480,94.9,149,45,15640,3.1,69.27,58.1,88,CANCELLED,23435,66878677,75.6
2023-10-11,DRAIN,684bfcce58ca2fc5,1,461,7,4.22,1088,33.22,81,22,8947,11.14,70.91,94.01,80,COMPLETED,5451,52691244,15.7
2020-06-03,DRAIN,ea474623fb54ed92,4,357,179,5.24,4857,44.79,80,238,4349,5.76,31.52,41.07,252,CANCELLED,671,22996111,22.0
2020-07-27,SIGNAL,5e4c8cf15e327a1c,5,199,68,48.15,4652,51.85,87,111,14947,3.09,40.73,67.53,89,CANCELLED,24020,1734160,99.6
2021-07-11,LIGHT,3f0f610228e5a4e3,3,256,117,21.06,4627,29.79,371,220,14802,19.91,55.82,54.89,98,CANCELLED,21609,51353538,87.3
2024-08-18,SEWER,6da5101b36b9c856,2,181,49,3.51,1725,47.16,43,124,1298,21.14,53.55,70.69,326,PLANNED,7374,68931738,9.8
2021-07-20,ROAD,0049145786a4f191,4,72,117,94.58,5763,19.8,116,246,13758,22.91,13.1,55.66,147,IN_PROGRESS,18403,36444568,1.4
2024-02-22,SIGNAL,db9452217193ec4f,1,21,88,19.74,5123,52.74,19,239,12743,41.63,11.48,77.58,133,PLANNED,5603,20537673,56.0
2024-01-24,SEWER,83ef0af6f2e01e49,1,444,163,86.89,4216,47.06,323,121,2748,34.25,5.57,14.07,28,PLANNED,8945,4692406,92.6
2025-05-10,PARK,b34f75669291e401,4,161,41,29.35,2619,59.72,2,103,3468,19.42,7.31,81.99,213,ON_HOLD,7244,36498963,82.3
2019-02-20,BRIDGE,018240060f8cd5cd,5,359,165,54.03,2037,89.79,144,242,17540,13.37,59.8,40.4,306,ON_HOLD,24849,58439269,60.0
