qol_ncoial_survey_cycle_id,qol_ncoial_neighborhood_cluster_id,qol_ncoial_neighborliness_score,qol_ncoial_belonging_score,qol_ncoial_participation_local_events_rate,qol_ncoial_mutual_aid_participation_rate,qol_ncoial_intergroup_contact_score,qol_ncoial_civic_pride_score,qol_ncoial_shared_norms_score,qol_ncoial_conflict_resolution_score,qol_ncoial_online_community_engagement_rate,qol_ncoial_hate_incident_awareness_score,qol_ncoial_trust_local_institutions_score,qol_ncoial_youth_engagement_score,qol_ncoial_senior_engagement_score,qol_ncoial_newcomer_integration_score,qol_ncoial_language_inclusion_score,qol_ncoial_public_space_comfort_score,qol_ncoial_community_problem_solving_score,qol_ncoial_survey_sampling_weight
CYC2019_1,NBH8658,3.45,4.92,92.48,36.39,4.31,8.87,4.64,7.93,2.75,1.32,6.76,7.78,7.73,5.47,2.28,2.43,1.99,1.8982
CYC2023_3,NBH1046,8.84,2.12,3.32,45.16,1.24,4.26,9.7,8.01,46.11,7.29,4.26,0.01,8.01,7.63,9.18,1.15,8.13,3.2766
CYC2026_1,NBH6813,5.05,1.03,52.28,45.93,1.82,3.09,3.38,4.38,82.09,4.23,8.41,4.14,2.55,3.92,0.36,5.29,0.11,3.2892
CYC2024_3,NBH1649,4.16,1.51,38.72,89.28,0.25,8.69,7.68,3.12,49.96,3.06,9.4,2.8,5.54,5.94,8.85,8.72,5.65,3.9466
CYC2026_1,NBH8329,0.75,4.68,6.19,22.41,1.64,5.07,7.88,1.06,23.46,1.51,2.8,8.06,9.09,6.25,8.67,4.26,3.42,1.8422
CYC2018_4,NBH3507,0.25,1.6,97.61,99.36,9.44,0.77,6.55,0.65,47.34,9.77,8.67,1.26,5.43,1.42,1.51,1.26,0.97,0.9771
CYC2022_4,NBH2269,7.15,1.49,18.91,33.71,5.25,9.85,3.23,1.78,25.97,6.9,3.37,9.19,4.66,1.53,0.83,5.09,8.59,2.443
CYC2022_4,NBH2318,0.26,3.54,14.26,29.04,5.65,6.44,9.64,6.09,29.54,7.84,3.89,1.21,6.07,5.45,0.29,1.92,1.43,1.8504
CYC2025_1,NBH6919,3.1,9.51,53.13,84.37,9.85,8.09,8.28,9.5,21.61,8.5,1.72,5.56,1.07,3.35,1.47,8.33,6.1,0.9516
CYC2019_3,NBH4941,7.86,8.47,36.66,31.0,4.31,9.01,7.71,6.14,33.94,7.54,1.7,5.9,6.97,0.35,5.66,9.84,3.93,3.1811
CYC2020_2,NBH4521,7.76,1.87,32.97,55.45,5.27,1.55,0.67,6.62,85.63,9.85,5.52,5.68,7.5,2.46,7.66,1.5,5.91,3.9202
CYC2026_4,NBH6512,2.33,7.53,92.48,47.13,6.53,5.59,5.98,6.53,23.94,2.72,3.37,1.86,8.55,3.08,5.76,1.29,5.45,2.2012
CYC2019_2,NBH4884,0.86,9.85,90.45,19.46,6.51,6.8,1.05,0.92,50.67,8.81,0.3,2.96,8.92,3.24,1.54,3.63,9.1,1.3401
CYC2019_3,NBH6053,1.32,8.17,61.27,5.4,6.99,3.88,4.58,2.25,17.56,4.27,5.84,2.16,4.54,5.87,4.83,4.68,2.89,0.6266
CYC2021_1,NBH3307,2.6,2.64,36.0,99.02,0.68,3.5,1.08,7.81,25.15,0.51,4.92,6.39,8.35,0.14,7.55,1.41,7.68,0.7863
CYC2018_1,NBH2178,2.45,1.25,29.05,0.81,8.79,4.48,4.44,6.58,16.69,8.54,0.95,4.12,7.46,4.18,3.56,6.15,8.5,2.7992
CYC2021_2,NBH3272,9.92,4.35,29.68,10.09,7.92,3.12,4.44,9.57,94.7,6.94,1.04,4.49,9.09,5.04,9.84,1.89,5.98,0.9191
CYC2019_4,NBH4463,8.49,1.09,77.38,59.14,4.46,6.05,9.73,0.76,31.6,5.84,6.46,0.94,1.79,0.87,5.71,8.88,9.44,1.5415
CYC2026_3,NBH1243,6.69,1.54,66.09,35.06,0.86,3.7,8.66,2.04,49.16,3.5,8.0,5.99,4.1,4.35,9.04,2.52,0.83,3.4426
CYC2021_4,NBH5057,9.05,6.28,25.19,69.85,2.68,3.9,3.53,7.46,10.63,2.82,9.01,8.84,9.71,0.27,1.15,9.68,2.89,2.9641
CYC2020_2,NBH2587,1.61,9.45,47.02,36.45,8.04,2.19,5.39,5.24,3.28,5.4,4.9,6.86,8.04,8.81,1.58,1.68,8.93,0.435
CYC2019_3,NBH1396,1.61,3.77,99.93,31.0,2.04,1.77,7.94,8.36,71.47,8.82,9.03,7.92,6.48,7.71,9.59,7.15,7.4,1.4994
CYC2022_3,NBH8049,1.94,2.87,7.32,96.69,9.35,5.15,4.31,1.47,83.0,4.67,9.0,5.05,0.36,1.07,9.0,5.73,8.73,0.3783
CYC2023_2,NBH5867,3.3,0.45,82.61,51.46,4.61,6.56,2.67,9.48,19.45,9.75,6.63,8.93,7.79,2.87,7.99,0.81,1.01,2.2853
CYC2023_4,NBH1157,0.28,7.67,16.9,93.38,8.05,1.16,8.04,3.58,91.41,5.09,7.33,0.22,0.56,0.01,0.32,5.52,7.84,0.3973
CYC2023_1,NBH7770,4.29,7.42,29.15,5.45,2.63,9.82,3.5,6.96,25.89,1.49,7.35,8.33,9.71,3.54,4.64,6.13,8.11,3.6358
CYC2019_1,NBH7448,1.14,8.92,34.47,66.74,3.66,4.76,6.22,4.23,9.05,5.77,8.85,5.14,9.08,5.8,6.71,3.15,4.18,2.509
CYC2018_4,NBH7481,6.56,9.5,4.47,89.19,4.28,1.8,1.08,9.8,95.56,9.89,6.01,5.05,6.73,3.3,3.12,5.58,8.68,3.8531
CYC2018_3,NBH2193,1.27,1.71,71.54,18.74,6.31,5.23,4.32,4.5,41.89,9.86,9.88,3.16,2.23,1.98,5.11,8.01,4.95,3.9458
CYC2018_1,NBH5543,8.31,7.82,84.27,25.3,4.56,2.01,5.88,3.18,73.36,7.38,9.31,9.22,1.51,1.93,6.98,9.64,0.92,2.063
CYC2019_1,NBH1004,3.5,9.2,17.56,32.28,1.42,6.72,2.19,6.81,4.1,2.07,4.82,7.76,1.59,2.14,6.1,8.16,5.61,2.5389
CYC2023_4,NBH2047,0.87,8.82,81.01,42.73,8.01,7.28,1.99,1.76,78.16,5.6,4.46,3.7,7.19,4.03,0.12,3.13,9.05,1.6023
CYC2018_3,NBH7753,0.59,7.99,0.63,15.98,1.98,6.89,1.12,7.05,31.7,5.13,8.16,4.42,1.54,1.37,3.85,1.54,6.31,2.4655
CYC2024_2,NBH2047,3.59,5.97,86.48,4.21,0.92,9.78,7.68,0.72,93.99,9.42,6.78,9.19,3.42,4.04,4.41,9.16,9.41,2.4621
CYC2020_1,NBH9298,4.24,7.03,18.44,14.88,6.79,4.36,6.96,7.94,41.94,9.51,9.15,0.97,1.35,1.32,5.28,4.7,8.84,1.6018
CYC2018_3,NBH3770,5.52,6.01,11.76,3.14,7.89,2.89,5.01,8.47,40.54,9.32,6.76,0.6,1.22,8.13,9.91,1.68,5.56,1.8252
CYC2026_4,NBH1851,0.35,3.63,63.09,53.36,5.13,9.9,3.95,8.16,55.64,7.57,3.18,3.12,7.97,0.3,0.47,8.44,8.58,1.537
CYC2023_3,NBH4497,3.97,5.34,33.22,56.49,1.65,7.88,3.69,2.22,49.48,6.03,5.06,0.66,3.33,2.13,7.99,9.65,6.68,3.7203
CYC2025_2,NBH6677,1.22,7.36,18.98,97.73,8.89,5.46,8.63,2.92,22.36,7.42,4.81,3.97,6.4,7.42,3.37,3.46,3.54,3.793
CYC2018_2,NBH1742,0.01,6.31,86.39,50.2,6.22,8.73,8.92,7.36,26.09,0.91,2.8,9.78,5.05,8.05,2.57,8.53,3.12,3.8918
CYC2019_4,NBH1766,0.83,3.48,17.41,15.04,8.26,9.56,4.61,2.53,39.54,4.87,8.51,4.12,2.22,4.32,3.28,5.72,0.27,1.8606
CYC2025_4,NBH5425,5.16,0.33,49.48,66.41,9.19,4.45,4.41,5.88,6.6,0.22,2.6,5.71,0.53,9.48,9.29,7.31,2.15,3.7624
CYC2024_1,NBH3593,8.8,8.73,12.55,45.76,2.74,7.74,1.33,7.45,52.43,3.04,6.76,0.41,0.07,0.69,5.18,9.03,4.84,3.1373
CYC2018_1,NBH2369,3.66,1.02,6.61,23.28,8.34,2.93,2.31,3.22,48.74,8.31,5.63,1.63,1.19,4.26,1.12,3.16,8.18,1.2796
CYC2020_1,NBH9774,3.2,7.98,62.34,9.69,9.17,2.61,0.13,6.35,55.79,7.1,3.26,7.83,5.24,5.64,9.77,8.37,2.87,2.6451
CYC2020_1,NBH5349,1.75,2.27,44.39,61.73,0.63,3.02,7.18,7.39,95.62,5.82,7.04,6.96,7.23,5.0,9.87,6.67,1.16,3.1083
CYC2020_4,NBH4417,8.77,4.82,61.73,94.46,6.05,7.85,7.4,4.88,45.62,2.48,4.24,0.92,6.42,2.31,8.75,1.01,1.62,0.3052
CYC2022_3,NBH1658,1.42,4.82,8.21,29.05,4.77,3.53,6.22,3.6,16.33,9.1,4.93,9.17,5.14,3.66,7.31,0.4,4.51,0.7372
CYC2023_1,NBH9602,2.47,2.34,86.18,21.79,8.46,1.79,5.43,4.76,76.46,8.87,2.54,4.55,1.81,3.42,2.48,9.66,4.37,1.2249
CYC2018_1,NBH6070,3.13,9.11,0.4,7.86,5.21,8.05,8.78,8.26,14.34,1.64,9.03,7.09,8.84,7.44,0.19,9.28,8.65,2.6853
CYC2019_4,NBH3775,2.39,1.86,86.43,86.5,0.67,2.76,8.53,6.89,61.85,7.6,7.97,5.53,9.14,7.08,0.96,3.05,6.25,3.3257
CYC2019_3,NBH9515,5.81,7.09,81.58,3.53,5.96,5.86,7.48,9.01,22.92,8.96,7.53,2.44,6.6,6.74,3.27,3.78,0.87,2.1997
CYC2019_4,NBH5572,3.62,8.06,62.25,9.41,5.1,8.02,5.92,3.4,29.25,9.53,1.39,6.61,9.91,1.71,1.75,6.75,2.19,0.4449
CYC2023_4,NBH9696,4.04,8.91,44.54,54.85,4.13,2.18,2.81,0.45,98.12,7.78,0.95,8.33,2.13,2.87,3.26,6.44,9.65,3.2738
CYC2021_1,NBH3097,1.26,2.66,84.98,81.39,4.61,6.44,7.49,0.47,45.6,4.8,8.52,1.96,1.62,5.29,6.44,0.7,4.62,0.6145
CYC2018_3,NBH6348,0.68,9.19,1.49,53.72,4.02,4.77,7.25,0.28,62.19,8.36,7.05,3.68,1.85,7.15,3.62,8.0,0.27,0.2432
CYC2018_4,NBH1716,5.43,8.17,37.3,92.4,5.52,0.58,2.99,4.91,29.42,3.87,7.05,7.99,2.55,6.71,1.37,2.46,1.25,3.0563
CYC2023_3,NBH3135,6.99,0.61,11.33,44.29,0.19,1.9,8.38,4.71,71.56,1.63,3.83,8.19,0.43,3.16,5.11,6.22,1.47,3.7177
CYC2026_2,NBH7783,4.46,8.89,90.02,87.95,1.19,5.01,4.54,4.21,37.97,8.59,7.92,1.88,7.83,6.79,0.47,1.05,9.49,2.2145
CYC2021_3,NBH5405,7.96,4.74,14.67,62.4,1.26,3.22,1.14,9.23,7.29,5.81,9.71,3.11,7.1,5.41,2.69,7.85,0.33,1.1689
