qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_ncoial_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2021,REG464,5.79,8.93,4.03,3.02,9.15,0.61,4.73,2.53,3.82,4.11,54.51,45.33,98.8,2.55,7.58,0.51,4.31,20.18
2021,REG912,7.22,4.63,9.52,7.21,9.52,7.05,0.78,6.16,9.8,2.14,79.27,18.46,45.22,8.47,3.41,7.76,0.45,32.02
2022,REG264,9.92,1.32,8.97,2.95,6.29,8.78,0.93,1.52,7.33,3.47,65.5,11.4,97.24,50.13,8.71,6.75,9.52,57.05
2023,REG960,6.14,9.97,8.15,4.55,8.17,7.03,9.39,3.65,0.4,0.86,76.74,69.13,73.34,66.77,4.57,0.68,8.36,18.08
2017,REG505,2.05,0.84,3.76,3.25,9.77,3.95,0.47,9.87,7.86,9.98,31.75,11.77,39.77,13.99,1.47,9.03,9.94,99.44
2017,REG399,2.39,1.72,3.82,5.99,7.44,5.16,8.43,9.2,8.86,3.69,95.05,92.31,41.17,42.13,0.78,9.37,0.88,49.11
2019,REG915,8.8,5.71,6.83,7.1,0.16,9.42,3.6,1.78,4.73,7.33,82.73,71.96,40.01,68.15,4.32,9.87,9.96,24.98
2026,REG943,5.77,6.36,4.34,5.24,5.54,3.88,3.2,6.35,4.42,9.72,37.57,19.58,42.66,65.69,4.42,2.86,4.95,44.7
2021,REG676,0.19,3.95,3.41,2.23,5.46,6.14,0.1,6.76,3.83,9.23,74.35,51.38,95.15,68.74,8.08,9.56,8.9,7.07
2020,REG528,9.25,3.5,3.67,7.6,5.27,3.62,8.84,8.25,9.77,6.41,69.01,32.45,9.96,10.59,6.46,1.13,9.07,70.39
2019,REG452,2.79,7.1,8.24,8.39,6.01,1.55,8.18,7.92,8.35,1.58,68.44,96.02,25.61,71.67,2.59,3.07,4.85,89.5
2019,REG818,9.9,7.72,3.6,3.54,4.83,8.75,0.18,5.48,0.56,1.16,69.07,23.43,4.16,16.42,2.09,7.7,6.25,73.51
2018,REG342,9.39,0.65,8.8,2.98,7.0,3.33,7.2,4.81,5.27,7.16,13.36,26.63,84.07,78.98,9.9,0.23,1.42,33.73
2019,REG180,3.16,3.46,2.27,9.1,5.48,1.6,5.82,1.6,2.72,6.96,75.82,43.31,16.72,21.15,5.4,5.89,8.69,26.81
2022,REG779,0.03,4.71,3.98,1.2,8.91,1.08,2.65,7.34,1.81,0.77,96.94,29.35,6.07,14.1,2.22,9.58,0.16,79.28
2018,REG296,5.0,9.33,0.13,4.95,2.53,7.62,1.73,8.75,4.05,1.36,3.47,68.95,92.85,96.99,8.74,3.9,9.06,64.37
2022,REG230,1.71,3.85,3.06,3.36,7.35,0.59,6.06,3.37,8.82,0.57,97.17,8.09,43.45,85.71,3.22,8.5,9.63,12.27
2017,REG124,7.67,1.08,7.75,6.75,6.31,4.34,5.02,1.0,2.7,9.13,44.2,40.29,4.73,88.43,7.53,0.92,1.5,12.37
2026,REG257,1.59,9.95,5.74,8.7,7.3,0.24,4.21,3.62,9.52,3.38,68.74,58.95,73.66,6.13,9.31,9.93,5.54,16.43
2024,REG574,1.74,8.85,7.27,8.75,7.7,1.4,9.17,7.71,5.71,5.32,57.38,39.04,80.32,90.9,2.53,0.38,2.03,75.73
2019,REG867,1.69,0.15,0.61,6.72,7.18,1.49,6.06,4.83,9.37,6.65,52.03,28.38,46.18,24.71,6.78,5.94,2.96,1.21
