safe_incident_incident_datetime_local,safe_incident_incident_type_code,safe_incident_ipc_ncrb_offense_code,safe_incident_call_priority_level,safe_incident_reporting_agency_ori,safe_incident_location_block_id,safe_incident_premise_type,safe_incident_weapon_involved_flag,safe_incident_injury_severity_code,safe_incident_victim_count,safe_incident_suspect_count,safe_incident_clearance_status_code,safe_incident_bias_motivation_flag,safe_incident_gang_related_flag,safe_incident_domestic_related_flag,safe_incident_property_loss_value_inr,safe_incident_body_worn_camera_flag,safe_incident_response_time_seconds,safe_incident_geocoding_accuracy_level,safe_incident_case_update_timestamp
2018-07-18 05:20:27,Assault,IPC-436,P1,IN-ORI-6599,BLK-3031c5baa57610,Office,Y,None,1,2,ExceptionallyCleared,Y,N,Y,5475523,N,121,Parcel,2023-09-29 23:08:47
2021-08-14 04:58:35,Arson,IPC-354,P2,IN-ORI-8733,BLK-e38ff2a3ca537a,ATM,N,Minor,3,2,Open,N,N,Y,1519676,N,2269,Rooftop,2022-10-29 03:35:45
2021-11-05 01:58:52,Theft,IPC-379,P2,IN-ORI-4997,BLK-3fa95237ccc014,Office,Y,None,4,1,UnderInvestigation,N,Y,Y,710878,Y,5414,StreetSegment,2020-09-25 15:47:24
2025-08-08 09:23:22,Theft,IPC-302,P2,IN-ORI-8620,BLK-3a54cd3eba09b9,Apartment,N,Minor,1,5,ExceptionallyCleared,Y,Y,N,2281003,Y,6049,Parcel,2023-08-01 07:04:16
2023-11-07 19:17:11,Narcotics,IPC-363,P1,IN-ORI-3383,BLK-28e4c2a51043c8,Transit,N,None,6,5,Open,Y,Y,N,4427886,Y,5045,Parcel,2022-04-03 17:30:30
2020-02-05 18:30:53,Arson,IPC-354,P3,IN-ORI-5308,BLK-1407071558a3b4,Office,N,None,1,2,ExceptionallyCleared,N,Y,N,8472250,N,1364,Unknown,2019-10-04 10:21:19
2019-04-20 10:13:12,Robbery,IPC-380,P1,IN-ORI-2798,BLK-c8299a37b15c8a,Office,N,None,0,0,UnderInvestigation,Y,N,Y,1280371,Y,1850,Unknown,2020-02-14 16:45:35
2020-09-06 05:16:04,Arson,IPC-363,P2,IN-ORI-2207,BLK-ec0149f7ae41bf,Street,N,None,0,4,Unfounded,N,Y,Y,1748495,N,2886,StreetSegment,2025-01-24 03:52:06
2025-05-15 11:35:40,Robbery,IPC-363,P2,IN-ORI-5266,BLK-55f8db5cde7c57,Hospital,N,Moderate,1,5,ClearedByArrest,N,Y,Y,6104860,Y,5649,Ward,2023-08-27 00:03:22
2024-12-16 09:23:20,Burglary,IPC-302,P4,IN-ORI-1131,BLK-47385af771cdb1,School,N,None,2,4,UnderInvestigation,Y,Y,N,3547278,Y,2506,StreetSegment,2019-11-21 21:45:44
2023-07-15 09:28:49,Burglary,IPC-420,P3,IN-ORI-8212,BLK-3138dddfbebee3,Apartment,Y,None,1,5,ExceptionallyCleared,N,Y,N,1614787,N,2747,StreetSegment,2021-10-14 08:42:42
2021-08-31 16:23:03,DomesticViolence,IPC-436,P1,IN-ORI-5086,BLK-e7854941d5e072,ATM,Y,Moderate,4,1,Open,N,Y,N,3378176,N,2680,StreetSegment,2023-02-14 13:54:58
