safe_justice_booking_date,safe_justice_arrest_offense_code,safe_justice_charge_severity_level,safe_justice_bail_amount_set,safe_justice_pretrial_release_flag,safe_justice_court_case_id_hash,safe_justice_court_disposition_code,safe_justice_sentence_type_code,safe_justice_sentence_length_days,safe_justice_probation_start_date,safe_justice_parole_eligibility_date,safe_justice_jail_days_served,safe_justice_prison_admission_flag,safe_justice_recidivism_12mo_flag,safe_justice_recidivism_36mo_flag,safe_justice_risk_assessment_score,safe_justice_public_defender_assigned_flag,safe_justice_diversion_program_flag,safe_justice_restorative_justice_flag,safe_justice_record_sealing_eligible_flag
2022-11-01,IPC-302,Felony,320536,Y,CASE-3ad076ecd366c5c5,Transferred,TimeServed,2637,2023-06-04,2020-06-05,190,Y,N,N,84.27,Y,Y,Y,N
2025-05-07,IPC-498A,Felony,942725,Y,CASE-e701707d23c80324,BailGranted,TimeServed,848,2023-12-11,2023-02-02,160,N,Y,Y,6.54,Y,Y,N,Y
2019-10-01,IPC-302,Misdemeanor,1283702,N,CASE-4d6eb4a6ae2cc574,BailGranted,TimeServed,1717,2019-04-15,2018-05-11,249,Y,N,Y,8.5,N,N,N,Y
2019-04-19,IPC-420,Misdemeanor,2474915,N,CASE-09f42ae161d30217,Transferred,Diversion,2560,2018-04-15,2019-01-23,124,N,Y,Y,80.92,N,N,Y,N
2019-05-16,IPC-354,Misdemeanor,1197399,N,CASE-9eb85238bc6e22e0,Dismissed,TimeServed,2289,2022-02-25,2019-09-09,403,N,N,N,56.6,Y,Y,N,N
2023-03-04,IPC-498A,Misdemeanor,774361,Y,CASE-a34d5c4b0935b84f,Pending,Diversion,980,2024-03-20,2023-01-08,9,Y,Y,Y,66.19,Y,N,Y,N
2021-02-02,IT-66C,Misdemeanor,707442,Y,CASE-e72bb3681595c42b,Plea,Probation,2042,2025-04-19,2023-10-13,606,N,N,N,20.77,N,N,N,N
2018-03-08,NDPS-21,Felony,1507562,N,CASE-a08af3d9e72d2220,Pending,Fine,3489,2023-08-01,2019-03-06,336,Y,N,N,12.7,N,N,Y,N
2019-11-05,IPC-498A,Felony,1877328,Y,CASE-83a8767e0787f530,Pending,TimeServed,1544,2020-02-17,2023-04-10,441,Y,Y,N,22.9,N,Y,N,Y
2019-02-16,IPC-498A,Infraction,2083124,N,CASE-460eab1f30236306,Transferred,Imprisonment,3146,2023-08-12,2018-05-07,241,N,N,N,81.52,Y,N,N,Y
2024-06-17,IT-66C,Misdemeanor,955539,Y,CASE-1c34e8d4fef2b519,Convicted,Fine,2951,2023-08-14,2019-01-02,508,N,N,Y,31.45,N,N,Y,Y
2025-12-23,IPC-302,Felony,1823970,Y,CASE-091bec809ede8f84,Transferred,Probation,2670,2018-12-31,2021-07-29,410,N,Y,Y,82.23,N,N,Y,Y
