safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_ncoial_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE-13,HH-22d39d57f898a6,8.59,7.3,Y,N,N,N,FearRetaliation,0.03,50.63,40.11,8.91,0.08,Never,Rarely,0.36,2.03,InPerson,3.505009
WAVE-57,HH-7475d307dc3543,6.7,6.17,N,Y,Y,Y,NotWorthIt,0.65,54.85,0.0,2.87,4.12,Never,Rarely,0.33,1.38,Web,1.334363
WAVE-51,HH-2224b18bad840a,5.3,2.19,Y,N,N,Y,NoEvidence,7.04,74.61,96.44,0.58,0.23,Never,Sometimes,5.25,3.75,IVR,0.884369
WAVE-57,HH-6a0b06fd06cb81,5.4,2.38,N,N,Y,Y,DistrustPolice,1.2,88.08,47.45,7.84,0.1,Rarely,VeryOften,4.1,9.17,Web,3.757985
WAVE-39,HH-171af083c7181e,0.68,7.25,Y,N,N,N,TooMinor,9.65,45.52,77.45,6.6,9.24,Monthly,Never,3.31,8.01,Phone,1.399224
WAVE-26,HH-d922589262e722,7.51,1.28,Y,Y,N,N,DistrustPolice,5.81,41.9,16.85,0.69,0.05,Rarely,VeryOften,8.63,6.76,Web,0.395571
WAVE-53,HH-8bd1df03a04f4f,3.48,7.15,Y,Y,Y,Y,Other,6.55,96.4,0.36,9.25,1.72,Never,Sometimes,6.92,5.38,Phone,1.657796
WAVE-44,HH-7ad34db5dde923,2.42,2.1,N,Y,N,N,DistrustPolice,5.13,73.49,28.41,7.94,2.87,Never,Never,7.26,9.14,Web,3.208902
WAVE-27,HH-0ee8fc86439d2b,6.47,6.63,N,N,N,N,FearRetaliation,3.45,93.55,2.39,9.6,8.88,Rarely,Rarely,4.73,8.17,IVR,1.055363
WAVE-26,HH-98da8bac5ea3b7,2.13,1.59,N,N,N,Y,NoEvidence,7.39,65.1,90.06,6.69,0.03,Rarely,Rarely,8.82,5.06,InPerson,3.733529
WAVE-25,HH-b98cbaa386c797,0.83,7.12,N,N,Y,Y,NotWorthIt,2.66,63.55,77.27,8.55,0.38,Never,Never,6.05,8.05,InPerson,1.926285
WAVE-55,HH-c61c576ee07bc3,3.48,9.0,Y,N,N,Y,DistrustPolice,6.33,85.37,47.06,2.8,3.11,Rarely,Never,9.93,6.76,InPerson,3.614056
WAVE-16,HH-b7860fb7c91171,0.11,5.23,Y,Y,Y,Y,FearRetaliation,7.62,0.24,20.56,9.24,7.21,Never,Rarely,8.33,1.11,IVR,0.428758
WAVE-14,HH-834d1ce30f7bdc,4.5,5.85,N,N,N,Y,Other,7.24,42.38,95.89,7.83,6.62,Never,VeryOften,2.83,3.17,Paper,4.377376
WAVE-08,HH-26d8a92c8681e5,5.12,3.94,Y,Y,Y,Y,DistrustPolice,0.6,0.34,78.6,8.13,1.02,Rarely,VeryOften,5.36,7.96,InPerson,3.338685
WAVE-48,HH-7aa80a61b07a08,7.84,8.28,N,Y,N,N,FearRetaliation,5.92,29.97,26.35,8.26,4.95,Never,VeryOften,2.69,3.97,Phone,3.022904
WAVE-57,HH-a6a4ab3444d877,9.45,2.51,N,N,N,Y,NotWorthIt,1.4,20.69,18.8,1.69,9.43,Never,Often,4.69,9.64,Web,3.543873
WAVE-58,HH-20c67bb6e432ac,2.26,9.88,N,N,N,N,FearRetaliation,4.41,59.48,33.55,1.76,9.98,Rarely,Often,9.44,1.81,Phone,2.332802
WAVE-24,HH-fa15ebe24b319f,3.96,1.79,Y,Y,N,N,NotWorthIt,1.67,70.59,70.63,3.27,9.98,Never,Often,4.87,6.85,Web,1.260635
WAVE-27,HH-dde4dea18dc313,0.96,2.14,Y,N,Y,N,Other,0.78,67.56,48.41,6.21,8.19,Never,Never,2.78,3.17,Paper,2.61006
WAVE-40,HH-412ca3870e2d40,3.95,9.82,N,N,Y,N,TooMinor,9.28,74.29,26.12,9.25,8.19,Rarely,Rarely,3.84,8.76,Paper,1.766264
WAVE-25,HH-90a3f3e5501349,2.88,1.95,Y,N,N,Y,DistrustPolice,3.91,2.07,91.68,6.02,8.11,Rarely,Never,9.47,4.0,Phone,1.982267
WAVE-25,HH-e7751cd2603800,7.6,4.59,Y,Y,N,N,NoEvidence,1.55,35.74,6.73,7.14,5.5,Never,Sometimes,1.18,0.31,Phone,0.559297
WAVE-56,HH-3658b729fda1c7,6.6,6.7,Y,Y,Y,Y,TooMinor,3.56,50.25,89.21,6.64,0.92,Never,VeryOften,4.72,1.79,IVR,2.645734
