safe_traffic_crash_date,safe_traffic_crash_time,safe_traffic_roadway_segment_id,safe_traffic_intersection_related_flag,safe_traffic_vehicle_count_involved,safe_traffic_pedestrian_involved_flag,safe_traffic_cyclist_involved_flag,safe_traffic_work_zone_flag,safe_traffic_weather_condition_code,safe_traffic_lighting_condition_code,safe_traffic_speed_limit_kmph,safe_traffic_estimated_travel_speed_kmph,safe_traffic_driver_impairment_flag,safe_traffic_seatbelt_use_flag,safe_traffic_airbag_deployed_flag,safe_traffic_injury_outcome_max,safe_traffic_tow_away_flag,safe_traffic_fatality_count,safe_traffic_crash_cause_primary,safe_traffic_post_crash_care_minutes
2021-06-05,09:25:40,SEG-b3811073c4cb0a,Y,8,Y,Y,N,Dust,DarkUnlit,40,112.1,Y,N,Y,None,Y,0,Mechanical,21
2023-08-03,09:21:34,SEG-09844a958d2bda,Y,2,Y,N,Y,Rain,Dusk,70,14.1,N,N,Y,None,N,1,Unknown,114
2024-07-26,04:19:26,SEG-db463631b13f6b,N,3,N,N,N,Storm,DarkLit,60,74.2,Y,N,N,Serious,Y,0,Speeding,105
2020-11-08,10:05:27,SEG-066f8318920029,Y,7,Y,N,Y,Storm,Dusk,50,13.0,N,Y,N,None,N,0,Unknown,4
2025-08-10,18:18:32,SEG-ce9057e6ef8e75,Y,8,Y,Y,N,Haze,Daylight,70,87.4,N,N,N,None,N,2,Unknown,214
2022-12-10,00:34:23,SEG-50fcf5de55f167,N,1,Y,N,N,Rain,DarkLit,40,66.9,N,N,Y,Minor,Y,0,RoadCondition,205
2018-07-10,12:04:57,SEG-ab0d2823fac84f,Y,2,Y,Y,Y,Fog,Dusk,30,93.0,N,Y,Y,None,N,0,SignalViolation,185
2025-02-03,04:54:13,SEG-fa6ed81c1750e9,N,6,N,N,N,Storm,Daylight,120,16.3,Y,Y,N,Minor,N,0,PedestrianError,120
2023-03-22,06:46:53,SEG-58cbce7c36faa1,N,5,Y,N,Y,Storm,DarkUnlit,120,108.4,Y,Y,Y,Minor,N,0,Weather,100
2019-08-10,12:47:23,SEG-cca8b6d7ed6c16,N,4,Y,N,N,Fog,Daylight,70,14.0,Y,N,Y,Serious,N,0,RoadCondition,142
2018-10-21,08:47:52,SEG-25b01cda66e04d,N,3,Y,N,N,Clear,DarkUnlit,30,33.9,Y,Y,Y,None,Y,0,Mechanical,35
2018-07-14,00:16:00,SEG-9362416542b7e7,Y,5,N,Y,Y,Rain,Dawn,60,41.0,N,N,N,Minor,Y,0,Unknown,156
2024-12-25,02:19:50,SEG-97e8a754687e8d,Y,3,Y,Y,N,Dust,DarkLit,40,45.0,Y,N,N,None,N,0,Speeding,229
2024-11-17,13:07:46,SEG-ae044423d44f85,Y,5,N,N,Y,Unknown,Dawn,70,110.2,N,Y,Y,None,Y,0,PedestrianError,69
2023-07-28,02:18:48,SEG-8b45b37f6d50eb,Y,1,N,Y,N,Clear,DarkLit,90,93.5,Y,Y,Y,None,Y,0,Weather,228
2023-06-10,03:39:24,SEG-a43de16f13bcf1,N,6,Y,N,Y,Clear,DarkUnlit,60,13.4,N,Y,N,None,Y,0,Speeding,79
2021-06-09,12:44:47,SEG-957f3dac9eb4f4,N,3,Y,Y,N,Unknown,Dusk,50,29.7,N,Y,Y,Serious,Y,0,Impairment,98
2019-10-01,06:10:06,SEG-183941e8343302,Y,1,Y,Y,N,Rain,DarkUnlit,90,23.7,Y,Y,Y,Minor,Y,0,SignalViolation,33
2023-08-19,18:37:57,SEG-0549c4454df4c0,Y,8,Y,N,Y,Rain,Daylight,70,57.6,Y,Y,N,None,N,0,Unknown,29
2024-07-23,09:51:22,SEG-2a78f51626e535,N,6,N,Y,N,Clear,Dawn,100,13.1,N,Y,Y,Serious,N,0,Speeding,49
2024-05-09,19:59:22,SEG-dc91efe03f9a14,N,5,N,N,Y,Clear,DarkLit,30,97.8,N,Y,Y,Serious,N,0,RoadCondition,153
2018-12-22,15:40:31,SEG-5bb433b08ced5b,Y,3,N,N,Y,Unknown,Unknown,40,71.7,N,Y,Y,Minor,Y,0,PedestrianError,109
2024-03-27,21:26:13,SEG-6717d7f75e6dd4,N,6,N,Y,N,Fog,Daylight,30,38.0,Y,N,N,Minor,N,0,Impairment,142
2020-07-06,20:01:03,SEG-ad6f53d4686303,Y,7,Y,Y,Y,Unknown,Unknown,80,36.5,Y,Y,Y,Minor,Y,0,SignalViolation,28
2018-12-21,15:43:20,SEG-912570daa74c4f,Y,4,N,Y,Y,Fog,DarkUnlit,70,90.6,N,Y,N,None,Y,0,Impairment,195
2024-12-28,10:04:18,SEG-5257d3c9b975a8,N,4,Y,N,N,Clear,Dusk,20,64.8,Y,N,N,None,Y,0,RoadCondition,102
2024-11-05,00:08:09,SEG-33006bdfca2db7,Y,7,N,Y,N,Storm,DarkLit,120,82.9,Y,Y,Y,Minor,Y,0,Weather,26
2024-09-30,13:32:40,SEG-05000d28afe58b,Y,1,N,Y,Y,Fog,Unknown,90,23.2,Y,Y,N,Serious,Y,0,Mechanical,226
2023-04-16,00:06:34,SEG-b31b73fa7fd45f,N,6,N,Y,N,Fog,Unknown,40,113.9,Y,N,N,None,Y,0,PedestrianError,146
2024-06-02,17:17:06,SEG-499f70093817c3,Y,7,Y,N,Y,Storm,Dawn,60,90.1,Y,Y,Y,Minor,N,0,Mechanical,103
2025-11-08,18:09:39,SEG-ceb5e69ad18ca8,N,6,N,N,Y,Haze,Dawn,120,78.7,N,N,Y,None,N,0,SignalViolation,208
2022-07-14,15:18:02,SEG-103ca197720072,N,5,Y,Y,N,Dust,Daylight,100,12.2,N,Y,Y,None,N,0,Unknown,13
2018-10-26,20:43:48,SEG-d4e8c6458276bc,Y,8,Y,Y,N,Clear,DarkLit,30,54.8,Y,N,Y,None,N,0,PedestrianError,154
2018-07-14,20:25:06,SEG-2cd88f211eb7ae,N,2,Y,Y,N,Rain,Dusk,90,41.8,Y,N,N,Minor,Y,0,SignalViolation,31
2023-05-06,13:22:46,SEG-024a34f439b35b,N,1,Y,Y,N,Clear,Dusk,50,55.0,Y,Y,N,Minor,N,0,PedestrianError,138
2023-07-26,07:51:11,SEG-2ad6e52ad995c7,N,1,Y,N,Y,Fog,Dawn,120,78.4,Y,N,N,Minor,N,0,Speeding,226
2023-03-24,10:15:56,SEG-0e94fbb91cd208,Y,4,Y,N,N,Haze,Unknown,70,84.8,N,N,Y,Fatal,N,0,Speeding,62
2019-07-02,02:10:59,SEG-ba4a3deb5ab607,N,2,Y,N,Y,Storm,DarkLit,50,109.8,N,Y,N,Minor,Y,0,PedestrianError,200
2021-11-02,13:00:16,SEG-2e2580b877c1e2,N,4,Y,N,Y,Fog,Unknown,60,17.4,Y,Y,Y,Minor,Y,0,RoadCondition,225
2025-06-03,13:34:59,SEG-9a7e47fd42b8f4,N,5,N,N,N,Unknown,DarkUnlit,90,10.0,N,N,N,None,Y,1,Distracted,175
2020-01-30,05:25:22,SEG-353c4b00b928e1,Y,1,N,Y,N,Fog,Unknown,120,69.8,Y,Y,N,Minor,Y,0,PedestrianError,227
2023-09-18,18:24:05,SEG-156b6f1a87cc94,Y,6,N,Y,Y,Clear,DarkLit,120,72.2,N,N,N,None,Y,0,Unknown,183
2023-08-26,15:15:46,SEG-5420be434883aa,Y,3,Y,N,N,Clear,Dawn,40,97.2,N,N,Y,None,N,0,Mechanical,106
2019-03-19,06:56:12,SEG-8db3a1a5980638,Y,2,Y,N,N,Clear,Dusk,80,121.0,Y,Y,N,None,Y,0,Mechanical,23
2023-03-04,10:47:50,SEG-3203d6d7c6ff99,Y,4,Y,Y,Y,Storm,Daylight,100,51.1,Y,Y,Y,None,N,0,Speeding,117
2022-01-17,09:37:46,SEG-d8acf99c30b01b,Y,1,Y,N,N,Unknown,DarkUnlit,100,104.1,Y,N,N,Minor,Y,0,Distracted,110
2020-06-08,02:27:39,SEG-2c3d2d8cdbf6e6,N,1,N,Y,Y,Storm,DarkUnlit,50,50.9,N,Y,N,None,Y,0,PedestrianError,232
2022-03-15,11:06:03,SEG-7f7f1212abd709,Y,6,N,N,Y,Fog,DarkUnlit,80,77.2,Y,Y,N,Serious,Y,0,Weather,163
