soc_access_service_date,soc_access_state_ut_code,soc_access_district_lgd_code,soc_access_benefit_delivery_method,soc_access_dbt_transaction_id_hash,soc_access_bank_ifsc_code,soc_access_upi_success_rate_pct,soc_access_aeps_transactions_count,soc_access_eload_card_spend_inr,soc_access_authorized_retailer_density,soc_access_caseworker_caseload_avg,soc_access_appointment_no_show_rate,soc_access_document_verification_time_days,soc_access_language_service_request_count,soc_access_disability_accommodation_count,soc_access_office_distance_km_avg,soc_access_mobile_office_visits_count,soc_access_website_uptime_pct,soc_access_client_satisfaction_score,soc_access_service_gap_index
2019-01-04,JK,434748,InKind,a92576efcaf14615ae30bf4f,IDIB0890602,99.08,2722,302446.05,2.669,93.1,12.53,41,134,35,28.17,10,93.23,1.83,0.661
2019-01-30,UK,425506,Cash,62185b4af843427cb747edea,BARB0130881,99.73,2640,394262.27,3.216,215.6,17.6,36,115,34,25.05,48,95.78,4.52,0.775
2023-03-22,HR,988834,DBT,848e890a3153412d943411fd,ICIC0335945,96.91,2014,306733.61,7.387,158.8,5.22,9,240,14,11.9,4,93.85,4.18,0.384
2025-11-17,PY,759512,InKind,6892d98cf3c143aabbae8ce1,SBIN0207002,89.95,1810,174941.88,0.723,392.9,14.15,7,211,79,8.27,20,97.5,2.59,0.675
2023-06-24,PY,872650,DBT,eb17a14ae1c34d11b14adb01,BARB0188209,91.8,1224,436156.39,0.926,278.6,9.41,15,150,31,23.1,9,97.72,4.8,0.903
2025-08-07,AR,799510,InKind,e1674a97b3914ff0be0ddd76,SBIN0951076,91.01,1994,388162.06,3.322,106.2,14.58,20,223,13,3.13,36,92.07,4.01,0.1
2024-12-06,AP,528771,InKind,28cbdad9028247f8b8903258,CBIN0825011,84.79,366,308438.28,1.352,417.1,0.71,13,82,67,27.6,11,99.63,2.17,0.831
2020-12-20,HP,811046,DBT,7fa03016779f412280be8c4e,ICIC0428252,97.29,1465,178859.54,5.168,302.3,6.88,4,28,76,8.1,0,99.4,3.23,0.582
2019-09-19,AN,675994,InKind,91d5695d09994c259ef17d9a,CBIN0718563,94.1,4967,307722.35,2.769,86.9,6.76,22,140,17,20.85,19,93.06,4.48,0.422
2022-11-29,SK,766096,Voucher,138f143e611c408d9b40756a,UTIB0927499,93.42,814,183597.8,6.362,342.8,9.21,18,15,47,10.76,0,95.82,3.87,0.052
2023-05-06,OD,370766,Mixed,fdb793602eaa462687119efa,BKID0298731,85.94,3661,69834.15,5.64,249.7,2.52,13,235,72,16.81,22,93.67,3.62,0.384
2024-05-24,MN,308460,Voucher,13bdb574069f47b7b8ff2cb8,SBIN0112735,84.74,173,278475.62,3.584,189.1,9.61,37,30,53,28.06,15,99.71,3.09,0.794
2022-08-25,NL,262207,Voucher,26a8f4909d5a403e820bc73d,YESB0841696,97.63,3669,314146.03,6.353,110.6,11.91,13,214,34,10.19,55,96.53,2.57,0.542
2025-06-11,TN,360177,Voucher,5640a7bb7c894a44b8ddae7c,PUNB0750427,85.21,1322,157186.68,0.846,142.0,0.59,40,167,45,1.35,31,97.6,3.7,0.176
2024-11-28,AS,980656,Mixed,e611b32ef95a4a059c4761f2,YESB0244231,83.32,3511,418188.52,4.4,99.4,6.62,0,61,8,2.89,26,99.82,2.28,0.232
2023-02-07,SK,947835,Mixed,94e71f27c9f34fb0b242a707,IDIB0540680,93.2,2483,384416.8,4.578,344.3,3.9,23,133,78,2.79,36,97.38,4.31,0.848
2022-11-10,HR,231630,DBT,9c382908844c49b18be7c381,PUNB0244390,94.61,3878,262283.64,1.921,140.1,21.39,42,135,41,16.17,8,98.97,2.45,0.433
2019-02-18,AN,598473,Cash,803092b23f6a4c0abeaeb8c1,CBIN0642351,84.14,3333,27106.09,0.467,215.9,2.86,12,184,3,3.1,8,93.92,2.17,0.095
2024-06-19,HR,946354,Mixed,7f54e18a1ec24ff8b282aee3,SBIN0682812,85.7,2790,7747.13,4.06,407.6,13.8,29,106,27,14.56,9,93.84,2.02,0.973
2023-10-07,AS,779004,Mixed,d3cbb9a4d9644a9db4bfdf6c,HDFC0349014,96.12,3666,287948.83,3.901,417.9,8.84,33,148,32,24.49,52,95.53,4.33,0.253
2025-04-10,ML,650989,Cash,8137a3afd2bb4a1ea7b63e78,CBIN0802752,98.64,4829,366212.65,4.937,339.6,6.32,15,103,79,30.82,44,99.05,3.25,0.796
2019-08-27,ML,639275,Cash,b2dea0e13abb49e880189faa,HDFC0526236,90.53,2978,225158.78,1.676,342.6,18.79,28,23,70,7.91,57,92.31,3.04,0.013
2020-01-09,OD,393473,DBT,3dbdd28e172d4749b0f1cc82,ICIC0735721,96.18,869,10569.57,1.429,398.8,14.61,29,177,24,30.71,48,95.53,3.42,0.257
2023-09-13,DN,932050,Cash,ad81af9c71e4424d8be84500,YESB0675829,87.72,580,65173.0,7.337,341.8,13.65,21,64,13,34.24,7,98.6,3.62,0.337
2022-06-05,UP,174791,Cash,2a42b304b74a4574b1d02ccb,BKID0505682,94.59,2738,95060.22,0.941,208.6,2.06,16,69,3,21.97,9,93.42,4.53,0.859
2023-02-11,MH,881902,Voucher,7f93456a27d343cbbaaac014,BARB0363445,91.97,2157,282490.08,7.496,58.2,5.7,21,82,45,25.86,49,96.93,2.87,0.748
2022-01-16,UK,884104,Cash,b5fbd89db8064399a934c494,IDIB0283873,97.09,3042,218726.79,5.428,115.2,6.08,6,141,35,17.01,32,92.56,2.38,0.308
2023-06-27,OD,335237,InKind,9b03174e9caa493a94e38606,IDIB0771348,95.89,3337,45993.06,4.757,206.2,9.56,22,176,41,2.8,36,92.08,4.49,0.787
2023-08-11,HP,560774,Mixed,29a858dd1c644954bf742b9c,IDIB0677748,87.09,934,225753.48,2.614,137.2,20.27,14,203,21,33.61,14,94.55,3.29,0.81
2020-04-28,AP,896237,InKind,ef115fa907c74234932e63dc,UTIB0352847,84.68,3715,391271.77,6.522,161.7,8.88,15,149,64,33.1,30,98.45,3.6,0.512
