soc_case_report_month,soc_case_state_ut_code,soc_case_district_lgd_code,soc_case_program_code,soc_case_household_id_hash,soc_case_ration_card_type_code,soc_case_aadhaar_seeded_flag,soc_case_household_size,soc_case_eligible_persons_count,soc_case_participants_count,soc_case_new_applications_count,soc_case_approved_applications_count,soc_case_denied_applications_count,soc_case_recertification_due_count,soc_case_churn_rate_pct,soc_case_average_benefit_inr,soc_case_benefit_duration_months,soc_case_dbt_payment_channel,soc_case_benefit_upi_vpa_hash,soc_case_data_latency_days
2019-08,DL,385740,PMJJBY,9d696d3073e64989b5f465,SPHH,0,5,5,3,87,86,1,14,9.57,3879.56,42,UPI,1f1524c348294e358ac689cb,10
2024-06,AS,858457,JJM,d50aede9ad98443a925509,SPHH,0,4,5,4,104,68,36,64,6.69,4708.89,39,IMPS,3cb0701c83764fdb91e92576,2
2023-07,MN,131753,PMJJBY,53699f46e3974c3faa1d66,PHH,1,1,1,1,17,7,10,45,1.81,4498.3,54,UPI,8f917cbf45af49f4a91c157c,7
2022-01,MZ,501750,NSAP,f0b93695869d41e3afbb12,PHH,1,1,3,1,29,0,29,3,17.84,1800.33,22,UPI,46257e107c6d4dd8ad476e1f,16
2022-01,AN,820863,ICDS,fbc77ced877e48ec850f96,NPHH,0,5,6,4,4,0,4,57,3.56,542.98,45,UPI,8000cba4c6584273b0583aa4,12
2025-01,CG,957676,PMKISAN,98bc690650de4a0796230a,NPHH,1,5,6,6,58,48,10,70,4.97,5462.63,14,UPI,8b705444ffb746859ee4eb67,20
2019-08,ML,326275,PMKISAN,cc2c94925254421a92ee8f,PHH,1,5,4,3,59,36,23,17,4.63,5708.34,56,UPI,a592a6a444e843e688e288f2,16
2023-11,GA,685714,PMSBY,5484fbd705f041449ee391,AAY,0,2,3,3,3,2,1,77,16.39,6369.12,5,AEPS,8c0771f9d63e41d88d3e4cbc,7
2020-05,AN,270716,PDS,dc733e73e70040b0a58987,PHH,1,5,4,2,79,44,35,63,13.86,6250.21,45,AEPS,09a22b62540d45058a87a206,16
2019-08,TN,204308,PDS,134b307149534be2b3efc1,SPHH,0,1,3,1,1,0,1,59,8.5,4229.65,7,IMPS,4c20a7e051ab4c3c9dba84f2,18
2022-09,NL,417719,MGNREGA,3c874065a4cb4507a717b4,SPHH,1,2,3,3,95,76,19,26,17.22,5844.48,52,NEFT,b073b5d30c064bd184ae7481,13
2025-10,MN,896582,PMSBY,4e3ea5c8a031462084a707,AAY,0,4,4,2,84,77,7,9,1.42,3077.65,57,UPI,5fbdd237dbf545bc8dbcdd62,16
2024-02,GA,720527,PMJJBY,265c2fa3ae9e431fb2d0f2,AAY,1,5,7,6,97,79,18,34,16.14,5181.48,49,AEPS,48a5177ea9514d6c9bef5b94,10
2024-04,LA,540338,NSAP,905c7301474a4ee7a3548c,PHH,1,6,8,7,14,0,14,64,1.56,6223.07,47,AEPS,647b65e923dc40ce85fbb932,19
2024-01,TS,354536,NSAP,85696d0641424cd284145b,NPHH,1,8,7,7,104,93,11,46,7.34,5236.93,29,AEPS,d5f65a4cd2354566a8ef1728,4
2024-07,KL,227474,PMAYG,ddf700dd7542461fb25cf4,AAY,1,7,6,4,65,17,48,51,1.45,2877.75,15,NEFT,52c1321781994f88b51368f8,8
2022-08,MN,343688,MGNREGA,19c94784290f45208633a7,PHH,1,4,4,3,103,90,13,62,17.98,2642.11,59,UPI,f4ff19617e9a4731a404a2eb,5
2019-11,UK,237420,PDS,a1283c4920b64ae9a6abb9,AAY,1,7,6,4,83,74,9,27,16.5,2107.57,32,IMPS,bba38c8b8a1a4c1caa08e4b9,2
2024-11,UP,268376,PMSBY,3cafd26b90574ef8aa8d20,AAY,1,1,2,2,78,51,27,2,10.73,2575.79,49,NEFT,3f17bd6abf3c46af813cf8a7,12
2022-02,MZ,718779,PMSBY,69919e25eb014e7e933366,SPHH,0,7,8,7,3,0,3,70,4.31,5387.58,43,NEFT,1c089f10acd64eba801ec282,2
2022-07,KA,219428,PMKISAN,375b05fd7c5d4070909b8d,PHH,0,4,5,5,83,61,22,49,5.34,4649.3,42,NEFT,a4ea6e42eaf74d08981fd73c,4
2021-08,TS,142635,PMKISAN,953bb1df11ee49b09ecf67,PHH,0,7,6,4,53,17,36,45,8.37,1849.25,21,UPI,7361de294a51414393252994,16
2020-04,TS,588105,MGNREGA,893b296bcb534739a2e554,NPHH,1,8,10,9,101,98,3,45,6.15,4711.52,26,AEPS,e359799bdade4dbbaf0b8fe5,5
2025-06,SK,357934,JJM,e264ed98237f41e8a73e53,AAY,1,6,8,6,82,57,25,68,0.87,2652.25,26,UPI,c02120c5667a4620a7b82c05,18
2024-06,AS,509252,ICDS,56fc8a3f49d947df8a80e1,AAY,0,8,9,9,8,7,1,61,11.98,3758.19,36,AEPS,724990b67866467190fe7f96,1
2023-07,NL,225808,PMSBY,53048e2eebf141f8902516,NPHH,0,1,1,0,106,104,2,53,11.23,2596.29,43,AEPS,01f55d0ed2774aed91874bbe,9
2021-10,TN,288979,ICDS,f1ed207009be437cb80aa1,SPHH,1,2,2,2,7,3,4,62,16.33,3534.1,12,UPI,2a865b6a3d464807a75d7319,1
2024-10,LD,496969,PMJJBY,082c5da79f1b4c0d9c7733,AAY,1,6,7,6,35,27,8,23,8.84,4824.78,14,IMPS,185ed1e053974a69a48d5111,1
2022-10,OD,721019,NSAP,a90939dc227e49c4a0040b,PHH,1,5,6,6,26,9,17,56,6.53,4833.01,3,UPI,3557c68c77624a11ab84e3ce,16
