soc_policy_policy_effective_date,soc_policy_policy_change_id,soc_policy_eligibility_rule_area,soc_policy_income_threshold_pct_fpl,soc_policy_asset_limit_inr,soc_policy_work_requirement_flag,soc_policy_time_limit_months,soc_policy_sanction_rate_pct,soc_policy_exemption_category_code,soc_policy_expected_caseload_change_pct,soc_policy_observed_caseload_change_pct,soc_policy_expected_spending_change_inr,soc_policy_observed_spending_change_inr,soc_policy_application_volume_change_pct,soc_policy_approval_rate_change_pct,soc_policy_benefit_level_change_inr,soc_policy_disparity_impact_score,soc_policy_administrative_cost_change_inr,soc_policy_stakeholder_comment_count,soc_policy_implementation_status_code
2022-07-05,POL571749,Residence,206.1,51109,1,41,12.33,Senior,24.72,20.02,2369391572,1695283411,-7.12,-9.84,1620,-0.146,-8347431,667,Retired
2024-03-01,POL131756,Occupation,186.3,161344,0,3,16.54,SC,19.02,43.34,1218446864,463518285,-31.62,-9.68,-26,0.169,11826540,171,Retired
2019-02-18,POL527084,Age,205.8,196487,0,2,2.56,OBC,26.93,-5.57,1163272873,1627317954,36.34,4.34,2509,-0.937,14772340,366,Draft
2022-03-25,POL337554,Disability,214.4,288965,0,51,6.11,Migrant,31.87,-17.92,-394745447,989295997,31.72,-9.85,175,0.427,79029398,1136,Notified
2020-03-27,POL666399,Income,40.9,398531,1,2,5.82,OBC,8.85,-25.56,588312227,442311638,-8.08,-9.77,-625,0.095,86574751,719,RolledOut
2020-04-28,POL998950,Age,89.8,148595,1,31,2.1,OBC,19.71,-20.03,2009835469,1503969186,42.36,-0.85,660,0.825,-14024399,18,Paused
2017-12-04,POL607470,Landholding,177.4,270295,1,50,10.08,PwD,4.41,-10.12,470486789,-336971100,36.99,15.47,3509,-0.012,78061773,527,Paused
2023-09-06,POL823050,Assets,133.7,268958,1,31,5.52,EWS,22.15,-25.51,2216249395,-118587657,-26.21,-7.42,998,-0.926,70973555,11,RolledOut
2021-03-04,POL277866,HouseholdSize,64.7,73676,1,5,2.97,Tribal,7.2,40.78,1044911224,1084810378,11.27,-8.68,4281,0.624,806951,572,Notified
2025-11-11,POL425575,CasteCategory,53.6,257139,1,15,0.39,PwD,19.18,-5.61,2015092116,569920895,-19.1,2.62,-1277,0.883,32118604,486,Piloting
2022-04-26,POL834537,CasteCategory,238.1,351767,1,9,0.45,OBC,-8.5,39.81,1848733266,2466155435,-19.04,-4.13,-1390,0.227,33321375,675,RolledOut
2018-09-30,POL438484,Disability,218.2,222294,1,4,7.03,None,16.22,-1.79,890574094,147104855,0.58,24.14,3878,-0.235,2696322,145,Revised
2023-07-15,POL931512,Assets,107.0,191911,0,21,11.0,SC,9.71,10.5,2004529484,-90722898,-19.95,16.29,-347,0.098,22024080,273,Revised
2017-06-14,POL936861,CasteCategory,174.3,259020,1,20,3.83,SingleParent,-10.01,14.6,2088689048,-346536389,43.82,-2.37,-201,0.737,-2268553,233,Retired
2023-10-15,POL771673,CasteCategory,70.8,322739,1,39,16.38,PwD,16.14,-0.1,2384944062,2503092146,7.21,-14.61,3191,-0.832,41624521,997,Retired
2020-06-05,POL695780,Assets,68.3,90111,1,49,3.78,SC,-2.78,-3.18,-272952818,2668749788,47.78,-10.2,-415,-0.888,17337250,345,Draft
2017-05-11,POL408634,Age,110.1,65241,1,34,4.87,OBC,12.74,19.73,1926154927,2824352642,17.02,15.25,2186,0.667,30813748,823,Retired
2021-09-11,POL853270,Occupation,99.1,260494,0,32,5.47,PwD,14.5,37.58,1498325987,2770489563,22.06,0.56,-1232,-0.664,34494450,562,Draft
2021-05-17,POL989432,Income,245.7,13833,0,48,2.84,SC,15.27,26.09,1601086242,2720894204,19.12,-11.21,3755,0.408,37783650,414,Draft
2019-03-25,POL878006,Income,45.1,330109,0,15,17.98,None,16.02,3.06,2280734389,3104499011,-17.47,8.12,1925,0.829,240531,1067,Notified
2017-12-21,POL411787,Age,154.9,120830,0,28,12.91,Migrant,0.04,28.9,-382950127,913294934,-22.04,8.77,1194,-0.518,-18570308,668,Draft
2022-08-08,POL252361,Occupation,219.4,44392,1,35,5.41,SC,12.48,17.46,1765778801,1900854990,-6.58,-5.18,678,0.872,43041729,506,Revised
2021-02-15,POL922991,Income,45.4,305869,1,48,17.52,EWS,29.4,8.35,625834662,-440639252,28.71,-13.52,376,0.619,13415941,39,Piloting
2019-10-12,POL114497,Landholding,156.3,89157,1,21,11.43,SC,-20.91,36.36,1309940307,2691655052,47.17,5.37,85,0.369,-12896031,947,Retired
2022-02-03,POL817264,CasteCategory,119.8,160571,0,30,13.85,ST,21.99,7.85,207177739,-48365081,-20.37,5.37,4351,0.067,21316719,691,Paused
2025-12-03,POL341430,Income,85.3,165547,0,13,6.19,None,-17.27,2.94,373243761,1991282863,-27.13,0.56,331,-0.555,88748976,1152,Paused
2024-11-25,POL792134,CasteCategory,89.4,328093,1,18,3.9,EWS,2.94,20.03,1349429965,640304447,45.43,23.64,-74,0.165,47983742,966,Notified
2019-05-31,POL634968,Disability,211.0,105769,0,44,8.1,Senior,-15.16,2.52,605492608,1633700721,-0.92,-5.58,1247,-0.908,59535911,1012,Draft
2020-05-06,POL204083,Disability,137.5,253280,0,50,7.5,OBC,21.95,-8.49,393588862,2414023471,-11.03,2.63,45,-0.178,72809724,927,Draft
2024-04-18,POL917687,Age,49.6,399457,1,10,17.72,ST,-22.77,8.63,-392435093,1333687301,-34.2,8.59,129,0.284,54440185,1023,Paused
2018-03-09,POL942106,HouseholdSize,125.9,239742,1,59,2.61,Migrant,17.07,40.35,-41157964,3011998406,-15.92,11.07,92,0.776,28441191,928,Retired
2025-10-06,POL377752,Landholding,211.5,56390,0,35,2.43,SingleParent,-0.91,7.63,1325932604,575152778,-30.97,18.04,-673,-0.61,75477548,958,Piloting
2020-09-29,POL242906,HouseholdSize,184.7,113306,1,59,11.18,Migrant,-9.1,44.24,717726419,1529289284,30.8,-10.06,3821,-0.916,13567884,831,RolledOut
2021-07-16,POL865114,Occupation,240.5,214048,0,44,10.11,SC,32.63,31.51,-411695096,2660336210,-28.47,18.81,-395,-0.993,7986723,137,Revised
2025-10-30,POL493807,Occupation,202.3,128920,1,7,9.83,OBC,-7.48,6.4,551954440,1495792750,36.4,-15.44,-1369,0.631,8580605,300,Notified
2018-10-24,POL695968,Disability,75.9,206622,0,3,7.42,PwD,-12.3,-4.69,595891802,1430779088,30.19,-17.08,3166,-0.276,18402187,205,Revised
2018-07-05,POL842140,Assets,54.0,217289,1,54,6.5,Tribal,0.89,18.42,188909721,868490656,-31.84,19.2,1209,-0.767,65507532,1197,Paused
2025-02-02,POL689061,Landholding,137.1,294213,1,41,1.57,Migrant,-6.87,41.6,-521790,2355394342,59.28,-5.37,625,0.609,-8129104,329,Notified
2023-07-29,POL527298,Age,133.4,249179,0,51,14.26,Senior,18.67,1.05,-471423285,764897660,58.02,15.84,1698,-0.8,37572208,338,Piloting
2020-08-27,POL744656,HouseholdSize,155.0,279177,0,0,8.04,ST,-23.19,-13.98,1387644854,342623702,55.0,14.83,1840,0.115,46039489,809,Piloting
2017-12-18,POL174047,Assets,181.0,87323,1,9,16.15,Tribal,16.52,-20.18,1803134226,-111142853,-11.65,10.4,809,0.294,82336036,123,Retired
2021-12-11,POL560379,Disability,93.4,169285,0,48,8.92,Senior,0.33,8.77,196868045,1024273294,28.48,-10.8,3609,0.803,22244431,502,Notified
2023-12-11,POL644644,Age,247.5,330052,0,50,16.26,None,22.04,3.31,475570801,486584754,7.58,-0.89,3557,-0.134,32523347,723,Retired
2017-06-12,POL706235,CasteCategory,143.9,300889,0,16,16.63,EWS,-4.97,8.57,2199144857,3160591690,-3.29,16.42,692,0.358,55700951,603,RolledOut
2018-12-20,POL298412,Income,190.1,72816,0,59,10.07,None,-23.91,6.46,2399135522,1722077016,5.34,-15.58,-167,-0.971,-1792606,5,Draft
2020-03-01,POL813948,Occupation,125.8,25586,1,9,14.35,Migrant,20.8,13.06,1199923425,3171512411,31.11,2.77,1419,0.04,24825863,975,Draft
2019-07-22,POL396312,HouseholdSize,183.7,261267,0,18,1.87,PwD,-17.05,-6.46,697713159,2042250981,-24.7,-13.09,-563,-0.113,-16509045,577,Draft
2022-01-19,POL630446,Assets,246.5,177631,1,7,2.11,SingleParent,3.67,5.67,2459396223,2620928114,7.23,-15.4,194,-0.406,-19800350,39,Paused
2025-12-17,POL735018,Residence,72.3,164190,0,34,12.61,None,24.98,2.05,-325209303,-174374529,53.97,-0.13,799,0.839,26694692,64,Retired
2023-04-19,POL135298,Residence,131.5,10008,1,26,0.92,EWS,30.5,9.51,386457647,2027494546,23.05,-6.07,797,0.318,69776405,1038,RolledOut
2021-09-04,POL958858,Occupation,186.4,152662,0,36,12.81,SingleParent,-10.24,3.73,1076078466,-149795844,52.16,16.94,-423,0.131,22234833,1176,Piloting
2025-08-22,POL559535,Income,219.9,71481,0,17,4.15,PwD,25.29,18.76,239942510,-43545607,-32.55,1.96,1557,-0.738,40842846,677,RolledOut
2024-06-07,POL107421,Disability,173.8,13741,1,31,4.23,Senior,21.57,23.28,2269653793,-306029922,18.96,13.35,2183,0.361,31837305,804,Notified
2022-04-21,POL637278,HouseholdSize,88.6,159559,1,28,6.48,Senior,30.41,0.03,1077537836,1770255439,31.24,9.76,2170,-0.085,27284366,709,Revised
2017-06-23,POL333271,Age,175.5,329926,0,17,16.64,OBC,23.91,24.88,2170518834,1872012341,-2.86,22.81,3314,0.401,47341568,653,Piloting
2019-06-20,POL887819,Landholding,170.8,356548,1,50,12.79,Tribal,-19.63,38.43,491635484,503262306,-23.26,-8.3,-1037,0.473,84456815,336,RolledOut
2025-05-28,POL248622,Assets,49.2,95273,1,51,13.53,EWS,31.66,27.64,-3646343,2802576701,-26.46,15.14,-559,0.647,40596297,265,Notified
2022-01-23,POL104704,Age,167.4,109989,0,6,14.1,None,-23.52,28.13,2248004339,2908954082,16.31,-11.56,1122,-0.109,73357131,197,Revised
2025-05-30,POL753227,Disability,151.8,39427,1,17,14.97,None,-4.39,24.97,935251459,2458491383,-16.71,18.8,1397,0.754,16853093,93,Paused
2017-08-24,POL143714,CasteCategory,100.8,363719,1,15,3.07,None,-1.65,-0.48,1879236372,1779059092,-30.25,19.31,-267,-0.269,10660719,686,Retired
2018-08-22,POL279205,Landholding,90.2,26086,0,16,16.95,OBC,4.12,41.62,446266930,1671412904,43.85,16.78,296,0.327,-11277792,782,Revised
2018-05-07,POL431145,Residence,201.3,374910,0,6,7.15,Tribal,-10.89,-15.6,-171874730,893452730,41.46,-5.55,-544,-0.283,44212869,1010,Draft
2017-11-20,POL884497,Income,53.6,256579,0,23,10.11,SingleParent,-17.57,-8.01,1400660748,1134184666,35.97,-13.4,1756,0.785,61042417,1107,Paused
2020-03-13,POL822669,Disability,99.7,314599,0,38,14.58,ST,25.22,-14.43,289784894,-63616914,17.03,17.95,1363,-0.152,49155445,906,Draft
2026-01-29,POL641326,Residence,187.2,87994,1,22,15.35,SingleParent,13.51,6.33,2250118881,3031737746,14.04,6.53,2628,-0.58,73539150,898,Paused
2017-03-15,POL535890,Income,83.9,243006,1,37,9.11,PwD,3.49,26.08,381843338,1639471414,17.2,0.16,2283,0.968,3198740,959,Notified
2025-06-26,POL704467,CasteCategory,64.7,43519,0,4,9.8,SingleParent,21.48,-10.62,359162018,844499344,38.41,-1.43,125,-0.398,53153714,612,Notified
2017-09-07,POL374728,CasteCategory,246.4,263466,1,50,7.37,Tribal,29.91,42.05,1761790317,166567043,27.76,-15.44,3061,0.818,34535254,404,Revised
2017-02-22,POL896733,Income,158.8,240144,1,31,0.89,OBC,-11.56,19.56,632086116,945799176,-21.3,9.11,-589,0.679,14761464,528,Notified
2017-01-25,POL723929,Landholding,96.4,329557,1,43,11.66,Migrant,-5.63,40.2,-71163437,37776561,-1.94,3.44,2282,0.075,33606835,754,Paused
2024-01-08,POL626401,Disability,72.3,257965,1,29,12.19,Migrant,31.06,15.44,217528576,2432639583,29.92,23.26,2220,-0.431,59366186,728,Notified
2018-08-27,POL553925,HouseholdSize,41.5,388611,0,41,8.51,OBC,7.64,14.04,1489830759,2143812934,17.35,10.38,-88,-0.861,77981645,678,Paused
2018-01-01,POL667793,Income,197.4,196133,1,33,0.87,OBC,-8.13,42.36,-129035739,2236598847,53.49,23.45,-328,-0.494,46053058,1033,Retired
2024-07-02,POL616345,Income,115.1,220764,1,9,10.19,PwD,-15.51,40.92,1589149679,2001280539,-8.54,-13.71,-859,0.775,52926650,106,Paused
2022-10-28,POL715243,Assets,80.9,30341,0,13,1.86,OBC,34.32,22.03,2343733360,2797455050,33.61,10.71,2222,-0.433,82761558,780,Notified
2020-03-11,POL485499,Residence,229.7,43299,1,49,8.17,ST,7.1,-21.4,-90168826,92614613,32.54,16.64,684,-0.533,61435210,646,RolledOut
2023-12-18,POL368268,HouseholdSize,186.2,69401,1,20,14.37,None,26.74,-21.14,334737185,1393761723,36.79,7.5,4492,-0.886,4316370,82,Notified
2025-03-14,POL752547,CasteCategory,210.2,47358,0,0,4.09,None,13.16,-27.47,521875488,1744241126,26.0,7.67,2310,0.035,64344132,1,Piloting
2021-11-12,POL374951,Age,177.7,54923,1,31,16.54,None,1.62,-18.94,1260858270,3130607040,49.37,-12.99,-1441,0.09,-5881234,12,Piloting
2025-01-15,POL114025,Disability,232.5,104189,1,42,12.75,SingleParent,26.5,11.05,1443069122,777866727,39.21,-5.55,743,0.376,-5244135,882,Notified
2020-02-19,POL165507,Disability,112.3,111379,1,51,4.63,ST,-3.61,3.41,2392687046,451734782,42.49,8.46,-1415,0.734,84599544,1152,Notified
2024-11-04,POL101512,CasteCategory,72.8,278227,0,48,4.14,Senior,21.11,22.04,2450729083,-375380490,7.36,1.29,2259,-0.79,-7671657,1066,Retired
2022-11-01,POL570533,Landholding,41.4,194573,0,56,1.34,Senior,2.2,36.91,460097860,3086651063,-28.37,18.84,4006,-0.254,71133851,27,Paused
2018-12-04,POL714546,Landholding,47.1,370820,0,13,15.73,Tribal,28.84,-1.76,120489929,363201684,16.95,14.98,2970,0.23,54343263,1065,Notified
2022-09-15,POL358842,HouseholdSize,219.3,137175,0,42,1.13,Migrant,5.19,35.2,248198719,-177358487,10.55,4.07,92,-0.618,63058938,744,Draft
2020-02-11,POL123992,HouseholdSize,169.1,25365,0,18,11.27,ST,-5.45,37.21,1331032454,2807678174,53.21,7.53,-428,-0.458,41710983,388,Piloting
2017-08-21,POL677947,Disability,49.6,337675,1,52,13.53,Senior,18.54,20.85,305342572,2939600319,29.38,9.54,3764,0.59,63397243,245,Notified
2021-04-03,POL403469,Assets,62.4,337069,1,14,4.59,Tribal,26.61,32.66,1946494793,1456886339,40.19,9.48,-784,-0.931,85011681,732,Revised
2017-07-27,POL817465,Age,186.3,145315,1,42,6.85,None,26.06,39.44,888354860,431041003,31.36,11.32,2759,0.787,61625104,203,RolledOut
2020-12-03,POL429696,CasteCategory,120.8,28163,1,49,5.29,PwD,3.7,4.26,-467112785,1278094988,25.45,2.37,-34,0.569,15186456,895,Revised
2025-02-20,POL684927,CasteCategory,202.6,352350,1,35,14.43,SingleParent,1.41,7.73,1859825479,-177332438,51.8,-14.43,309,-0.351,78355536,249,Revised
2017-09-23,POL652428,CasteCategory,236.7,373415,1,25,17.92,SC,-16.04,8.72,767725314,-93740063,-28.61,22.98,-1220,-0.306,32647214,768,RolledOut
2023-02-25,POL355263,Occupation,198.8,398867,1,27,17.47,PwD,-22.65,4.52,2478580522,1222571207,48.01,-19.26,-481,-0.513,-2496806,1139,Revised
2019-03-04,POL795185,Assets,78.1,156420,0,21,1.25,Tribal,30.89,41.11,1787021716,2606921037,41.37,-19.25,-1264,-0.985,79571198,16,RolledOut
2022-05-29,POL834580,Residence,176.4,50853,0,6,12.2,PwD,18.51,-23.14,1179150485,-51366811,59.35,22.23,1623,0.413,25485368,183,Paused
