soc_vuln_index_year,soc_vuln_community_lgd_code,soc_vuln_poverty_rate_pct,soc_vuln_unemployment_rate_local,soc_vuln_housing_cost_burden_rate,soc_vuln_single_parent_households_rate,soc_vuln_disability_prevalence_rate,soc_vuln_limited_english_rate,soc_vuln_no_vehicle_rate,soc_vuln_crowding_rate,soc_vuln_broadband_gap_rate,soc_vuln_health_insurance_gap_rate,soc_vuln_food_insecurity_rate,soc_vuln_violent_crime_rate_local,soc_vuln_heat_vulnerability_score,soc_vuln_flood_vulnerability_score,soc_vuln_ncoial_isolation_index,soc_vuln_community_resilience_score,soc_vuln_resource_access_score,soc_vuln_overall_vulnerability_rank
2018,533923,31.08,7.73,29.9,8.25,7.18,1.49,7.29,7.81,27.69,29.16,18.91,5.59,0.691,0.913,0.397,24.7,29.8,769
2023,192005,30.95,17.61,40.46,15.2,3.21,0.16,18.62,10.56,1.04,21.98,12.9,6.69,0.273,0.536,0.992,84.0,18.1,349
2021,777085,49.14,4.04,24.97,17.13,7.0,4.0,30.78,9.03,39.28,17.53,19.02,0.99,0.382,0.72,0.327,16.8,95.9,515
2020,764149,8.25,15.77,49.18,6.27,11.9,3.84,57.45,10.69,8.64,29.95,25.28,5.45,0.304,0.217,0.087,74.5,34.2,678
2017,476583,30.48,11.64,41.64,18.66,2.46,7.29,45.03,15.44,6.53,38.73,16.59,3.04,0.944,0.876,0.82,71.6,46.7,844
2020,942130,9.71,14.82,37.18,3.69,2.56,0.34,38.05,11.72,5.36,22.94,18.78,6.12,0.983,0.92,0.746,28.3,15.4,31
2021,220262,9.48,8.46,28.99,3.57,3.69,1.5,49.35,3.98,30.36,16.18,27.34,3.87,0.057,0.581,0.074,77.6,31.8,692
2023,367091,36.07,3.28,12.68,13.98,6.71,1.75,38.67,6.4,38.75,8.45,18.22,6.2,0.406,0.884,0.543,91.9,47.9,378
2022,503007,6.24,9.83,7.58,7.93,5.93,1.01,7.54,10.19,28.17,8.84,10.79,1.49,0.155,0.128,0.026,5.1,28.3,930
2016,481420,16.2,13.75,40.28,6.25,9.28,5.68,39.06,10.65,35.62,18.09,37.9,4.14,0.291,0.843,0.825,7.4,87.2,768
2017,258863,51.76,8.1,10.0,10.39,11.07,2.48,51.51,13.72,14.21,32.62,36.94,4.34,0.313,0.227,0.145,56.6,14.9,480
2023,357165,41.06,14.72,10.42,17.27,8.61,6.69,52.14,10.19,6.23,34.44,30.55,3.19,0.601,0.759,0.228,6.9,92.0,545
2024,398175,48.93,15.53,19.98,15.89,6.92,2.82,13.67,10.11,25.84,16.93,12.88,5.72,0.197,0.771,0.691,13.9,91.1,594
2017,465697,19.91,14.79,50.91,15.58,1.86,3.93,41.93,1.68,12.79,12.51,6.57,8.64,0.234,0.632,0.719,42.6,34.0,859
2020,376183,50.62,8.64,39.37,12.78,2.92,5.6,13.98,7.41,16.06,34.72,30.21,3.92,0.663,0.0,0.321,48.0,82.3,456
2020,432684,39.79,7.34,40.12,9.39,9.17,7.14,7.83,2.44,34.54,43.1,32.16,7.84,0.603,0.069,0.623,82.4,91.5,125
2021,610483,5.96,9.1,43.06,6.9,7.46,0.55,6.45,7.7,16.03,22.76,21.54,6.6,0.791,0.275,0.03,9.0,91.5,758
2019,981689,35.36,6.94,44.5,11.86,0.67,5.75,35.46,5.44,1.56,16.53,3.15,7.15,0.312,0.619,0.995,58.0,50.9,514
2021,838634,4.7,4.44,54.76,16.2,7.71,0.17,6.29,12.49,21.23,20.07,3.43,2.85,0.204,0.138,0.265,10.6,42.8,137
2025,118908,28.87,6.41,9.23,12.2,5.43,4.06,2.61,2.34,12.46,38.78,4.13,1.15,0.17,0.072,0.814,27.9,46.3,697
2019,484028,7.33,9.37,10.36,1.8,10.08,4.34,33.2,10.99,12.12,2.93,32.03,8.25,0.979,0.068,0.275,77.5,33.4,923
