tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_nic,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_inr,tax_incent_credits_claimed_inr,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_inr,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2020,INC-2874,INTEREST_SUBVENTION,81,GREEN_TECH,4863,1775,92979738,37414731,109,7462,6540,17209610665,9198865263,0,0,72.95,14217.09,0,2027-05-01
2019,INC-1151,CAPEX_SUBSIDY,73,R_AND_D,937,305,497408009,184387619,268,3418,1273,4522793945,4479520521,0,0,67.14,390736.85,1,2027-03-01
2022,INC-8611,GST_REFUND,68,MANUF_UPGRADE,1262,390,156628678,97018089,1960,6644,3922,17738844978,13437234248,0,0,82.46,39935.92,0,2026-07-27
2021,INC-2621,EXPORT_REBATE,21,MANUF_UPGRADE,3019,2110,192022045,162416818,1586,5647,5618,4738386634,2569531291,0,0,85.32,34179.79,0,2028-06-22
2021,INC-9863,GST_REFUND,36,SKILL_DEV,1720,885,312439681,258749121,1156,2673,375,6554602447,4828868085,0,0,95.94,833172.48,0,2027-08-24
2022,INC-0440,GST_REFUND,35,GREEN_TECH,600,180,363542129,259477969,3917,553,195,14033188799,12787345415,0,0,85.0,1864318.61,1,2030-08-27
2021,INC-0155,CAPEX_SUBSIDY,66,MANUF_UPGRADE,3546,897,163422695,86220985,713,4396,3096,4754479823,2865287158,0,0,84.2,52785.11,0,2026-12-01
2024,INC-3975,GST_REFUND,12,MANUF_UPGRADE,2537,2028,104712694,87916083,116,5856,4139,9212320897,2382510916,0,0,86.92,25299.03,1,2029-10-13
2020,INC-3465,EXPORT_REBATE,76,MSME_FORMALIZE,3421,1712,446337618,341376506,3814,5393,889,5713928528,1769189024,0,0,83.63,502067.06,0,2028-02-16
2025,INC-2553,TAX_HOLIDAY,41,MANUF_UPGRADE,2665,1513,486249775,178889382,1151,7449,6088,15838762016,13207550664,0,0,93.81,79870.2,1,2033-10-29
2018,INC-2982,GST_REFUND,75,MANUF_UPGRADE,244,94,151111452,137272348,3056,2839,1529,1414558360,834501403,0,0,93.16,98830.25,0,2028-09-13
2024,INC-9322,INTEREST_SUBVENTION,74,R_AND_D,867,293,211162400,84205142,3607,6115,2329,1876026112,1791044789,0,0,82.3,90666.55,0,2031-07-09
2018,INC-5699,TAX_HOLIDAY,72,MSME_FORMALIZE,4382,1122,377807899,187341839,3438,312,121,12220994037,8459973720,0,0,98.05,3122379.33,0,2029-03-17
2018,INC-3998,GST_REFUND,55,SKILL_DEV,4233,876,160337963,81626111,5,6445,5129,11915951460,10382417496,0,0,72.31,31261.06,0,2032-08-07
2021,INC-8942,GST_REFUND,20,GREEN_TECH,699,470,498000474,310995113,2854,4890,2784,8649931782,7706478674,0,0,84.68,178879.48,0,2033-11-08
2023,INC-8127,GST_REFUND,65,GREEN_TECH,1438,464,3236539,2863064,1537,4105,3251,7389471565,4394568205,0,0,91.22,995.55,0,2028-05-02
2020,INC-0182,TAX_HOLIDAY,48,R_AND_D,4871,3840,439053845,183297515,4052,6436,4490,17180077138,4894447784,0,0,88.08,97784.82,0,2032-07-12
