tax_property_assessment_year,tax_property_parcel_geocode,tax_property_property_class_code,tax_property_assessed_value_total,tax_property_market_value_estimate,tax_property_tax_rate_millage,tax_property_tax_bill_amount_inr,tax_property_homestead_exemption_flag,tax_property_senior_exemption_flag,tax_property_disabled_exemption_flag,tax_property_appeal_filed_flag,tax_property_appeal_outcome_code,tax_property_assessment_ratio,tax_property_equalization_factor,tax_property_delinquency_rate_pct,tax_property_foreclosure_initiation_flag,tax_property_tax_increment_district_flag,tax_property_school_levy_share_pct,tax_property_municipal_levy_share_pct,tax_property_payment_plan_enrolled_flag
2018,749373931975,RES,17729374,24116966,17.97,324332,1,0,0,0,NA,0.735,1.018,3.82,0,0,0.66,0.34,0
2023,575166554767,RES,1622640,2500231,5.26,9559,0,0,0,0,NA,0.649,1.12,6.8,0,0,0.64,0.36,0
2025,366482383080,RES,1438260,2155381,10.17,13589,0,1,0,0,NA,0.667,0.929,5.81,0,0,0.71,0.29,1
2021,991691676550,RES,4792743,8374890,2.25,12293,1,0,0,0,NA,0.572,1.14,1.79,0,0,0.59,0.41,0
2021,340936770031,MIX,15720001,17141432,24.34,422800,1,0,0,0,NA,0.917,1.105,7.12,0,0,0.73,0.27,0
2021,256582009085,RES,282448,473332,15.36,4850,1,1,0,0,NA,0.597,1.118,7.76,0,0,0.75,0.25,0
2023,798543773355,RES,9391968,14675004,4.59,38626,0,0,0,0,NA,0.64,0.896,8.88,0,0,0.57,0.43,0
2025,101873922632,RES,9854626,15029654,23.14,201584,1,1,0,0,NA,0.656,0.884,2.45,0,0,0.27,0.73,1
2024,531568026860,RES,23588834,26521288,11.08,267114,0,0,1,0,NA,0.889,1.022,4.57,0,0,0.38,0.62,0
2022,433883188289,RES,21056424,28580359,18.99,446245,1,0,0,1,REDUCED,0.737,1.116,2.22,0,1,0.38,0.62,0
2018,332952246668,COM,6434959,9382840,6.56,40187,1,0,0,0,NA,0.686,0.952,2.06,0,0,0.64,0.36,0
2023,509336051888,IND,18548010,27489181,16.49,276494,1,1,0,0,NA,0.675,0.904,4.91,0,1,0.6,0.4,1
2025,556146969308,RES,7884632,10426128,23.52,167829,1,0,1,0,NA,0.756,0.905,0.3,0,1,0.37,0.63,0
2023,480711569886,IND,11270861,19056353,6.48,69822,0,0,0,0,NA,0.591,0.956,1.25,0,0,0.34,0.66,0
2020,919865036788,COM,10694063,11656287,1.56,19319,0,1,0,0,NA,0.917,1.158,4.24,0,0,0.41,0.59,0
2023,983804922255,MIX,364476,513816,19.26,6922,0,0,0,0,NA,0.709,0.986,4.18,0,0,0.34,0.66,0
2020,164777037001,RES,18628332,26926232,15.0,252600,1,1,0,0,NA,0.692,0.904,6.07,0,0,0.74,0.26,0
2022,885591719698,AGR,1949886,2414408,17.17,32676,0,0,0,0,NA,0.808,0.976,1.49,0,1,0.32,0.68,1
2023,595567520758,RES,1070049,1660077,13.53,14058,0,1,0,0,NA,0.645,0.971,7.51,0,0,0.5,0.5,0
