tax_sales_collection_month,tax_sales_state_ut_code,tax_sales_gstin_hash,tax_sales_tax_jurisdiction_code,tax_sales_tax_base_category,tax_sales_gst_rate_pct,tax_sales_gross_taxable_sales_inr,tax_sales_gst_collected_inr,tax_sales_vendor_count_reporting,tax_sales_filing_frequency_type,tax_sales_e_invoice_share_pct,tax_sales_e_waybill_count,tax_sales_itc_claimed_inr,tax_sales_reverse_charge_liability_inr,tax_sales_late_filing_rate_pct,tax_sales_penalties_assessed_inr,tax_sales_interest_assessed_inr,tax_sales_compliance_gap_estimate,tax_sales_refunds_issued_inr,tax_sales_data_certification_level
2020-06,TS,1a87bb2803321e173f58def7adc3cec5e2dee151b4d549e8ba0250d455abfe6b,GST-HP-90,GOODS,18,130113804,23177134,36960,MONTHLY,56.21,53031,5045134,1130727,7.55,218065,8171,6.8,5212603,L1
2026-04,JH,f13e61321ea5c88eb99e62d66b66cddfa269999e60644c6c4a42461ef6397f01,GST-HP-12,SERVICES,3,93193129,2236661,16057,QUARTERLY,6.33,156304,906424,173770,10.27,57783,2028,0.02,481126,L2
2025-01,WB,1a5870144c1f7f7b1fc73a488e6a1999d9f88d969c8bcc6ea7a28e008c065524,GST-PB-90,GOODS,18,72475177,13111854,45814,QUARTERLY,90.97,62048,10217591,937333,4.91,314365,194955,9.26,346784,L1
2021-07,SK,51beef8ee0c19c005e1e92321379e2fc7931770b0ef8175c48c496b79b6f8ba8,GST-HP-88,GOODS,18,248676757,41439783,32134,MONTHLY,73.83,12641,9707661,117938,10.45,1213797,655094,11.08,4571073,L1
2026-08,MH,04020eb9001cde7923e88089d37d22cd5f1133de0a3e36eba9ab7c75233678ae,GST-HP-91,GOODS,28,79164822,20706386,34038,MONTHLY,73.47,94771,13016987,1407474,2.57,314448,14242,1.68,3626193,L2
2024-10,GA,97f5f3f9eac2e60628ad0547facbb4f4074fbeb1295199df77177fd83b09a428,GST-ML-40,MIXED,12,166507260,17354861,8089,MONTHLY,74.02,141335,10972939,1216403,7.69,302036,264366,6.99,463765,L2
2020-12,TR,3f754b8506560172333c230ae7be8b7fc3e92f08b9719b1710ac65079aea7f87,GST-AN-48,GOODS,3,225086761,5424893,928,MONTHLY,18.54,75323,1737358,117918,10.71,51463,60677,6.9,446600,L1
2023-04,BR,6e250714e931f67681496311b23b6b95666425643648fe05febe8a40a0e1d389,GST-KA-37,MIXED,18,31364817,4394700,6039,MONTHLY,10.61,144968,1105406,340537,6.6,67414,28083,2.05,390111,L3
2026-06,JK,dd1bc8493108859631e465de88b03e6bb5dc7307a075eb82b7c1be3d6df583d4,GST-JH-44,GOODS,28,242221570,65747459,28942,QUARTERLY,44.87,147838,44842655,2253920,9.36,1427278,858374,7.64,10892218,L2
2024-05,CG,3f2aab6714e47f15f4c652b737690b9d4bc3db4c4b7c4e04ff5bcfb1074e6b50,GST-OD-68,GOODS,18,147095697,26100588,44918,MONTHLY,69.94,56913,8096727,1564252,7.26,31141,160277,9.88,558896,L2
2024-02,BR,1c695a652790a2cb2e5976618307a76264d2512d1d6cb980a50f6de22dc9d6ce,GST-MP-27,MIXED,12,13770046,1293425,21035,QUARTERLY,99.29,92868,897989,4285,1.92,34427,11389,10.55,274586,L2
2022-06,HR,d073561178f9a6f613bf296fbc25e60abf3509c5b299e6e73c0de3309cf8be4b,GST-PY-81,GOODS,18,3320615,539491,27070,MONTHLY,27.85,156970,423562,7048,11.03,9921,5260,1.92,55425,L2
2021-11,CH,0d9f86d459e120d98884c7f20233e57e2a71f373cd0e55d7b3a3f431b418c189,GST-CH-35,GOODS,18,222889372,37681681,39073,MONTHLY,90.85,70012,6893301,1236956,2.46,353805,221499,10.93,83239,L1
2024-11,DH,f86c5434af43296be9acf877859170dd35c9a7cc3f886b0d22033348792f73b3,GST-MN-67,SERVICES,5,115635303,4254105,9367,MONTHLY,7.69,72123,1471185,33409,9.42,41190,27924,9.94,991463,L1
2021-06,RJ,5fa03670aa8d8eac4ff8172b1554e88a7fdd011ab70d21790d238405d7097ee4,GST-CG-95,GOODS,3,206792672,5596409,37643,MONTHLY,30.09,129462,3691654,263845,1.12,166444,99725,2.27,858461,L2
2025-02,AN,8c940d32f5c0a4286bff0a0b154b59c4df879551bfeebc8869fd741ba345afae,GST-HR-23,SERVICES,18,58213076,8233255,33602,QUARTERLY,41.08,79306,4496427,170540,5.87,73713,67169,2.97,364848,L2
2021-12,ML,118560e3aa6d1dfd3b4592e38c5e8e32b311bfbbb08a8dd67d613a653c9bd1ba,GST-AN-28,GOODS,5,47450693,1801344,9977,MONTHLY,35.38,98455,921098,40973,6.99,30203,9984,4.84,377424,L2
2020-06,PY,9b0d7a881c2a7b6309912ef7512eff69d0fb03a695d20537e7e055bcb4d48c08,GST-MZ-93,MIXED,18,213468791,29831912,19400,MONTHLY,83.34,118083,14252452,1598720,8.1,321845,302130,11.02,6067256,L3
2020-05,AR,b59bf69d682d1fd3ba6dedde21a7fa9b2bc7e73224b4077db4e4ce8766ef49cf,GST-HR-11,SERVICES,28,118556611,25906429,15863,QUARTERLY,43.67,3509,21241018,1038206,8.42,430526,69435,4.92,5591381,L2
2025-05,TN,0e5c8db5eddf42b41a2ba376f3759fc19d172fd8f396c3777b890fbc189f203b,GST-TN-04,GOODS,5,23292285,987632,48895,MONTHLY,76.85,138011,685385,17163,0.66,12548,11151,11.35,144803,L3
2023-11,MH,a899b355e0dfad1943e2425c81ffc8567341194db4e05db538bb16ee2fb73a83,GST-TS-24,GOODS,28,121287994,26891369,10840,QUARTERLY,88.37,128983,14443874,453987,3.87,393764,452174,10.05,3981062,L1
2022-08,MP,96c6169ef3e060846be10c1a4d9c6c026488b1debc96e2f0c454c7526ab3910d,GST-KL-39,GOODS,18,71831825,12124057,47116,MONTHLY,50.62,159428,4594218,321007,8.02,28984,116603,10.96,2570939,L1
2023-09,AN,ac812b9ed5a016847350736d5c2520745df4e199ec9a3f96cebabb51d1b8bc6e,GST-GA-89,GOODS,18,51741284,9404664,26438,MONTHLY,38.41,31818,1567137,238814,4.5,17937,2938,1.11,1471516,L1
