tech_adopt_survey_year,tech_adopt_community_digital_id,tech_adopt_households_with_internet_pct,tech_adopt_households_with_computer_pct,tech_adopt_smartphone_only_households_pct,tech_adopt_digital_literacy_score,tech_adopt_affordability_barrier_rate,tech_adopt_language_barrier_rate,tech_adopt_disability_access_barrier_rate,tech_adopt_public_wifi_access_points,tech_adopt_library_device_loan_count,tech_adopt_digital_navigator_program_flag,tech_adopt_training_sessions_completed,tech_adopt_telehealth_use_rate,tech_adopt_online_learning_use_rate,tech_adopt_remote_work_enablement_rate,tech_adopt_banking_online_adoption_rate,tech_adopt_cyber_safety_incident_rate,tech_adopt_privacy_concern_score,tech_adopt_equity_gap_index
2020,LGD648589218,27.69,25.34,23.88,58.3,2.22,10.54,9.67,1180,4506,0,3393,61.86,17.12,43.75,76.39,11.76,62.3,0.357
2024,LGD459278523,38.01,12.98,39.74,81.7,50.57,22.82,4.31,853,1556,1,5645,51.18,5.24,43.52,16.31,16.59,98.0,0.883
2024,LGD407343690,72.57,59.11,61.12,47.1,2.95,1.51,2.91,525,116,0,2732,49.4,74.36,22.06,83.82,20.63,1.2,0.922
2023,LGD818583532,16.54,13.48,46.33,81.2,17.26,23.02,17.83,808,543,0,8122,21.32,39.57,20.55,45.43,33.34,43.2,0.214
2024,LGD566954927,33.32,15.06,53.11,86.1,2.1,16.39,10.59,513,1761,1,106,42.5,61.39,3.49,39.74,27.63,11.0,0.975
2021,LGD289282077,95.93,48.81,25.96,94.2,41.73,3.38,24.49,729,1920,0,331,57.24,35.21,8.07,69.71,4.28,74.5,0.845
2020,LGD392049579,53.98,30.19,47.49,41.9,57.98,13.01,7.26,37,718,1,6873,29.44,45.97,30.54,45.14,26.01,4.6,0.78
2019,LGD247719861,21.6,10.91,76.84,74.8,6.19,6.77,2.75,554,4306,1,8820,42.03,12.62,26.97,29.27,7.35,59.6,0.432
2023,LGD417845194,34.16,18.61,29.63,11.1,50.04,34.26,11.18,918,2163,0,7459,44.66,18.19,56.93,67.25,21.0,2.6,0.074
2021,LGD141113978,51.43,32.35,51.1,45.2,42.09,0.71,16.95,512,2754,0,8855,40.0,37.23,14.08,33.76,5.28,36.8,0.752
2018,LGD315479750,16.29,6.69,68.84,97.7,46.96,20.89,12.16,1064,4243,0,6674,53.25,6.22,37.14,73.05,31.98,97.2,0.687
2021,LGD851961607,85.7,44.86,45.08,4.2,51.01,17.04,17.0,1092,4908,0,268,37.49,81.44,37.47,96.94,33.13,70.0,0.52
2018,LGD174107036,74.38,54.04,23.64,39.5,17.15,8.83,8.04,395,1458,1,5389,1.68,27.46,24.83,74.82,30.26,83.0,0.288
2018,LGD785220197,33.63,27.85,20.33,45.3,58.51,33.9,21.61,582,1577,0,8417,4.51,11.05,59.17,50.59,32.16,66.0,0.608
2022,LGD877473263,67.07,24.54,79.99,17.6,9.06,16.97,2.15,650,4672,0,781,24.75,0.49,59.44,23.21,17.36,3.5,0.169
2019,LGD288480336,48.95,48.31,14.32,82.1,33.62,29.78,8.17,80,3594,0,3094,13.14,89.87,49.42,13.34,24.77,53.0,0.658
2022,LGD275268036,55.33,19.06,50.04,40.8,0.11,26.36,9.55,201,3068,0,2029,38.19,16.35,18.69,29.74,24.92,16.5,0.733
2023,LGD002177715,67.92,13.54,61.49,31.5,53.23,17.75,3.01,382,4054,1,593,12.9,8.99,17.47,92.41,21.62,39.3,0.093
2019,LGD583690652,69.97,16.64,73.61,92.7,32.41,27.94,23.31,505,2651,0,4991,51.58,10.99,55.79,51.21,21.22,53.7,0.087
2024,LGD265687129,75.72,62.56,59.34,99.9,4.7,10.23,23.59,2,2471,0,8549,10.29,2.46,17.05,40.62,33.33,64.8,0.03
2018,LGD611443669,65.62,12.93,83.85,73.0,7.58,26.01,15.94,775,2873,0,7607,46.41,8.51,49.52,49.13,29.42,89.4,0.142
2022,LGD870094326,28.7,23.3,50.41,80.6,27.49,6.92,9.9,871,4489,0,7158,62.06,51.69,61.23,82.63,24.91,95.3,0.136
2020,LGD530040875,36.22,26.42,10.32,79.7,44.91,4.55,8.56,1107,2145,0,292,30.56,26.14,53.86,75.86,19.02,70.6,0.549
2022,LGD993737681,25.28,13.12,44.6,31.4,14.63,9.47,24.96,461,1572,0,3414,1.57,57.32,27.14,49.93,17.85,19.7,0.118
2020,LGD995603260,30.7,11.57,30.28,80.8,26.23,25.7,20.36,161,4783,0,4211,52.42,69.86,50.09,92.99,8.79,87.6,0.752
2022,LGD876777033,37.44,24.55,17.15,52.6,4.34,3.43,11.32,1168,2333,0,4815,67.78,81.83,11.94,55.2,4.92,63.6,0.335
2025,LGD924995970,38.09,33.39,70.36,34.1,34.05,27.69,7.6,904,4353,0,6223,53.26,6.04,28.23,58.08,29.12,50.6,0.918
2018,LGD997511185,75.41,24.88,15.22,98.3,57.7,15.19,22.32,756,3021,0,6979,65.09,0.04,60.77,36.0,23.77,19.3,0.32
2018,LGD032483934,38.71,8.09,79.33,97.6,54.55,34.91,8.51,298,4132,1,6276,60.9,33.17,30.85,50.24,24.5,65.7,0.123
2024,LGD936794023,43.25,20.0,39.15,8.4,25.35,28.83,11.49,799,4908,1,3009,21.05,52.62,26.43,23.58,10.89,20.1,0.601
2020,LGD533159524,39.04,22.01,19.91,69.9,24.88,32.93,2.89,962,4405,0,7829,28.73,61.51,23.9,34.88,34.93,3.7,0.328
2019,LGD476337590,71.26,12.23,72.22,38.2,33.25,29.86,9.41,1071,3038,0,6410,22.94,71.92,1.67,84.97,30.68,20.3,0.169
2022,LGD174106602,47.14,44.94,83.33,41.9,13.9,21.26,9.45,90,4002,0,8156,51.05,68.2,60.26,68.63,14.47,71.2,0.412
2022,LGD443894128,28.1,7.54,61.21,74.1,7.63,6.85,21.53,1192,2090,0,5559,54.53,15.69,44.79,62.33,3.06,43.0,0.538
2020,LGD435059365,20.89,13.93,18.9,63.8,1.01,34.82,5.53,489,949,0,6844,72.71,0.85,12.56,31.86,34.36,66.9,0.533
2023,LGD055334195,65.2,30.08,49.48,6.4,50.55,0.47,13.56,902,2936,0,3488,41.65,59.03,1.84,32.75,28.24,77.0,0.098
2024,LGD046620223,62.59,29.15,54.24,75.2,50.58,0.45,19.63,40,4218,0,99,23.59,58.72,58.16,97.6,23.8,52.3,0.712
2023,LGD597817248,59.69,37.72,13.81,56.8,13.8,23.43,18.91,538,2201,0,8870,67.91,79.09,40.14,40.09,25.71,90.7,0.202
2018,LGD956102366,29.15,12.13,62.87,40.2,13.7,7.5,8.97,283,4234,0,6737,14.66,39.41,38.05,30.12,3.12,46.1,0.197
2021,LGD953525647,67.52,8.75,11.5,67.7,50.49,8.48,5.11,877,1257,0,3295,54.52,36.46,8.04,31.0,28.52,23.9,0.959
2019,LGD718331064,46.53,12.76,52.74,76.7,47.28,23.23,11.23,290,2066,0,5073,59.88,29.46,49.62,88.38,23.65,5.0,0.398
2018,LGD409505426,41.8,34.76,65.78,27.8,57.18,32.63,23.0,832,925,0,5942,65.9,57.88,27.67,31.64,0.66,67.9,0.081
2019,LGD862108442,33.99,33.56,47.03,41.1,58.72,6.92,0.72,556,1048,1,2388,38.07,54.92,47.47,75.63,9.61,29.2,0.944
2023,LGD896655218,87.8,70.38,54.55,49.6,20.77,15.81,4.85,541,3167,0,7904,32.14,66.2,34.51,64.19,1.91,2.6,0.488
2025,LGD099724926,16.4,10.91,15.87,67.2,1.84,9.3,18.37,690,2853,1,4026,27.54,46.07,61.77,65.32,6.02,4.7,0.267
2018,LGD327857752,87.81,48.15,70.89,82.2,54.62,1.0,17.89,752,1803,0,3757,49.47,65.41,35.91,41.74,13.15,76.3,0.955
2018,LGD987105649,39.21,33.27,45.62,62.9,53.41,10.49,4.93,442,4209,0,135,68.62,33.04,60.44,46.17,8.81,79.0,0.631
2024,LGD407796853,71.87,51.98,22.78,78.7,35.14,12.97,4.66,536,4754,1,8951,0.5,40.33,21.21,25.22,22.78,57.3,0.098
2018,LGD383587809,85.19,35.81,62.86,6.3,6.22,17.46,13.79,926,2557,0,1939,2.24,36.1,12.61,21.41,31.65,84.4,0.423
2018,LGD179764732,54.89,24.14,34.46,90.2,25.59,27.26,5.47,297,790,1,2726,20.8,50.55,5.33,87.43,16.89,57.8,0.507
2022,LGD861605564,49.77,11.32,70.81,87.3,31.99,22.1,12.78,449,3972,1,6122,44.42,1.01,10.69,29.88,21.25,2.0,0.446
2021,LGD149119435,74.2,11.77,37.36,34.4,23.43,26.06,20.99,913,529,0,1155,8.93,60.28,64.48,48.86,29.2,38.4,0.116
2023,LGD610717478,24.24,14.98,49.62,56.6,33.51,24.02,7.01,549,300,0,7105,48.08,73.89,43.43,88.05,7.86,66.2,0.898
2025,LGD263389539,39.08,33.87,26.86,76.1,37.71,32.33,4.48,1014,3183,0,5554,32.51,28.42,48.75,46.02,19.62,7.6,0.969
2021,LGD786899184,30.61,9.44,34.81,30.3,3.12,3.38,15.89,635,2347,0,985,57.59,13.13,33.86,22.36,16.36,35.7,0.582
2020,LGD046497781,93.45,12.01,15.92,79.0,18.79,23.62,12.76,56,291,1,780,28.25,89.05,27.74,76.25,5.33,99.2,0.628
2020,LGD831247897,91.18,41.53,78.65,26.0,55.04,30.85,23.25,861,4058,1,3107,33.03,4.32,3.06,82.62,19.81,91.5,0.95
2023,LGD984925579,79.34,38.68,23.16,20.6,5.58,3.6,16.18,146,4557,0,6610,46.33,61.93,46.66,51.57,28.72,8.1,0.56
2023,LGD950575916,53.72,18.02,43.79,46.3,34.5,16.69,8.62,823,1448,0,156,71.47,74.56,16.79,52.87,27.46,78.9,0.755
2018,LGD434358140,59.98,27.92,79.82,6.3,58.99,14.81,5.13,168,442,1,7534,47.5,15.6,30.61,94.9,6.79,98.5,0.424
2021,LGD182001678,90.03,64.66,83.49,99.8,7.73,13.57,4.06,478,3176,1,1538,74.38,20.89,9.2,18.95,25.04,81.9,0.437
2018,LGD153150013,58.22,22.55,32.27,6.9,44.4,32.42,4.67,877,2044,0,4618,33.5,82.67,56.01,56.59,4.95,33.1,0.62
2019,LGD641257175,28.09,22.6,53.36,70.4,50.55,11.19,2.32,416,4340,0,6102,69.21,25.71,18.29,80.15,11.74,29.7,0.323
2021,LGD199480471,68.2,41.9,80.77,27.7,6.31,24.15,21.62,966,4513,0,6892,37.18,32.06,13.24,43.68,0.36,27.6,0.776
2023,LGD734243441,47.91,44.01,49.77,34.5,27.06,8.95,6.85,975,986,1,2605,28.33,53.24,60.82,35.53,31.07,89.7,0.416
2020,LGD905797523,92.6,16.78,42.21,1.7,55.37,12.41,12.69,966,180,0,4259,2.63,18.48,56.02,33.72,20.12,83.3,0.557
2020,LGD424620396,68.65,12.11,77.35,29.5,18.01,16.95,7.12,52,2683,1,5375,58.82,30.01,17.76,11.12,26.65,24.3,0.33
2020,LGD403030708,95.79,60.81,32.16,44.1,33.36,3.36,12.07,536,49,0,8592,23.36,51.97,23.63,28.67,27.43,71.9,0.363
2022,LGD390276515,47.02,38.19,40.33,0.2,35.59,8.83,2.63,1130,4490,0,2249,57.7,61.86,46.18,91.53,25.56,49.0,0.096
2025,LGD866046345,83.61,12.4,28.28,55.4,6.02,27.99,20.89,75,1673,0,2688,1.63,26.31,11.56,46.96,14.99,17.2,0.973
2021,LGD406770876,29.74,14.98,61.91,51.1,0.27,15.25,18.94,314,4580,1,1221,25.99,56.54,10.48,75.42,11.04,78.3,0.085
2025,LGD456141241,33.47,14.26,20.28,84.2,8.3,1.7,1.71,181,4419,0,3033,68.84,22.0,1.08,28.7,18.42,82.5,0.561
2018,LGD901021768,44.06,9.99,70.41,6.0,1.9,28.09,6.82,365,385,0,839,2.58,82.66,5.2,63.48,25.33,11.7,0.504
2023,LGD606888071,83.58,62.0,30.52,83.9,6.81,5.83,12.59,678,491,0,2977,29.65,72.19,12.68,14.84,16.98,55.8,0.439
2019,LGD294810211,46.66,27.42,67.86,12.1,29.69,26.31,1.61,1159,2861,0,4847,40.46,21.55,60.5,15.76,5.57,33.6,0.228
2024,LGD738660121,75.75,56.02,41.55,1.4,46.41,28.48,21.27,991,4510,1,6909,14.36,58.2,60.45,33.77,1.23,63.1,0.631
