tech_cover_mapping_release_date,tech_cover_provider_id_fcc,tech_cover_technology_code,tech_cover_max_advertised_down_mbps,tech_cover_max_advertised_up_mbps,tech_cover_latency_category,tech_cover_data_cap_gb,tech_cover_coverage_area_hex_id,tech_cover_served_location_count,tech_cover_unserved_location_count,tech_cover_underserved_location_count,tech_cover_challenge_filed_count,tech_cover_challenge_upheld_count,tech_cover_middle_mile_presence_flag,tech_cover_backhaul_distance_km,tech_cover_last_mile_medium_code,tech_cover_spectrum_band_code,tech_cover_grant_funded_flag,tech_cover_permit_obstacle_index,tech_cover_coverage_confidence_score
2021-04-01,INP022768,FIBER,1219,437,LOW,0,HEX1398BB674D,199416,10463,55392,87,35,1,239.3,COAX,LOW_BAND,1,0.097,0.885
2022-12-19,INP875935,5G,1297,638,MED,500,HEX31ACFDD67D,43138,24260,46566,53,42,1,234.2,FIBER,UNLICENSED,0,0.534,0.469
2025-03-08,INP396568,5G,124,239,LOW,2000,HEX543FE5A6E7,69936,9150,32325,190,143,1,186.8,WIRELESS,UNLICENSED,0,0.219,0.988
2025-09-18,INP478116,SATELLITE,140,399,MED,500,HEXF8FD0BA84A,29742,19234,56985,40,29,1,180.6,COAX,UNLICENSED,0,0.508,0.373
2023-05-07,INP851319,SATELLITE,1891,5,HIGH,100,HEX715FC3391B,214415,4535,69822,196,32,1,118.9,SAT,MID_BAND,1,0.872,0.592
2022-05-17,INP976736,CABLE,907,926,HIGH,200,HEX1359331A3E,225848,21654,9287,131,60,1,121.5,SAT,MID_BAND,0,0.882,0.698
2022-09-22,INP781044,FIXED_WIRELESS,1779,751,LOW,1000,HEXAA0BC13822,121775,16371,9880,113,103,0,137.7,FIBER,UNLICENSED,0,0.969,0.939
2022-08-26,INP142403,FIXED_WIRELESS,553,953,MED,100,HEX6FF8B24F98,196577,20552,7492,12,9,1,229.9,SAT,MID_BAND,1,0.508,0.887
2020-10-07,INP562182,SATELLITE,91,639,LOW,200,HEXA954A542A7,244036,49274,9508,2,1,0,140.8,FIBER,LOW_BAND,0,0.506,0.391
2023-11-30,INP883187,SATELLITE,1662,674,HIGH,0,HEXA8E1E4EB24,55715,47029,44942,52,43,0,66.1,WIRELESS,C_BAND,0,0.846,0.364
2024-09-30,INP803191,FIXED_WIRELESS,1139,727,MED,500,HEX01EE8D9224,236162,2614,46898,53,43,1,25.9,SAT,MMWAVE,0,0.749,0.939
2022-08-27,INP898807,CABLE,1612,958,MED,2000,HEXAB32B6073E,92160,20000,29831,57,1,0,99.7,COAX,LOW_BAND,0,0.279,0.743
2024-06-25,INP683082,SATELLITE,1981,276,LOW,0,HEX95C6F1E306,136793,35287,25825,93,55,1,166.1,COAX,UNLICENSED,1,0.848,0.797
2023-05-15,INP563651,4G,1935,393,HIGH,1000,HEXE9480469A7,116409,44277,28010,130,121,0,240.0,COPPER,LOW_BAND,1,0.664,0.727
2021-01-17,INP876210,DSL,983,630,LOW,200,HEX6A3B73A0CC,28441,27862,28683,45,44,1,12.7,COPPER,LOW_BAND,0,0.801,0.761
2023-07-23,INP986758,SATELLITE,923,923,LOW,1000,HEXD7CD4C737B,61971,17807,44020,81,69,1,37.9,WIRELESS,MID_BAND,0,0.064,0.581
2026-01-31,INP408379,FIBER,1764,906,HIGH,200,HEX7F46ED8BCE,128486,14380,35774,111,62,1,84.2,WIRELESS,MID_BAND,0,0.92,0.977
2025-12-27,INP035061,FIXED_WIRELESS,382,56,MED,200,HEX575E4F6D7B,14153,22935,29389,166,17,0,163.0,FIBER,MID_BAND,1,0.02,0.405
2021-06-01,INP419423,SATELLITE,1253,991,HIGH,1000,HEX1DF104AF6B,20422,38803,31830,26,22,0,212.6,SAT,LOW_BAND,0,0.566,0.328
2025-12-22,INP435388,FIBER,897,988,MED,1000,HEXE7228A9EC7,216961,47908,35179,82,31,0,21.8,WIRELESS,MID_BAND,0,0.57,0.761
2023-10-09,INP081273,SATELLITE,1446,906,MED,500,HEX0F1B7CBA7C,24893,19283,29045,103,88,1,166.1,COAX,MMWAVE,0,0.344,0.988
2023-09-16,INP343273,4G,1107,978,HIGH,50,HEX3B49C9FD45,79737,927,70010,32,17,1,13.8,COAX,MID_BAND,0,0.753,0.371
2020-02-20,INP544109,FIXED_WIRELESS,243,846,LOW,200,HEX79A2CF1386,156771,40528,29581,198,133,1,227.1,COAX,UNLICENSED,0,0.305,0.729
2021-02-10,INP922611,FIBER,330,7,MED,200,HEXB7044D134C,155109,43331,25928,108,14,1,162.0,COAX,MID_BAND,1,0.166,0.512
2023-03-28,INP443425,FIXED_WIRELESS,174,617,LOW,200,HEXB903AD90CD,151559,2636,22962,120,66,0,229.0,COPPER,UNLICENSED,0,0.814,0.969
2025-04-09,INP336836,CABLE,1366,972,MED,2000,HEXC0141CDD0D,121604,27082,7104,48,33,1,189.2,WIRELESS,LOW_BAND,1,0.549,0.94
2024-11-29,INP840677,CABLE,1138,19,HIGH,200,HEX1FE71D7B84,219317,31621,61894,62,29,0,96.0,SAT,UNLICENSED,0,0.137,0.348
2024-08-26,INP372078,SATELLITE,1361,506,LOW,200,HEX8588753B93,203804,26920,5720,81,60,0,202.9,WIRELESS,MID_BAND,0,0.037,0.647
2023-09-21,INP884547,FIXED_WIRELESS,1793,675,LOW,0,HEX7F5BADDD65,188907,49768,63956,223,138,1,17.3,COAX,MID_BAND,0,0.434,0.368
2021-02-15,INP469072,CABLE,892,154,LOW,500,HEX6A2296A793,167722,16644,60236,65,1,0,116.4,COAX,UNLICENSED,1,0.442,0.538
2023-05-10,INP642813,FIXED_WIRELESS,228,247,MED,500,HEX54B0D60DCF,239212,39741,65107,213,73,0,57.7,COAX,MID_BAND,0,0.621,0.768
2021-07-14,INP696345,4G,279,97,MED,100,HEXB228F8ED4D,126813,19342,44396,205,29,1,19.0,COPPER,MMWAVE,0,0.805,0.552
2024-06-04,INP054665,5G,1317,967,MED,0,HEXA79F59AA7B,170694,26758,15292,35,2,0,76.2,WIRELESS,LOW_BAND,1,0.887,0.394
2025-02-01,INP396557,FIXED_WIRELESS,1351,106,MED,500,HEX6F057FD1A8,169537,23506,7936,101,35,1,30.7,WIRELESS,LOW_BAND,0,0.642,0.712
