tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_inr,tech_infra_matching_funds_inr,tech_infra_km_fiber_planned,tech_infra_km_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2025-10-13,INFBC46Z0TUK3,SAT_GATEWAY,STATE_GRANT,132977325,73667893,312.2,308.5,81383,59829,IN_PROGRESS,1131,50,CON9076170,82.4,0.415,1,1176,1,
2019-11-06,INFPM8EL8ABYH,SAT_GATEWAY,MDB_LOAN,4716218,586281,1016.7,687.4,80110,42855,COMPLETED,1185,164,CON1020619,92.5,0.005,0,2648,1,2023-12-12
2022-05-21,INFD5783O6NBG,COMMUNITY_WIFI,STATE_GRANT,100515130,18919113,760.7,662.1,160789,151040,COMPLETED,1,120,CON9346792,21.5,0.552,0,2690,0,2025-10-02
2024-04-23,INFIOVGLGXM8V,COMMUNITY_WIFI,PPP,25129487,10212962,1426.4,1135.8,150131,116135,ON_HOLD,495,131,CON0020821,27.1,0.643,1,266,0,
2022-06-02,INF2PXUK5RDSH,LAST_MILE,STATE_GRANT,57545538,1253406,1061.9,1032.2,225202,174783,CANCELLED,587,286,CON7275529,17.9,0.008,0,1295,0,2020-11-12
2021-01-20,INF1NRFDJGCYI,TOWER_UPGRADE,USOF,159773758,100997565,714.1,338.3,33603,11536,PLANNED,750,142,CON1198244,46.6,0.727,0,2208,0,
2020-11-15,INFA4OY8HD951,FIBER_BACKBONE,PPP,73325269,36231644,629.0,128.0,90981,38031,IN_PROGRESS,505,113,CON7942782,48.8,0.317,1,1137,0,
2023-05-17,INFQAKWCEO51O,FIBER_BACKBONE,USOF,249195550,10589887,928.2,688.2,228096,111319,IN_PROGRESS,401,255,CON3109013,89.0,0.582,0,2435,0,
2020-12-01,INFRUK2ANMQ55,COMMUNITY_WIFI,STATE_GRANT,212420856,100584003,163.7,15.3,15122,6066,COMPLETED,310,331,CON5611211,89.5,0.052,0,1695,1,2020-04-17
2022-12-19,INFCPGGNQJTB2,TOWER_UPGRADE,MDB_LOAN,233596346,101412817,1105.0,575.5,180557,159176,PLANNED,122,166,CON2659428,55.4,0.193,0,1832,0,
