tech_perf_test_timestamp,tech_perf_test_platform,tech_perf_asn_number,tech_perf_isp_brand_code,tech_perf_connection_type_code,tech_perf_download_mbps_measured,tech_perf_upload_mbps_measured,tech_perf_latency_ms,tech_perf_jitter_ms,tech_perf_packet_loss_pct,tech_perf_video_stream_quality_score,tech_perf_webpage_load_time_ms,tech_perf_peak_hour_congestion_index,tech_perf_ipv6_enabled_flag,tech_perf_dns_resolution_ms,tech_perf_bufferbloat_ms,tech_perf_outage_minutes_month,tech_perf_maintenance_window_minutes,tech_perf_router_model_hash,tech_perf_measurement_confidence_grade
2025-05-20 22:38:05,NPerf,84804,BSNL,5G,658.96,308.23,44.2,5.9,8.67,66.5,9847,0.814,0,5,237,2273,536,R90217d5982fa301e,B
2021-12-03 03:55:48,FAST,104334,ACT,ETHERNET,625.92,100.71,92.2,56.8,9.58,22.3,3170,0.803,0,239,122,1026,712,R7ef2588c01a1cb0d,A
2022-08-02 01:08:13,OpenSignal,106238,SPECTRA,CABLE,1275.47,298.69,174.9,15.9,9.91,36.1,1976,0.625,1,90,509,761,230,R6bc16b820f92a681,A
2021-05-08 21:49:13,OpenSignal,24365,MTNL,4G,1305.3,838.73,130.0,14.1,0.39,81.1,9102,0.898,0,382,595,2006,368,R26fb8780f77f4521,A
2024-08-30 06:44:58,FAST,8041,BSNL,4G,903.65,570.71,202.7,18.2,6.05,11.7,8594,0.991,0,565,501,1203,115,Rf6fa46a3e136222b,C
2019-03-04 09:23:08,NPerf,106624,ACT,DSL,647.76,266.45,53.5,15.0,5.06,29.6,9872,0.623,0,211,473,2188,207,R1bab1b4f185fcecb,B
2019-06-26 17:01:24,NPerf,115400,VI,WIFI,287.28,387.21,195.0,8.7,4.96,37.2,14509,0.3,1,485,330,1839,638,R288235be7948a5af,A
2020-08-22 05:18:20,OpenSignal,16942,JIO,FIBER,656.96,628.29,211.5,30.2,1.72,11.8,10636,0.803,0,231,375,1427,115,R0b275d2edb0af6d4,C
2021-07-16 17:11:30,FAST,110565,SPECTRA,FIBER,985.62,89.8,212.0,3.7,1.05,75.7,7842,0.999,1,18,537,2286,633,Rf72581858be81410,A
2020-01-27 21:33:27,NPerf,54100,ACT,DSL,117.88,500.67,80.9,17.5,6.05,74.7,1404,0.261,1,587,124,1747,483,Rc34c4850561e9047,B
2023-04-15 02:15:49,NPerf,75279,TIKONA,DSL,131.19,765.76,110.0,19.4,4.05,90.8,6731,0.599,0,387,111,745,689,Rd64d3705ae712f60,E
2020-07-03 05:37:03,OOKLA,35157,MTNL,FIBER,1240.08,118.78,7.2,30.0,0.92,45.3,8993,0.383,0,551,118,722,64,R98f163ea692fc5df,D
2020-12-24 14:22:11,TRAI,14322,HATHWAY,WIFI,885.71,500.06,114.8,54.1,4.98,11.9,10710,0.575,1,261,447,638,56,R77b6b8e3f43fbfba,E
2024-10-13 09:58:30,OOKLA,63595,BSNL,5G,320.25,777.6,179.9,0.3,2.82,22.5,9599,0.774,0,355,278,67,13,Rae70cbf996b85d63,E
2019-07-26 03:15:23,OOKLA,124998,TIKONA,CABLE,938.41,510.46,192.6,41.8,6.59,80.5,12273,0.895,0,193,718,1506,140,R901862d027afd25a,B
2025-08-06 08:56:50,NPerf,59691,JIO,WIFI,322.66,205.38,82.2,23.3,5.28,89.5,13125,0.523,1,248,276,518,286,Rea5f274a1c1ed13b,D
2021-03-19 20:41:21,OOKLA,21461,BSNL,4G,992.69,2.28,14.3,46.4,8.16,25.7,12216,0.632,1,329,319,2284,70,R8ffcdf57f9cd8787,A
2023-03-13 03:12:26,NPerf,131942,MTNL,CABLE,214.5,726.03,53.4,32.8,2.98,1.7,9559,0.934,1,14,558,1379,54,R9febb6a3ef368afb,B
2022-02-15 20:51:58,NPerf,99746,VI,WIFI,531.97,352.32,71.1,21.3,6.62,72.0,11821,0.997,1,546,284,2168,524,R4a9382cf7695227e,B
2021-06-10 22:07:44,OOKLA,7867,MTNL,ETHERNET,599.37,247.77,37.9,27.1,6.27,30.2,10905,0.91,1,491,505,908,353,R6f183cac77563db4,D
