tech_price_pricing_snapshot_date,tech_price_plan_id,tech_price_provider_brand,tech_price_service_area_id,tech_price_monthly_price_inr,tech_price_promo_price_inr,tech_price_promo_duration_months,tech_price_equipment_fee_inr,tech_price_installation_fee_inr,tech_price_early_termination_fee_inr,tech_price_contract_length_months,tech_price_auto_pay_discount_inr,tech_price_bundling_discount_inr,tech_price_income_based_discount_flag,tech_price_low_income_eligibility_program,tech_price_price_per_mbps_metric,tech_price_hidden_fees_estimate_inr,tech_price_price_increase_notice_days,tech_price_complaint_rate_per_1k,tech_price_regulatory_filing_id
2022-03-21,PLANRL756PZ9TV,AIRTEL,CH-6484,1643,710,6,499,499,999,12,0,50,0,STATE_SUBSIDY,4.514,144,14,14.97,TRAI33318668
2021-02-18,PLAN751VJURCD6,MTNL,UP-0412,3597,3136,12,499,0,499,6,25,300,0,STATE_SUBSIDY,7.296,351,14,13.72,TRAI32878338
2025-07-09,PLANQITJS2YWC7,AIRTEL,DD-4175,3562,3100,24,299,199,1999,6,25,50,0,PM_WANI,8.995,5,60,10.33,TRAI54231829
2021-06-19,PLAN5SJ6SYYOG6,JIO,ML-5200,4518,4321,1,499,999,0,0,25,200,1,NONE,10.581,271,0,13.39,TRAI60335046
2024-03-07,PLANG3HDII51L2,RAILTEL,NL-9342,507,99,24,999,1499,2999,6,50,300,0,BSNL_SOCIAL,9.389,406,30,2.02,TRAI76044487
2023-07-20,PLANYZGIB9O5CA,MTNL,DD-8551,4076,3524,6,299,999,2999,12,25,100,0,NONE,11.547,383,0,5.19,TRAI93579707
2022-03-23,PLANNR3EMPUDBV,JIO,LA-3198,531,99,24,0,199,999,12,25,200,1,NONE,1.782,172,60,1.87,TRAI88128462
2022-07-01,PLAN4HPDZNY9BY,SPECTRA,DL-3028,1687,1256,1,299,1499,999,3,150,50,0,PM_WANI,15.477,344,30,4.33,TRAI90056264
2021-06-15,PLANNXRFPPFYC2,ACT,GA-7676,2353,1799,3,0,199,2999,0,100,50,0,CSR_CONNECT,5.643,63,0,22.62,TRAI02125940
2023-03-24,PLANTY95GV4QXG,AIRTEL,AS-5984,2705,1747,12,0,1499,499,24,100,0,0,BSNL_SOCIAL,15.819,31,7,0.71,TRAI01861948
2021-08-30,PLAN2BSOTZC29U,JIO,GJ-6254,4000,3329,3,0,199,2999,3,25,300,0,STATE_SUBSIDY,8.016,270,0,6.34,TRAI87475232
