trans_air_flight_date,trans_air_airport_iata_code,trans_air_carrier_code,trans_air_flight_number_hash,trans_air_scheduled_departure_local,trans_air_actual_departure_local,trans_air_departure_delay_minutes,trans_air_scheduled_arrival_local,trans_air_actual_arrival_local,trans_air_arrival_delay_minutes,trans_air_cancellation_flag,trans_air_diversion_flag,trans_air_taxi_out_minutes,trans_air_taxi_in_minutes,trans_air_airborne_time_minutes,trans_air_seat_capacity,trans_air_passengers_enplaned,trans_air_baggage_mishandled_rate,trans_air_cisf_security_wait_time_minutes,trans_air_gate_utilization_pct
2020-05-13,LKO,S5,FLA29EAF595B9C,2020-05-13 12:09,2020-05-13 12:55,46,2020-05-13 14:23,2020-05-13 14:42,19,N,N,7,7,120,350,304,1.18,5,68.08
2019-01-15,PNQ,AI,FLB98C8A8FDCC3,2019-01-15 09:42,2019-01-15 09:33,-9,2019-01-15 11:11,2019-01-15 10:54,-17,N,N,18,7,64,336,325,4.17,22,37.68
2025-07-13,IXC,SG,FLFBCD4DFB7C4F,2025-07-13 15:06,2025-07-13 15:04,-2,2025-07-13 16:50,2025-07-13 16:49,-1,N,N,14,2,88,364,311,0.0,9,71.02
2021-08-24,PNQ,AI,FL9198A264E263,2021-08-24 07:52,2021-08-24 08:17,25,2021-08-24 11:09,2021-08-24 11:38,29,N,N,26,13,158,248,217,1.43,17,81.65
2022-11-03,IXC,G8,FL2760937FF7BC,2022-11-03 11:14,2022-11-03 11:43,29,2022-11-03 13:03,2022-11-03 13:26,23,N,N,4,17,88,199,157,4.94,15,92.16
2019-09-26,GOI,SG,FL0F35FADB3FE0,2019-09-26 12:18,2019-09-26 12:58,40,2019-09-26 15:31,2019-09-26 16:51,80,N,N,5,18,170,127,113,0.66,22,87.25
2021-08-31,HYD,6E,FL16A375B7826D,2021-08-31 19:15,2021-08-31 18:55,-20,2021-08-31 23:13,2021-08-31 22:48,-25,N,N,14,15,209,240,166,1.1,23,61.55
2020-02-21,TRV,QP,FL0B16C5550EFE,2020-02-21 06:18,2020-02-21 06:35,17,2020-02-21 09:09,2020-02-21 09:12,3,N,N,28,5,138,301,270,5.02,8,71.46
2022-12-27,GOI,SG,FL24838BF8CBB9,2022-12-27 12:14,2022-12-27 12:14,0,2022-12-27 13:59,2022-12-27 14:02,3,N,N,13,7,85,350,341,3.91,20,87.96
2022-04-30,JAI,QP,FL4DB652E9E6B9,2022-04-30 20:58,2022-04-30 20:38,-20,2022-04-30 22:24,2022-04-30 22:05,-19,N,N,11,2,73,298,207,5.77,37,74.13
2020-12-15,AMD,SG,FLCF223DDE42B1,2020-12-15 22:28,2020-12-15 22:27,-1,2020-12-16 00:29,2020-12-16 00:29,0,N,N,13,6,102,240,174,3.05,13,64.47
2023-07-15,GAU,I5,FLC5D9DF2CE1F5,2023-07-15 05:40,2023-07-15 06:00,20,2023-07-15 08:03,2023-07-15 08:21,18,N,N,9,6,128,218,189,2.37,19,50.83
