trans_commute_acs_year,trans_commute_commuting_zone_id,trans_commute_mode_to_work_code,trans_commute_mean_travel_time_minutes,trans_commute_median_travel_time_minutes,trans_commute_percentile_90_travel_time,trans_commute_telework_share_pct,trans_commute_carpool_share_pct,trans_commute_transit_share_pct,trans_commute_walk_share_pct,trans_commute_bike_share_pct,trans_commute_leave_home_time_peak,trans_commute_arrival_time_peak,trans_commute_distance_to_work_miles,trans_commute_toll_usage_share_pct,trans_commute_vehicle_occupancy_avg,trans_commute_commute_cost_estimate_inr,trans_commute_time_reliability_index,trans_commute_access_to_jobs_45min,trans_commute_jobs_housing_balance_ratio
2022,436258,CARPOOL,71.3,59.6,94.2,16.64,2.35,19.34,0.39,1.6,08:46,09:51,1.64,5.08,1.06,2648,2.315,1161158,3.795
2023,224230,BIKE,49.3,41.1,57.8,6.91,10.11,2.06,1.07,2.24,10:25,11:09,30.07,14.66,2.44,6442,1.641,491139,0.872
2024,467042,AUTO,75.6,67.5,82.5,11.5,14.47,0.88,8.46,5.26,08:49,09:50,2.62,1.83,1.02,3056,0.942,2092989,3.903
2024,652236,TRANSIT,93.1,90.9,132.7,34.11,2.17,30.56,14.26,11.1,06:54,08:22,23.95,4.83,2.31,5230,1.737,1656304,2.486
2018,149006,WALK,76.9,70.8,116.7,30.95,5.48,28.52,1.54,6.11,06:54,08:06,24.83,20.36,1.68,7023,1.159,1516911,3.612
2024,174909,MIXED,25.0,13.8,39.9,1.27,9.81,34.65,11.39,4.14,06:47,07:06,4.4,15.81,2.5,2294,1.537,107848,1.914
2022,783060,MIXED,14.8,7.4,29.0,17.49,13.9,15.52,4.91,1.58,08:26,08:34,14.04,15.65,2.61,3711,2.032,223754,1.846
2025,113461,WALK,50.1,44.6,70.8,0.7,15.86,31.68,5.68,7.14,07:07,08:05,43.19,4.89,1.2,7618,0.883,1448837,1.257
2016,130195,TRANSIT,37.7,28.3,55.8,16.39,12.06,24.41,4.9,4.57,07:42,08:23,12.82,14.01,2.75,3896,1.309,1225137,0.367
2017,698250,MIXED,44.8,44.5,78.7,24.21,11.98,4.18,13.03,6.08,06:31,07:09,6.42,18.39,2.54,4125,0.766,2198722,3.135
2020,501115,CARPOOL,68.7,68.4,85.2,10.25,19.89,33.0,9.39,10.16,09:48,10:47,2.42,1.74,1.97,2644,2.177,1551809,1.114
2019,379599,AUTO,57.1,48.0,72.7,27.77,15.56,12.04,17.25,6.45,10:51,11:41,12.27,24.99,1.3,4682,2.179,2184841,3.423
2024,140876,TRANSIT,45.1,44.4,63.9,5.3,3.6,9.33,6.64,0.83,07:35,08:06,15.38,4.84,1.85,3320,1.558,580227,2.508
2020,223370,MIXED,34.2,24.9,48.1,10.16,17.98,10.14,17.52,2.4,07:51,08:23,22.94,15.66,2.16,4704,1.333,2254828,4.089
2020,112417,WALK,61.3,57.3,84.0,31.97,15.76,4.96,12.37,6.27,10:12,11:22,5.53,22.81,2.66,3741,0.964,706166,1.478
2025,240562,AUTO,29.3,21.1,39.3,9.98,5.53,30.16,12.09,11.85,07:51,08:20,1.64,24.49,1.73,3811,1.77,1800413,1.033
2024,983501,CARPOOL,23.2,19.6,59.6,33.17,18.01,31.44,6.1,6.28,06:44,07:00,10.58,20.75,2.74,3966,0.916,919093,3.167
2022,910900,OTHER,69.9,69.7,90.9,24.32,2.76,3.33,11.32,9.36,08:22,09:33,19.15,16.25,1.2,5144,1.572,1139807,1.056
2022,459582,WALK,57.1,46.9,83.1,31.34,3.37,3.15,14.86,11.39,09:28,10:36,43.37,16.2,2.72,8000,1.202,644328,0.468
2023,239966,BIKE,24.8,20.9,31.2,33.26,12.2,0.0,16.96,9.45,07:57,08:27,29.29,19.43,3.19,5933,1.739,2329079,3.396
2018,678890,TRANSIT,41.1,36.1,64.3,14.43,15.74,7.03,13.72,7.24,08:16,08:49,10.13,8.47,1.66,3573,1.205,1946511,2.298
2025,517447,TRANSIT,47.6,38.0,79.6,30.06,15.49,9.68,4.03,1.87,10:44,11:40,29.54,9.35,2.59,5668,1.742,1164803,1.411
2018,464222,BIKE,63.7,56.2,69.4,22.46,14.31,18.62,10.0,1.32,06:04,07:12,25.97,20.14,2.02,6809,1.749,1459953,1.263
2017,106315,AUTO,54.4,53.5,80.1,9.16,14.19,20.75,15.9,2.36,09:26,10:24,3.6,5.04,1.48,2281,2.14,872477,3.105
2022,332809,TRANSIT,8.2,3.0,37.1,23.32,18.84,17.83,16.01,8.8,08:54,08:59,2.03,19.78,3.07,2767,1.694,1379916,3.328
2020,368141,MIXED,15.4,5.5,23.1,16.17,0.57,9.35,15.69,11.64,09:12,09:38,42.34,24.59,3.12,7643,1.212,746174,1.916
2021,327019,WALK,12.1,11.5,19.9,22.86,0.91,7.07,3.72,11.7,06:42,06:48,35.36,11.13,1.23,5865,1.941,1470381,3.271
