trans_port_arrival_date,trans_port_port_un_locode,trans_port_vessel_imo_hash,trans_port_vessel_type_code,trans_port_cargo_category_code,trans_port_container_teu_count,trans_port_cargo_tonnage_metric,trans_port_origin_country_code,trans_port_destination_country_code,trans_port_berth_assignment_id,trans_port_berth_time_hours,trans_port_dwell_time_hours,trans_port_customs_hold_flag,trans_port_rail_intermodal_flag,trans_port_truck_gate_turn_time_minutes,trans_port_emissions_at_berth_kg,trans_port_harbor_congestion_index,trans_port_pilotage_required_flag,trans_port_weather_delay_flag,trans_port_security_level_code
2022-05-17,INMUN,V1B16D7BADCC1,LNG,BULK,0,97237.0,ZA,IN,BERTH83-8823,53.65,62.95,N,N,34,23956.7,0.5,Y,N,SEC2
2022-02-10,INCCU,VB002007E2CB4,GENERAL_CARGO,REEFER,3183,37004.0,IN,JP,BERTH53-8977,26.0,38.7,N,N,48,7693.2,0.94,Y,N,SEC1
2021-03-17,INKOC,V64CD019DC649,LNG,REEFER,2545,23261.7,ZA,IN,BERTH69-6216,21.22,60.18,N,Y,47,13333.9,1.6,Y,N,SEC2
2021-06-10,INHZA,V6880AE858885,TANKER,TEU,8819,115086.2,IN,AU,BERTH77-7272,17.7,16.15,Y,Y,19,7901.0,2.08,Y,N,SEC3
2021-01-04,INMAA,V8C130446D65E,TANKER,BULK,0,193956.2,US,IN,BERTH65-1287,14.63,43.32,N,N,36,8787.3,2.48,N,N,SEC1
2024-08-02,INTUT,V630BF4CABACE,CONTAINER,REEFER,583,4759.0,TH,IN,BERTH47-4513,42.62,28.76,N,N,84,28316.3,0.1,Y,Y,SEC3
2024-12-18,INHZA,V66EF218C9E89,PASSENGER,AUTO,0,1838.0,IN,TH,BERTH33-3365,6.54,79.52,Y,Y,8,6422.0,1.54,Y,N,SEC2
2024-06-13,INTUT,V48852C452F46,LNG,TEU,2654,31773.5,IN,AE,BERTH55-1214,19.26,66.47,N,N,14,8464.7,1.73,Y,N,SEC2
2022-09-19,INVTZ,V1E5BB81FF276,RORO,BREAKBULK,0,59674.8,GB,IN,BERTH62-2284,1.5,20.36,N,Y,57,820.0,1.92,N,N,SEC3
2024-11-02,INKOC,VCF83ACC69D79,RORO,AUTO,0,2829.4,TH,IN,BERTH93-5435,27.86,80.02,N,N,38,24900.0,3.54,Y,N,SEC3
2019-08-13,INMUN,V5EA3321E5AC1,TANKER,BULK,0,115399.2,SA,IN,BERTH25-8146,28.14,41.21,N,N,36,23233.4,1.02,Y,N,SEC3
2021-03-22,INHZA,V342147DFA1E6,RORO,REEFER,2293,18781.4,NL,IN,BERTH43-6938,10.77,72.75,N,N,42,9450.9,2.5,Y,N,SEC2
2023-06-29,INGOI,V7081E3350F63,BULKER,BULK,0,59810.6,TH,IN,BERTH43-1571,20.27,70.37,N,N,36,13237.2,2.11,N,N,SEC3
2023-11-30,INTUT,V61AFE38A9720,RORO,AUTO,0,1314.7,IN,QA,BERTH84-8979,15.41,23.44,N,N,43,8439.3,2.15,Y,N,SEC1
2026-01-27,INCCU,V27CF562B6848,RORO,REEFER,2114,20913.6,IN,CN,BERTH74-7486,15.73,53.76,N,N,23,6248.6,3.5,Y,N,SEC1
2022-05-11,INKRI,V0A122D728F23,CONTAINER,BULK,0,7121.6,MY,IN,BERTH89-6286,29.13,85.2,N,N,90,15852.6,0.86,Y,N,SEC2
2021-11-21,INTUT,V2C9E9108A2BD,BULKER,REEFER,2107,24365.2,ES,IN,BERTH98-9752,15.6,22.55,N,N,39,6526.4,2.55,Y,N,SEC3
2021-07-30,INTUT,V6D2547768EFD,GENERAL_CARGO,TEU,3021,39656.3,IN,IT,BERTH50-3703,5.06,14.79,Y,N,62,4493.3,1.78,Y,N,SEC3
2019-03-12,INVTZ,VCED5FB979D9D,CONTAINER,BREAKBULK,0,59338.7,ID,IN,BERTH67-5471,38.78,142.78,N,N,35,28574.3,2.13,Y,N,SEC3
2022-12-10,INMAA,VE0301079DD05,PASSENGER,LIQUID,0,97134.0,AE,IN,BERTH09-5522,22.09,34.48,N,N,44,14200.7,2.18,Y,N,SEC3
2019-10-20,INGOI,V6CC5CEE15AD0,BULKER,BULK,0,102986.5,VN,IN,BERTH01-6231,1.5,87.43,N,N,48,2175.7,1.61,N,N,SEC2
2021-03-11,INMNG,V06A95768D004,RORO,TEU,4279,45989.5,NL,IN,BERTH68-2386,16.4,39.37,N,N,54,15369.6,0.1,Y,N,SEC1
2025-04-04,INCCU,V10ED518DB77F,TANKER,BULK,0,14782.7,TR,IN,BERTH10-8922,19.06,85.79,N,N,41,7756.2,2.8,Y,N,SEC3
2020-04-10,INNSA,VB1FC624961A5,RORO,LIQUID,0,173017.9,VN,IN,BERTH71-5018,18.45,63.16,N,N,45,7447.4,0.87,Y,N,SEC2
2026-01-27,INKOC,VC0A11B32FB97,GENERAL_CARGO,AUTO,0,2177.4,TR,IN,BERTH51-1580,9.07,65.72,N,N,26,7283.9,2.4,Y,N,SEC2
2024-07-13,INGOI,V943DF8249FB2,GENERAL_CARGO,AUTO,0,898.2,VN,IN,BERTH07-9351,19.32,44.65,N,Y,39,15848.0,1.47,Y,N,SEC2
2020-12-18,INHZA,V3A1F2DEE1797,TANKER,AUTO,0,2174.1,SG,IN,BERTH67-5735,31.44,51.01,N,N,103,11512.8,3.57,Y,N,SEC1
2022-01-22,INKRI,VEA516126BB8E,GENERAL_CARGO,REEFER,2293,19780.6,IN,TH,BERTH44-9118,10.65,50.32,N,N,48,7731.0,3.31,Y,N,SEC3
2025-12-21,INMNG,VF7AA044F30A7,TANKER,LIQUID,0,94585.2,QA,IN,BERTH02-2318,9.0,2.0,N,Y,49,7854.3,2.55,Y,N,SEC2
2021-01-26,INBOM,VE0B741E1158A,CONTAINER,BULK,0,4005.7,KR,IN,BERTH64-1049,13.77,6.94,Y,Y,7,6259.7,1.5,Y,N,SEC3
2025-12-09,INMNG,V1A510267F5BF,PASSENGER,BREAKBULK,0,51326.7,IN,VN,BERTH40-4985,8.97,2.0,N,Y,74,9034.8,3.14,Y,N,SEC1
