trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_km_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_km_traveled,trans_transit_farebox_revenue_inr,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2024-02-16,IN-CHN-MTC,R2175,FERRY,256,237,85.42,8.53,51683,52447,0.315,3970.1,192.8,3790.4,1090554,1.17,148,54.2,3.55,1
2025-05-13,IN-MUMBAI-MMRDA,R7962,SUBURBAN_RAIL,220,203,69.49,11.79,162858,152224,0.204,5389.4,395.51,4832.1,2026362,3.48,242,70.21,1.19,7
2025-11-12,IN-MUMBAI-BEST,R3176,METRO,204,192,93.52,11.46,178649,170301,1.114,1785.5,69.76,1656.5,2877232,2.82,204,79.57,2.58,5
2025-12-04,IN-BLR-BMTC,R7353,TRAM,160,149,77.26,9.94,88431,83910,0.46,983.9,76.48,871.9,1058108,0.0,234,81.75,6.5,4
2022-01-17,IN-MUMBAI-BEST,R9415,TRAM,405,382,75.92,21.26,155743,155463,0.188,2331.7,143.61,2047.4,3464348,4.48,235,84.78,0.69,3
2022-09-03,IN-AHM-AMTS,R3087,BRT,234,214,97.25,18.72,62453,57982,0.961,3499.0,160.84,3341.0,1263279,4.56,145,66.74,2.47,5
2023-06-18,IN-AHM-AMTS,R0206,SUBURBAN_RAIL,316,310,76.74,4.69,264670,261316,0.349,1769.3,142.43,1695.8,2943018,1.32,69,56.64,3.13,12
2023-11-20,IN-DELHI-DMRC,R6061,BRT,20,3,88.18,7.64,7370,6781,0.621,54.8,2.69,49.3,144268,2.03,177,100.0,3.57,3
2021-06-07,IN-DELHI-DMRC,R0204,FERRY,240,225,82.33,12.7,15672,15740,0.95,5061.5,181.68,4396.3,201166,0.75,257,70.86,3.47,1
2024-04-02,IN-KOL-CTC,R4837,SUBURBAN_RAIL,43,26,87.19,21.9,14101,14144,0.49,138.4,6.84,129.5,275438,5.7,10,82.83,3.68,3
2025-06-30,IN-KOL-CTC,R5296,BRT,110,90,71.12,8.07,22896,22440,0.578,1644.6,85.35,1449.0,378117,0.76,151,80.57,2.36,3
2021-01-01,IN-KOL-CTC,R7850,SUBURBAN_RAIL,264,252,91.01,8.46,122731,120539,1.511,1558.1,70.12,1540.1,1240516,1.57,30,92.0,2.71,2
2021-11-23,IN-PUNE-PMPML,R2077,TRAM,327,319,75.07,17.92,185316,170562,1.274,1661.9,62.45,1573.7,2069586,3.73,168,56.34,4.72,8
2025-01-14,IN-HYD-TSRTC,R1223,SUBURBAN_RAIL,202,199,80.61,15.4,80139,77077,1.47,1211.6,85.82,1048.2,1102482,2.95,45,77.33,4.42,2
2019-05-21,IN-CHN-MTC,R3098,BUS,224,208,91.8,12.23,176314,181390,0.53,2935.7,209.53,2871.6,1666329,4.4,11,66.69,3.03,7
2025-10-24,IN-AHM-AMTS,R9352,BUS,354,350,67.8,2.0,258610,251325,0.928,9371.7,361.5,8445.4,3165679,2.13,125,67.68,3.24,6
