travel_dom_travel_month,travel_dom_destination_dma_code,travel_dom_origin_dma_code,travel_dom_trip_purpose_code,travel_dom_party_size_avg,travel_dom_nights_stayed_avg,travel_dom_lodging_type_code,travel_dom_spend_total_inr,travel_dom_spend_lodging_inr,travel_dom_spend_food_inr,travel_dom_spend_transport_inr,travel_dom_attraction_ticket_spend_inr,travel_dom_booking_channel_code,travel_dom_lead_time_days,travel_dom_cancellation_rate_pct,travel_dom_occupancy_rate_pct,travel_dom_adr_average_daily_rate,travel_dom_revpar_inr,travel_dom_seasonality_cluster,travel_dom_event_driven_demand_flag
2025-01,DMA0479,DMA0136,LEISURE,6.2,11.9,HOTEL,55060,152232,97077,145714,48159,AGENT,157,42.76,26.35,7111,2868,WINTER,1
2024-05,DMA0401,DMA0173,EDUCATION,5.7,1.4,HOTEL,203477,38400,97223,29489,53106,AGENT,137,18.81,88.64,9170,24174,WINTER,0
2024-10,DMA0163,DMA0367,LEISURE,2.5,4.4,DHARAMSHALA,164996,95663,22603,120719,9244,GOV_PORTAL,14,42.87,74.46,10244,3462,FESTIVE,1
2022-02,DMA0314,DMA0190,VFR,1.7,3.3,HOMESTAY,111181,9507,26534,139710,6494,DIRECT,140,15.23,81.61,1027,10156,WINTER,0
2020-05,DMA0541,DMA0695,EDUCATION,4.3,12.6,HOSTEL,164937,183693,33284,25076,14164,OTA,116,15.65,93.39,31501,15584,SHOULDER,1
2025-01,DMA0447,DMA0603,EDUCATION,2.5,6.6,HOSTEL,252536,181959,34859,30210,40113,GOV_PORTAL,57,31.81,95.51,2150,16214,SUMMER,1
2019-11,DMA0373,DMA0422,LEISURE,2.1,8.1,GUESTHOUSE,82701,109970,9048,67818,23241,GOV_PORTAL,85,4.36,95.15,3070,2240,FESTIVE,1
2023-05,DMA0627,DMA0194,PILGRIMAGE,4.5,4.1,SERVICED_APT,262157,196198,67661,131706,55464,CORPORATE,102,18.58,41.03,25373,11219,SHOULDER,1
2020-06,DMA0210,DMA0527,BUSINESS,5.1,2.7,HOSTEL,92426,47639,77170,31058,58148,GOV_PORTAL,22,17.12,86.43,29568,9084,MONSOON,0
2019-07,DMA0047,DMA0779,LEISURE,3.9,8.8,GUESTHOUSE,314899,26638,23817,101021,14637,DIRECT,52,1.59,94.78,1494,11762,WINTER,0
2021-11,DMA0330,DMA0169,PILGRIMAGE,2.8,4.7,RESORT,9836,133848,52994,36882,2569,GOV_PORTAL,33,14.07,75.09,17850,9633,WINTER,0
2022-08,DMA0271,DMA0591,MEDICAL,3.8,13.1,HOMESTAY,344568,15474,92575,139391,2787,AGENT,44,17.93,75.84,24243,13239,SUMMER,0
2024-11,DMA0120,DMA0457,LEISURE,4.3,7.2,SERVICED_APT,35523,3152,54046,25109,6107,AGENT,159,2.61,88.97,5091,25024,SHOULDER,0
2022-03,DMA0313,DMA0219,BUSINESS,1.3,2.8,GUESTHOUSE,242191,75342,53486,78808,49619,GOV_PORTAL,180,0.91,42.43,5168,14164,SHOULDER,0
2019-11,DMA0647,DMA0746,BUSINESS,3.4,1.3,HOMESTAY,81291,33982,65321,103556,54422,OTA,101,26.99,34.97,3245,26032,WINTER,1
2019-10,DMA0102,DMA0421,VFR,4.3,4.0,HOTEL,16349,147148,40740,7960,27007,CORPORATE,158,9.26,54.08,9468,2966,WINTER,1
2025-04,DMA0206,DMA0115,MEDICAL,1.7,5.2,HOMESTAY,259734,10859,80060,7596,52227,GOV_PORTAL,171,16.32,94.09,17530,19258,SHOULDER,0
2019-09,DMA0218,DMA0501,MEDICAL,3.5,3.7,HOMESTAY,213192,78456,12648,11002,25273,DIRECT,78,3.6,24.72,3703,7234,SHOULDER,1
2019-08,DMA0274,DMA0013,BUSINESS,2.9,5.8,HOMESTAY,283666,82470,25337,21487,15543,OTA,75,4.54,54.52,28419,15845,MONSOON,0
2022-12,DMA0338,DMA0149,PILGRIMAGE,5.8,12.4,HOTEL,218110,156725,79905,145040,53886,DIRECT,98,6.95,73.88,9737,3195,WINTER,1
2020-09,DMA0774,DMA0267,BUSINESS,3.7,1.6,SERVICED_APT,11514,36379,82264,89020,52016,DIRECT,152,1.34,70.8,9452,10630,WINTER,0
2025-08,DMA0697,DMA0460,LEISURE,3.3,11.4,HOSTEL,293365,133568,97043,43492,27417,CORPORATE,9,34.31,83.17,31425,19643,SHOULDER,0
2019-06,DMA0041,DMA0014,VFR,2.3,6.5,GUESTHOUSE,264391,42091,89453,59458,21611,CORPORATE,32,40.78,41.03,2393,11881,SUMMER,0
2023-11,DMA0588,DMA0250,EDUCATION,6.3,12.8,RESORT,157388,35822,6084,97399,9002,AGENT,121,23.5,38.25,9659,15850,SHOULDER,0
2024-08,DMA0051,DMA0420,LEISURE,6.3,9.7,HOMESTAY,272653,105434,55680,134269,32725,DIRECT,56,36.74,84.54,12310,18064,WINTER,0
2020-11,DMA0573,DMA0397,MEDICAL,3.0,3.1,HOMESTAY,42581,45764,82591,58739,19501,GOV_PORTAL,169,6.1,84.41,1571,4892,MONSOON,0
2025-01,DMA0094,DMA0699,LEISURE,6.1,13.5,GUESTHOUSE,9367,17874,47710,107388,56219,DIRECT,51,20.22,39.41,19359,1305,WINTER,1
2025-03,DMA0019,DMA0581,MEDICAL,4.4,3.0,GUESTHOUSE,209758,127657,84730,85155,45188,AGENT,126,6.43,54.34,1733,4646,FESTIVE,0
2021-11,DMA0533,DMA0277,VFR,5.3,5.4,DHARAMSHALA,160879,146174,1297,10181,31379,DIRECT,62,44.79,55.23,32064,7947,WINTER,0
