travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_inr_total,travel_intl_visitor_spend_retail_inr,travel_intl_visitor_spend_lodging_inr,travel_intl_visitor_spend_food_inr,travel_intl_visitor_spend_entertainment_inr,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2024,4,KOCHI_SEA,VNM,ASIA,EDUCATION,5,167363,373083,283140,14769,33384,0.31,0.49,0,0,1,0,1.9,108.33
2018,5,DEL_AIR,USA,OCEANIA,EDUCATION,35,777523,312331,25078,113996,65232,0.07,0.28,0,1,0,0,2.1,66.79
2018,6,GOI_AIR,AFG,N_AMERICA,EDUCATION,25,923864,350477,246306,238550,60194,0.48,0.47,0,1,1,1,3.5,123.93
2020,6,BOM_AIR,JPN,S_AMERICA,BUSINESS,32,383363,216836,566570,73289,30024,0.56,0.31,1,0,1,1,6.3,70.28
2019,12,MUM_SEA,NGA,S_AMERICA,PILGRIMAGE,12,586033,366679,430424,235731,46079,0.6,0.36,0,1,0,1,3.2,98.52
2022,3,HYD_AIR,AUS,AFRICA,VFR,38,223147,2142,148524,19111,151854,0.43,0.43,1,0,0,1,5.5,114.22
2021,9,CCU_AIR,NPL,S_AMERICA,PILGRIMAGE,29,285612,190581,563651,189682,198778,0.53,0.22,1,0,1,0,2.7,120.03
2024,12,BOM_SEA,MYS,OCEANIA,EDUCATION,20,686933,394271,586324,32860,58932,0.51,0.41,1,0,0,1,7.8,122.07
2022,3,COK_AIR,PAK,EUROPE,BUSINESS,41,1015803,258384,316654,155003,21384,0.36,0.53,0,0,0,0,4.6,98.86
2016,6,COK_AIR,ARE,N_AMERICA,PILGRIMAGE,3,403952,163079,25398,16667,44885,0.74,0.25,0,0,1,1,2.9,76.71
2020,12,DEL_AIR,NPL,AFRICA,MEDICAL,45,561248,110954,257201,62432,122016,0.42,0.38,1,1,0,0,8.2,74.23
2021,12,HYD_AIR,AFG,N_AMERICA,PILGRIMAGE,43,1033100,318613,108792,7176,16672,0.25,0.53,1,1,0,0,3.2,91.36
2024,7,GOI_AIR,MYS,MIDDLE_EAST,PILGRIMAGE,25,1075218,211266,61859,93019,162202,0.06,0.48,1,1,1,0,5.7,104.05
2015,11,HYD_AIR,FRA,EUROPE,BUSINESS,42,311762,293342,340460,4589,47725,0.29,0.23,1,0,1,0,1.3,120.32
2016,9,KOCHI_SEA,AUS,AFRICA,PILGRIMAGE,11,631430,331054,168043,12265,184095,0.14,0.12,0,0,0,0,3.8,95.24
2024,10,KOCHI_SEA,JPN,EUROPE,VFR,30,119984,177952,113178,187990,39520,0.48,0.4,1,0,1,1,2.6,109.08
2021,1,MAA_AIR,ITA,S_AMERICA,EDUCATION,32,18757,42475,340696,153175,198999,0.37,0.32,0,1,0,0,3.3,108.3
2020,10,GOI_AIR,AUS,MIDDLE_EAST,EDUCATION,29,1166939,290636,205678,205639,188275,0.26,0.63,1,1,0,0,9.9,68.28
2018,7,MUM_SEA,GBR,EUROPE,CONFERENCE,8,861854,156220,575580,24155,121477,0.16,0.39,1,1,1,0,4.3,117.06
2018,1,MAA_AIR,DEU,OCEANIA,PILGRIMAGE,10,713740,50912,325923,144378,103360,0.73,0.26,0,1,0,0,2.3,90.11
2017,1,MAA_AIR,FRA,OCEANIA,CONFERENCE,16,1035934,110641,342777,220224,60415,0.89,0.07,1,1,1,0,9.9,63.98
2019,5,AMD_AIR,THA,S_AMERICA,LEISURE,44,544006,305884,581839,126853,9672,0.78,0.12,0,0,0,0,3.7,99.86
2019,4,BLR_AIR,NPL,ASIA,LEISURE,28,1191075,167113,496923,136888,151638,0.72,0.2,1,0,1,0,7.7,123.5
2023,9,AMD_AIR,SAU,AFRICA,BUSINESS,11,58768,378954,65452,78516,174527,0.5,0.19,0,1,0,1,9.0,113.15
2024,4,KOCHI_SEA,FRA,OCEANIA,EDUCATION,42,83783,288431,518595,91264,95132,0.76,0.17,0,1,1,1,4.2,68.4
2023,4,COK_AIR,USA,AFRICA,PILGRIMAGE,12,536973,111745,477862,18906,8721,0.5,0.06,1,0,1,1,6.8,115.98
2021,4,BOM_SEA,DEU,MIDDLE_EAST,MEDICAL,43,1173668,358862,361055,17013,58351,0.32,0.2,0,1,0,1,1.5,63.19
2022,4,HYD_AIR,IND,ASIA,MEDICAL,41,321029,121901,162478,244793,147655,0.24,0.22,0,0,1,0,4.5,100.26
2015,9,DEL_AIR,LKA,N_AMERICA,BUSINESS,38,854423,29737,525540,128759,6712,0.23,0.13,0,1,0,0,9.1,68.05
2022,2,MUM_SEA,MYS,N_AMERICA,PILGRIMAGE,17,1090926,142193,276939,201696,102665,0.44,0.52,0,1,0,0,8.2,102.16
2025,12,MAA_AIR,DEU,S_AMERICA,PILGRIMAGE,40,783836,138931,591012,79215,115234,0.59,0.4,0,1,1,0,3.2,70.7
2019,8,KOCHI_SEA,MDV,AFRICA,CONFERENCE,27,788645,279531,313398,40274,32591,0.18,0.08,0,0,1,0,1.2,122.56
2023,4,KOCHI_SEA,BTN,ASIA,EDUCATION,6,474497,118051,236327,10044,185223,0.06,0.45,0,1,0,1,6.6,105.64
2015,5,CCU_AIR,USA,OCEANIA,VFR,36,396149,211109,386565,187766,41348,0.07,0.2,1,0,0,1,2.1,90.76
2015,9,MUM_SEA,MMR,S_AMERICA,LEISURE,29,1148245,228955,125131,172854,65815,0.31,0.58,0,0,1,0,8.3,123.51
2015,1,DEL_AIR,IND,S_AMERICA,VFR,8,201144,30397,542624,185080,128505,0.66,0.09,1,1,0,1,5.2,72.1
2020,1,HYD_AIR,BGD,ASIA,CONFERENCE,39,449499,333177,87968,121613,102131,0.05,0.22,1,0,1,1,4.6,121.47
2025,2,AMD_AIR,RUS,OCEANIA,MEDICAL,8,1152863,117155,388929,143937,29605,0.45,0.42,0,0,0,0,3.2,67.93
2025,12,CCU_AIR,LKA,MIDDLE_EAST,VFR,18,327247,270033,396504,158069,168614,0.3,0.11,1,0,0,0,5.9,114.05
2019,6,MAA_AIR,FRA,AFRICA,LEISURE,16,853731,15457,165122,245960,80487,0.83,0.16,1,0,1,1,8.4,69.99
2015,11,BOM_SEA,AFG,EUROPE,BUSINESS,23,424610,312303,277141,221841,124657,0.86,0.12,0,0,0,0,5.2,70.76
2018,2,COK_AIR,IND,EUROPE,LEISURE,40,410214,151101,599329,100442,181924,0.39,0.6,1,0,0,1,1.9,120.31
2023,8,MAA_AIR,ITA,EUROPE,PILGRIMAGE,14,535320,18611,483685,93942,193256,0.88,0.08,0,0,0,0,6.0,91.34
2021,8,BLR_AIR,SGP,OCEANIA,VFR,19,713734,226129,371260,79807,179916,0.88,0.07,1,0,0,0,3.9,77.82
2019,4,BLR_AIR,ITA,MIDDLE_EAST,EDUCATION,7,663891,346619,487220,7420,173145,0.54,0.43,0,1,1,1,5.6,106.1
2018,3,KOCHI_SEA,SGP,S_AMERICA,MEDICAL,39,844359,312760,581735,28409,161082,0.38,0.34,0,1,1,1,1.8,120.31
2015,5,AMD_AIR,IND,S_AMERICA,PILGRIMAGE,35,197267,255376,355786,171822,142998,0.14,0.82,0,1,0,1,1.7,89.09
2021,6,GOI_AIR,GBR,N_AMERICA,EDUCATION,13,24614,141550,349550,126752,35139,0.52,0.46,1,0,1,0,7.6,80.01
2016,9,HYD_AIR,PAK,MIDDLE_EAST,VFR,37,754131,184891,111481,230585,150942,0.76,0.2,0,0,0,0,5.4,79.36
2016,10,BLR_AIR,BTN,S_AMERICA,LEISURE,26,781944,104263,76497,198841,60881,0.39,0.18,0,0,0,0,4.7,107.77
2020,7,BOM_SEA,GBR,MIDDLE_EAST,EDUCATION,6,88401,149778,51863,8040,148513,0.48,0.16,0,0,0,1,9.6,109.48
2021,11,GOI_AIR,KEN,N_AMERICA,BUSINESS,43,257977,216609,154429,238014,100173,0.39,0.41,0,0,0,1,2.7,123.94
2023,3,KOCHI_SEA,GBR,OCEANIA,VFR,44,291637,168241,504085,158894,177240,0.65,0.19,1,1,0,0,9.2,61.48
2017,9,MAA_AIR,THA,ASIA,MEDICAL,4,1045758,362987,429235,234791,177624,0.52,0.23,1,1,0,0,8.5,69.6
2018,12,BLR_AIR,FRA,OCEANIA,CONFERENCE,11,94960,339770,506615,201467,148817,0.49,0.14,1,1,1,0,5.8,101.27
2025,6,HYD_AIR,USA,ASIA,PILGRIMAGE,24,722282,219510,492267,25123,78673,0.24,0.21,0,1,1,0,5.1,80.56
2020,11,KOCHI_SEA,LKA,MIDDLE_EAST,VFR,30,614352,380697,307303,91494,111062,0.55,0.2,1,0,0,0,2.1,91.5
2023,2,AMD_AIR,BGD,AFRICA,VFR,9,299655,342692,408890,193671,50004,0.47,0.35,0,1,1,1,4.3,124.9
2021,2,CCU_AIR,MYS,AFRICA,PILGRIMAGE,6,200938,170439,537344,49254,30976,0.65,0.06,1,0,1,1,5.9,66.76
2024,5,COK_AIR,MMR,MIDDLE_EAST,CONFERENCE,13,1194742,235387,458067,227692,37501,0.59,0.19,0,1,1,1,4.2,105.38
2024,2,BOM_SEA,AFG,S_AMERICA,BUSINESS,36,969981,84538,472959,73107,29431,0.3,0.54,1,0,1,0,9.3,116.29
2016,1,CCU_AIR,IND,OCEANIA,LEISURE,8,223796,1514,138204,190077,104732,0.59,0.2,1,0,0,0,1.4,68.43
2018,8,BLR_AIR,JPN,AFRICA,VFR,9,1175637,371529,209531,111751,95928,0.7,0.2,1,0,0,0,3.7,105.26
2016,6,MUM_SEA,AFG,N_AMERICA,EDUCATION,32,632889,364546,244779,166929,74942,0.6,0.09,0,1,1,0,9.4,118.21
2016,2,BLR_AIR,DEU,ASIA,EDUCATION,31,611203,44246,456330,61358,147375,0.47,0.5,0,0,0,1,1.7,74.47
