ag_crops_crop_year,ag_crops_county_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_usd_unit,ag_crops_revenue_per_acre_usd,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2012,FSA0000001,CORN,3989.19,3269.42,225.01,735652.19,13.37,V8,2012-12-27,2013-08-02,3356.5,0.817,80.99,11.906,27.05,15.799,2749.57,52.57,1
2005,FSA0000002,WHEAT,15046.6,13121.73,48.12,631417.65,36.6,V4,2020-05-20,2020-12-07,3288.1,0.9601,59.52,13.515,83.44,7.65,355.92,17.96,0
2005,FSA0000003,SOYBEAN,1637.58,1156.87,148.05,171274.6,25.12,V5,2021-02-18,2021-08-08,4427.5,0.6197,18.81,20.731,63.25,7.537,971.11,57.93,1
2025,FSA0000004,POTATO,17978.25,13059.41,100.45,1311817.73,63.2,V4,2008-08-16,2009-01-21,2397.2,0.7996,297.32,20.218,44.09,15.008,1227.64,18.43,1
2018,FSA0000005,CORN,3966.18,2961.25,177.8,526510.25,18.53,V7,2018-09-01,2019-02-01,1697.8,0.0462,161.13,12.163,58.99,2.568,363.13,7.23,1
2015,FSA0000006,CORN,20406.9,16149.22,19.04,307481.15,43.27,V2,2012-10-23,2013-01-22,2527.1,0.6519,89.99,9.895,97.57,16.417,341.61,48.73,1
2011,FSA0000007,SOYBEAN,20809.99,18359.25,147.14,2701380.04,13.26,V1,2022-12-21,2023-07-03,1424.2,0.5242,50.3,20.082,84.46,12.084,1784.59,25.81,1
2012,FSA0000008,CORN,16765.77,14186.42,20.49,290679.75,23.87,V8,2020-04-24,2020-08-03,2513.1,0.4502,198.26,3.795,31.09,4.599,70.69,7.04,1
2005,FSA0000009,WHEAT,9334.37,6847.64,23.04,157769.63,33.0,V8,2015-04-08,2015-09-30,3116.1,0.5316,275.26,2.312,30.91,15.056,276.79,29.42,1
2021,FSA0000010,CORN,15517.89,12378.28,195.41,2418839.69,71.47,V2,2005-06-12,2005-10-12,1077.5,0.3053,7.9,21.194,48.98,4.064,827.62,46.25,0
2025,FSA0000011,SOYBEAN,6237.91,4803.59,21.85,104958.44,37.56,V7,2022-07-16,2022-10-25,2232.7,0.6731,303.68,1.867,44.12,14.94,334.59,56.62,0
2019,FSA0000012,CORN,10675.71,7794.69,230.39,1795818.63,35.94,V2,2011-07-25,2012-02-29,1720.9,0.307,277.35,17.388,67.68,8.025,1508.95,29.76,0
2015,FSA0000013,SOYBEAN,17583.58,16339.93,95.68,1563404.5,88.71,V3,2007-11-14,2008-05-24,3959.8,0.3867,72.76,17.842,93.46,17.549,1360.28,28.14,1
2020,FSA0000014,CORN,4327.17,3653.03,44.75,163473.09,52.98,V7,2014-10-14,2015-02-19,4492.7,0.3702,248.3,3.111,41.68,11.212,512.86,16.81,1
2024,FSA0000015,SOYBEAN,14203.87,10347.51,99.17,1026162.57,93.6,V4,2023-08-02,2023-12-30,3507.5,0.6549,306.68,9.339,97.06,15.432,1670.32,34.96,1
2006,FSA0000016,SORGHUM,19531.96,16292.91,159.41,2597252.78,62.66,V6,2005-03-21,2005-08-25,2496.0,0.8456,39.88,4.488,6.14,11.814,1810.93,58.62,1
