ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_usd,ag_econ_operating_expenses_usd,ag_econ_net_farm_income_usd,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_usd,ag_econ_land_rent_paid_usd,ag_econ_machinery_depreciation_usd,ag_econ_labor_hired_cost_usd,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_usd,ag_econ_crop_insurance_indemnities_usd,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2013,FAMILY,193545870.47,123916922.99,69687614.48,1.2203,6865156.03,5169333.78,2091287.11,5182561.17,73.66,110.7,120.27,142.3,23806961.47,13058526.4,1.247,-8.408,57.84,0
2005,FAMILY,150010333.77,103303427.44,46757837.32,1.0555,7340654.74,2847852.96,4089845.2,11530942.87,161.9,137.0,206.57,108.77,8078396.34,11536764.68,1.19,-15.771,60.03,1
2009,PARTNERSHIP,111105498.36,101552234.17,9428657.48,0.6797,1358785.51,5912649.52,4547076.05,9443219.72,197.94,172.19,177.76,93.78,24082512.73,15056784.07,2.763,-19.564,6.43,1
2023,FAMILY,72093984.9,48701155.65,23471701.49,0.1857,7219579.86,1528936.74,453558.21,140300.67,196.52,215.57,87.14,180.12,20863432.25,5112678.35,2.167,9.739,30.71,0
2013,FAMILY,126502984.08,101224657.67,25067729.19,1.0161,4822980.57,958111.28,737357.91,5653252.21,191.91,111.93,171.67,224.99,13614977.54,13446647.47,5.556,31.528,47.84,0
2021,FAMILY,133665733.58,105681349.52,28234052.01,1.725,7652962.38,3545548.46,1206491.5,10081133.91,119.32,140.1,131.51,119.12,18836882.73,6417928.72,2.576,9.859,93.81,0
2017,PARTNERSHIP,81316078.03,77554573.33,3932350.66,0.4816,7824350.98,4772685.31,907489.93,4735409.39,198.53,219.87,153.4,159.5,13099114.26,15152974.65,3.178,19.628,68.56,0
2017,PARTNERSHIP,97098075.08,87565980.12,9412234.96,0.8421,3318609.45,2463701.98,3860888.32,10152719.92,183.52,123.68,159.42,192.42,5211292.03,16818329.29,0.684,20.738,92.46,1
2019,FAMILY,237034036.26,151877708.92,85208229.25,0.4571,2055543.95,1613743.98,1356756.82,6528801.01,134.76,105.02,183.11,143.83,15049851.11,6601783.13,5.347,18.622,22.45,1
2024,FAMILY,153700147.4,149307946.91,4518466.98,1.018,3360781.57,4038619.45,1897366.92,8220089.58,151.88,207.92,206.3,221.2,8357721.75,2480391.88,5.488,-12.648,6.3,0
2022,OTHER,207228525.16,150789706.36,56249194.62,0.1999,4779440.64,3209363.65,703205.12,1591975.19,194.33,229.69,125.04,64.93,23740459.93,3862386.15,1.961,-5.637,53.54,0
2012,FAMILY,85461221.65,75809980.95,9826810.37,1.2809,1154097.16,1311476.8,3167887.85,5553358.85,97.14,131.44,189.5,142.9,6816052.61,6401961.32,3.591,-2.872,8.97,1
2006,COOPERATIVE,118682414.08,82667300.94,36086699.22,0.7314,1920247.63,2997450.29,3803355.2,9208130.73,111.97,243.23,70.18,166.21,18477440.74,7378880.5,2.144,-10.062,74.08,0
2013,FAMILY,63775953.84,35239045.41,28637282.81,1.5669,6510515.98,965410.51,196608.17,11268241.2,81.95,163.49,164.19,85.49,2103336.69,13153019.0,0.584,24.792,35.73,0
2004,FAMILY,184297930.85,132259429.16,52253296.3,1.5697,2580506.37,4579499.8,307887.13,4759909.99,113.31,226.0,183.99,240.01,1629963.72,12542946.01,1.548,33.711,28.58,0
2007,PARTNERSHIP,93014316.31,76534010.47,16418799.23,1.1013,4207397.65,5627940.22,925363.93,8797522.63,200.08,217.9,83.91,234.14,182823.19,9503060.73,5.944,-15.841,84.36,0
2004,CORPORATE,134653582.1,116412560.89,18116173.52,0.6351,2234825.3,1845908.13,1373103.45,10950169.5,174.89,112.94,155.33,213.34,19393956.59,11273178.87,3.452,-13.782,59.03,0
2018,OTHER,10105952.65,9370375.34,784390.12,1.6934,431213.02,2496634.68,2275001.66,5968534.2,83.89,136.11,94.64,109.34,6582630.49,1119454.89,2.426,-18.47,90.9,1
2019,PARTNERSHIP,73443865.87,47923416.28,25398219.99,0.0312,1567704.14,3019988.93,4471110.99,7356623.35,132.76,67.01,185.06,220.46,12830799.99,2904354.51,0.946,-11.474,96.15,0
2013,FAMILY,120960501.45,86675984.64,34124287.26,0.2775,7050862.91,1956288.76,2802120.33,8487739.48,77.8,238.23,186.21,241.16,8641653.43,2725123.77,4.451,-6.729,93.3,0
2025,FAMILY,73022205.47,59002452.89,13840845.76,0.7774,7685907.74,3932448.91,3953678.18,809701.87,193.41,195.31,93.87,196.75,8098890.07,5605274.86,2.132,-24.403,86.06,0
2018,OTHER,125764089.22,86603926.13,39035762.97,0.3793,2262416.65,328832.41,2630218.72,5830024.5,72.17,160.07,106.12,117.43,1271526.16,2453822.07,3.179,28.268,16.56,0
2008,FAMILY,86432171.35,53557081.31,32853138.54,0.9849,2150331.07,3064340.02,918144.53,3257091.17,188.46,104.58,200.28,95.73,1408369.16,9258016.13,4.879,7.912,2.84,0
2007,FAMILY,193366728.44,143010424.2,50332871.54,0.7234,2631144.51,2646988.66,319970.66,7271438.59,108.05,154.09,92.92,194.92,18924959.84,29477.51,5.267,4.031,10.0,1
2019,OTHER,79496296.96,54541427.84,24854247.76,0.9369,960222.18,5393980.75,1959020.35,322589.19,118.13,153.95,133.61,92.93,21426009.41,4499718.38,3.958,18.072,86.98,0
2015,CORPORATE,168034794.92,125562992.91,42256765.99,0.8845,4539391.52,3490159.28,1603218.29,4623167.99,107.85,87.84,73.48,217.24,1627666.52,2941919.53,5.534,-11.292,43.89,0
2024,FAMILY,141528287.28,111442376.33,30033556.62,0.6055,7415879.59,1462299.16,1771453.83,1677683.22,72.46,86.07,83.77,139.24,13075807.24,9956813.22,2.738,-16.576,4.95,1
2019,FAMILY,45909018.51,31690869.87,14338986.88,0.9017,635095.76,946539.07,288620.94,11501769.69,185.1,118.28,120.43,234.04,8252569.01,17494279.77,5.596,23.482,73.86,0
2019,PARTNERSHIP,196332374.99,167922395.69,28572482.6,1.2258,207403.6,144234.78,3421236.74,763115.56,163.97,64.55,90.62,218.7,20413713.73,778351.87,4.529,-14.151,90.88,0
2014,FAMILY,162965104.65,137166016.85,25660091.52,1.7778,2433436.34,3451801.68,4586307.69,5743944.42,73.38,237.3,77.88,176.14,17684293.9,15835606.13,1.029,21.815,59.57,0
2019,FAMILY,205482369.93,195239138.55,10291826.75,0.472,636356.51,5648964.04,2370267.05,10951052.75,148.44,151.52,77.35,199.63,2016776.12,11763838.6,3.877,16.515,77.28,1
2012,FAMILY,188014933.67,122098453.98,65895771.18,1.6425,7036707.27,2214047.73,885011.16,11315432.74,162.32,70.92,156.01,235.1,6306671.31,5053384.45,0.759,12.958,77.88,1
2025,COOPERATIVE,11551402.43,10893572.12,689621.8,1.204,3372874.75,596354.76,537370.62,9157271.25,87.03,170.88,174.44,83.72,18627529.73,14096583.17,5.171,17.257,76.38,1
