ag_livestock_report_month,ag_livestock_operation_id_hash,ag_livestock_animal_type_code,ag_livestock_inventory_head_count,ag_livestock_births_count,ag_livestock_deaths_count,ag_livestock_slaughter_count,ag_livestock_milk_production_lbs,ag_livestock_milk_yield_per_cow,ag_livestock_feed_cost_index,ag_livestock_vet_cost_per_head,ag_livestock_antibiotic_use_indicator,ag_livestock_disease_outbreak_flag,ag_livestock_housing_system_code,ag_livestock_pasture_access_days_year,ag_livestock_manure_management_method,ag_livestock_methane_emissions_estimate,ag_livestock_organic_certification_flag,ag_livestock_animal_welfare_audit_score,ag_livestock_market_price_usd_cwt
2015-01,46567addbad1603b,POULTRY,154739,13626,36787,91316,0.0,0.0,151.95,3.26,0,0,PASTURE,234,DIGESTER,223480.74,0,52.0,293.54
2015-02,662b635ca3126e14,POULTRY,245733,91654,114957,131911,0.0,0.0,102.49,319.11,1,0,PASTURE,365,FIELD_APPLIED,128453.19,0,32.81,48.97
2015-03,f8aa9e14507a136e,POULTRY,195080,81448,96697,57478,0.0,0.0,150.68,32.06,0,0,BARN,217,COMPOST,186405.96,0,4.95,225.42
2015-04,09a92463a937beb2,CATTLE_BEEF,192070,29425,64657,4589,0.0,0.0,169.59,19.6,0,0,PASTURE,102,LAGOON,143358.15,0,80.41,116.25
2015-05,24b463f3e3692e15,HOGS,136498,100953,130737,34358,0.0,0.0,128.98,22.07,1,1,BARN,192,STACK,186218.54,0,61.01,265.52
2015-06,69af7fd24d07b729,POULTRY,150482,76756,90735,59926,0.0,0.0,88.95,10.43,0,0,CAGE_FREE,364,FIELD_APPLIED,173654.23,0,68.43,280.0
2015-07,83cadd2b76ab3224,HOGS,49717,68615,49717,59165,0.0,0.0,163.66,364.69,0,0,FREE_STALL,57,COMPOST,47688.0,0,42.53,101.28
2015-08,42641639050cef44,CATTLE_BEEF,19530,51720,19530,136905,0.0,0.0,88.89,210.52,0,0,CAGE_FREE,301,COMPOST,43685.82,0,69.85,208.36
2015-09,88c0253c83dcc389,CATTLE_BEEF,36513,76435,36513,101592,0.0,0.0,212.98,289.68,0,0,PASTURE,30,STACK,61955.21,0,94.11,266.8
2015-10,a9eaebae02d98d38,HOGS,149088,72713,107311,103717,0.0,0.0,119.98,118.82,0,0,FREE_STALL,288,COMPOST,216079.24,0,95.78,53.74
