biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_naics_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2011,291f7175c8853508,6310feba73a830b6,70,5_9,408304,4293,3578,381,15852,36821,32641,115.188,92.52,71.82,0,0,SOLE_PROP,987648.09,0
2008,d62f19145dfe383e,98ce96afd03adef0,6,20_49,365237,2451,2431,5391,4957,23460,47566,92.901,16.44,5.75,0,0,OTHER,2335946.44,0
2014,717e4e2dd04dd59c,d696cb5c452a32fd,35,50_99,549114,3964,310,9482,5343,46177,44173,178.293,39.51,24.25,0,0,LLC,2178644.81,0
2007,25c2e50c469344d4,315de73119936c0f,25,1000_PLUS,755380,936,1623,15885,15342,8258,40540,131.57,11.41,10.09,0,0,PARTNERSHIP,1525062.9,0
2006,263ed767a7ae8864,d9eb2c1b510354f7,59,20_49,714004,2730,4516,1783,7276,45688,20839,28.506,82.09,13.2,0,0,OTHER,1644851.63,0
2025,dd704c195f4ecba0,5b57a0f1639fd42c,87,500_999,651557,1380,1695,22778,9150,33008,47007,25.176,21.99,12.13,1,0,LLC,1266926.3,0
2013,5f6c012a860697a6,526a1cdae3eccaf4,11,20_49,173491,501,4040,24863,12439,47020,37435,188.072,64.02,49.82,0,0,CORPORATION,1430467.06,0
2022,6fe20b9a01065974,ab9e163af33268fa,61,100_249,616190,309,4783,11052,1663,16350,3387,119.445,69.77,24.94,0,0,PARTNERSHIP,1308904.39,0
2010,913f7de1aaf6b377,b8f70425afcd1211,79,20_49,378414,945,3136,14964,15207,28103,40560,132.228,41.29,17.45,0,0,LLC,1156280.54,0
2006,82e02fc25d6cf2ac,317416e1ad2089af,18,50_99,947171,1763,1888,8774,10260,2177,29647,158.662,31.28,28.42,0,1,SOLE_PROP,36888.91,0
2015,5d12ef46f6434de1,98160645e9bdc073,60,1000_PLUS,484194,3649,2881,24193,22111,6815,5596,9.275,1.82,1.16,0,0,LLC,555765.32,0
2010,e63f64876f4931b3,52460356acd4da38,70,250_499,676715,3347,4201,23051,4000,46664,31311,123.91,66.3,41.93,0,0,CORPORATION,2083504.19,0
2025,4ea7b5a67a6df82d,f329fff29c3346c3,100,1_4,817120,2477,4920,78,50,37731,10219,107.278,52.3,46.22,0,0,LLC,2453468.33,0
2016,b3fd3415bce4bf7e,2fd4488f599f4563,30,5_9,974580,2338,304,14010,21529,32626,39933,14.892,54.85,18.39,1,0,LLC,2177407.44,0
2008,61b26824d720df80,8cc41e3be49c6e78,10,20_49,273002,3152,4762,12791,11875,47131,37050,194.245,40.9,23.53,0,1,LLC,1656135.49,0
2024,720137fe3f32f3ac,7e93452c298c7065,39,5_9,255060,2407,99,16414,17214,26328,26455,82.517,26.21,2.87,0,1,PARTNERSHIP,1446836.48,0
