biz_innov_filing_year,biz_innov_patent_application_id_hash,biz_innov_technology_class_code,biz_innov_inventor_count,biz_innov_assignee_type_code,biz_innov_university_assignee_flag,biz_innov_small_entity_flag,biz_innov_citation_count_5yr,biz_innov_forward_citation_velocity,biz_innov_claims_count,biz_innov_family_size_count,biz_innov_international_filing_flag,biz_innov_grant_lag_months,biz_innov_licensing_revenue_estimate,biz_innov_r_and_d_tax_credit_claim_flag,biz_innov_venture_funding_round_flag,biz_innov_startup_spinout_flag,biz_innov_tech_transfer_office_id,biz_innov_innovation_cluster_score,biz_innov_commercialization_stage_code
2006,3b14eeb1983c6bfd,H04,15,INDIVIDUAL,0,0,7,5.1562,4,7,0,83,157355863.9,1,0,1,TTO0000001,49.78,PROTOTYPE
2018,1df487d41c409eb1,D06,12,CORPORATE,0,0,8,3.248,50,22,0,29,173449268.16,1,0,0,TTO0000002,9.34,EARLY_MARKET
2013,0a1112e1aafc51af,H04,8,CORPORATE,0,1,9,4.8988,18,2,0,43,142394334.02,0,0,0,TTO0000003,42.36,EARLY_MARKET
2024,6b7213380fcd7168,B29,11,CORPORATE,0,0,10,2.8392,31,7,0,8,16926304.71,0,0,0,TTO0000004,43.3,EARLY_MARKET
2022,ecd22f8c57fed2b5,G06,10,CORPORATE,0,0,7,3.4045,2,30,0,28,83775630.51,0,0,0,TTO0000005,77.96,MATURE
2022,dc65d07497392352,G06,2,CORPORATE,0,1,4,3.5047,83,5,1,88,144957726.91,1,0,0,TTO0000006,55.83,PROTOTYPE
2013,9724d01167610c2f,F16,16,INDIVIDUAL,0,0,9,4.6289,16,27,1,51,136297873.5,1,0,0,TTO0000007,42.15,EARLY_MARKET
2023,c6c4c7388cf6be46,D06,12,CORPORATE,0,0,7,3.6198,72,4,1,65,98107794.05,1,0,0,TTO0000008,31.64,EARLY_MARKET
2024,ab4ffe293b510db7,F16,9,CORPORATE,0,0,7,1.0753,56,18,1,84,78647215.73,0,0,0,TTO0000009,94.03,IDEA
2004,90c78c652b0b6266,C07,19,INDIVIDUAL,0,0,11,3.3549,27,20,1,22,184862866.93,1,0,0,TTO0000010,41.06,EARLY_MARKET
2016,ca6aa2f3f75db593,B29,15,UNIVERSITY,1,0,6,1.4879,56,24,1,6,154967934.67,0,0,0,TTO0000011,69.21,PILOT
2013,7fe17dd3a8631244,G06,4,CORPORATE,0,0,13,3.2676,95,1,0,34,121558239.68,0,1,0,TTO0000012,7.93,EARLY_MARKET
2015,ac35731c8dc8edda,A01,1,CORPORATE,0,1,5,1.9556,33,18,0,20,64422597.1,0,1,0,TTO0000013,98.2,EARLY_MARKET
2011,bafa90543270a71c,F16,19,CORPORATE,0,1,8,0.6758,24,19,0,14,159900634.46,0,1,0,TTO0000014,89.73,SCALE
2015,1ae183df83107bce,G06,14,CORPORATE,0,0,6,2.2703,17,12,0,90,205070842.55,0,0,0,TTO0000015,63.48,MATURE
2021,a5be24ad0d234155,H04,6,NONPROFIT,0,0,10,5.5941,100,4,0,100,82407098.86,0,0,0,TTO0000016,94.06,SCALE
2005,006e511628b516ed,E21,12,CORPORATE,0,1,11,2.1844,67,23,0,27,102934549.61,1,1,0,TTO0000017,30.54,PROTOTYPE
2020,af21a587e938e8f3,D06,3,CORPORATE,0,0,12,2.4414,74,11,0,80,188534393.66,0,0,0,TTO0000018,20.14,PILOT
2014,5bf5dc06ec95fc76,F16,4,INDIVIDUAL,0,0,13,4.1008,80,25,0,53,245215936.18,0,0,0,TTO0000019,48.61,SCALE
2009,9eb4a5149fa492cc,G06,19,CORPORATE,0,0,12,4.564,49,26,0,113,84264063.51,0,0,1,TTO0000020,59.3,EARLY_MARKET
2007,29fdec3730c89001,H04,5,CORPORATE,0,1,10,3.25,41,27,0,55,34353480.58,0,0,0,TTO0000021,12.29,EARLY_MARKET
2006,79926e6ecdbb3508,G06,6,CORPORATE,1,0,8,4.5771,40,3,1,86,34056235.81,1,0,0,TTO0000022,36.39,SCALE
2015,a1a9e62167901547,H04,19,CORPORATE,0,0,11,2.7581,24,13,1,24,16136331.19,0,0,0,TTO0000023,72.68,SCALE
2015,a3ae4774eb8d5762,C07,12,CORPORATE,0,0,7,2.3596,34,21,0,29,229578202.07,0,1,0,TTO0000024,90.44,PILOT
2024,b4dac0a29be8a428,H04,16,INDIVIDUAL,0,0,11,2.701,54,29,0,17,203361791.69,0,0,1,TTO0000025,89.33,IDEA
1999,2f573a970820fab6,G06,20,INDIVIDUAL,0,0,3,3.0884,48,11,0,63,238834650.78,0,1,0,TTO0000026,55.75,PILOT
2007,7330cf5f26abbd51,B29,18,UNIVERSITY,1,1,5,5.2317,82,24,1,75,80391930.99,0,1,0,TTO0000027,43.47,EARLY_MARKET
2020,c8d3791cf3418813,G06,11,UNIVERSITY,1,0,8,3.1674,65,14,0,82,169458426.81,1,0,0,TTO0000028,29.68,EARLY_MARKET
2013,c393d202c0ff43c0,G06,7,UNIVERSITY,1,0,7,4.1252,57,23,1,37,24399845.33,0,0,0,TTO0000029,17.59,PROTOTYPE
2008,4f61b80a9be5f78f,C07,8,CORPORATE,0,1,11,1.4585,42,25,0,74,227624293.99,0,0,0,TTO0000030,34.31,SCALE
2006,e284a317f45f0c76,H04,1,UNIVERSITY,1,0,9,0.9414,60,24,0,23,39805118.77,1,0,0,TTO0000031,24.97,EARLY_MARKET
2008,6e38f1b20172255d,E21,18,CORPORATE,0,0,7,5.0043,54,18,1,12,237183039.45,0,0,0,TTO0000032,4.11,PROTOTYPE
2015,e608bad60c79cf16,G06,12,CORPORATE,1,0,5,1.6657,86,10,0,105,115824333.08,1,0,0,TTO0000033,77.61,EARLY_MARKET
2020,78b6ea5d6d5a6f54,G06,8,GOV_LAB,0,1,9,3.7583,44,5,0,10,85405590.42,0,1,0,TTO0000034,96.24,SCALE
2025,517532119b4e735a,G06,2,UNIVERSITY,1,0,5,2.5218,26,30,0,88,201333769.13,0,1,0,TTO0000035,8.09,PILOT
2023,88f65ca5dc739965,G06,13,CORPORATE,0,0,5,5.3284,30,12,1,77,3668916.61,0,0,0,TTO0000036,32.34,PILOT
2017,cb1ac3ef18f7291e,A01,13,NONPROFIT,0,0,15,2.9755,23,30,0,61,131082378.97,0,0,0,TTO0000037,39.12,EARLY_MARKET
2025,f8e3b19b7ecaa7e7,G06,17,GOV_LAB,0,1,7,3.9001,26,13,1,90,71019605.12,1,0,0,TTO0000038,25.84,EARLY_MARKET
2008,422aa9c1579c2416,H04,13,CORPORATE,0,0,6,3.0153,6,4,0,30,102321000.29,0,1,1,TTO0000039,75.19,EARLY_MARKET
2011,ea74b51ef333ab55,B29,14,CORPORATE,0,0,7,0.0184,19,10,1,15,51426936.67,0,0,0,TTO0000040,53.47,EARLY_MARKET
2021,1e8424c0abfd73c1,B29,14,CORPORATE,0,1,3,3.4593,39,3,1,25,30682102.05,0,0,0,TTO0000041,9.94,PROTOTYPE
2005,bc9b95e54b651f48,H04,9,CORPORATE,1,0,10,4.5301,100,19,1,72,61354877.55,1,1,0,TTO0000042,46.94,IDEA
2014,af0fc7833628ffcc,B29,8,CORPORATE,0,0,3,4.8164,94,12,1,35,27051059.54,0,0,0,TTO0000043,40.31,IDEA
2002,b69cfe4fa41c5cbc,D06,20,GOV_LAB,0,0,6,5.7556,26,18,0,30,188482712.62,0,0,0,TTO0000044,28.06,MATURE
2001,6e9ca6d25f2ef4a2,C07,4,CORPORATE,1,1,12,0.877,46,25,1,75,143048868.4,1,0,0,TTO0000045,14.59,PROTOTYPE
2022,bb0cc190cc46c4a2,C07,16,CORPORATE,0,0,3,0.1436,36,9,1,94,31644140.03,0,0,0,TTO0000046,65.39,IDEA
2023,7ab94e176891490a,G06,8,CORPORATE,0,1,7,0.0102,82,6,0,101,102872028.05,1,0,0,TTO0000047,16.41,PILOT
2023,121ad588fa5cb254,A01,7,GOV_LAB,0,0,8,1.1302,15,21,1,32,208879128.13,0,0,0,TTO0000048,19.77,SCALE
2025,a3376211480ac923,C07,15,CORPORATE,0,1,5,2.0789,16,27,1,5,137579425.09,0,0,0,TTO0000049,61.15,SCALE
2010,756261437169dc1c,H04,15,CORPORATE,0,0,7,2.7356,47,20,0,41,188172876.26,1,1,0,TTO0000050,84.47,MATURE
1998,2aa1b82483e5840b,A01,11,CORPORATE,0,0,12,4.0651,78,11,1,35,243861607.7,1,0,1,TTO0000051,5.21,MATURE
2020,6baff375ac51498b,C07,9,CORPORATE,0,0,4,5.7431,75,5,1,116,73054356.24,0,0,0,TTO0000052,80.96,PILOT
2017,c2d1d494be18c6b0,C07,4,CORPORATE,0,1,9,2.67,95,15,0,67,136160466.79,0,0,0,TTO0000053,5.24,PROTOTYPE
2016,e6806280f56c5ed8,E21,17,INDIVIDUAL,0,0,11,4.341,12,11,1,38,131914329.81,0,0,0,TTO0000054,41.4,SCALE
1998,1e220d760be7c1ae,H04,9,GOV_LAB,0,0,7,1.7013,3,16,1,80,144642336.56,0,0,0,TTO0000055,98.78,IDEA
2009,6773201a0a699c44,G06,11,CORPORATE,0,0,15,2.7349,99,19,1,48,130586385.91,0,1,0,TTO0000056,81.99,MATURE
2023,e76449d683663ed2,Y02,9,UNIVERSITY,1,1,5,2.3177,6,23,1,101,148837795.16,1,1,0,TTO0000057,98.73,IDEA
2009,471997088f5c5acc,E21,15,CORPORATE,0,1,9,2.9273,66,23,0,10,236991671.03,0,0,0,TTO0000058,48.85,PILOT
2001,ac53f8f781541288,E21,7,INDIVIDUAL,0,0,11,3.3343,83,27,0,88,108416751.92,0,0,0,TTO0000059,25.82,PROTOTYPE
2014,acc117ad7d7f63de,E21,19,INDIVIDUAL,0,0,6,2.3636,67,2,0,91,144823840.22,0,0,0,TTO0000060,86.56,EARLY_MARKET
1999,d47738e3bd900d50,H04,17,CORPORATE,0,1,7,4.9253,35,18,0,104,67846451.12,1,0,0,TTO0000061,79.15,EARLY_MARKET
2013,513a94ad233e804e,G06,6,CORPORATE,0,0,8,5.0088,92,16,0,109,26701361.01,0,0,0,TTO0000062,64.23,MATURE
2022,541bd192635d8b4d,E21,14,INDIVIDUAL,0,1,12,5.627,18,24,0,57,211508060.78,0,0,0,TTO0000063,42.23,MATURE
2017,c9cf1a1073863245,D06,14,CORPORATE,0,0,15,0.0427,25,21,1,97,176873848.43,0,1,0,TTO0000064,87.05,EARLY_MARKET
1999,d14d61f5ff30d8ae,H04,20,CORPORATE,0,1,5,1.1903,67,17,0,55,133892124.22,0,1,0,TTO0000065,90.02,PROTOTYPE
2020,780f3a2e74ec0eea,G06,13,CORPORATE,0,1,10,3.2865,93,3,0,10,90166317.33,0,1,0,TTO0000066,28.06,EARLY_MARKET
1999,5210b769de84fcb0,D06,14,CORPORATE,0,1,6,2.6125,49,21,1,47,101226550.83,0,0,1,TTO0000067,36.43,EARLY_MARKET
2016,b60fc11ebf60b7f6,G06,10,OTHER,0,0,8,2.8441,86,28,1,113,99951.71,0,0,0,TTO0000068,5.73,SCALE
2023,97d889c22777056f,G06,2,CORPORATE,0,1,10,1.7833,58,10,1,120,78377068.95,0,0,0,TTO0000069,35.57,SCALE
1998,1a12011cc87e2be0,Y02,16,CORPORATE,0,0,11,1.312,8,9,0,56,155941999.86,1,0,0,TTO0000070,9.18,PILOT
2015,b55cc1a298ce1bd7,G06,15,CORPORATE,0,1,7,4.08,82,27,1,85,186705935.14,0,1,0,TTO0000071,17.75,PILOT
2005,66860fe4e26acf49,C07,1,CORPORATE,0,1,8,2.8158,57,16,0,41,107523223.33,0,0,0,TTO0000072,19.14,SCALE
2001,920d53cd833ec8e8,C07,11,INDIVIDUAL,0,1,9,2.6998,17,21,0,100,28057768.44,0,0,0,TTO0000073,25.42,PROTOTYPE
