biz_output_reporting_quarter,biz_output_industry_cluster_code,biz_output_shipment_value_usd,biz_output_new_orders_value_usd,biz_output_capacity_utilization_pct,biz_output_unit_labor_cost_index,biz_output_export_share_pct,biz_output_import_penetration_pct,biz_output_domestic_market_share_pct,biz_output_price_competitiveness_index,biz_output_innovation_intensity_score,biz_output_capital_investment_usd,biz_output_r_and_d_spend_usd,biz_output_automation_adoption_index,biz_output_supply_chain_concentration_index,biz_output_supplier_risk_score,biz_output_customer_concentration_index,biz_output_energy_intensity_btu_output,biz_output_carbon_intensity_tons_output,biz_output_benchmark_peer_group
2012Q1,CL000001,356358869267.95,343041712429.54,23.03,79.32,7.09,28.93,88.78,129.12,54.93,23001454531.73,42494391837.83,0.0212,0.5009,65.65,0.8972,4690.04,5.6079,PEER_B
2012Q2,CL000002,123318403412.94,128896046210.12,25.01,69.54,43.84,16.9,86.09,91.13,40.25,78398056789.09,11510981311.82,0.463,0.9946,21.86,0.8037,16165.45,5.0027,PEER_E
2012Q3,CL000003,245237334363.41,200822267694.18,49.6,144.34,54.93,9.13,95.04,128.14,81.98,17161628241.42,53589514612.4,0.9646,0.5267,7.59,0.6631,20566.95,72.5642,PEER_A
2012Q4,CL000004,106669991435.18,121769649007.68,58.48,154.83,11.23,51.85,83.02,131.85,17.58,35821077521.27,48192680383.86,0.9668,0.3187,54.27,0.7278,4000.38,87.686,PEER_D
2013Q1,CL000005,149901894854.95,126177934981.27,80.86,110.74,36.54,17.08,85.78,108.53,70.67,59167860372.07,27246281898.04,0.2941,0.6879,74.47,0.7882,44003.87,124.6047,PEER_D
2013Q2,CL000006,313736809661.42,270259708909.22,30.16,75.72,79.83,43.15,81.06,110.7,67.16,17233568635.91,23698075986.22,0.6159,0.9475,29.56,0.8611,31077.17,27.3345,PEER_E
2013Q3,CL000007,190586991694.09,168706185317.98,29.27,113.39,61.45,61.66,78.42,138.43,19.44,23601526509.94,15941442089.8,0.0266,0.9976,35.66,0.8968,19014.5,127.5543,PEER_F
2013Q4,CL000008,255527975888.27,267057871312.42,45.53,153.04,65.88,33.8,83.29,66.84,55.43,90712512280.01,4485302115.43,0.895,0.3644,11.06,0.5315,585.46,227.1597,PEER_E
2014Q1,CL000009,21474768510.58,21834780400.59,32.39,90.26,28.57,34.31,74.0,103.6,19.35,82428719963.21,25620223758.66,0.6351,0.6407,9.41,0.3809,5034.72,70.1668,PEER_F
2014Q2,CL000010,298894480204.09,296490256918.5,83.54,65.73,46.51,79.38,75.25,100.31,89.47,39590252663.75,15252770916.76,0.8381,0.7901,94.65,0.7018,45610.2,171.3288,PEER_E
2014Q3,CL000011,226815786309.38,148718329235.37,93.63,99.86,15.59,43.83,83.21,100.24,69.17,77008085664.38,52543346804.8,0.7282,0.8221,2.38,0.5686,24939.21,137.0762,PEER_A
2014Q4,CL000012,153591730153.71,118430171632.07,65.51,105.48,79.75,17.12,92.49,124.44,80.66,1371998498.58,21769497218.98,0.4849,0.4274,92.49,0.2436,5723.89,63.2851,PEER_C
2015Q1,CL000013,69514506690.58,59985297722.05,36.63,67.65,22.76,35.16,69.31,107.52,40.77,112142431895.8,27547132475.16,0.0939,0.326,39.13,0.6575,38377.92,32.026,PEER_D
2015Q2,CL000014,191245572574.79,152743156431.34,21.12,82.46,15.24,82.88,52.83,73.09,4.4,61690558144.23,52681526187.03,0.3336,0.544,9.47,0.3547,2707.96,179.4651,PEER_B
2015Q3,CL000015,90812535689.38,78956630111.85,39.92,112.04,38.69,8.33,96.77,109.11,55.35,61339512843.68,6972421025.2,0.5785,0.3616,4.19,0.4411,13647.53,248.0111,PEER_C
2015Q4,CL000016,403039938224.42,330227245214.74,24.55,111.56,51.91,69.65,61.25,64.06,20.54,23669074998.69,15972439357.04,0.6074,0.4855,76.41,0.3372,36903.3,8.5539,PEER_C
2016Q1,CL000017,170823800109.76,134692576905.29,22.33,77.39,70.83,28.38,74.63,122.45,52.78,51999687548.16,28870858123.53,0.5287,0.2334,21.57,0.5754,40495.34,86.4793,PEER_C
2016Q2,CL000018,281964144923.32,246313747995.14,95.09,135.98,27.93,11.21,96.28,117.86,16.45,53031307038.12,8268991501.63,0.4134,0.0535,45.19,0.3136,11179.38,133.5429,PEER_C
2016Q3,CL000019,296026392132.45,250081087859.24,66.26,82.05,47.2,1.54,99.46,62.03,58.84,17627736215.81,46109718580.93,0.1531,0.6514,86.92,0.2903,25677.8,154.5907,PEER_C
2016Q4,CL000020,105990345030.14,93297333655.4,80.63,154.65,59.03,77.24,67.15,83.95,24.13,55755748539.43,42523203873.26,0.0326,0.1386,25.72,0.3733,41403.99,5.6483,PEER_F
2017Q1,CL000021,210598265409.56,189582616705.78,28.6,102.25,12.77,62.2,61.62,88.36,37.65,94033436345.2,3816386522.28,0.7031,0.523,63.12,0.2819,12556.53,32.9117,PEER_F
2017Q2,CL000022,6204975400.41,6565933671.96,72.06,62.99,39.07,67.4,52.81,110.62,77.11,71410316698.09,25504119586.69,0.2378,0.1492,82.66,0.4243,6103.39,56.6856,PEER_B
2017Q3,CL000023,385853312011.42,295501115292.42,29.45,144.05,36.55,14.75,95.34,110.68,98.86,116177679735.1,45012440376.6,0.8979,0.7981,30.45,0.031,13937.17,221.1677,PEER_E
2017Q4,CL000024,314781823535.73,206933579118.26,85.49,136.27,22.95,71.58,46.42,133.17,5.27,73109450397.19,3716995382.57,0.5096,0.8178,40.63,0.2987,41145.62,13.3212,PEER_E
2018Q1,CL000025,234500579560.92,256195551486.77,49.27,99.04,40.59,54.25,62.42,125.9,44.44,2022105602.49,58857917373.7,0.3001,0.5264,47.8,0.2687,41657.76,190.695,PEER_E
2018Q2,CL000026,302910947281.07,205043276093.53,30.56,117.65,6.13,35.01,82.73,103.07,16.2,6355784213.24,40293641450.82,0.1222,0.8283,44.26,0.9953,32052.12,185.9743,PEER_B
2018Q3,CL000027,72047161046.64,73997676430.4,70.34,108.83,35.89,27.25,91.43,87.96,29.42,13210026323.87,23397459228.15,0.7692,0.654,67.26,0.8351,18630.79,249.6983,PEER_D
2018Q4,CL000028,133006811334.67,142877819813.81,85.92,72.69,42.47,87.5,57.86,94.65,59.43,21120536138.1,21479186205.27,0.9147,0.855,19.95,0.1908,19088.55,34.6331,PEER_A
2019Q1,CL000029,82677783818.04,70620063960.68,25.3,130.55,74.8,83.38,55.65,80.91,30.5,44839097403.97,41547034699.29,0.3006,0.9296,59.59,0.8445,2414.33,245.9323,PEER_B
