biz_small_application_date,biz_small_entity_type_code,biz_small_founder_demographic_category,biz_small_home_based_business_flag,biz_small_industry_intent_naics,biz_small_expected_first_payroll_date,biz_small_expected_hiring_count,biz_small_expected_revenue_bracket,biz_small_financing_source_code,biz_small_loan_approval_flag,biz_small_loan_amount_usd,biz_small_credit_score_band,biz_small_business_license_required_flag,biz_small_permit_complexity_score,biz_small_incubator_participation_flag,biz_small_mentor_hours_received,biz_small_online_presence_score,biz_small_ecommerce_enablement_flag,biz_small_closure_within_1yr_flag,biz_small_growth_intent_score
2018-01-01,SOLE_PROP,UNKNOWN,1,112268,2018-10-25,59,1M_5M,BOOTSTRAP,1,1136118.18,600_649,1,9.02,0,247.24,31.42,0,0,54.32
2018-01-02,SOLE_PROP,UNKNOWN,1,618249,2018-03-16,99,GT_5M,BANK_LOAN,1,1595033.08,600_649,0,1.741,0,52.071,61.57,0,0,8.7
2018-01-03,LLC,UNKNOWN,1,134070,2018-11-09,76,250K_1M,CROWDFUND,0,0.0,700_749,0,4.781,0,39.982,17.94,0,1,49.7
2018-01-04,LLC,IMMIGRANT_OWNED,1,123495,2018-05-22,93,GT_5M,BANK_LOAN,0,0.0,650_699,0,5.294,0,139.713,32.78,1,0,38.94
2018-01-05,SOLE_PROP,MINORITY_OWNED,0,696576,2018-01-22,44,100K_250K,BANK_LOAN,1,2908213.74,700_749,1,5.116,0,113.174,51.48,1,0,60.86
2018-01-06,LLC,RURAL_FOUNDER,0,845592,2018-06-07,10,100K_250K,GOV_GRANT,0,0.0,600_649,0,1.403,0,145.085,49.73,1,0,32.75
2018-01-07,PARTNERSHIP,MINORITY_OWNED,1,719600,2018-08-29,73,250K_1M,BANK_LOAN,0,0.0,600_649,1,3.556,0,137.216,83.54,0,0,6.65
2018-01-08,SOLE_PROP,UNKNOWN,0,916844,2018-11-23,3,100K_250K,CREDIT_CARD,0,0.0,600_649,0,4.162,0,40.707,90.7,1,0,13.51
2018-01-09,PARTNERSHIP,RURAL_FOUNDER,1,645352,2018-10-05,78,100K_250K,BOOTSTRAP,0,0.0,700_749,0,6.08,0,278.668,58.04,1,0,0.92
2018-01-10,LLC,UNKNOWN,1,729532,2018-11-07,86,50K_100K,CROWDFUND,0,0.0,600_649,1,2.059,0,132.249,59.54,1,0,10.7
